"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"1530",1,"DHANAHA","GEN",69383,28822,14072,6,1,"M","PSP",18173,"YOGENDRA PRASAD","",0.415404349768675,0.488238151412116
"1536",2,"BAGAHA","SC",82961,28592,9482,6,1,"M","INC",14723,"NARSINGH BAITHA","H",0.344643868805824,0.331631225517627
"1542",3,"RAMNAGAR","GEN",77022,38164,9469,7,1,"M","INC",16116,"NARAIN VIKRAM SAH","H",0.495494793695308,0.248113405303427
"1549",4,"SHIKARPUR","SC",84483,22086,5668,4,1,"M","PSP",11206,"BHOLA RAM","H",0.261425375519335,0.256633161278638
"1553",5,"SIKTA","GEN",85057,41643,2481,4,1,"M","CPM",19996,"UMA SHANKAR SHUKLA","H",0.489589334211176,0.0595778402132411
"1557",6,"LAURIYA","GEN",79785,38099,9738,8,1,"M","IND",17040,"SHATRUMARDAN SHAHI","H",0.47752083725011,0.255597259770598
"1565",7,"CHANPATIA","GEN",83395,31358,1709,10,1,"M","INC",7962,"PRAMOD KUMAR MISHRA","H",0.376017746867318,0.0544996492123222
"1575",8,"BETTIAH","GEN",80996,46320,7297,9,1,"M","IND",18081,"HARGUN PRASAD SHAHI","H",0.571880092844091,0.157534542314335
"1584",9,"NAUTAN","GEN",76927,32559,10292,5,1,"M","INC",16376,"KEDAR PANDEY","H",0.423245414483861,0.316103074418748
"1589",10,"RAXAUL","GEN",76538,43514,5489,5,1,"M","SSP",17356,"BINDYACHAL SINGH","H",0.568528051425436,0.126143310199016
"1594",11,"SUGAULI","GEN",79622,36960,3165,6,1,"M","BJS",12656,"MOHAN LAL MODI","H",0.464193313405843,0.0856331168831169
"1600",12,"MOTIHARI","GEN",79466,36354,12307,6,1,"M","BJS",18838,"CHANDRIKA PRASAD YADAV","H",0.457478670123072,0.338532211035925
"1606",13,"ADAPUR","GEN",86554,48510,1818,7,1,"M","IND",12210,"AHMAD KARIM","",0.560459366407098,0.0374768089053803
"1613",14,"GHORASAHAN","GEN",73889,41995,9069,5,1,"M","PSP",23137,"RAM AYODHYA PRASAD","H",0.56835252879319,0.215954280271461
"1618",15,"DHAKA","GEN",81755,42875,5040,7,1,"M","PSP",17747,"SATYA NARAIN SHARMA","",0.524432756406336,0.117551020408163
"1625",16,"PATAHI","GEN",82530,46299,6872,5,1,"M","PSP",21229,"RAMA PATI SINGH","H",0.560996001454017,0.148426531890538
"1630",17,"MADHUBAN","GEN",83792,41633,23849,5,1,"M","CPI",30344,"MAHENDRA BHARATI","H",0.496861275539431,0.572838853793865
"1635",18,"KESARIA","GEN",78648,40345,2389,4,1,"M","CPI",15933,"PITAMBAR SINGH","H",0.512981894008748,0.0592142768620647
"1639",19,"PIPRA","SC",70850,19628,308,4,1,"M","INC",7960,"BIGU RAM","H",0.277035991531404,0.0156918687589158
"1643",20,"HARSIDHI","GEN",69857,30615,6960,4,1,"M","CPI",16302,"S.N. ABDULLAH","M",0.438252429964069,0.227339539441450
"1647",21,"GOVINDGANJ","GEN",76269,33417,583,6,1,"M","INC",10243,"DHRUVANARAYAN MANI TRIPATHI","H",0.438146560201392,0.0174462100128677
"1653",22,"GOPALGANJ","GEN",82764,43355,16070,5,1,"M","SSP",26522,"HARI SHANKAR SINGH","H",0.523838867140303,0.370660823434437
"1658",23,"KUCHAIKOTE","GEN",78440,51902,28917,4,1,"M","IND",36352,"NAGINA RAI","H",0.6616777154513,0.557146160070903
"1662",24,"KATEYA","SC",87418,30390,8743,7,1,"M","INC",14956,"BADRI MAHRA","H",0.34764007412661,0.287693320171109
"1669",25,"BHORE","GEN",90312,49819,10617,4,1,"M","INC",20915,"RAJ MANGAL MISHRA","H",0.551632119762601,0.213111463497862
"1673",26,"MIRGANJ","GEN",83892,36834,1086,8,1,"M","SSP",11925,"SIYA BIHARI SHARAN","",0.439064511514805,0.0294836292555791
"1681",27,"SIWAN","GEN",92468,48414,562,8,1,"M","INC",17312,"RAJA RAM CHAUDHARI","H",0.523575723493533,0.0116082125005164
"1689",28,"ZIRADEI","GEN",86688,42649,14573,6,1,"M","INC",24665,"ZAWAR HUSSAIN","M",0.491982742709487,0.341696171070834
"1695",29,"MAIRWA","SC",86535,27047,1880,4,1,"M","CPM",8763,"GIRDHARI RAM","H",0.312555613335645,0.0695086331201242
"1699",30,"DARAULI","GEN",87003,39507,2139,5,1,"M","BJS",13206,"KRISHNA PRATAP SINGH","H",0.454087790076204,0.0541423038955122
"1704",31,"RAGHUNATHPUR","GEN",98132,46046,5265,4,1,"M","SSP",21937,"RAMDEO SINGH","",0.469225125341377,0.114342179559571
"1708",32,"MAHARAJGANJ","GEN",105160,48021,26,7,1,"M","PSP",16501,"KAUSHALENDRA PRASAD SHAHI","H",0.456647014073792,0.000541429791133046
"1715",33,"BARHARIA","GEN",86822,41595,5821,5,1,"M","CPI",16299,"ABDUL JALIL","",0.479083642394785,0.139944704892415
"1720",34,"GORIYAKOTHI","GEN",95199,57174,21381,5,1,"M","INC",32652,"KRISHNA KANT SINGH","",0.600573535436297,0.373963689789065
"1725",35,"BAIKUNTHPUR","GEN",95928,48301,8908,8,1,"M","SSP",19946,"SABHAPATI SINGH","H",0.503513051455258,0.184426823461212
"1733",36,"BARAULI","GEN",95804,36059,1624,6,1,"M","IND",13609,"BHULAN RAI","H",0.376383032023715,0.0450372999805874
"1739",37,"MANJHI","GEN",102255,54783,8963,4,1,"M","SSP",26190,"RAM BAHADUR SINGH","H",0.535748863136277,0.163609148823540
"1743",38,"BANIAPUR","GEN",91444,43284,7014,4,1,"F","INC",19430,"UMA PANDEY","H",0.473338874065002,0.162046021624619
"1747",39,"MASRAKH","GEN",91545,42380,11379,6,1,"M","INC",19976,"PRABHUNATH SINGH","H",0.462941722650063,0.268499292118924
"1753",40,"TARAIYA","GEN",90194,32469,835,7,1,"M","SSP",10548,"DHARMANATH SINGH","H",0.359990686741912,0.0257168375989405
"1760",41,"MARHAURA","GEN",89768,42006,5873,7,1,"M","SSP",17319,"DEVI LAL JI","H",0.467939577577756,0.139813359996191
"1767",42,"JALALPUR","GEN",100740,53081,3992,4,1,"M","IND",25368,"KAMAKHYA NARAIN SINGH","H",0.526910859638674,0.0752058175241612
"1771",43,"CHAPRA","GEN",91763,52090,5936,6,1,"M","BJS",16429,"UDAY PRATAP NARAIN SINGH","H",0.567657988513889,0.113956613553465
"1777",44,"GARKHA","SC",97492,32481,909,6,1,"M","IND",12651,"BISHWANATH BHAGAT","H",0.333165798219341,0.027985591576614
"1783",45,"PARSA","GEN",89171,50322,5573,3,1,"M","INC",25579,"DAROGA PRASAD RAI","H",0.56433145305088,0.110746790668097
"1786",46,"SONEPUR","GEN",94205,60314,11821,5,1,"M","INC",26636,"RAM JAIPAL SINGH YADAV","H",0.640242025370203,0.195990980535199
"1791",47,"HAJIPUR","GEN",98887,72282,7387,6,1,"M","CPI",26620,"KISHORI PRASANNA SINGH","",0.730955535105727,0.102196950831466
"1797",48,"RAGHOPUR_1","GEN",91365,58636,3102,4,1,"M","BJS",23145,"HARIBANSH NARAIN SINGH","H",0.64177748590817,0.0529026536598677
"1801",49,"MAHNAR","GEN",91738,64520,8245,4,1,"M","INC",27902,"BRAJ KISHORE RAI","H",0.703307244544246,0.127789832610043
"1805",50,"JANDAHA","GEN",96329,62135,2521,5,1,"M","INC",22113,"BHUNESHWAR CHAUDHARI","",0.64502901514601,0.0405729460046673
"1810",51,"PATEPUR","SC",96862,38623,8787,7,1,"M","SSP",17625,"PALTAN RAM","H",0.398742540934525,0.227506925924967
"1817",52,"GORAUL","GEN",96937,55731,6109,12,1,"M","INC",20223,"SHYAM PATEL","H",0.574919793267793,0.109615833198758
"1829",53,"VAISHALI","GEN",90710,61237,16783,7,1,"M","INC",34803,"LALITESHWAR PRASAD SHAHI","H",0.675085437107265,0.27406633244607
