"","AC_no","AC_name","AC_type","Electors","Voters","Margin","N_cand","Position","Sex1","Party1","Votes1","Cand1","RELIGION","Turnout","Margin_percent"
"39986",1,"DHANAHA","GEN",120846,59357,1464,11,1,"M","RJD",19164,"RAJESH SINGH","H",0.491178855733744,0.0246643192883737
"39997",2,"BAGAHA","SC",237157,119904,18391,11,1,"M","JD(U)",60794,"PURNMASI RAM","H",0.50558912450402,0.153381038163864
"40008",3,"RAMNAGAR","GEN",200302,104534,919,13,1,"M","BJP",39147,"CHANDRA MOHAN RAI","H",0.521881958243053,0.00879139801404328
"40021",4,"SHIKARPUR","SC",203432,98341,5254,10,1,"F","BJP",35147,"BHAGIRATHI DEVI","H",0.483409689724331,0.0534263430308823
"40031",5,"SIKTA","GEN",185625,106046,7599,12,1,"M","INC",35811,"KHURSHED ALIAS FIROZ ALAM","M",0.571291582491583,0.0716575825585123
"40043",6,"LAURIYA","GEN",188125,98222,2024,7,1,"M","JD(U)",28089,"PRADEEP SINGH","H",0.522110299003322,0.0206063814624015
"40050",7,"CHANPATIA","GEN",189761,88836,20874,7,1,"M","BJP",42960,"SATISH CHANDRA DUBEY","H",0.468146774100052,0.234972308523572
"40057",8,"BETTIAH","GEN",250250,115271,16466,7,1,"F","BJP",55184,"RENU DEVI","H",0.460623376623377,0.142845989017186
"40064",9,"NAUTAN","GEN",195780,94597,5303,10,1,"M","JD(U)",35497,"BAIDHANATH PRASAD MAHTO","H",0.483180100112371,0.0560588602175545
"40074",10,"RAXAUL","GEN",202251,96817,8449,6,1,"M","BJP",38448,"DR. AJAY KUMAR SINGH","H",0.478697262312671,0.0872677319065867
"40080",11,"SUGAULI","GEN",219751,110680,6605,8,1,"M","BJP",35869,"RAMCHANDRA SAHNI","H",0.503660961724861,0.059676544994579
"40088",12,"MOTIHARI","GEN",249145,123847,20703,13,1,"M","BJP",56119,"PRAMOD KUMAR","H",0.497088041100564,0.167165938617811
"40101",13,"ADAPUR","GEN",211221,110185,16008,10,1,"M","JD(U)",44714,"SHYAM BIHARI PRASAD","H",0.521657410958191,0.145282933248627
"40111",14,"DHAKA","GEN",230980,97940,3332,11,1,"M","BJP",32066,"AWANEESH KUMAR SINGH","H",0.424019395618668,0.034020829079028
"40122",15,"GHORASAHAN","GEN",198424,97282,814,6,1,"M","RJD",30951,"LAXMI NARAYAN PRASAD YADAV","H",0.490273354029754,0.00836742665652433
"40128",16,"MADHUBAN","GEN",209821,100669,19478,12,1,"M","JD(U)",47990,"SHIVJEE RAI","H",0.479785150199456,0.193485581460032
"40140",17,"PIPRA","SC",186797,88946,10479,8,1,"M","BJP",43239,"KRISHNANANDAN PASWAN","H",0.476163964089359,0.117813055112090
"40148",18,"KESARIA","GEN",204201,88256,978,12,1,"M","RJD",31090,"RAJESH KUMAR RAUSHAN URF BABLOO DEO","H",0.432201605281071,0.0110813995649021
"40160",19,"HARSIDHI","GEN",194962,96765,108,7,1,"M","LJP",35811,"MAHESHWAR SINGH","H",0.496327489459484,0.00111610603007286
"40167",20,"GOVINDGANJ","GEN",207340,88872,16021,5,1,"F","JD(U)",35743,"MEENA DEVI","H",0.42862930452397,0.180270501395265
"40172",21,"KATEYA","GEN",221084,102978,4203,10,1,"M","BSP",38024,"AMRENDRA KUMAR PANDEY","H",0.465786759783612,0.0408145429120783
