Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Vidhan Sabha,2015,Bihar,1,Valmiki Nagar,GEN,2,IRSHAD HUSSAIN,Grand Alliance,18.01
Vidhan Sabha,2015,Bihar,2,Ramnagar,SC,2,PURNMASI RAM,Grand Alliance,37.53
Vidhan Sabha,2015,Bihar,3,Narkatiaganj,GEN,1,VINAY VARMA,Grand Alliance,37.25
Vidhan Sabha,2015,Bihar,4,Bagaha,GEN,2,BHISHM SAHANI,Grand Alliance,39.56
Vidhan Sabha,2015,Bihar,5,Lauriya,GEN,2,RAN KAUSHAL PRATAP SINGH,Grand Alliance,28.07
Vidhan Sabha,2015,Bihar,6,Nautan,GEN,2,BAIDYANATH PRASAD MAHTO,Grand Alliance,34.82
Vidhan Sabha,2015,Bihar,7,Chanpatia,GEN,2,N. N. SAHI,Grand Alliance,38.74
Vidhan Sabha,2015,Bihar,8,Bettiah,GEN,1,MADAN MOHAN TIWARI,Grand Alliance,45.26
Vidhan Sabha,2015,Bihar,9,Sikta,GEN,1,KHURSHID URF FIROJ AHMAD,Grand Alliance,43.48
Vidhan Sabha,2015,Bihar,10,Raxaul,GEN,2,SURESH KUMAR,Grand Alliance,37.87
Vidhan Sabha,2015,Bihar,11,Sugauli,GEN,2,OM PRAKASH CHOUDHARY,Grand Alliance,35.13
Vidhan Sabha,2015,Bihar,12,Narkatia,GEN,1,SHAMIM AHMAD,Grand Alliance,45.96
Vidhan Sabha,2015,Bihar,13,Harsidhi,SC,1,RAJENDRA KUMAR,Grand Alliance,49.87
Vidhan Sabha,2015,Bihar,14,Govindganj,GEN,2,BRAJESH KUMAR,Grand Alliance,34.15
Vidhan Sabha,2015,Bihar,15,Kesaria,GEN,1,DR. RAJESH KUMAR,Grand Alliance,47.55
Vidhan Sabha,2015,Bihar,16,Kalyanpur,GEN,2,RAZIA KHATOON,Grand Alliance,28.46
Vidhan Sabha,2015,Bihar,17,Pipra,GEN,2,KRISHAN CHANDRA,Grand Alliance,35.72
Vidhan Sabha,2015,Bihar,18,Madhuban,GEN,2,SHIVAJEE RAI,Grand Alliance,32.27
Vidhan Sabha,2015,Bihar,19,Motihari,GEN,2,BINOD KUMAR SHRIVASTAVA,Grand Alliance,36.46
Vidhan Sabha,2015,Bihar,20,Chiraia,GEN,2,LAXMI NARAYAN PRASAD YADAV,Grand Alliance,39.48
Vidhan Sabha,2015,Bihar,21,Dhaka,GEN,1,FAISAL RAHMAN,Grand Alliance,46.97
Vidhan Sabha,2015,Bihar,22,Sheohar,GEN,1,SHARFUDDIN,Grand Alliance,29.71
Vidhan Sabha,2015,Bihar,23,Riga,GEN,1,AMIT KUMAR,Grand Alliance,48.97
Vidhan Sabha,2015,Bihar,24,Bathnaha,SC,2,SURENDRA RAM,Grand Alliance,35.86
Vidhan Sabha,2015,Bihar,25,Parihar,GEN,2,RAM CHANDRA PURVE,Grand Alliance,38.25
Vidhan Sabha,2015,Bihar,26,Sursand,GEN,1,SYED ABU DOJANA,Grand Alliance,33.73
Vidhan Sabha,2015,Bihar,27,Bajpatti,GEN,1,DR. RANJU GEETA,Grand Alliance,43.27
Vidhan Sabha,2015,Bihar,28,Sitamarhi,GEN,1,SUNIL KUMAR,Grand Alliance,49.62
Vidhan Sabha,2015,Bihar,29,Runnisaidpur,GEN,1,MANGITA DEVI,Grand Alliance,40.52
Vidhan Sabha,2015,Bihar,30,Belsand,GEN,1,SUNITA SINGH CHAUHAN,Grand Alliance,27.59
Vidhan Sabha,2015,Bihar,31,Harlakhi,GEN,2,MOHAMMAD SHABBIR,Grand Alliance,25.25
Vidhan Sabha,2015,Bihar,32,Benipatti,GEN,1,BHAWANA JHA,Grand Alliance,41.52
Vidhan Sabha,2015,Bihar,33,Khajauli,GEN,1,SITARAM YADAV,Grand Alliance,43.56
Vidhan Sabha,2015,Bihar,34,Babubarhi,GEN,1,KAPIL DEO KAMAT,Grand Alliance,37.67
Vidhan Sabha,2015,Bihar,35,Bisfi,GEN,1,FAIYAZ AHMAD,Grand Alliance,44.37
Vidhan Sabha,2015,Bihar,36,Madhubani,GEN,1,SAMIR KUMAR MAHASETH,Grand Alliance,45.27
Vidhan Sabha,2015,Bihar,37,Rajnagar,SC,2,RAMAWATAR PASWAN,Grand Alliance,42.2
Vidhan Sabha,2015,Bihar,38,Jhanjharpur,GEN,1,GULAB YADAV,Grand Alliance,40.73
Vidhan Sabha,2015,Bihar,39,Phulparas,GEN,1,GULJAR DEVI,Grand Alliance,40.6
Vidhan Sabha,2015,Bihar,40,Laukaha,GEN,1,LAKSHMESHWAR ROY,Grand Alliance,43.64
Vidhan Sabha,2015,Bihar,41,Nirmali,GEN,1,ANIRUDH PRASAD YADAV,Grand Alliance,47.54
Vidhan Sabha,2015,Bihar,42,Pipra(Supaul),GEN,1,YADUBANSH KUMAR YADAV,Grand Alliance,54.01
Vidhan Sabha,2015,Bihar,43,Supaul,GEN,1,BIJENDRA PRASAD YADAV,Grand Alliance,54.69
Vidhan Sabha,2015,Bihar,44,Triveniganj,SC,1,VEENA BHARTI,Grand Alliance,57.53
Vidhan Sabha,2015,Bihar,45,Chhatapur,GEN,2,JAHUR ALAM,Grand Alliance,38.35
Vidhan Sabha,2015,Bihar,46,Narpatganj,GEN,1,ANIL KUMAR YADAV,Grand Alliance,51.32
Vidhan Sabha,2015,Bihar,47,Raniganj,SC,1,ACHMIT RISHIDEV,Grand Alliance,48.15
Vidhan Sabha,2015,Bihar,48,Forbesganj,GEN,2,KRITYANAND BISWAS,Grand Alliance,32.64
Vidhan Sabha,2015,Bihar,49,Araria,GEN,1,AVIDUR RAHMAN,Grand Alliance,52.77
Vidhan Sabha,2015,Bihar,50,Jokihat,GEN,1,SARFRAZ ALAM,Grand Alliance,58.6
Vidhan Sabha,2015,Bihar,51,Sikti,GEN,2,SHATRUGHAN PRASAD SUMAN,Grand Alliance,41.59
Vidhan Sabha,2015,Bihar,52,Bahadurganj,GEN,1,M.D. TAUSEEF ALAM,Grand Alliance,33.56
Vidhan Sabha,2015,Bihar,53,Thakurganj,GEN,1,NAUSHAD ALAM (TATPAUWA),Grand Alliance,41.23
Vidhan Sabha,2015,Bihar,54,Kishanganj,GEN,1,DR MOHAMMAD JAWAID,Grand Alliance,38.83
Vidhan Sabha,2015,Bihar,55,Kochadhaman,GEN,1,MUJAHID ALAM,Grand Alliance,39.42
Vidhan Sabha,2015,Bihar,56,Amour,GEN,1,ABDUL JALIL MASTAN,Grand Alliance,59.16
Vidhan Sabha,2015,Bihar,57,Baisi,GEN,1,ABDUS SUBHAN,Grand Alliance,41.55
Vidhan Sabha,2015,Bihar,58,Kasba,GEN,1,MD. AFAQUE ALAM,Grand Alliance,44.74
Vidhan Sabha,2015,Bihar,59,Banmankhi,SC,2,SANJIV KUMAR PASWAN,Grand Alliance,35.39
Vidhan Sabha,2015,Bihar,60,Rupauli,GEN,1,BIMA BHARTI,Grand Alliance,28.13
Vidhan Sabha,2015,Bihar,61,Dhamdaha,GEN,1,LESHI SINGH,Grand Alliance,40.01
Vidhan Sabha,2015,Bihar,62,Purnia,GEN,2,INDU SINHA,Grand Alliance,31.7
Vidhan Sabha,2015,Bihar,63,Katihar,GEN,2,BIJAY SINGH,Grand Alliance,33.29
Vidhan Sabha,2015,Bihar,64,Kadwa,GEN,1,SHAKEEL AHMAD KHAN,Grand Alliance,35.45
Vidhan Sabha,2015,Bihar,65,Balrampur,GEN,3,DULAL CHANDRA GOSWAMI,Grand Alliance,20.34
Vidhan Sabha,2015,Bihar,66,Pranpur,GEN,3,TAUQUIR ALAM,Grand Alliance,22.1
Vidhan Sabha,2015,Bihar,67,Manihari,ST,1,MANOHAR PRASAD SINGH,Grand Alliance,38.69
Vidhan Sabha,2015,Bihar,68,Barari,GEN,1,NEERAJ KUMAR,Grand Alliance,43.14
Vidhan Sabha,2015,Bihar,69,Korha,SC,1,PUNAM KUMARI ALIAS PUNAM PASWAN,Grand Alliance,45.53
Vidhan Sabha,2015,Bihar,70,Alamnagar,GEN,1,NARENDRA NARAYAN YADAV,Grand Alliance,45.74
Vidhan Sabha,2015,Bihar,71,Bihariganj,GEN,1,NIRANJAN KUMAR MEHTA,Grand Alliance,45.26
Vidhan Sabha,2015,Bihar,72,Singheshwar,SC,1,RAMESH RISHIDEV,Grand Alliance,49.45
Vidhan Sabha,2015,Bihar,73,Madhepura,GEN,1,CHANDRA SHEKHAR,Grand Alliance,49.52
Vidhan Sabha,2015,Bihar,74,Sonbarsha,SC,1,RATNESH SADA,Grand Alliance,59.66
Vidhan Sabha,2015,Bihar,75,Saharsa,GEN,1,ARUN KUMAR,Grand Alliance,53.03
Vidhan Sabha,2015,Bihar,76,Simri Bakhtiarpur,GEN,1,DINESH CHANDRA YADAV,Grand Alliance,47.52
Vidhan Sabha,2015,Bihar,77,Mahishi,GEN,1,DR. ABDUL GHAFOOR,Grand Alliance,38.77
Vidhan Sabha,2015,Bihar,78,Kusheshwar Asthan,SC,1,SHASHI BHUSAN HAZARI,Grand Alliance,43.07
Vidhan Sabha,2015,Bihar,79,Gaura Bauram,GEN,1,MADAN SAHNI,Grand Alliance,42.7
Vidhan Sabha,2015,Bihar,80,Benipur,GEN,1,SUNIL CHOUDHARY,Grand Alliance,46.88
Vidhan Sabha,2015,Bihar,81,Alinagar,GEN,1,ABDUL BARI SIDDIQUI,Grand Alliance,48.29
Vidhan Sabha,2015,Bihar,82,Darbhanga Rural,GEN,1,LALIT KUMAR YADAV,Grand Alliance,51.38
Vidhan Sabha,2015,Bihar,83,Darbhanga,GEN,2,OM PRAKASH KHERIA,Grand Alliance,43.09
Vidhan Sabha,2015,Bihar,84,Hayaghat,GEN,1,AMAR NATH GAMI,Grand Alliance,53.32
Vidhan Sabha,2015,Bihar,85,Bahadurpur,GEN,1,BHOLA YADAV,Grand Alliance,45.95
Vidhan Sabha,2015,Bihar,86,Keoti,GEN,1,FARAZ FATMI,Grand Alliance,47.14
Vidhan Sabha,2015,Bihar,87,Jale,GEN,2,RISHI MISHRA,Grand Alliance,38.59
Vidhan Sabha,2015,Bihar,88,Gaighat,GEN,1,MAHESHWAR PRASAD YADAV,Grand Alliance,40.8
Vidhan Sabha,2015,Bihar,89,Aurai,GEN,1,SURENDRA KUMAR,Grand Alliance,43.44
Vidhan Sabha,2015,Bihar,90,Minapur,GEN,1,RAJEEV KUMAR URF MUNNA YADAV,Grand Alliance,49.6
Vidhan Sabha,2015,Bihar,91,Bochaha,SC,2,RAMAI RAM,Grand Alliance,26.18
Vidhan Sabha,2015,Bihar,92,Sakra,SC,1,LAL BABU RAM,Grand Alliance,47.92
Vidhan Sabha,2015,Bihar,93,Kurhani,GEN,2,MANOJ KUMAR SINGH,Grand Alliance,35.64
Vidhan Sabha,2015,Bihar,94,Muzaffarpur,GEN,2,BIJENDRA CHAUDHARY,Grand Alliance,37.98
Vidhan Sabha,2015,Bihar,95,Kanti,GEN,3,MD. PARWEZ ALAM,Grand Alliance,26.22
Vidhan Sabha,2015,Bihar,96,Baruraj,GEN,1,NAND KUMAR RAI,Grand Alliance,43.62
Vidhan Sabha,2015,Bihar,97,Paroo,GEN,2,SHANKAR PRASAD,Grand Alliance,40.1
Vidhan Sabha,2015,Bihar,98,Sahebganj,GEN,1,RAMVICHAR RAI,Grand Alliance,43.65
Vidhan Sabha,2015,Bihar,99,Baikunthpur,GEN,2,MANJEET KUMAR SINGH,Grand Alliance,26.29
Vidhan Sabha,2015,Bihar,100,Barauli,GEN,1,MD NEMATULLAH,Grand Alliance,40.45
Vidhan Sabha,2015,Bihar,101,Gopalganj,GEN,2,"REYAJUL HAQUE ALIAS "" RAJU""",Grand Alliance,42.55
Vidhan Sabha,2015,Bihar,102,Kuchaikote,GEN,1,AMRENDRA KUMAR PANDEY,Grand Alliance,43.28
Vidhan Sabha,2015,Bihar,103,Bhorey,SC,1,ANIL KUMAR,Grand Alliance,44.32
Vidhan Sabha,2015,Bihar,104,Hathua,GEN,1,RAMSEWAK SINGH,Grand Alliance,36.52
Vidhan Sabha,2015,Bihar,105,Siwan,GEN,2,BABLU PRASAD,Grand Alliance,32.78
Vidhan Sabha,2015,Bihar,106,Ziradei,GEN,1,RAMESH SINGH KUSHWAHA,Grand Alliance,29.99
Vidhan Sabha,2015,Bihar,107,Darauli,SC,3,PARMATMA RAM,Grand Alliance,25.27
Vidhan Sabha,2015,Bihar,108,Raghunathpur,GEN,1,HARISHANKAR YADAV,Grand Alliance,41.98
Vidhan Sabha,2015,Bihar,109,Daraundha,GEN,1,KAVITA SINGH,Grand Alliance,43.67
Vidhan Sabha,2015,Bihar,110,Barharia,GEN,1,SHYAM BAHADUR SINGH,Grand Alliance,41.93
Vidhan Sabha,2015,Bihar,111,Goriakothi,GEN,1,SATYADEO PRASAD SINGH,Grand Alliance,42.75
Vidhan Sabha,2015,Bihar,112,Maharajganj,GEN,1,HEM NARAYAN SAH,Grand Alliance,45.51
Vidhan Sabha,2015,Bihar,113,Ekma,GEN,1,MANORANJAN SINGH,Grand Alliance,35.32
Vidhan Sabha,2015,Bihar,114,Manjhi,GEN,1,VIJAY SHANKER DUBEY,Grand Alliance,20.57
