Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Vidhan Sabha,2015,Bihar,1,Valmiki Nagar,GEN,3,SURENDRA PRASAD,NDA,17.78
Vidhan Sabha,2015,Bihar,2,Ramnagar,SC,1,BHAGIRATHI DEVI,NDA,48.05
Vidhan Sabha,2015,Bihar,3,Narkatiaganj,GEN,2,RENU DEVI,NDA,26.8
Vidhan Sabha,2015,Bihar,4,Bagaha,GEN,1,RAGHAW SHARAN PANDEY,NDA,44.45
Vidhan Sabha,2015,Bihar,5,Lauriya,GEN,1,VINAY BIHARI,NDA,40.47
Vidhan Sabha,2015,Bihar,6,Nautan,GEN,1,NARAYAN PRASAD,NDA,44.35
Vidhan Sabha,2015,Bihar,7,Chanpatia,GEN,1,PRAKASH RAI,NDA,39.04
Vidhan Sabha,2015,Bihar,8,Bettiah,GEN,2,RENU DEVI,NDA,43.69
Vidhan Sabha,2015,Bihar,9,Sikta,GEN,2,DILIP VARMA,NDA,41.71
Vidhan Sabha,2015,Bihar,10,Raxaul,GEN,1,AJAY KUMAR SINGH,NDA,39.81
Vidhan Sabha,2015,Bihar,11,Sugauli,GEN,1,RAMCHANDRA SAHNI,NDA,40.12
Vidhan Sabha,2015,Bihar,12,Narkatia,GEN,2,SANT SINGH KUSHWAHA,NDA,33.73
Vidhan Sabha,2015,Bihar,13,Harsidhi,SC,2,KRISHNANDAN PASWAN,NDA,43.07
Vidhan Sabha,2015,Bihar,14,Govindganj,GEN,1,RAJU TIWARI,NDA,54.54
Vidhan Sabha,2015,Bihar,15,Kesaria,GEN,2,RAJENDRA PRASAD GUPTA,NDA,35.49
Vidhan Sabha,2015,Bihar,16,Kalyanpur,GEN,1,SACHINDRA PRASAD SINGH,NDA,36.94
Vidhan Sabha,2015,Bihar,17,Pipra,GEN,1,SHYAMBABU PRASAD YADAV,NDA,38
Vidhan Sabha,2015,Bihar,18,Madhuban,GEN,1,RANA RANDHIR,NDA,43.94
Vidhan Sabha,2015,Bihar,19,Motihari,GEN,1,PRAMOD KUMAR,NDA,47.45
Vidhan Sabha,2015,Bihar,20,Chiraia,GEN,1,LAL BABU PRASAD GUPTA,NDA,42.43
Vidhan Sabha,2015,Bihar,21,Dhaka,GEN,2,PAWAN KUMAR JAISWAL,NDA,36.66
Vidhan Sabha,2015,Bihar,22,Sheohar,GEN,2,LABHALI ANAND,NDA,29.4
Vidhan Sabha,2015,Bihar,23,Riga,GEN,2,MOTI LAL PRASAD,NDA,34.84
Vidhan Sabha,2015,Bihar,24,Bathnaha,SC,1,DINKAR RAM,NDA,49.11
Vidhan Sabha,2015,Bihar,25,Parihar,GEN,1,GAYTRI DEVI,NDA,40.72
Vidhan Sabha,2015,Bihar,26,Sursand,GEN,4,SHAHID ALI KHAN,NDA,8.9
Vidhan Sabha,2015,Bihar,27,Bajpatti,GEN,2,REKHA KUMARI,NDA,32.36
Vidhan Sabha,2015,Bihar,28,Sitamarhi,GEN,2,SUNIL KUMAR ALIAS PINTU,NDA,40.66
Vidhan Sabha,2015,Bihar,29,Runnisaidpur,GEN,2,PANKAJ KUMAR MISHRA,NDA,30.25
Vidhan Sabha,2015,Bihar,30,Belsand,GEN,2,MD. NASIR AHAMAD,NDA,23.03
Vidhan Sabha,2015,Bihar,31,Harlakhi,GEN,1,BASANT KUMAR,NDA,27.93
Vidhan Sabha,2015,Bihar,32,Benipatti,GEN,2,VINOD NARAIN JHA,NDA,38.01
Vidhan Sabha,2015,Bihar,33,Khajauli,GEN,2,ARUN SHANKAR PRASAD,NDA,37.04
Vidhan Sabha,2015,Bihar,34,Babubarhi,GEN,2,BINOD KUMAR SINGH,NDA,25.25
Vidhan Sabha,2015,Bihar,35,Bisfi,GEN,2,MANOJ KUMAR YADAV (BHOJ PANDAUL),NDA,22.29
Vidhan Sabha,2015,Bihar,36,Madhubani,GEN,2,RAMDEO MAHTO,NDA,40.97
Vidhan Sabha,2015,Bihar,37,Rajnagar,SC,1,RAM PRIT PASWAN,NDA,46.23
Vidhan Sabha,2015,Bihar,38,Jhanjharpur,GEN,2,NITISH MISHRA,NDA,40.2
Vidhan Sabha,2015,Bihar,39,Phulparas,GEN,2,RAM SUNDAR YADAV,NDA,32.14
Vidhan Sabha,2015,Bihar,40,Laukaha,GEN,2,PRAMOD KUMAR PRIYEDARSHI,NDA,30.64
Vidhan Sabha,2015,Bihar,41,Nirmali,GEN,2,RAM KUMAR ROY,NDA,33.24
Vidhan Sabha,2015,Bihar,42,Pipra(Supaul),GEN,2,VISHWAMOHAN KUMAR,NDA,31.15
Vidhan Sabha,2015,Bihar,43,Supaul,GEN,2,KISHOR KUMAR,NDA,29.84
Vidhan Sabha,2015,Bihar,44,Triveniganj,SC,2,ANANT KUMAR BHARTI,NDA,23.99
Vidhan Sabha,2015,Bihar,45,Chhatapur,GEN,1,NIRAJ KUMAR SINGH,NDA,43.71
Vidhan Sabha,2015,Bihar,46,Narpatganj,GEN,2,JANARDAN YADAV,NDA,36.57
Vidhan Sabha,2015,Bihar,47,Raniganj,SC,2,RAMJI DAS RISHIDEV,NDA,38.9
Vidhan Sabha,2015,Bihar,48,Forbesganj,GEN,1,VIDYA SAGAR KESHRI,NDA,46.21
Vidhan Sabha,2015,Bihar,49,Araria,GEN,2,AJAY KUMAR JHA,NDA,29.97
Vidhan Sabha,2015,Bihar,50,Jokihat,GEN,5,BIBI ZEBA KHATUN,NDA,2.65
Vidhan Sabha,2015,Bihar,51,Sikti,GEN,1,VIJAY KUMAR MANDAL,NDA,46.48
Vidhan Sabha,2015,Bihar,52,Bahadurganj,GEN,2,AWADH BIHARI SINGH,NDA,24.82
Vidhan Sabha,2015,Bihar,53,Thakurganj,GEN,2,GOPAL KUMAR AGRAWAL,NDA,36.74
Vidhan Sabha,2015,Bihar,54,Kishanganj,GEN,2,SWEETY SINGH,NDA,33.8
Vidhan Sabha,2015,Bihar,55,Kochadhaman,GEN,3,ABDUR RAHMAN,NDA,24.59
Vidhan Sabha,2015,Bihar,56,Amour,GEN,2,SABA ZAFAR,NDA,28.44
Vidhan Sabha,2015,Bihar,57,Baisi,GEN,5,AZIZUR RAHMAN,NDA,5.93
Vidhan Sabha,2015,Bihar,58,Kasba,GEN,2,PRADIP KUMAR DAS,NDA,43.75
Vidhan Sabha,2015,Bihar,59,Banmankhi,SC,1,KRISHNA KUMAR RISHI,NDA,35.82
Vidhan Sabha,2015,Bihar,60,Rupauli,GEN,2,PREM PRAKASH MANDAL,NDA,22.79
Vidhan Sabha,2015,Bihar,61,Dhamdaha,GEN,2,SHIV SHANKAR THAKUR ALLIAS SHANKAR AZAD,NDA,24.19
Vidhan Sabha,2015,Bihar,62,Purnia,GEN,1,VIJAY KUMAR KHEMKA,NDA,49.26
Vidhan Sabha,2015,Bihar,63,Katihar,GEN,1,TARKISHORE PRASAD,NDA,42.98
Vidhan Sabha,2015,Bihar,64,Kadwa,GEN,2,CHANDER BHUSHAN THAKUR,NDA,31.79
Vidhan Sabha,2015,Bihar,65,Balrampur,GEN,2,BARUN KUMAR JHA,NDA,21.34
Vidhan Sabha,2015,Bihar,66,Pranpur,GEN,1,BINOD KUMAR SINGH,NDA,26.71
Vidhan Sabha,2015,Bihar,67,Manihari,ST,2,ANIL KUMAR ORAON,NDA,30.12
Vidhan Sabha,2015,Bihar,68,Barari,GEN,2,BIBHASH CHANDRA CHOUDHARY,NDA,34.45
Vidhan Sabha,2015,Bihar,69,Korha,SC,2,MAHESH PASWAN,NDA,42.38
Vidhan Sabha,2015,Bihar,70,Alamnagar,GEN,2,CHANDAN SINGH,NDA,22.93
Vidhan Sabha,2015,Bihar,71,Bihariganj,GEN,2,RAVINDRA CHARAN YADAV,NDA,28.36
Vidhan Sabha,2015,Bihar,72,Singheshwar,SC,2,MANJU DEVI,NDA,19.57
Vidhan Sabha,2015,Bihar,73,Madhepura,GEN,2,"VIJAY KUMAR "" BIMAL""",NDA,29.03
Vidhan Sabha,2015,Bihar,74,Sonbarsha,SC,2,SARITA DEVI,NDA,23.53
Vidhan Sabha,2015,Bihar,75,Saharsa,GEN,2,ALOK RANJAN,NDA,32.82
Vidhan Sabha,2015,Bihar,76,Simri Bakhtiarpur,GEN,2,YUSUF SALAHUDDIN,NDA,24.64
Vidhan Sabha,2015,Bihar,77,Mahishi,GEN,2,CHANDAN KUMAR SAH,NDA,20.81
Vidhan Sabha,2015,Bihar,78,Kusheshwar Asthan,SC,2,DHANANJAY KUMAR ALIAS MRINAL PASWAN,NDA,25.99
Vidhan Sabha,2015,Bihar,79,Gaura Bauram,GEN,2,VINOD SAHNI,NDA,31.02
Vidhan Sabha,2015,Bihar,80,Benipur,GEN,2,GOPAL JEE THAKUR,NDA,29.04
Vidhan Sabha,2015,Bihar,81,Alinagar,GEN,2,MISHRI LAL YADAV,NDA,38.66
Vidhan Sabha,2015,Bihar,82,Darbhanga Rural,GEN,2,NAUSHAD AHMAD,NDA,26.26
Vidhan Sabha,2015,Bihar,83,Darbhanga,GEN,1,SANJAY SARAOGI,NDA,47.66
Vidhan Sabha,2015,Bihar,84,Hayaghat,GEN,2,RAMESH CHOUDHARY,NDA,26.34
Vidhan Sabha,2015,Bihar,85,Bahadurpur,GEN,2,HARI SAHANI,NDA,35.04
Vidhan Sabha,2015,Bihar,86,Keoti,GEN,2,ASHOK KUMAR YADAV,NDA,41.76
Vidhan Sabha,2015,Bihar,87,Jale,GEN,1,JIBESH KUMAR,NDA,41.69
Vidhan Sabha,2015,Bihar,88,Gaighat,GEN,2,VEENA DEVI,NDA,38.68
Vidhan Sabha,2015,Bihar,89,Aurai,GEN,2,RAM SURAT RAY,NDA,36.42
Vidhan Sabha,2015,Bihar,90,Minapur,GEN,2,AJAY KUMAR,NDA,34.9
Vidhan Sabha,2015,Bihar,91,Bochaha,SC,4,ANIL KUMAR,NDA,4.43
Vidhan Sabha,2015,Bihar,92,Sakra,SC,2,ARJUN RAM,NDA,39.61
Vidhan Sabha,2015,Bihar,93,Kurhani,GEN,1,KEDAR PRASAD GUPTA,NDA,42.33
Vidhan Sabha,2015,Bihar,94,Muzaffarpur,GEN,1,SURESH KUMAR SHARMA,NDA,55.13
Vidhan Sabha,2015,Bihar,95,Kanti,GEN,2,AJIT KUMAR,NDA,27.21
Vidhan Sabha,2015,Bihar,96,Baruraj,GEN,2,ARUN KUMAR SINGH,NDA,40.47
Vidhan Sabha,2015,Bihar,97,Paroo,GEN,1,ASHOK KUMAR SINGH,NDA,48.21
Vidhan Sabha,2015,Bihar,98,Sahebganj,GEN,2,RAJU KUMAR SINGH,NDA,37.06
Vidhan Sabha,2015,Bihar,99,Baikunthpur,GEN,1,MITHILESH TIWARI,NDA,35.11
Vidhan Sabha,2015,Bihar,100,Barauli,GEN,2,RAMPRAVESH RAI,NDA,40.12
Vidhan Sabha,2015,Bihar,101,Gopalganj,GEN,1,SUBASH SINGH,NDA,45.49
Vidhan Sabha,2015,Bihar,102,Kuchaikote,GEN,2,KALI PRASAD PANDEY,NDA,41.14
Vidhan Sabha,2015,Bihar,103,Bhorey,SC,2,INDRADEV MANJHI,NDA,35.46
Vidhan Sabha,2015,Bihar,104,Hathua,GEN,2,MAHACHANDRA PD. SINGH,NDA,22.03
Vidhan Sabha,2015,Bihar,105,Siwan,GEN,1,VYAS DEO PRASAD,NDA,35.02
Vidhan Sabha,2015,Bihar,106,Ziradei,GEN,2,ASHA DEVI,NDA,25.51
Vidhan Sabha,2015,Bihar,107,Darauli,SC,2,RAMAYAN MANJHI,NDA,27.07
Vidhan Sabha,2015,Bihar,108,Raghunathpur,GEN,2,MANOJ KUMAR SINGH,NDA,34.67
Vidhan Sabha,2015,Bihar,109,Daraundha,GEN,2,JITENDRA SWAMI,NDA,34.95
Vidhan Sabha,2015,Bihar,110,Barharia,GEN,2,BACHHA PANDAY,NDA,32.55
Vidhan Sabha,2015,Bihar,111,Goriakothi,GEN,2,DEVESH KANT SINGH,NDA,38.14
Vidhan Sabha,2015,Bihar,112,Maharajganj,GEN,2,KUMAR DEO RANJAN SINGH,NDA,32.02
Vidhan Sabha,2015,Bihar,113,Ekma,GEN,2,KAMESHWAR KUMAR SINGH,NDA,29.53
Vidhan Sabha,2015,Bihar,114,Manjhi,GEN,2,KESHAV SINGH,NDA,14.4
Vidhan Sabha,2015,Bihar,115,Baniapur,GEN,2,TARKESHWAR SINGH,NDA,35.4
Vidhan Sabha,2015,Bihar,116,Taraiya,GEN,2,JANAK SINGH,NDA,33.7
Vidhan Sabha,2015,Bihar,117,Marhaura,GEN,2,LAL BABU RAY,NDA,35.68
Vidhan Sabha,2015,Bihar,118,Chapra,GEN,1,DR. C.N. GUPTA,NDA,45.27
Vidhan Sabha,2015,Bihar,119,Garkha,SC,2,GYANCHAND MANJHI,NDA,31.3
Vidhan Sabha,2015,Bihar,120,Amnour,GEN,1,SHATRUDHAN TIWARY,NDA,29.85
Vidhan Sabha,2015,Bihar,121,Parsa,GEN,2,CHHOTELAL RAI,NDA,25.26
Vidhan Sabha,2015,Bihar,122,Sonepur,GEN,2,VINAY KUMAR SINGH,NDA,31.67
Vidhan Sabha,2015,Bihar,123,Hajipur,GEN,1,AWADHESH SINGH,NDA,48.62
Vidhan Sabha,2015,Bihar,124,Lalganj,GEN,1,RAJ KUMAR SAH,NDA,45.91
Vidhan Sabha,2015,Bihar,125,Vaishali,GEN,2,BRISHIN PATEL,NDA,28.96
Vidhan Sabha,2015,Bihar,126,Mahua,GEN,2,RAVINDRA RAY,NDA,25.11
Vidhan Sabha,2015,Bihar,127,Raja Pakar,SC,2,RAM NATH RAMAN,NDA,34.2
Vidhan Sabha,2015,Bihar,128,Raghopur,GEN,2,SATISH KUMAR,NDA,36.9
Vidhan Sabha,2015,Bihar,129,Mahnar,GEN,2,DR. ACHUTA NAND,NDA,29.27
Vidhan Sabha,2015,Bihar,130,Patepur,SC,2,MAHENDRA BAITHA,NDA,37.57
Vidhan Sabha,2015,Bihar,131,Kalyanpur(SC),SC,2,PRINCE RAJ,NDA,28.03
Vidhan Sabha,2015,Bihar,132,Warisnagar,GEN,2,CHANDRASHEKHAR RAI,NDA,20.12
Vidhan Sabha,2015,Bihar,133,Samastipur,GEN,2,RENU KUMARI,NDA,34.01
Vidhan Sabha,2015,Bihar,134,Ujiarpur,GEN,2,KUMAR ANANT,NDA,23.23
Vidhan Sabha,2015,Bihar,135,Morwa,GEN,2,SURESH RAY,NDA,29.16
Vidhan Sabha,2015,Bihar,136,Sarairanjan,GEN,2,RANJEET NIRGUNI,NDA,30.87
Vidhan Sabha,2015,Bihar,137,Mohiuddinnagar,GEN,3,SATYENDRA NARAYAN SINGH,NDA,14.85
