Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Vidhan Sabha,2015,Bihar,1,Valmiki Nagar,GEN,62.9,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Independent
Vidhan Sabha,2015,Bihar,2,Ramnagar,SC,65.47,BHAGIRATHI DEVI,BJP
Vidhan Sabha,2015,Bihar,3,Narkatiaganj,GEN,63.32,VINAY VARMA,Indian National Congress
Vidhan Sabha,2015,Bihar,4,Bagaha,GEN,61.78,RAGHAW SHARAN PANDEY,BJP
Vidhan Sabha,2015,Bihar,5,Lauriya,GEN,62.93,VINAY BIHARI,BJP
Vidhan Sabha,2015,Bihar,6,Nautan,GEN,61.94,NARAYAN PRASAD,BJP
Vidhan Sabha,2015,Bihar,7,Chanpatia,GEN,64.02,PRAKASH RAI,BJP
Vidhan Sabha,2015,Bihar,8,Bettiah,GEN,59.43,MADAN MOHAN TIWARI,Indian National Congress
Vidhan Sabha,2015,Bihar,9,Sikta,GEN,66,KHURSHID URF FIROJ AHMAD,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,10,Raxaul,GEN,63.1,AJAY KUMAR SINGH,BJP
Vidhan Sabha,2015,Bihar,11,Sugauli,GEN,60.14,RAMCHANDRA SAHNI,BJP
Vidhan Sabha,2015,Bihar,12,Narkatia,GEN,63.77,SHAMIM AHMAD,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,13,Harsidhi,SC,64.35,RAJENDRA KUMAR,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,14,Govindganj,GEN,56.44,RAJU TIWARI,Lok Jan Shakti Party
Vidhan Sabha,2015,Bihar,15,Kesaria,GEN,55.02,DR. RAJESH KUMAR,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,16,Kalyanpur,GEN,59.8,SACHINDRA PRASAD SINGH,BJP
Vidhan Sabha,2015,Bihar,17,Pipra,GEN,57.73,SHYAMBABU PRASAD YADAV,BJP
Vidhan Sabha,2015,Bihar,18,Madhuban,GEN,59.46,RANA RANDHIR,BJP
Vidhan Sabha,2015,Bihar,19,Motihari,GEN,57.86,PRAMOD KUMAR,BJP
Vidhan Sabha,2015,Bihar,20,Chiraia,GEN,55.47,LAL BABU PRASAD GUPTA,BJP
Vidhan Sabha,2015,Bihar,21,Dhaka,GEN,65.33,FAISAL RAHMAN,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,22,Sheohar,GEN,54.87,SHARFUDDIN,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,23,Riga,GEN,57.33,AMIT KUMAR,Indian National Congress
Vidhan Sabha,2015,Bihar,24,Bathnaha,SC,55.16,DINKAR RAM,BJP
Vidhan Sabha,2015,Bihar,25,Parihar,GEN,57.47,GAYTRI DEVI,BJP
Vidhan Sabha,2015,Bihar,26,Sursand,GEN,54.74,SYED ABU DOJANA,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,27,Bajpatti,GEN,54.72,DR. RANJU GEETA,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,28,Sitamarhi,GEN,63.5,SUNIL KUMAR,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,29,Runnisaidpur,GEN,53.65,MANGITA DEVI,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,30,Belsand,GEN,52.07,SUNITA SINGH CHAUHAN,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,31,Harlakhi,GEN,56.14,BASANT KUMAR,Rashtriya Lok Samta Party
Vidhan Sabha,2015,Bihar,32,Benipatti,GEN,49.72,BHAWANA JHA,Indian National Congress
Vidhan Sabha,2015,Bihar,33,Khajauli,GEN,59.17,SITARAM YADAV,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,34,Babubarhi,GEN,57.95,KAPIL DEO KAMAT,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,35,Bisfi,GEN,53,FAIYAZ AHMAD,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,36,Madhubani,GEN,53.04,SAMIR KUMAR MAHASETH,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,37,Rajnagar,SC,52.49,RAM PRIT PASWAN,BJP
Vidhan Sabha,2015,Bihar,38,Jhanjharpur,GEN,54.38,GULAB YADAV,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,39,Phulparas,GEN,52.67,GULJAR DEVI,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,40,Laukaha,GEN,59.71,LAKSHMESHWAR ROY,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,41,Nirmali,GEN,62.15,ANIRUDH PRASAD YADAV,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,42,Pipra(Supaul),GEN,61.25,YADUBANSH KUMAR YADAV,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,43,Supaul,GEN,57.42,BIJENDRA PRASAD YADAV,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,44,Triveniganj,SC,60.78,VEENA BHARTI,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,45,Chhatapur,GEN,65.78,NIRAJ KUMAR SINGH,BJP
Vidhan Sabha,2015,Bihar,46,Narpatganj,GEN,62.78,ANIL KUMAR YADAV,Rashtriya Janata Dal
Vidhan Sabha,2015,Bihar,47,Raniganj,SC,57,ACHMIT RISHIDEV,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,48,Forbesganj,GEN,62.13,VIDYA SAGAR KESHRI,BJP
Vidhan Sabha,2015,Bihar,49,Araria,GEN,63.38,AVIDUR RAHMAN,Indian National Congress
Vidhan Sabha,2015,Bihar,50,Jokihat,GEN,61.54,SARFRAZ ALAM,Janata Dal  (United)
Vidhan Sabha,2015,Bihar,51,Sikti,GEN,64.21,VIJAY KUMAR MANDAL,BJP
