"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18",163,"AMARPUR","GEN",25003,"MAHESHWARI PRASAD KAPRI","JS",6203,2,0.248090229172499
"31",213,"ARRAH","GEN",33593,"NARAIN DWIVEDI","JS",1065,6,0.0317030333700473
"59",244,"AURANGABAD","GEN",24262,"NAGENDRA SINGH","JS",968,4,0.0398977825405985
"63",133,"AZAMNAGAR","ST",20303,"LAKHAN MARANDI","JS",2084,3,0.10264492932079
"121",185,"BALIA","GEN",36069,"JAIDEO PRASAD","JS",995,9,0.0275860156921456
"143",135,"BARARI","GEN",32641,"BISHWANATH BHAGAT","JS",956,8,0.0292883183725989
"174",37,"BARHARIA","GEN",30046,"LALIT KUMAR GIRI","JS",1331,3,0.0442987419290421
"200",186,"BEGUSARAI","GEN",42370,"CHANDRA CHOOR DEO","JS",2796,3,0.0659900873259382
"239",8,"BETTIAH","GEN",22852,"MADAN LAL SINGHANIA","JS",5085,2,0.222518816733765
"250",159,"BHAGALPUR","GEN",35416,"SITARAM KISHOREPURIA","JS",8160,2,0.230404337022815
"253",158,"BHAGALPUR MUFFASIL","SC",22095,"NARSINGH PRASAD MANDAL","JS",845,4,0.0382439465942521
"265",194,"BIHAR NORTH","GEN",42055,"BIRENDRA PRASAD","JS",5721,3,0.136036143145880
"277",195,"BIHAR SOUTH","GEN",33093,"RIT LAL VERMA","JS",1824,3,0.0551173964282477
"283",161,"BIHPUR","GEN",41829,"YUDHISTHIR MANDAL","JS",11652,2,0.278562719644266
"342",198,"CHANDI","GEN",34566,"BHAGWAT SINGH","JS",1038,7,0.0300295087658393
"375",44,"CHAPRA","GEN",42777,"RAGHOJEE","JS",5308,3,0.124085372980807
"403",224,"CHENARI","SC",48068,"SHEONANDAN RAM","JS",2146,5,0.0446450861279854
"411",157,"COLGONG","GEN",38936,"UMANATH MUKHERJEE","JS",1119,6,0.0287394698993220
"425",31,"DARAULI","GEN",31962,"BIPIN BIHARI VERMA","JS",1569,6,0.049089543833302
"434",93,"DARBHANGA CENTRAL","GEN",45697,"SURENDRA SUMAN JHA","JS",10548,2,0.230824780620172
"446",241,"DAUDNAGAR","GEN",30948,"BHOLANATH","JS",876,6,0.0283055447848003
"456",230,"DAWATH","GEN",38858,"NANDKESHWAR SINGH","JS",688,6,0.0177054917906223
"463",226,"DEHRI","GEN",49477,"SHYAM PRASAD SINGH","JS",1373,5,0.0277502678012006
"466",149,"DEOGHAR","GEN",31068,"BRAJENDRA NATH SAHAI","JS",1548,4,0.0498261877172654
"487",277,"DHANBAD","GEN",34890,"GAUTAM KUMAR","JS",2680,4,0.0768128403554027
"529",124,"FORBESGANJ","GEN",43175,"BISHWANATH AGRAWAL","JS",2976,4,0.0689287782281413
"547",251,"GAYA","GEN",37766,"RAI ARJUN KUMAR SINHA","JS",3398,3,0.0899751098872001
"571",238,"GHOSI","GEN",43673,"PREMANAND PANDEY","JS",839,6,0.0192109541364230
"577",262,"GIRIDIH","GEN",31672,"BHUBNESHWAR PRASAD BARNWAL","JS",1051,6,0.0331838848193988
"634",199,"HILSA","GEN",44848,"JAGDISH PRASAD","JS",23526,1,0.524571887263646
"653",197,"ISLAMPUR","GEN",39986,"RAJENDRA PRASAD","JS",2634,3,0.0658730555694493
"678",179,"JAMALPUR","GEN",34717,"SUKHDEO TANTI","JS",8629,2,0.248552582308379
"697",261,"JAMUA","GEN",19345,"NANDAN PRASAD MISHRA","JS",543,5,0.0280692685448436
"720",85,"JHANJHARPUR","GEN",32245,"RAJENDRA JHA","JS",4096,3,0.127027446115677
"725",280,"JORAPOKHAR","GEN",39974,"KAMESHWAR PRASAD","JS",1116,5,0.027918146795417
"742",59,"KANTI","GEN",30150,"JAGDISH PRASAD SAHU","JS",2136,4,0.0708457711442786
"750",134,"KATIHAR","GEN",34723,"JAGBANDHU ADHIKARI","JS",6484,2,0.186735017135616
"780",184,"KHAGARIA","GEN",46603,"RAMASHISH PRASAD","JS",1477,5,0.0316932386327060
"798",128,"KISHANGANJ","GEN",23911,"BASUDEO TRIPATHI","JS",1200,4,0.050186106812764
"877",88,"MADHAIPUR","GEN",40682,"BHOLA MISHRA","JS",1630,5,0.0400668600363797
"890",84,"MADHUBANI EAST","GEN",39323,"AWADH BIHARI DAS","JS",2042,4,0.0519288965745238
"898",83,"MADHUBANI WEST","GEN",34695,"TRIPTI RATAN DUTT","JS",4487,4,0.129326992362012
"933",30,"MAIRWA","SC",20138,"SHEO BACHAN CHAMAR","JS",1290,4,0.0640579998013705
"945",70,"MAJORGANJ","SC",31325,"SIYARAM HARIJAN","JS",1263,4,0.0403192338387869
"960",272,"MANDU","GEN",21550,"TAHAL RAM","JS",460,3,0.0213457076566125
"1007",66,"MINAPUR","GEN",35716,"NAGESHWAR PRASAD","JS",1602,4,0.0448538470153433
