"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"4",11,"ADAPUR","GEN",24203,"RAMBARAN PRASAD","PSP",7365,1,0.304301119695905
"10",118,"ALAMNAGAR","GEN",33563,"KEDAR NATH YADAV","PSP",1101,7,0.0328039805738462
"24",129,"AMAUR","GEN",38420,"NAZAMUDDIN SHEKH","PSP",5104,4,0.132847475273295
"25",125,"ARARIA","GEN",43734,"AZAM","PSP",5108,4,0.116797000045731
"35",213,"ARRAH","GEN",33593,"RANG BAHADUR PRASAD","PSP",1146,5,0.034114249992558
"37",214,"ARRAH MUFFASIL","GEN",32242,"ALAKH KUMAR SINGH","PSP",2207,4,0.0684510886421438
"45",234,"ARWAL","GEN",42691,"JHALAKDEO SINGH","PSP",9284,3,0.217469724297861
"48",193,"ASTHAWAN","GEN",42901,"KAUSHLENDRA PD. NARAYAN SINGH","PSP",21749,1,0.506957879769702
"55",253,"ATRI","GEN",32626,"SAHDEO SINGH","PSP",1422,5,0.0435848709618096
"61",244,"AURANGABAD","GEN",24262,"SARYU SINGH","PSP",4052,3,0.167010139312505
"64",133,"AZAMNAGAR","ST",20303,"NANDLAL MARANDI","PSP",8794,1,0.433137959907403
"65",190,"BACHHWARA","GEN",37499,"BAIDYANATH PRASAD SINGH","PSP",7789,2,0.207712205658818
"71",2,"BAGAHA","SC",39424,"BHOLA RAUT MESTAR","PSP",5076,2,0.128754058441558
"79",127,"BAHADURGANJ","GEN",24432,"LAKHAN LAL KAPUR","PSP",6831,2,0.279592337917485
"85",90,"BAHERA EAST","GEN",32430,"RAMKARAN CHOUDHRY","PSP",12072,2,0.372247918593895
"87",92,"BAHERA SOUTH","GEN",20152,"RAMKISHORE ROY","PSP",6303,2,0.312772925764192
"90",91,"BAHERA WEST","GEN",38317,"GANGA PRASAD YADAV","PSP",10921,2,0.285017094240154
"104",131,"BAISI","GEN",39393,"HASIBUR RAHMAN","PSP",24879,1,0.631558906404691
"123",185,"BALIA","GEN",36069,"PHAGENDRA PRASAD YADAV","PSP",4195,2,0.116304860129197
"129",42,"BANIAPUR","GEN",28126,"RAMA NAND MISHRA","PSP",2670,3,0.0949299580459361
"140",248,"BARACHATTI","GEN",23216,"RAM CHANDRA YADAVA","PSP",4612,3,0.198656099241902
"146",135,"BARARI","GEN",32641,"GUMANI YADAV","PSP",5004,2,0.153304126711804
"158",173,"BARBIGHA","SC",34735,"RAMSARAN CHOUDHARY","PSP",1851,3,0.0532891895782352
"161",191,"BARH","GEN",35428,"RAJENDRA SINGH","PSP",962,4,0.0271536637687705
"172",216,"BARHAMPUR","GEN",38494,"SHEO NATH PANDEY","PSP",7227,3,0.187743544448485
"177",37,"BARHARIA","GEN",30046,"RAM RAJ SINGH","PSP",15135,1,0.503727617652932
"183",188,"BARIARPUR","GEN",35520,"RAMJIWAN PRASAD SINGH","PSP",9321,2,0.262415540540541
"195",36,"BASANTPUR EAST","GEN",33841,"SABHAPATI SINGH","PSP",18075,1,0.534115422121096
"199",35,"BASANTPUR WEST","GEN",27541,"RAJ KOKIL MAHTO","PSP",7316,2,0.265640318071239
"208",239,"BELAGANJ","SC",24322,"RAM SWAROOP PRASAD MEHARA","PSP",334,5,0.0137324233204506
"210",166,"BELHAR","GEN",40392,"BHUBNESHWAR JHA","PSP",7326,2,0.181372549019608
"216",68,"BELSAND","GEN",35265,"RAMANAND SINGH","PSP",13545,1,0.384091875797533
"220",79,"BENIPATTI EAST","GEN",37523,"RAMDEO YADAV","PSP",3972,4,0.105855075553660
"223",78,"BENIPATTI WEST","GEN",42257,"BHARATH PRASAD GUPTA","PSP",1803,5,0.0426674870435667
"228",264,"BERMO","GEN",26483,"BINDESHWAR SINGH","PSP",1071,4,0.0404410376467923
"237",8,"BETTIAH","GEN",22852,"ABDUL KHAIR","PSP",4457,3,0.19503763346753
"243",223,"BHABUA","GEN",43582,"SHEO PARIKCHHA SINGH","PSP",4316,3,0.0990317103391308
"247",159,"BHAGALPUR","GEN",35416,"HARI SHANKAR SAHAY","PSP",1399,5,0.0395019200361419
"258",315,"BHAWANATHPUR","GEN",23912,"RAMAWTAR SHARMA","PSP",263,6,0.0109986617597859
"261",26,"BHORE","GEN",27100,"NAGINA RAM","PSP",2359,4,0.0870479704797048
"266",194,"BIHAR NORTH","GEN",42055,"BISHWANATH PRASAD","PSP",504,5,0.0119843062656046
"272",195,"BIHAR SOUTH","GEN",33093,"BALESHWAR PANDEY","PSP",974,7,0.0294322062067507
"284",210,"BIKRAM","GEN",45058,"CHANDRASEKHAR SHARMA","PSP",7327,3,0.162612632606862
"293",229,"BIKRAMGANJ","GEN",35851,"DEO BIJOY SINGH","PSP",3712,5,0.103539650218962
"298",89,"BIRAUL","GEN",24393,"ANIRUDH SINGH","PSP",1186,4,0.0486205058828352
"305",317,"BISHRAMPUR","GEN",25117,"RAM PRASAD AZAD","PSP",1308,3,0.0520762829955807
"314",174,"BURHEE","GEN",41257,"KAPILDEO SINGH","PSP",18407,1,0.446154591948033
"317",219,"BUXAR","GEN",35944,"RAM NARESH SINGH","PSP",10181,2,0.283246160694414
"320",288,"CHAIBASA","ST",23568,"RAUTU RAI BODRA","PSP",2628,3,0.111507128309572
"322",222,"CHAINPUR (SC)","SC",37738,"BHAGWAT DUSADH","PSP",2436,4,0.064550320631724
