"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"7",118,"ALAMNAGAR","GEN",33563,"JANAKLAL YADAV","SOC",1983,5,0.0590829186902244
"16",183,"ALAULI","SC",27493,"TALESHWAR BHARTI","SOC",2331,3,0.084785218055505
"19",163,"AMARPUR","GEN",25003,"RADHEY PRASAD SINGH","SOC",1727,4,0.0690717113946326
"52",253,"ATRI","GEN",32626,"PRASIDH SINGH","SOC",940,6,0.0288113774290443
"69",190,"BACHHWARA","GEN",37499,"RAMADHIKARI RAI","SOC",1874,5,0.0499746659910931
"77",265,"BAGODAR","GEN",14231,"SHARDA DEVI","SOC",1039,3,0.0730096268709156
"82",127,"BAHADURGANJ","GEN",24432,"THAKUR PRASAD SINGH","SOC",260,4,0.0106417812704650
"89",92,"BAHERA SOUTH","GEN",20152,"THAKKO SAHU","SOC",3952,3,0.196109567288607
"111",182,"BAKHTIARPUR 1","GEN",40226,"RAMCHANDRA PRASAD","SOC",12834,2,0.319047382290061
"112",200,"BAKHTIARPUR 2","GEN",37421,"BIJAY KRISHNA SINHA","SOC",1578,3,0.0421688356805003
"122",185,"BALIA","GEN",36069,"JITENDRANARAIN YADAV","SOC",1407,6,0.0390085669134160
"133",165,"BANKA","GEN",28827,"SUDHISH PRASAD SINGH","SOC",2345,3,0.081347347972387
"137",121,"BANMANKHI","SC",30272,"RAMDEO DAS","SOC",1670,3,0.0551664904862579
"138",248,"BARACHATTI","GEN",23216,"GIRDHARI GOPE","SOC",1498,4,0.0645244658855961
"144",135,"BARARI","GEN",32641,"CHAMAKLAL","SOC",1663,6,0.0509481939891547
"153",22,"BARAULI","GEN",39851,"SUDIST NARAYAN YADAV","SOC",576,4,0.0144538405560714
"156",173,"BARBIGHA","SC",34735,"RAMESHWAR PASWAN","SOC",1152,4,0.0331653951345905
"201",186,"BEGUSARAI","GEN",42370,"GANESH PRASAD MAHTO","SOC",1219,5,0.0287703563842341
"205",239,"BELAGANJ","SC",24322,"BHAGWATI DEVI","SOC",7044,2,0.289614340925911
"211",166,"BELHAR","GEN",40392,"DHIRENDRA PRASAD YADAV","SOC",3417,4,0.0845959595959596
"255",315,"BHAWANATHPUR","GEN",23912,"HEMENDRA NATH SAHIDEO","SOC",1321,3,0.0552442288390766
"280",161,"BIHPUR","GEN",41829,"BALA DAS","SOC",2913,4,0.0696406799110665
"289",210,"BIKRAM","GEN",45058,"RAM PRASAD RAI","SOC",923,7,0.0204847085978073
"296",229,"BIKRAMGANJ","GEN",35851,"TULSI SINGH","SOC",8574,2,0.239156508883992
"299",89,"BIRAUL","GEN",24393,"BABU NARAIN JHA","SOC",972,5,0.0398474972328127
"306",249,"BODH GAYA","GEN",21808,"ANDHI GORAIT","SOC",880,3,0.0403521643433602
"318",219,"BUXAR","GEN",35944,"UMANATH CHOUBAY","SOC",3320,3,0.0923659025150234
"333",168,"CHAKAI","ST",14768,"LAKHAN MURMU","SOC",6944,1,0.470205850487541
"338",293,"CHAKRADHARPUR","GEN",26471,"MANGAL PRASAD","SOC",1496,4,0.0565146764383665
"380",43,"CHAPRA MUFFASIL","SC",27907,"SHYAM LAL BHAGAT","SOC",1064,4,0.0381266348944709
"381",281,"CHAS","GEN",34944,"GAURI BALA DASI","SOC",885,7,0.0253262362637363
"392",268,"CHAUPARAN","GEN",25215,"BANDHU YADAV","SOC",1746,4,0.069244497323022
"396",181,"CHAUTHAM","GEN",38116,"JAGDAMBI PRASAD SHARMA","SOC",13138,2,0.344684646867457
"399",224,"CHENARI","SC",48068,"CHATURAGUN RAM","SOC",2543,4,0.0529042190230507
"420",313,"DALTONGANJ","GEN",28026,"PURAN CHAND","SOC",2302,4,0.0821380147006351
"426",31,"DARAULI","GEN",31962,"LAKSHUMAN AHIR","SOC",5875,3,0.183812026781803
"431",93,"DARBHANGA CENTRAL","GEN",45697,"MAHMAD KHALIL RAHMAN KHAN","SOC",1093,4,0.0239184191522419
"437",96,"DARBHANGA EAST","GEN",36421,"MAHMAD KAFIL AHMAD","SOC",2072,4,0.0568902556217567
"444",95,"DARBHANGA WEST","SC",25860,"HALESHWAR DAS","SOC",7616,2,0.294508894044857
"447",241,"DAUDNAGAR","GEN",30948,"DUDHESHWAR PRASAD","SOC",3426,4,0.110701822411788
"453",230,"DAWATH","GEN",38858,"BRIJ BEHARI CHAUDHARY","SOC",4620,4,0.118894436152144
"461",226,"DEHRI","GEN",49477,"DEOKI NANDAN PRASAD","SOC",1602,4,0.0323786810032945
"474",120,"DHAMDAHA","GEN",34042,"KALIKA SINGH","SOC",2866,3,0.084190118089419
"485",277,"DHANBAD","GEN",34890,"BASANT SAH","SOC",436,9,0.0124964173115506
"497",259,"DHANWAR","SC",13468,"MEGHNATH RABIDAS","SOC",725,3,0.0538313038313038
"500",164,"DHURAIYA","GEN",32969,"NAVIN CHANDRA SINGH","SOC",5745,3,0.174254602808699
"506",208,"DINAPUR","GEN",34756,"RAM SEWAK SINGH","SOC",18228,1,0.524456208999885
"508",228,"DINARA","GEN",48367,"BAJ NATH KANU","SOC",970,4,0.0200549961750780
"534",314,"GARHWA","GEN",26537,"JALAUDIN SHEIKH","SOC",1811,3,0.068244338093982
"535",45,"GARKHA","GEN",44196,"GAYA PRASAD SINGH","SOC",2344,5,0.0530364738890397
"546",260,"GAWAN","GEN",18122,"RAMESHWAR AGRAWAL","SOC",785,4,0.04331751462311
"548",251,"GAYA","GEN",37766,"RAM DEO RAJAK","SOC",1275,4,0.0337605253402531
"554",252,"GAYA MUFFASIL","GEN",28038,"KASHI RAM","SOC",470,5,0.0167629645481133
"568",238,"GHOSI","GEN",43673,"KIRTI NARAIN SINGH","SOC",2856,4,0.0653950953678474
"601",240,"GOH","GEN",39457,"KEDAR NATH SINGH","SOC",1785,3,0.0452391210685050
"616",48,"HAJIPUR","GEN",43549,"AWADH BIHARI SINHA","SOC",9403,3,0.215917701899010
"631",271,"HAZARIBAGH","GEN",27387,"WADESHWARI PRASAD","SOC",892,5,0.0325701975389784
