"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"1534",13,"ADAPUR","GEN",48510,"R. PRASAD","SWA",2400,6,0.0494743351886209
"1546",164,"AMARPUR","GEN",56068,"ABUNAYEEM","SWA",4152,4,0.0740529357209103
"1556",131,"AMOUR","GEN",40717,"M. ISMILE","SWA",7518,2,0.184640322224132
"1563",212,"ARRAH","GEN",48993,"B. SINGH","SWA",1824,5,0.0372298083399669
"1574",233,"ARWAL","GEN",47188,"M. SINGH","SWA",1164,4,0.024667288293634
"1604",243,"AURANGABAD","GEN",45914,"M. SINGH","SWA",1484,7,0.0323212963366293
"1614",135,"AZAMNAGAR","GEN",36406,"M. PATHAK","SWA",769,8,0.0211228918310169
"1621",190,"BACHHWARA","GEN",63352,"V. JHA","SWA",1713,4,0.0270393989140043
"1627",2,"BAGAHA","SC",28592,"S.P. HARIJAN","SWA",313,6,0.010947118074986
"1644",127,"BAHADURGANJ","GEN",25569,"F. RAHMAN","SWA",2193,3,0.0857679220931597
"1664",87,"BAHERI","GEN",63227,"T.N. YADAV","SWA",13438,2,0.212535783763266
"1693",99,"BALSINGHSARAI","GEN",40674,"YASHWANT KUMAR CHAUDHARI","SWA",16292,1,0.400550720361902
"1712",247,"BARACHATTI","SC",24110,"S. SINGH","SWA",644,6,0.0267109083367897
"1722",137,"BARARI","GEN",37374,"D. PATHAK","SWA",732,8,0.0195858083159416
"1736",189,"BARAUNI","GEN",67096,"S.A.R. NASTAR","SWA",637,4,0.0094938595445332
"1749",141,"BARHAIT","GEN",21775,"P. HEMBROM","SWA",910,5,0.0417910447761194
"1758",213,"BARHARA","GEN",51810,"R. N. SINGH","SWA",739,7,0.0142636556649296
"1772",188,"BARIARPUR","GEN",66118,"S. B. VERMA","SWA",2511,3,0.037977555279954
"1776",134,"BARSOI","GEN",33158,"K. MOHAMMAD","SWA",789,6,0.0237951625550395
"1805",167,"BELHAR","GEN",47703,"J. MANDAL","SWA",3499,6,0.0733496845062155
"1813",69,"BELSAND","GEN",52292,"G.N. SINGH","SWA",2004,4,0.0383232616843877
"1834",308,"BERO","ST",26398,"B. OHDAR","SWA",1983,5,0.0751193272217592
"1843",8,"BETTIAH","GEN",46320,"G. RAI","SWA",3078,4,0.0664507772020725
"1854",222,"BHABUA","GEN",50358,"S. SINGH","SWA",12093,2,0.240140593351603
"1905",229,"BIKRAMGANJ","GEN",59838,"R. R. SINGH","SWA",3840,7,0.0641732678231224
"1916",86,"BIRAUL","GEN",54100,"R. MUKHIYA","SWA",465,8,0.00859519408502773
"1935",62,"BOCHAHA","SC",41157,"R. RAM","SWA",928,6,0.0225478047476735
"1938",248,"BODH GAYA","SC",25606,"G. MANJHI","SWA",1374,5,0.0536592986018902
"1942",140,"BORIO","ST",21266,"JETHA KISHU","SWA",6100,1,0.286842847738174
"1955",215,"BRAHAMPUR","GEN",44394,"V. DOUVE","SWA",1256,8,0.0282921115466054
"1976",221,"CHAINPUR","GEN",54410,"V. B. SINGH","SWA",3417,5,0.0628009557066716
"1979",305,"CHAINPUR (ST)","ST",36740,"D. MAHTO","SWA",1663,6,0.0452640174197060
"2007",7,"CHANAPATIA","GEN",31358,"P. PRASAD","SWA",3466,4,0.110530008291345
"2035",269,"CHATRA","GEN",30209,"M. SINGH","SWA",474,7,0.0156906882055017
"2047",223,"CHENARI","SC",37812,"R. RAM","SWA",423,9,0.0111869247857823
"2069",313,"DALTONGANJ","GEN",37412,"M. M. SINGH","SWA",996,4,0.0266224740724901
"2082",30,"DARAULI","GEN",39507,"S.B. SINGH","SWA",2411,4,0.0610271597438429
"2085",90,"DARBHANGA","GEN",57464,"P.N. CHOUDHARY","SWA",694,7,0.0120771265487958
"2098",240,"DAUDNAGAR","GEN",49246,"Z. H. KHAN","SWA",620,9,0.0125898550136052
"2108",150,"DEOGHAR","SC",34463,"K. DAS","SWA",877,5,0.025447581464179
"2117",15,"DHAKA","GEN",42875,"V.P. SINHA","SWA",1510,5,0.0352186588921283
"2121",119,"DHAMDAHA","GEN",48739,"P. SINGH","SWA",1214,6,0.0249081844108414
"2135",259,"DHANWAR","GEN",29701,"K. N. SINGH","SWA",2981,4,0.100366991010404
"2146",165,"DHURAIYA","SC",44478,"S.S. DAS","SWA",915,7,0.0205719681640362
"2153",228,"DINARA","GEN",61164,"T. P. CHAUDHARY","SWA",6695,4,0.109459812961873
"2159",152,"DUMKA","ST",22598,"P. MURMU","SWA",879,5,0.0388972475440304
"2205",44,"GARKHA","SC",32481,"M.L. MANJHI","SWA",2721,3,0.0837720513530987
"2222",250,"GAYA","GEN",41728,"R. K. BARIK","SWA",385,10,0.00922641871165644
"2229",251,"GAYA MUFFASIL","GEN",45052,"J. P. SINGH","SWA",1758,6,0.0390215750688094
"2269",155,"GODDA","GEN",48330,"M. KHUDABUX","SWA",1654,8,0.034223049865508
"2287",161,"GOPALPUR","GEN",51846,"S. YADAV","SWA",2681,5,0.0517108359371986
"2315",306,"GUMLA","ST",29300,"L. BARLA","SWA",3852,3,0.131467576791809
"2345",93,"HAYAGHAT","SC",48676,"V. BAITHA","SWA",1464,4,0.0300764236995645
"2347",267,"HAZARIBAGH","GEN",46050,"B.D. KUSHWAHA","SWA",987,6,0.0214332247557003
"2363",318,"HUSSAINBAD","GEN",45721,"D. DUBEY","SWA",2385,4,0.0521642133811596
"2375",294,"ICHAGARH","GEN",28118,"S. S. AGARWAL","SWA",840,7,0.0298741019987197
"2381",245,"IMAMGANJ","SC",31036,"P. MANJHI","SWA",1670,5,0.0538084804742879
"2384",199,"ISLAMPUR","GEN",64775,"P. SINGH","SWA",2017,5,0.0311385565418757
"2402",230,"JAGDISHPUR","GEN",50515,"P. SINGH","SWA",4466,4,0.0884093833514798
"2505",81,"JHANJHARPUR","GEN",50888,"P.N.S. THAKUR","SWA",2108,6,0.0414243043546612
"2515",130,"JOKIHAT","GEN",39556,"A. RAHMAN","SWA",832,6,0.0210334715340277
"2543",302,"KANKE","GEN",31088,"N. N. OHDAR","SWA",1388,7,0.0446474523932064
"2553",226,"KARAKAT","GEN",52449,"G. RAI","SWA",1394,6,0.0265781997750195
"2561",121,"KASBA","GEN",40721,"H. N. THAKUR","SWA",1411,7,0.0346504260700867
"2574",24,"KATEA","SC",30390,"G. MAHARA","SWA",978,5,0.0321816386969398
"2589",91,"KEOTIRANWAY","GEN",60080,"M. AMIN","SWA",998,8,0.0166111850865513
"2633",300,"KHIJRI","ST",28711,"S. DRAON","SWA",1879,7,0.0654452997109122
"2639",298,"KHUNTI","ST",26355,"K. PAHAN","SWA",2293,4,0.0870043634983874
"2648",129,"KISHANGANJ","GEN",30245,"Z.A. IRAQUT","SWA",1266,6,0.0418581583732848
"2658",303,"KOLEBIRA","ST",40529,"C. KERKETTA","SWA",10343,2,0.255199980261048
"2675",136,"KORHA","SC",35756,"K. RISHI","SWA",3153,5,0.0881810045866428
"2679",168,"KOTORIA","GEN",36799,"S. SINGH","SWA",2157,4,0.0586157232533493
"2705",234,"KURTHA","GEN",46334,"S. M. HAQUE","SWA",260,8,0.00561143005136617
"2730",6,"LAURIYA","GEN",38099,"P.P. YADAV","SWA",2150,5,0.0564319273471745
"2738",316,"LESLIEGANJ","GEN",41906,"J. N. SAHDEO","SWA",1891,6,0.0451248031308166
"2743",142,"LITIPARA","ST",18980,"B. HEMBRAM","SWA",696,5,0.0366701791359326
"2755",310,"LOHARDAGA","ST",33376,"C. BHAGAT","SWA",2547,4,0.0763123202301055
"2804",144,"MAHESHPUR","ST",21496,"J. MURMU","SWA",5943,2,0.276470040937849
"2848",309,"MANDAR","ST",25517,"POLOKARYORAON","SWA",863,5,0.0338205901947721
