"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"3565",117,"ALAMNAGAR","GEN",62616,"YADUNANDAN JHA","BKD",2186,5,0.034911204803884
"3583",125,"ARARIA","GEN",48048,"KEDAR NATH CHATURVEDY","BKD",1574,6,0.0327589077589078
"3595",212,"ARRAH","GEN",51769,"SHUKHDEO NARAYAN","BKD",478,8,0.00923332496281559
"3610",196,"ASTHAWAN","GEN",57316,"JAY RAM PRASAD","BKD",1638,9,0.0285784074255007
"3627",64,"AURAI","GEN",63780,"SUSHILA BENIPURI","BKD",727,5,0.0113985575415491
"3639",135,"AZAMNAGAR","GEN",39221,"MOHAMMAD AIYUB","BKD",7996,2,0.203870375564111
"3643",190,"BACHHWARA","GEN",60818,"NAGENDRA NATH DAS","BKD",1176,6,0.0193363806767733
"3648",2,"BAGAHA","SC",32774,"LAXMI PRASAD","BKD",293,5,0.00894001342527613
"3746",36,"BARAULI","GEN",46946,"BHULAN","BKD",9109,3,0.194031440378307
"3790",33,"BARHARIA","GEN",42285,"BHOLANATH SINHA","BKD",1866,5,0.0441291238027669
"3795",266,"BARHI","GEN",27681,"CHETLAL CHAUDHARY","BKD",1562,5,0.0564285972327589
"3832",186,"BEGUSARAI","GEN",60364,"VISHNUDEO KUMAR SINHA","BKD",420,6,0.00695778941090716
"3843",167,"BELHAR","GEN",48744,"LAKSHMI JHA","BKD",811,7,0.0166379451829969
"3851",69,"BELSAND","GEN",63211,"CHANDRESHWAR PRASAD","BKD",531,5,0.00840043663286453
"3902",25,"BHORE","GEN",46279,"MUKTI NATH PANDEY","BKD",904,6,0.0195336977894942
"3924",162,"BIHPUR","GEN",71599,"JAI NARAYAN MISRA","BKD",1050,7,0.0146650092878392
"3933",209,"BIKRAM","GEN",50502,"KHADERAN SINGH","BKD",21687,1,0.429428537483664
"3942",229,"BIKRAMGANJ","GEN",60245,"DHARAM PRASAD CHAUDHARY","BKD",864,10,0.0143414391235787
"3989",215,"BRAHAMPUR","GEN",52546,"RAM AVATAR SAHI","BKD",870,7,0.0165569215544475
"3994",218,"BUXAR","GEN",55291,"AWADHESH KUMAR PANDE","BKD",240,7,0.00434067027183448
"4042",274,"CHANDANKIYARI","SC",23049,"DURGACHARAN DAS","BKD",8866,1,0.384658770445572
"4050",200,"CHANDI","GEN",56031,"GOPI RAM","BKD",3189,5,0.0569149220966965
"4058",7,"CHANPATIA","GEN",34934,"DHARMA PRASAD","BKD",619,6,0.0177191274975668
"4078",269,"CHATRA","GEN",31084,"VIRESH NARAYAN SINGH","BKD",449,8,0.0144447304079269
"4093",223,"CHENARI","SC",40714,"DUDHNATH PRASAD PASWAN","BKD",1013,7,0.0248808763570271
"4120",313,"DALTONGANJ","GEN",39539,"MANI LALL VERMA","BKD",385,5,0.00973722147752852
"4126",207,"DANAPUR","GEN",53495,"MOIN AUSARI","BKD",1265,4,0.0236470698196093
"4149",90,"DARBHANGA","GEN",75681,"UDIT NARAYAN DAS","BKD",293,6,0.00387151332566959
"4159",225,"DEHRI","GEN",63270,"GOPI PRASAD SINGH","BKD",381,8,0.00602181128496918
"4192",277,"DHANBAD","GEN",45334,"RAGHUBANSH SINGH","BKD",16785,1,0.370251908060176
"4196",259,"DHANWAR","GEN",29245,"HARIHAR PRASAD SINGH","BKD",585,6,0.0200034193879296
"4208",228,"DINARA","GEN",60280,"BALAJEE OJHA","BKD",1042,9,0.01728599867286
"4221",152,"DUMKA","ST",30929,"CYRIL THOMAS BESRA","BKD",176,8,0.00569045232629571
"4244",194,"FATWA","SC",39879,"DEOCHARAN PASWAN","BKD",1207,6,0.0302665563329070
"4263",63,"GAIGHATTI","GEN",63486,"RAM SWARATH SINGH","BKD",369,7,0.00581230507513468
"4266",314,"GARHWA","GEN",34552,"JADU NANDAN TEWARI","BKD",1085,4,0.0314019448946515
"4361",52,"GORAUL","GEN",61605,"SHAMIM AHMAD","BKD",1269,6,0.0205989773557341
"4383",47,"HAJIPUR","GEN",67720,"RAMNARAYAN CHAUDHARY","BKD",1616,6,0.0238629651506202
"4386",77,"HARLAKHI","GEN",52513,"KULDEO NARAIN JHA","BKD",1977,3,0.0376478205396759
"4396",20,"HARSIDHI","GEN",35665,"S. M. ABDULLAH","BKD",2089,5,0.0585728305060984
"4401",103,"HASSANPUR","GEN",51754,"GANESH MUKHIYA","BKD",3954,6,0.0763998917958032
"4421",201,"HILSA","GEN",64612,"JAGARNATH SHARMA","BKD",1064,6,0.0164675292515322
"4438",318,"HUSSAINABAD","GEN",42941,"USMAN KHAN","BKD",3819,4,0.0889359819286929
"4493",92,"JALE","GEN",62535,"UMAPATI LAL DAS","BKD",315,6,0.00503717917965939
"4544",171,"JAMUI","GEN",59105,"VINDESHWARI PRASAD SINHA","BKD",543,6,0.00918704001353523
"4550",50,"JANDAHA","GEN",74168,"RAJNARAIN SINGH","BKD",626,8,0.00844029770251321
"4573",236,"JEHANABAD","GEN",58417,"K . P . SINHA","BKD",281,8,0.0048102435934745
"4596",281,"JHARIA","GEN",41388,"S.K. ROY","BKD",14239,1,0.344036918913695
"4634",226,"KARAKAT","GEN",55570,"RADHA MUNI SINGH YADVENDU","BKD",218,10,0.00392298002519345
"4655",24,"KATEA","SC",27826,"GOPAL MAHRA","BKD",1869,4,0.0671673973981169
"4674",18,"KESARIA","GEN",41700,"FULENA PD. SARANGPURI","BKD",912,4,0.0218705035971223
"4747",258,"KODARAMA","GEN",46593,"SITA RAM SAO","BKD",965,5,0.0207112656407615
"4764",136,"KORHA","SC",39877,"VISHWANATH RISHI","BKD",3712,3,0.0930862401885799
"4810",6,"LAURIA","GEN",37158,"SOVARAN BAITHA","BKD",467,5,0.0125679530652888
"4826",142,"LITIPARA","ST",19556,"MUNSHI MURMU","BKD",169,9,0.00864184904888525
"4862",149,"MADHUPUR","GEN",47307,"MURLIDHAR GUPTA","BKD",184,10,0.0038894878136428
"4875",32,"MAHARAJGANJ","GEN",58740,"MAHAMAYA PRASAD SINHA","BKD",38325,1,0.652451481103167
"4898",29,"MAIRWA","SC",30373,"GANESH RAM","BKD",801,5,0.0263721068053864
"4915",71,"MAJORGANJ","SC",44131,"RAM SWAROOP RAM","BKD",2670,4,0.0605016881557182
"4930",272,"MANDU","GEN",23091,"DINESHWAR SINGH AZAD","BKD",1214,4,0.0525745961630072
