"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"3557",13,"ADAPUR","GEN",45961,"HARENDRA PRASAD CHAURASIA","JAP",483,5,0.0105089097278127
"3613",196,"ASTHAWAN","GEN",57316,"NAND KISHORE PRASAD SINGH","JAP",10636,1,0.185567729778770
"3632",243,"AURANGABAD","GEN",48891,"RAMGOVIND PRASAD SINGH","JAP",7398,3,0.151316193164386
"3655",276,"BAGHMARA","GEN",41731,"MADAN MOHAN SINGH","JAP",3429,6,0.0821691308619491
"3662",265,"BAGODAR","GEN",22129,"BASANT NARAIN SINGH","JAP",10290,1,0.465000677843554
"3678",87,"BAHERI","GEN",61612,"RAJENDRA PRASAD SINGH","JAP",802,6,0.0130169447510225
"3694",193,"BAKHTIARPUR","GEN",71456,"RAM ANUGRAH PRASAD","JAP",3472,5,0.04858934169279
"3718",166,"BANKA","GEN",46287,"MAHESWARI PRASAD SINGH","JAP",2316,5,0.0500356471579493
"3729",247,"BARACHATTI","SC",26772,"GAHAURI RAM","JAP",4338,3,0.162034961900493
"3745",137,"BARARI","GEN",39917,"VASUDEO SINGH","JAP",2590,6,0.0648846356189092
"3763",174,"BARBIGHA","GEN",67173,"SHYAM SUNDER SINGH","JAP",12732,3,0.1895404403555
"3796",266,"BARHI","GEN",27681,"INDRA JITENDRA NARAIN SINGH","JAP",13143,1,0.474802210902785
"3807",270,"BARKAGAON","SC",22116,"MAHESH RAM","JAP",11657,1,0.527084463736661
"3846",167,"BELHAR","GEN",48744,"SHASHI SHEKHAR PD. SINGH","JAP",5934,5,0.121738060068932
"3864",264,"BERMO","GEN",46584,"JAMUNA SINGH","JAP",15078,2,0.323673364245234
"3874",308,"BERO","ST",27866,"RAJENDRA RAM","JAP",1366,4,0.0490203114907055
"3878",8,"BETTIAH","GEN",44750,"JILDAR RAM","JAP",2419,3,0.0540558659217877
"3886",222,"BHABUA","GEN",54224,"RAMSAKAL SINGH","JAP",1199,6,0.0221119799350841
"3906",25,"BHORE","GEN",46279,"SHYAM LAL SINGH","JAP",11372,2,0.245727003608548
"3964",317,"BISHRAMPUR","SC",30853,"RAM KRISHNA","JAP",4240,4,0.137425858101319
"3968",62,"BOCHAHA","SC",39049,"RAMAI RAM","JAP",1035,4,0.0265051601833594
"3971",248,"BODH GAYA","SC",30263,"BABU LALL PRASAD","JAP",1495,5,0.0494002577404752
"3986",140,"BORIO","ST",22857,"SINGRAY MURMU","JAP",1120,5,0.0490003062519141
"4007",289,"CHAIBASSA","ST",30265,"MORA DEOGAM","JAP",411,10,0.0135800429539072
"4013",221,"CHAINPUR","GEN",58160,"KEDAR NATH","JAP",1118,6,0.0192228335625860
"4019",305,"CHAINPUR (ST)","ST",36444,"ANTHONY URAON","JAP",1304,6,0.0357809241576117
"4036",293,"CHAKRADHARPUR","ST",33889,"LANKA BARI","JAP",805,5,0.0237540204786214
"4046",274,"CHANDANKIYARI","SC",23049,"SHASHI BHUSHAN BOURI","JAP",3107,3,0.134799774393683
"4073",269,"CHATRA","GEN",31084,"KAMAKHYA NARAIN SINGH","JAP",11327,1,0.364399691159439
"4081",268,"CHAUPARAN","GEN",29384,"NIRANJAN PRASAD SINGH","JAP",8804,1,0.299618840185135
"4097",223,"CHENARI","SC",40714,"RAM JANAM DHOBI","JAP",4849,4,0.119099081397062
"4124",207,"DANAPUR","GEN",53495,"DEO NANDAN SHARMA","JAP",503,8,0.0094027479203664
"4143",90,"DARBHANGA","GEN",75681,"AWADHESH KUMAR LAL","JAP",532,4,0.00702950542408266
"4198",259,"DHANWAR","GEN",29245,"NAGESHWAR RAI","JAP",3800,4,0.129936741323303
"4209",228,"DINARA","GEN",60280,"KAILASPATI SAHAY","JAP",835,10,0.0138520238885202
"4222",152,"DUMKA","ST",30929,"JOSEPH MARANDI","JAP",475,6,0.0153577548579004
"4232",263,"DUMRI","GEN",26488,"KAILASHPATI SINGH","JAP",9558,1,0.360842645726367
"4243",197,"EKANGAR SARAI","GEN",66743,"VIJAOY KUMAR SINGH","JAP",2095,6,0.0313890595268418
"4252",194,"FATWA","SC",39879,"YADUNANDASN PRASAD","JAP",2204,5,0.0552671832292685
"4264",314,"GARHWA","GEN",34552,"GANESH PRASAD SINGH","JAP",703,6,0.0203461449409586
"4276",260,"GAWAN","SC",24317,"JIBLAL DAS","JAP",2831,4,0.116420611095119
"4294",251,"GAYA MUFFASIL","GEN",54279,"SURAJDEO SINGH","JAP",14565,2,0.268335820483060
"4316",262,"GIRIDIH","GEN",48077,"MD. MUSLIM ANSARI","JAP",1883,5,0.0391663373338603
"4328",257,"GOBINDPUR","GEN",59307,"SYED ABDUL MATIN","JAP",480,6,0.0080934796904244
"4348",22,"GOPALGANJ","GEN",42911,"RAMADHAR PRASAD YADAV","JAP",5634,4,0.131295005942532
"4368",306,"GUMLA","ST",32208,"CLEMENT TOPPO","JAP",1612,5,0.0500496770988574
"4399",103,"HASSANPUR","GEN",51754,"DINESH KUMAR DEO","JAP",669,9,0.0129265370792596
"4417",267,"HAZARIBAGH","GEN",36145,"RAGHUNANDAN PRASAD","JAP",11179,1,0.309282058375986
"4419",201,"HILSA","GEN",64612,"DEVGAN PRASAD SINGH","JAP",1339,5,0.0207237045750015
"4435",318,"HUSSAINABAD","GEN",42941,"PANCHAN SINGH","JAP",1426,5,0.0332083556507766
"4439",294,"ICHAGARH","GEN",28641,"DURGA PRASAD TIWARI","JAP",789,7,0.0275479208128208
"4450",245,"IMAMGANJ","SC",30669,"RAGHORAM CHAUDHARY","JAP",589,4,0.0192050604845284
"4454",199,"ISLAMPUR","GEN",72924,"SHYAM SUNDAR PRASAD","JAP",14517,3,0.199070264933355
"4460",292,"JAGANATHPUR","ST",26098,"NARKANT BIRUA","JAP",2005,3,0.0768258104069277
"4467",230,"JAGDISHPUR","GEN",49500,"KUNWAR BIRENDRA KUMAR SINGH","JAP",2373,8,0.0479393939393939
"4481",42,"JALALPUR","GEN",50789,"BANARAS SINGH","JAP",7769,3,0.152966193467089
"4497",153,"JAMA","ST",22636,"PAUL MURMU","JAP",1385,4,0.0611857218589857
"4520",286,"JAMSHEDPUR WEST","GEN",36561,"KISHORI DEVI","JAP",171,9,0.0046771149585624
"4535",261,"JAMUA","GEN",38682,"NAGESHWAR PRASAD SINGH","JAP",8256,3,0.213432604312083
"4548",50,"JANDAHA","GEN",74168,"BRAJNANDAN SINGH","JAP",953,7,0.0128492072052637
"4561",273,"JARIDIH","GEN",27367,"SHASHANK MANJARI","JAP",7456,1,0.272444915409069
"4563",151,"JARMUNDI","GEN",44933,"ANAND GOPAL MANDAL","JAP",3692,4,0.082166781652683
"4586",81,"JHANJHARPUR","GEN",50074,"LAKSHMAN JHA","JAP",1034,5,0.0206494388305308
"4598",281,"JHARIA","GEN",41388,"VIRENDRA KUMAR PANDE","JAP",678,7,0.0163815598724268
"4610",287,"JUGSALAI","ST",34623,"SUPAI SOREN","JAP",616,6,0.0177916413944488
"4619",302,"KANKE","GEN",37758,"JANMA JAI NATH CHAUBEY","JAP",3947,3,0.104534138460724
