"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"3556",13,"ADAPUR","GEN",45961,"BRIJANANDAN SHARMA","LTC",6989,3,0.152063706185679
"3572",164,"AMARPUR","GEN",61430,"KAMLESHWARI JHA","LTC",2146,6,0.0349340713006674
"3582",125,"ARARIA","GEN",48048,"KAMLA NAND BISHWAS","LTC",925,7,0.0192515817515818
"3658",276,"BAGHMARA","GEN",41731,"RAM CHANDRA SHARMA","LTC",236,11,0.00565526826579761
"3671",282,"BAHARAGORA","GEN",49351,"NIHAR RANJAN JANA","LTC",1274,5,0.0258150797349598
"3679",87,"BAHERI","GEN",61612,"RAMESHWAR PRASAD SINHA","LTC",7233,4,0.117395961825618
"3691",193,"BAKHTIARPUR","GEN",71456,"BHARAI SHARAM","LTC",8026,4,0.112320868786386
"3719",166,"BANKA","GEN",46287,"SAKHWAT ALI","LTC",563,7,0.0121632423790697
"3724",120,"BANMANKHI","SC",35933,"RAM KRISHNA RISHIDEO","LTC",1979,5,0.0550747224000223
"3750",36,"BARAULI","GEN",46946,"VYAS PRASAD SINGH","LTC",10502,2,0.223703829932263
"3780",141,"BARHAIT","ST",20734,"RAM MARANDI","LTC",481,6,0.023198610977139
"3791",33,"BARHARIA","GEN",42285,"CHANDRIKA SINGH","LTC",5293,4,0.125174411729928
"3860",89,"BENIPUR","GEN",56051,"HARINATH MISHRA","LTC",28691,1,0.511873115555476
"3871",308,"BERO","ST",27866,"HARDUG MINZ","LTC",1281,5,0.0459699992822795
"3884",222,"BHABUA","GEN",54224,"LAKSHMI SINGH","LTC",799,8,0.0147351726172912
"3892",160,"BHAGALPUR","GEN",53323,"RADHA LAL SAH","LTC",1685,5,0.0315998724752921
"3900",315,"BHAWANATHPUR","GEN",41910,"SHANKAR PRATAP DEO","LTC",14653,2,0.349630159866380
"3921",162,"BIHPUR","GEN",71599,"ARJUN PRASAD MISRA","LTC",8083,4,0.112892638165338
"3957",76,"BISFI","GEN",64538,"AZIZ NOORUDDIN","LTC",20554,2,0.318479035606929
"3966",62,"BOCHAHA","SC",39049,"DEO NANDAN PAWAN","LTC",650,5,0.0166457527721581
"3972",248,"BODH GAYA","SC",30263,"CHAMARI RAJWANSHI","LTC",1666,4,0.055050722003767
"3993",215,"BRAHAMPUR","GEN",52546,"SURAJNARAIN SHARMA","LTC",13974,1,0.265938415864195
"4011",289,"CHAIBASSA","ST",30265,"VIVEKANAND PAREYA","LTC",1132,4,0.0374029406905667
"4041",274,"CHANDANKIYARI","SC",23049,"BASUDEV RAJWAR","LTC",294,7,0.0127554340752310
"4056",200,"CHANDI","GEN",56031,"SHRIKRISHNA PRASAD","LTC",11208,2,0.20003212507362
"4142",30,"DARAULI","GEN",47680,"SWAMI NATH DUBEY","LTC",9404,3,0.197231543624161
"4150",240,"DAUDNAGAR","GEN",62333,"GHURA RAM","LTC",245,7,0.00393050230215135
"4168",150,"DEOGHAR","SC",35380,"SANTU MAHTHA","LTC",4952,3,0.139966082532504
"4169",15,"DHAKA","GEN",49329,"KAPILDEO NARAIN SHARMA","LTC",1953,4,0.0395913154533844
"4180",119,"DHAMDAHA","GEN",46203,"VISHWA MOHAN SAHA","LTC",6478,4,0.140207345843344
"4202",165,"DHURAIYA","SC",48264,"BHOLA NATH DAS","LTC",574,5,0.0118929222608984
"4224",152,"DUMKA","ST",30929,"PAUL MURMU","LTC",437,7,0.0141291344692683
"4295",283,"GHATSILA","ST",32602,"BHAGWAT TUDU","LTC",3366,4,0.103245199681001
"4321",21,"GOBINDGANJ","GEN",37522,"SAHDEO PRASAD","LTC",1037,5,0.0276371195565268
"4329",257,"GOBINDPUR","GEN",59307,"YUGAL KISHORE SINGH YADAV","LTC",15239,1,0.256951118754953
"4330",155,"GODDA","GEN",46938,"DIP NARAYAN CHOUDHARY","LTC",3980,5,0.0847927052707827
"4355",161,"GOPALPUR","GEN",57323,"SARDA PD. SINGH SAIDPURI","LTC",299,6,0.00521605638225494
"4362",52,"GORAUL","GEN",61605,"SHYAM PATEL","LTC",11014,3,0.178784189595000
"4364",34,"GOREAKOTHI","GEN",60864,"KRISHNAKANT SINGH","LTC",29790,1,0.489451892744479
"4370",306,"GUMLA","ST",32208,"MOHAN KHARIYA","LTC",843,7,0.0261736214605067
"4410",93,"HAYAGHAT","SC",46434,"SHYAM KUMARI","LTC",14303,2,0.308028599732954
"4425",201,"HILSA","GEN",64612,"RAM PRASAD SINGH","LTC",7824,3,0.121092057202996
"4428",253,"HISUA","GEN",58980,"JAGDEO PRASAD YADAV","LTC",275,5,0.00466259749067480
"4464",292,"JAGANATHPUR","ST",26098,"VIVEKANAND PAREYA","LTC",757,7,0.0290060541037627
"4477",79,"JAINAGAR","SC",37048,"RAM LAKHAN RAM","LTC",7799,2,0.210510688836105
