"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"3624",64,"AURAI","GEN",63780,"NITESHWAR THAKUR","PBI",663,6,0.0103951081843838
"3894",160,"BHAGALPUR","GEN",53323,"SHUKDEO PRASAD","PBI",480,6,0.00900174408791703
"3928",162,"BIHPUR","GEN",71599,"RAM SWARUP PASWAN","PBI",449,8,0.00627103730499029
"3935",209,"BIKRAM","GEN",50502,"PARAS NATH SINGH","PBI",335,11,0.00663340065739971
"3948",229,"BIKRAMGANJ","GEN",60245,"RAMAVTAR SINGH","PBI",1622,7,0.0269233961324591
"4062",7,"CHANPATIA","GEN",34934,"RAMCHANDRA TIWARY","PBI",339,8,0.00970401328218927
"4094",223,"CHENARI","SC",40714,"HIRALAL SHARMA","PBI",282,8,0.00692636439553962
"4104",158,"COLGONG","GEN",61397,"ANANT LAL MANDAL","PBI",533,7,0.00868120592211346
"4128",207,"DANAPUR","GEN",53495,"RAJ KUMAR RAI","PBI",313,10,0.00585101411346855
"4144",90,"DARBHANGA","GEN",75681,"GIRDHAR NARAYAN","PBI",479,5,0.00632919755288646
"4214",228,"DINARA","GEN",60280,"RAMJEE CHOUDHARY","PBI",576,11,0.00955540809555408
"4289",251,"GAYA MUFFASIL","GEN",54279,"NAWAL KISHORE SINGH","PBI",168,10,0.00309511965953684
"4308",237,"GHOSI","GEN",73104,"KAMTA SINGH","PBI",342,6,0.00467826657912016
"4342",239,"GOH","GEN",55945,"RAM SWAROOP GUPTA","PBI",193,8,0.00344981678434176
"4352",161,"GOPALPUR","GEN",57323,"KAMDEV MISRA","PBI",945,4,0.0164855293686653
"4384",47,"HAJIPUR","GEN",67720,"SATYANARAIN SINGH","PBI",365,9,0.00538984051978736
"4427",201,"HILSA","GEN",64612,"SATISH CHANDRA MISHRA","PBI",476,10,0.007367052559896
"4516",285,"JAMSHEDPUR EAST","GEN",50456,"SUJIT KUMAR MUKHERJEE","PBI",185,9,0.00366656096400824
"4549",50,"JANDAHA","GEN",74168,"NAND KISHORE KUMAR","PBI",515,9,0.0069436953942401
"4567",151,"JARMUNDI","GEN",44933,"RAMANAND SINHA","PBI",662,5,0.0147330469810607
"4575",236,"JEHANABAD","GEN",58417,"NAWAL KISHORE SINGH","PBI",168,9,0.00287587517332283
"4611",94,"KALYANPUR","GEN",51705,"BIPIN BIHARI SHARMA","PBI",1107,4,0.0214099216710183
"4629",58,"KANTI","GEN",48998,"SHIVACHANDRA MISHRA","PBI",2149,5,0.0438589330176742
"4637",226,"KARAKAT","GEN",55570,"RAMADHAR SINGH","PBI",281,9,0.00505668526183192
"4776",59,"KURHANI","GEN",66248,"SAKALDEO SINGH","PBI",1077,3,0.0162570945537979
"4851",80,"MADHUBANI","GEN",66821,"NAWAL CHANDRA GUPTA","PBI",353,6,0.00528277038655512
"4921",235,"MAKHDUMPUR","SC",48161,"MAHABIR RAM","PBI",684,7,0.0142023629077469
"4942",208,"MANER","GEN",54844,"RANDHIR SINGH","PBI",1286,7,0.0234483261614762
"4951",138,"MANIHARI","GEN",39054,"RITLALL YADAV","PBI",729,5,0.0186664618220925
"4994",65,"MINAPUR","GEN",75301,"JAI MANGAL RAI","PBI",510,5,0.00677281842206611
"5039",12,"MOTIHARI","GEN",38186,"SARAYUG PRASAD","PBI",251,6,0.00657308961399466
"5057",61,"MUZAFFARPUR","GEN",59194,"GANGA SHARAN PRASAD","PBI",464,6,0.00783863229381356
"5081",159,"NATHNAGAR","GEN",54017,"CHURAMAN MANDAL","PBI",2019,5,0.0373771220171428
"5091",9,"NAUTAN","GEN",33666,"WAKIL PRASAD","PBI",961,5,0.0285451197053407
"5115",279,"NIRSA","GEN",33479,"VIRENDRA KUMAR DEY","PBI",134,9,0.0040025090355148
"5123",227,"NOKHA","GEN",54981,"RAMJEE PRASAD","PBI",840,6,0.0152780051290446
"5237",19,"PIPRA","SC",21672,"RAMLAKHAN HAJRA","PBI",171,6,0.00789036544850498
"5277",132,"PURNEA","GEN",49580,"SULTAN ALAM M. BIHARI","PBI",710,5,0.0143202904396934
"5352",3,"RAMNAGAR","GEN",44866,"VAIDYANATH CHOUDHURI","PBI",472,5,0.0105202157535773
"5377",10,"RAXAUL","GEN",42035,"RAMESHWAR PRASAD","PBI",514,6,0.0122279053169977
"5410",56,"SAHEBGANJ","GEN",62393,"RAM KUMAR RAM","PBI",642,4,0.0102896158222878
"5453",148,"SARATH","GEN",40621,"SUMITRA DEVI","PBI",232,8,0.00571133157726299
"5458",224,"SASARAM","GEN",55595,"HIRALAL SAHU","PBI",199,8,0.00357945858440507
"5480",70,"SHEOHAR","GEN",61100,"RAM SURAT SINGH","PBI",608,5,0.00995090016366612
"5508",172,"SIKANDRA","SC",55256,"RIBLAL DHOBI","PBI",439,6,0.0079448385695671
"5595",163,"SULTANGANJ 1","GEN",64748,"ANUP LAL SAH","PBI",590,6,0.00911225057144622
"5621",176,"SURAJGARHA","GEN",68680,"RAJESWAR PD. SINGH","PBI",297,9,0.00432440302853815
"5627",73,"SURSAND","GEN",61079,"RAM ANUTH SAH","PBI",961,4,0.0157337219011444
"5673",297,"TORPA","ST",33024,"SHEONATH URAON","PBI",905,6,0.0274043120155039
