"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"3778",141,"BARHAIT","ST",20734,"MASHIH SOREN","PHJ",9890,1,0.476994308864667
"3984",140,"BORIO","ST",22857,"SET HEMBROM","PHJ",7302,1,0.319464496653104
"4167",150,"DEOGHAR","SC",35380,"ISHARI PUJHAR","PHJ",672,4,0.0189937817976258
"4336",155,"GODDA","GEN",46938,"SAMRA KOL","PHJ",1003,6,0.0213686139162299
"4534",261,"JAMUA","GEN",38682,"GOPIN SOREN","PHJ",1737,5,0.0449046067938576
"4830",142,"LITIPARA","ST",19556,"SOM MURMU","PHJ",6270,1,0.32061771323379
"4867",149,"MADHUPUR","GEN",47307,"SURESH CHANDRA RAI","PHJ",2613,5,0.055234954657873
"4882",144,"MAHESHPUR","ST",24864,"KALESHWAR HEMBROM","PHJ",8427,1,0.338923745173745
"4904",290,"MAJHGAON","ST",30348,"DURGA CHARAN BIRUA","PHJ",553,7,0.0182219586134177
"5136",143,"PAKPURA","GEN",35490,"DULI DEBI","PHJ",932,4,0.0262609185686109
"5257",154,"PORAIYAHAT","ST",31175,"EDWARD MARANDI","PHJ",11209,1,0.359550922213312
"5320",139,"RAJMAHAL","GEN",40040,"SETH HEMBRUM","PHJ",274,11,0.00684315684315684
"5447",148,"SARATH","GEN",40621,"ABHAYA CHARAN LAL","PHJ",4877,3,0.120061052165136
"5602",168,"SULTANGANJ 2","GEN",34410,"DEO NARAIN TUDU","PHJ",747,8,0.0217088055797733
