"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"3560",117,"ALAMNAGAR","GEN",62616,"IDRISH SAH","SHD",7691,3,0.122828031174141
"3570",183,"ALAULI","SC",45749,"SHAILENDRA PASWAN","SHD",592,5,0.0129401735557061
"3574",164,"AMARPUR","GEN",61430,"SHYAM NARAIN SINGH","SHD",4375,5,0.0712192739703728
"3604",233,"ARWAL","GEN",59513,"RAM CHARITER SINGH","SHD",14466,3,0.243072942046276
"3607",196,"ASTHAWAN","GEN",57316,"BISHWA NATH PRASAD","SHD",3383,8,0.0590236583153046
"3631",243,"AURANGABAD","GEN",48891,"MOHAMAD AYUB","SHD",605,7,0.0123744656480743
"3661",276,"BAGHMARA","GEN",41731,"TEK LAL MAHTO","SHD",709,9,0.0169897677985191
"3683",35,"BAIKUNTHPUR","GEN",56833,"BISHWANATH CHOUBEY","SHD",261,4,0.00459240230147977
"3707",185,"BALIA","GEN",58409,"RAMAWATAR SINGH","SHD",9000,3,0.154085842935164
"3716",166,"BANKA","GEN",46287,"JAYANTI PRASAD PANDIT","SHD",904,6,0.0195303216885951
"3721",120,"BANMANKHI","SC",35933,"ANUP LAL PASWAN","SHD",530,6,0.0147496730025325
"3730",247,"BARACHATTI","SC",26772,"RAM NARAIN DUSADH","SHD",2670,4,0.0997310623038996
"3755",189,"BARAUNI","GEN",70477,"RAMJIWAN SINGH","SHD",5468,3,0.0775855953005945
"3761",174,"BARBIGHA","GEN",67173,"MAHADEO SAW","SHD",1665,6,0.0247867446741995
"3775",141,"BARHAIT","ST",20734,"BHIM BASKI","SHD",298,7,0.0143725282145269
"3782",213,"BARHARA","GEN",51401,"GAURI SHANKAR MAHTO","SHD",289,7,0.00562245870702905
"3793",33,"BARHARIA","GEN",42285,"RAM LAKHAN PRASAD","SHD",1383,6,0.0327066335579993
"3817",57,"BARURAJ","GEN",60499,"MAHANTH SUKDEO GIRI","SHD",11917,3,0.196978462453925
"3829",186,"BEGUSARAI","GEN",60364,"PADUM DAS","SHD",3722,4,0.0616592671128487
"3838",238,"BELAGANJ","GEN",56341,"RAMESHWAR PRASAD YADAV","SHD",12602,2,0.223673701212261
"3849",167,"BELHAR","GEN",48744,"TARINI PRASAD YADAV","SHD",519,10,0.0106474643032989
