"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"3561",117,"ALAMNAGAR","GEN",62616,"NAKULDEO SINGH","SSP",7383,4,0.117909160597930
"3568",183,"ALAULI","SC",45749,"RAM VILAS PASWAN","SSP",20330,1,0.444381297951868
"3575",164,"AMARPUR","GEN",61430,"SUKH NARAIN SINGH","SSP",15734,1,0.256128927234250
"3586",125,"ARARIA","GEN",48048,"ZAMIRUDDIN","SSP",3668,4,0.0763403263403263
"3592",212,"ARRAH","GEN",51769,"RAM AWADESH SINGH","SSP",13556,1,0.261855550619096
"3601",233,"ARWAL","GEN",59513,"MADHO PRASAD","SSP",4778,5,0.080284979752323
"3612",196,"ASTHAWAN","GEN",57316,"MUSTABA HASAN KHAN","SSP",3474,6,0.0606113476167213
"3620",252,"ATRI","GEN",73567,"PRASIDHA NARAYAN SINGH","SSP",5252,4,0.0713907050715674
"3625",64,"AURAI","GEN",63780,"PANDAV RAI","SSP",16590,1,0.260112888052681
"3645",190,"BACHHWARA","GEN",60818,"VAIDYANATH PRASAD SINGH","SSP",17063,2,0.280558387319544
"3654",276,"BAGHMARA","GEN",41731,"IMAMUL HAI KHAN","SSP",11090,1,0.265749682490235
"3665",265,"BAGODAR","GEN",22129,"SHYAMA CHARAN PRASAD","SSP",2723,4,0.12305119978309
"3682",87,"BAHERI","GEN",61612,"VASHISHTHA NARAYAN SINGH","SSP",17912,2,0.290722586509122
"3684",35,"BAIKUNTHPUR","GEN",56833,"SABHAPATI SINGH","SSP",25176,2,0.442982070276072
"3687",187,"BAKHRI","SC",52054,"JEEW LAL MOCHI","SSP",1735,4,0.0333307718907289
"3698",193,"BAKHTIARPUR","GEN",71456,"RAMLAKHAN RAI","SSP",17896,2,0.250447828034035
"3703",185,"BALIA","GEN",58409,"AWADHESH MISHRA","SSP",6054,5,0.103648410347720
"3711",38,"BANIAPUR","GEN",48145,"RAMANAND MISHRA","SSP",22770,1,0.472946308027833
"3717",166,"BANKA","GEN",46287,"KUMAR KISHOR MANDAL","SSP",4281,3,0.0924881716248623
"3722",120,"BANMANKHI","SC",35933,"BAL BODH PASWAN","SSP",4266,3,0.118720952884535
"3728",247,"BARACHATTI","SC",26772,"BHAGWATI DEVI","SSP",11927,1,0.445502764081877
"3733",175,"BARAHIYA","GEN",67555,"KAPILDEO SINGH","SSP",23976,2,0.354910813411294
"3741",137,"BARARI","GEN",39917,"MAHENDRA NARAIN TADAV","SSP",3790,4,0.0949470150562417
"3754",189,"BARAUNI","GEN",70477,"NESIM AHMAD","SSP",1436,6,0.0203754416334407
"3768",192,"BARH","GEN",63624,"SURENDRA KUMAR","SSP",7091,4,0.111451653464102
"3792",33,"BARHARIA","GEN",42285,"MUNSHI PRASAD YADAV","SSP",1212,7,0.0286626463284853
"3799",266,"BARHI","GEN",27681,"S . ALLAUDDIN A .","SSP",1862,4,0.0672663559842491
"3804",188,"BARIARPUR","GEN",60948,"RAMJIWAN SINGH","SSP",23698,1,0.388823259171753
"3816",57,"BARURAJ","GEN",60499,"KEDAR NATH GUPTA","SSP",7602,4,0.125654969503628
"3821",68,"BATHNAHA","GEN",66520,"MOHAN LAL SHARMA","SSP",19669,2,0.295685508117859
"3828",186,"BEGUSARAI","GEN",60364,"LAXMI NARAIN SINGH","SSP",1379,5,0.0228447418991452
"3839",238,"BELAGANJ","GEN",56341,"SACHIDA NAND SINGH","SSP",9720,3,0.172520899522550
"3842",167,"BELHAR","GEN",48744,"CHATURBHUJ PRASAD SINGH","SSP",11529,1,0.236521418020679
"3852",69,"BELSAND","GEN",63211,"MOHIT SHARMA","SSP",11017,3,0.174289285092784
"3856",75,"BENIPATTI","GEN",60764,"BAIDYANATH JHA","SSP",21396,1,0.352116384701468
"3887",222,"BHABUA","GEN",54224,"SHEOPARIKSHA SINGH","SSP",9257,4,0.170717763352021
"3890",160,"BHAGALPUR","GEN",53323,"HARI SHANKAR SAHAY","SSP",2043,4,0.0383136732741969
"3899",315,"BHAWANATHPUR","GEN",41910,"HEMENDRA PRATAP","SSP",20076,1,0.479026485325698
"3903",25,"BHORE","GEN",46279,"PANCHDEO SHUKLA","SSP",2937,4,0.06346290974308
"3909",101,"BIBHUTPUR","GEN",53284,"GANGA PRASAD SHRIVASTAVA","SSP",17098,1,0.320884317994145
"3925",162,"BIHPUR","GEN",71599,"JANARDAN CHOUDHRY","SSP",1148,6,0.0160337434880375
"3940",229,"BIKRAMGANJ","GEN",60245,"BRIJ BIHARI CHAUDHARY","SSP",7016,4,0.116457797327579
"3951",86,"BIRAUL","GEN",62099,"INDRAKANT JHA","SSP",5417,5,0.0872316784489283
"3961",317,"BISHRAMPUR","SC",30853,"HARIDARSHAN RAM","SSP",4316,3,0.139889151784267
"3969",62,"BOCHAHA","SC",39049,"SITARAM RAJAK","SSP",19042,1,0.487643729672975
"3982",140,"BORIO","ST",22857,"PARMESHWAR HEMBROM","SSP",1093,6,0.0478190488690554
"3991",215,"BRAHAMPUR","GEN",52546,"SHEDNATH PANDEY","SSP",10093,2,0.192079320975907
"4000",218,"BUXAR","GEN",55291,"PRANAV CHATTERJEE","SSP",9678,3,0.175037528711725
"4003",289,"CHAIBASSA","ST",30265,"JOGESH CHANDRA BIRUA","SSP",566,7,0.0187014703452833
"4025",305,"CHAINPUR (ST)","ST",36444,"SUKRAM URAON","SSP",365,7,0.0100153660410493
"4030",169,"CHAKAI","GEN",37093,"SRIKRISHNA SINGH","SSP",15389,1,0.414876122179387
"4044",274,"CHANDANKIYARI","SC",23049,"HARI PADA RAJWAR","SSP",905,5,0.0392641763200139
"4053",200,"CHANDI","GEN",56031,"RAM SARAN PRASAD","SSP",2839,6,0.0506683800039264
"4063",7,"CHANPATIA","GEN",34934,"VEER SINGH","SSP",11655,1,0.333629129215091
"4087",182,"CHAUTHAM","GEN",61530,"JAGDAMBI MANDAL","SSP",25202,1,0.409588818462539
"4101",109,"CHHATAPUR","SC",26788,"KUMBHA NARAYAN SARDAR","SSP",11768,1,0.439301179632671
"4109",158,"COLGONG","GEN",61397,"PRAYAG SHARMA","SSP",3710,4,0.0604264051989511
"4122",313,"DALTONGANJ","GEN",39539,"PURAN CHAND","SSP",15731,1,0.397860340423379
"4132",207,"DANAPUR","GEN",53495,"RAM SEWAK SINGH","SSP",14600,2,0.272922703056360
"4139",30,"DARAULI","GEN",47680,"LACHHUMAN RAUT","SSP",13985,1,0.293309563758389
"4154",240,"DAUDNAGAR","GEN",62333,"RAM VILAS SINGH","SSP",21328,1,0.342162257552179
"4171",15,"DHAKA","GEN",49329,"NAG NARAIN THAKUR","SSP",541,5,0.0109671795495550
"4177",119,"DHAMDAHA","GEN",46203,"KALIKA PRASAD SINGH","SSP",10481,1,0.226846741553579
"4185",277,"DHANBAD","GEN",45334,"ANAND MOHAN PRASAD","SSP",541,6,0.0119336480345877
"4200",259,"DHANWAR","GEN",29245,"RAMESHWAR PRASAD AGRAWAL","SSP",5203,3,0.177910753975038
"4217",228,"DINARA","GEN",60280,"SHEOPUJAN SINGH","SSP",7153,4,0.118662906436629
"4230",263,"DUMRI","GEN",26488,"HAJI MOHAMAD HABIB ANSARI","SSP",1242,7,0.0468891573542736
"4253",124,"FORBESGANJ","GEN",49322,"JAGDISH N . PRASAD","SSP",4020,3,0.0815052106565022
"4269",314,"GARHWA","GEN",34552,"VINOD NARAIN DIXIT","SSP",11334,2,0.328027321139153
"4273",44,"GARKHA","SC",38555,"VISHWA NATH BHAGAT","SSP",13202,2,0.342419919595383
"4277",260,"GAWAN","SC",24317,"TANESHWAR AZAD","SSP",8434,1,0.346835547148086
