"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"5755",196,"ASTHAWAN","GEN",65283,"AND KISHORE PD. SINGH","HSD",16590,2,0.254124350902992
"5780",243,"AURANGABAD","GEN",49249,"BHOLA RAM","HSD",7169,3,0.145566407439745
"5794",135,"AZAMNAGAR","GEN",47621,"NURUDIN AHMAD","HSD",1689,6,0.0354675458306209
"5959",57,"BARURAJ","GEN",78343,"KEDAR NATH SINGH","HSD",885,4,0.0112964783069323
"5982",238,"BELAGANJ","GEN",69645,"RAMESHWAR PRASAD YADAV","HSD",15206,2,0.218335846076531
"6068",229,"BIKRAMGANJ","GEN",57016,"MEGHRAJ MEDHAVI","HSD",8417,4,0.147625228006174
"6100",62,"BOCHAHA","SC",42921,"RAMAI RAM","HSD",13531,1,0.315253605461196
"6145",221,"CHAINPUR","GEN",53930,"HARIDWAR PRASAD","HSD",5611,4,0.104042277025774
"6182",200,"CHANDI","GEN",60307,"JITENDRA PD. SINHA","HSD",4108,4,0.068118128907092
"6214",223,"CHENARI","SC",42586,"RAM BACHAN PASWAN","HSD",17857,1,0.419316207204246
"6264",240,"DAUDNAGAR","GEN",66284,"JAIRAM PRASAD SINGH","HSD",10828,4,0.163357673043268
"6278",222,"DHABUA","GEN",57938,"NABBI RASUL ANSAR","HSD",2636,5,0.0454969104905244
"6574",177,"JAMALPUR","GEN",58525,"BANARSI DASS","HSD",2685,5,0.045877829987185
"6625",273,"JARIDIH","GEN",38010,"SUKHDEO MAHTON","HSD",2034,5,0.0535122336227309
"6702",226,"KARAKAT","GEN",57936,"CHANDI PRASAD SINGH","HSD",4807,4,0.0829708644020989
"6716",121,"KASBA","GEN",55388,"SHEO CHARAN MEHTA","HSD",2894,4,0.0522495847475988
"6748",184,"KHAGARIA","GEN",69066,"CHANDRA SHEKHAR AZAD","HSD",1596,5,0.0231083311614977
"6762",179,"KHARAGPUR","GEN",53778,"TARINI PD. MANDAL","HSD",18273,2,0.339785786009149
"6830",59,"KURHANI","GEN",63533,"RAM NANDAN SINGH","HSD",5848,4,0.0920466529205295
"6837",234,"KURTHA","GEN",87357,"JAGDEO PRASAD","HSD",27465,2,0.314399532950994
"6967",235,"MAKHDUMPUR","SC",47009,"RAM NARAIN AZAD","HSD",2291,5,0.0487353485502776
"7003",138,"MANIHARI","GEN",46510,"BASUDEO SINGH","HSD",1504,5,0.032337131799613
"7032",202,"MASAURHI","GEN",73048,"WALESHWAR PRASAD YADAV","HSD",10998,3,0.150558536852481
"7059",220,"MOHANIA","SC",57200,"RAM KESHI PRASAD","HSD",578,6,0.0101048951048951
"7105",242,"NABINAGAR","GEN",55997,"RAM KARAN MAHTO","HSD",2472,3,0.0441452220654678
"7139",279,"NIRSA","GEN",32450,"CHAWDRA DIP YADAV","HSD",2548,4,0.0785208012326656
"7148",227,"NOKHA","GEN",64737,"BASDEO RAM","HSD",1380,5,0.0213170211779971
"7232",205,"PATNA EAST","GEN",52243,"RAJENDRA PRASAD VERMA","HSD",2598,5,0.0497291503167889
"7339",198,"RAJGIR","SC",70774,"NARAYAN SHASTRI","HSD",1638,5,0.023144092463334
"7349",139,"RAJMAHAL","GEN",49718,"SITARAM SINGH","HSD",487,8,0.00979524518283117
"7359",219,"RAMGARH 1","GEN",62729,"RAM NARAYAN SINGH","HSD",3145,3,0.0501363005946213
"7472",224,"SASARAM","GEN",61733,"RAM SEWAK SINGH","HSD",19573,1,0.317058947402524
