"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"5713",13,"ADAPUR","GEN",55601,"RAMPRIT RAI","INC",25931,1,0.466376504019712
"5715",117,"ALAMNAGAR","GEN",68799,"VIDYAKAR DEVI","INC",44422,1,0.645677989505661
"5717",183,"ALAULI","SC",56025,"MISHRI SADA","INC",29999,1,0.535457385095939
"5720",164,"AMARPUR","GEN",66180,"BALRAM RAI","INC",20464,2,0.309217286189181
"5734",125,"ARARIA","GEN",64151,"SHITAL PRASAD GUPTA","INC",18913,2,0.294820033982323
"5745",212,"ARRAH","GEN",54520,"SUMITRA DEVI","INC",17644,1,0.323624358033749
"5760",196,"ASTHAWAN","GEN",65283,"MD. SHAMSUL HODA ASTHANWI","INC",15232,3,0.233322610786882
"5773",252,"ATRI","GEN",80394,"URMILA DEVI","INC",18685,3,0.232417842127522
"5778",64,"AURAI","GEN",84287,"RAMBABU SINGH","INC",48329,1,0.573386168685562
"5789",135,"AZAMNAGAR","GEN",47621,"ABU ZAFFAR","INC",7824,3,0.164297263812184
"5797",190,"BACHHWARA","GEN",71007,"RAMDEO RAI","INC",39701,1,0.559113890179841
"5802",2,"BAGAHA","SC",42203,"NARSINGH BAITHA","INC",27216,1,0.644883065184939
"5806",276,"BAGHMARA","GEN",40432,"IMAMUL HAI KHAN","INC",22656,1,0.560348239018599
"5818",265,"BAGODAR","GEN",25228,"SAFIRUDIN MAIN","INC",7561,2,0.299706675122879
"5822",127,"BAHADURGANJ","GEN",46879,"NAZAMUDDIN","INC",30697,1,0.654813455918428
"5826",282,"BAHARAGORA","GEN",51478,"SHIBU RANJAN KHAN","INC",17980,1,0.349275418625432
"5832",87,"BAHERI","GEN",86101,"RAM CHANDAR SINGH","INC",21894,2,0.254282760943543
"5841",35,"BAIKUNTHPUR","GEN",63661,"SHEOBACHAN TRIVEDI","INC",10094,3,0.158558615164701
"5856",185,"BALIA","GEN",64957,"ASHFAQUE AHMAD RAHMANI","INC",14830,2,0.228304878612005
"5869",38,"BANIAPUR","GEN",64081,"UMA PANDEY","INC",43650,1,0.681169145300479
"5873",166,"BANKA","GEN",46679,"THAKUR KAMAKHYA PRASAD SINGH","INC",21172,1,0.453565843312839
"5878",120,"BANMANKHI","SC",36586,"RASIK LAL RISHIDEV","INC",20887,1,0.570901437708413
"5880",247,"BARACHATTI","SC",28581,"MOHAN RAM","INC",12011,1,0.420244218186907
"5887",175,"BARAHIYA","GEN",77994,"SIDHESHWAR PRASAD SINGH","INC",25599,2,0.328217555196554
"5891",137,"BARARI","GEN",50487,"MOHAMMAD SHAKUR","INC",21853,1,0.432844098480797
"5915",192,"BARH","GEN",70080,"THAKUR DWARIKANATH SINGH","INC",31909,1,0.455322488584475
"5918",141,"BARHAIT","ST",32855,"JAI BI BESRA","INC",4858,3,0.147861817075027
"5925",213,"BARHARA","GEN",51740,"MAHA DEVA NAND GIRI","INC",10746,2,0.207692307692308
"5942",266,"BARHI","GEN",31864,"RAMESHWAR PRASAD MAHATA","INC",14293,1,0.448562641225207
"5943",188,"BARIARPUR","GEN",67146,"BHUB NESHWAR PRASAD","INC",27438,2,0.408631936377446
"5947",270,"BARKAGAON","SC",23260,"ARJUN RAM","INC",8508,2,0.365778159931212
"5954",134,"BARSO","GEN",35945,"BEAULA DOZA","INC",17675,1,0.491723466407011
"5960",57,"BARURAJ","GEN",78343,"RAMCHANDRA PD. SHAHI","INC",33365,2,0.425883614362483
"5965",68,"BATHNAHA","GEN",69459,"RAM BAHADUR SINGH","INC",9026,3,0.129947163074620
"5969",186,"BEGUSARAI","GEN",65042,"GITA SINGH","INC",11771,2,0.180975369761077
"5979",238,"BELAGANJ","GEN",69645,"KEDAR NATH SAHNDILYA","INC",8514,3,0.122248546198579
"5990",167,"BELHAR","GEN",42662,"SHAKUNTALA DEVI","INC",14822,1,0.34742862500586
"5995",69,"BELSAND","GEN",63469,"RAMSURAT SINGH","INC",30501,1,0.480565315350801
"6002",89,"BENIPUR","GEN",72175,"HARINATH MISHRA","INC",42658,1,0.591035677173537
"6005",264,"BERMO","GEN",51720,"BINDESHWARI DUBEY","INC",19937,1,0.385479505027069
"6013",308,"BERO","ST",31486,"KARAMCHAND BHAGAT","INC",15510,1,0.492599885663469
"6018",8,"BETTIAH","GEN",49919,"KRISHNA MOHAN PANDEY","INC",16646,1,0.333460205532963
"6022",160,"BHAGALPUR","GEN",51735,"HARENDRA PRASAD JHA","INC",15089,2,0.291659418188847
"6031",315,"BHAWANATHPUR","GEN",48715,"SHANKAR PRATAP SINGH","INC",28540,1,0.585856512367854
"6035",25,"BHORE","GEN",55426,"RAJ MANGAL MISHRA","INC",37419,1,0.675116371378054
"6037",101,"BIBHUTPUR","GEN",69505,"BANDHU MAHTO","INC",31095,1,0.447377886482987
"6054",209,"BIKRAM","GEN",59599,"DIWAKER SHARMA","INC",18713,2,0.313981778217755
"6081",86,"BIRAUL","GEN",88559,"NURUL HODA","INC",13226,3,0.149346763174833
"6093",317,"BISHRAMPUR","SC",34905,"RAMDENI SINGH","INC",17574,1,0.503480876665234
"6102",62,"BOCHAHA","SC",42921,"SITARAM RAJAK","INC",7442,3,0.173388318072738
"6114",140,"BORIO","ST",33067,"SHIB MARANDI","INC",8751,2,0.264644509631959
"6123",215,"BRAHAMPUR","GEN",57484,"RISHIKESH TIWARI","INC",22037,1,0.383358847679354
"6130",218,"BUXAR","GEN",53607,"JAG NARAIN TRIVEDI","INC",28424,1,0.53022926110396
"6136",289,"CHAIBASSA","ST",32066,"MADHU SUDAN BODRA","INC",12105,2,0.377502650782761
"6157",305,"CHAINPUR (ST)","ST",31885,"MAIKEL KUJUR","INC",6650,2,0.208562019758507
"6163",169,"CHAKAI","GEN",44771,"CHANDRA SHEKHAR SINGH","INC",22280,1,0.497643563914141
"6172",293,"CHAKRADHARPUR","ST",32992,"THEODORE BODRA","INC",13616,1,0.41270611057226
"6175",7,"CHANAPATIA","GEN",39862,"UMESH PRASAD VERMA","INC",20615,1,0.517159199237369
"6178",274,"CHANDANKIYARI","SC",21343,"DURGACHARAN DAS","INC",13781,1,0.64569179590498
"6185",200,"CHANDI","GEN",60307,"RAM RAJ PRASAD SINGH","INC",20040,1,0.332299733032650
"6189",43,"CHAPRA","GEN",70673,"JANAK YADAV","INC",30240,1,0.427886180012169
"6197",269,"CHATRA","GEN",38206,"TAPESHWAR DEV","INC",16356,1,0.428100298382453
"6198",268,"CHAUPARAN","GEN",33970,"NAND KISHORE SINGH","INC",14911,1,0.438946128937298
"6205",182,"CHAUTHAM","GEN",59541,"GHANSHYAM SINGH","INC",21580,1,0.362439327522212
"6209",223,"CHENARI","SC",42586,"CHHATHU RAM","INC",13937,2,0.327267177006528
"6221",109,"CHHATARUR","SC",50404,"KUMBHA NARAYAN SARDAR","INC",22309,1,0.442603761606222
