"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"5710",13,"ADAPUR","GEN",55601,"BRAJNANDAN SHARMA","NCO",7967,3,0.143288789769968
"5716",183,"ALAULI","SC",56025,"DHANPAT DAS","NCO",1214,3,0.0216688978134761
"5722",164,"AMARPUR","GEN",66180,"PASHUPATI SINGH","NCO",8571,3,0.129510426110607
"5728",131,"AMOUR","GEN",44543,"MD. ISMAIL","NCO",12008,2,0.269582201468244
"5730",125,"ARARIA","GEN",64151,"ABDUL RASHID","NCO",639,5,0.0099608735639351
"5750",233,"ARWAL","GEN",70376,"RAGHURAJ SINGH","NCO",7821,5,0.111131635784927
"5757",196,"ASTHAWAN","GEN",65283,"AYODHYA PRASAD","NCO",18285,1,0.280088231239373
"5770",252,"ATRI","GEN",80394,"MAHESHWARI PRASAD SINGH","NCO",33394,1,0.415379257158494
"5775",64,"AURAI","GEN",84287,"KRISHNA BULLAV PD. SINGH","NCO",4197,3,0.0497941556823709
"5781",243,"AURANGABAD","GEN",49249,"BRIJMOHAN SINGH","NCO",14959,1,0.303742207963613
"5792",135,"AZAMNAGAR","GEN",47621,"MOHAMMAD AYUB","NCO",18787,1,0.394510825056173
"5798",190,"BACHHWARA","GEN",71007,"TRIPTY NARAYAN CHAUDHRY","NCO",3815,4,0.0537270973284324
"5805",276,"BAGHMARA","GEN",40432,"BHAGWAN DAS PASWAN","NCO",627,8,0.0155075187969925
"5816",265,"BAGODAR","GEN",25228,"GULAB MUSTHAFA","NCO",491,4,0.0194625019819248
"5821",127,"BAHADURGANJ","GEN",46879,"ISLAMUDDIN BAGI","NCO",3004,3,0.0640798651848376
"5823",282,"BAHARAGORA","GEN",51478,"DEVENDRA MAHATO","NCO",518,5,0.0100625509926571
"5835",87,"BAHERI","GEN",86101,"SRICHARAN AZAD","NCO",247,7,0.00286872394048850
