"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"5712",13,"ADAPUR","GEN",55601,"RAM BARAN PRASAD","SOP",2792,4,0.0502149241920109
"5718",183,"ALAULI","SC",56025,"RAM BILAS PASWAN","SOP",23192,2,0.413958054439982
"5724",164,"AMARPUR","GEN",66180,"SUKH NARAIN SINGH","SOP",7302,4,0.110335448776065
"5725",131,"AMOUR","GEN",44543,"CHANDRA SEKHAR JHA","SOP",11047,3,0.248007543272793
"5731",125,"ARARIA","GEN",64151,"AZAM","SOP",28205,1,0.439665788530187
"5740",212,"ARRAH","GEN",54520,"RAM WADHESH SINGH","SOP",17191,2,0.315315480557594
"5751",233,"ARWAL","GEN",70376,"RAM PRASAD SINGH","SOP",7936,4,0.112765715584858
"5756",196,"ASTHAWAN","GEN",65283,"AVINASH CHANDRA VERMA","SOP",6453,4,0.0988465603602776
"5771",252,"ATRI","GEN",80394,"PRASIDH SINGH","SOP",636,6,0.00791103813717442
"5776",64,"AURAI","GEN",84287,"PANDEV RAI","SOP",30436,2,0.361099576447139
"5779",243,"AURANGABAD","GEN",49249,"ARJOO SINGH","SOP",10884,2,0.220999411155556
"5791",135,"AZAMNAGAR","GEN",47621,"KEDAR NATH PALIT","SOP",8016,2,0.168329098506961
"5799",190,"BACHHWARA","GEN",71007,"VAIDYA NATH PRASAD SINGH","SOP",16933,2,0.238469446674272
"5804",2,"BAGAHA","SC",42203,"SUWARN BAITHA","SOP",9677,2,0.229296495509798
"5815",276,"BAGHMARA","GEN",40432,"SURYA KANT ROY","SOP",4084,2,0.101009101701622
"5819",265,"BAGODAR","GEN",25228,"SARDA DEVI","SOP",2840,3,0.112573331219280
"5820",127,"BAHADURGANJ","GEN",46879,"DILIP NARAYAN JHA","SOP",12313,2,0.262654920113484
"5830",87,"BAHERI","GEN",86101,"BASHISTH NARAYAN SINGH","SOP",15310,3,0.177814427242425
"5840",35,"BAIKUNTHPUR","GEN",63661,"SABHAPATI SINGH","SOP",36959,1,0.580559526240555
"5842",187,"BAKHRI","SC",45723,"CHAMAK LAL AZAD","SOP",406,5,0.00887955733438313
"5848",193,"BAKHTIARPUR","GEN",92382,"BHOLA PRASAD SINGH","SOP",30432,1,0.329414821069039
"5857",185,"BALIA","GEN",64957,"BENARSI PRASAD SINGH","SOP",9589,4,0.147620733716151
"5867",38,"BANIAPUR","GEN",64081,"RAM BAHADUR ROY","SOP",8995,3,0.140369220205677
"5872",166,"BANKA","GEN",46679,"RAM LAKHAN YADAV","SOP",4006,4,0.0858201760963174
"5875",120,"BANMANKHI","SC",36586,"BALBODH PASWAN","SOP",4363,3,0.119253266276718
