"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"7870",287,"BAHARAGORA","GEN",40955,"RAMESH CHANDRA DIGAR","JKP",4450,3,0.108655841777561
"8360",295,"CHAIBASA","ST",24752,"MUKTIDANI SUMBRUI","JKP",6931,1,0.280017776341306
"8388",299,"CHAKRADHARPUR","ST",33370,"DEVENDRA MANJHI","JKP",9225,2,0.276445909499551
"8751",288,"GHATSILA","ST",28878,"YADU NATH BASKE","JKP",2663,4,0.0922155273910936
"8892",307,"HATIA","GEN",36317,"LAL BRIJ KISHORE NATH SAHDEO","JKP",978,5,0.026929537131371
"8984",297,"JAGANATHPUR","ST",20475,"MANGAL SINGH LAMAI","JKP",8440,2,0.412210012210012
"9055",291,"JAMSHEDPUR EAST","GEN",40803,"NAWAL KISHOR SINGH","JKP",532,5,0.0130382569909075
"9145",290,"JUGSULAI","SC",27587,"PRADHAN MALUA","JKP",1743,3,0.0631819335194113
"9171",308,"KANKE","SC",33862,"RAM SEVAK RAM RAVI","JKP",1656,3,0.048904376587325
"9287",300,"KHARASAWAN","ST",24004,"MANORANJAN BODRA","JKP",3617,2,0.150683219463423
"9294",305,"KHIJRI","ST",36471,"S. LAKRA","JKP",6823,2,0.187080145869321
"9303",303,"KHUNTI","ST",32638,"PHULCHAND KACHHAP","JKP",1915,4,0.0586739383540658
"9332",311,"KOLEBIRA","ST",34448,"S.K.BAGE","JKP",6147,3,0.178442870413377
"9549",296,"MAJHGAON","ST",24519,"BAMA CHARAN KUNKAL","JKP",2794,3,0.11395244504262
"9581",309,"MANDAR","ST",47535,"DAVID MUNJNI","JKP",1120,6,0.0235615861996424
"9648",298,"MANOHARPUR","ST",25111,"RASAI BHAWAR","JKP",5549,2,0.220978853888734
"10063",289,"POTKA","ST",29793,"SANATAN MANJNI","JKP",5604,2,0.188097875339845
"10192",306,"RANCHI","GEN",34349,"MANIBUL RAHMAN","JKP",3104,3,0.090366531776762
"10412",304,"SILLI","GEN",35298,"BASANT KUMAR MAHTO","JKP",922,8,0.0261204600827242
"10439",312,"SIMDEGA","ST",31601,"VICTOR ORAON","JKP",2859,4,0.0904718205120091
"10603",301,"TAMAR","ST",24162,"DHAN SINGH MUNDA","JKP",1334,5,0.055210661369092
