"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"10696",13,"ADAPUR","GEN",66705,"SAJAWAL RAI","INC(I)",19411,2,0.290997676336107
"10702",123,"ALAMNAGAR","GEN",79867,"VIDYAKAR KAVI","INC(I)",25816,2,0.323237382147821
"10704",184,"ALAULI","SC",59718,"MISHRI SADA","INC(I)",28720,1,0.480927023677953
"10716",172,"AMARPUR","GEN",81277,"NIL MOHAN SINGH","INC(I)",24912,1,0.306507376010433
"10723",136,"AMOUR","GEN",62916,"M. MOIJUDDIN MINSHI","INC(I)",14917,1,0.237093902981753
"10736",130,"ARARIA","GEN",72720,"SHRIDEO JHA","INC(I)",16182,2,0.222524752475248
"10747",216,"ARRAH","GEN",68308,"S.M. ISA","INC(I)",36781,1,0.538458160098378
"10754",242,"ARWAL","GEN",98635,"DEO KUMAR SHARMA","INC(I)",19307,2,0.195741876615806
"10764",193,"ASTHAWAN","GEN",96155,"AYODHYA PRASAD","INC(I)",51363,1,0.53416878997452
"10776",256,"ATRI","GEN",114998,"MAHESHWARI PRASAD SINGH","INC(I)",17874,4,0.155428790065914
"10788",62,"AURAI","GEN",91722,"TRIBENI PRASAD SINGH","INC(I)",42467,2,0.462996881882209
"10793",238,"AURANGABAD","GEN",76324,"RAM GOBIND PRASAD SINGH","INC(I)",13225,3,0.173274461506210
"10802",77,"BABUBARHI","GEN",80600,"MAHENDRA NARAIN JHA","INC(I)",32349,1,0.401352357320099
"10813",107,"BACHWARA","GEN",76430,"RAMDEO ROY","INC(I)",31212,1,0.408373675258406
"10824",2,"BAGHA","SC",55657,"TRILOKI HARIJAN","INC(I)",32516,1,0.584221212066766
"10834",281,"BAGHMARA","GEN",64397,"SHANKAR DAYAL SINGH","INC(I)",35949,1,0.558240290696772
"10838",272,"BAGODAR","GEN",48191,"HRIDAY NARAYAN DEO","INC(I)",8367,2,0.173621630594924
"10851",133,"BAHADURGANJ","GEN",58572,"NAJUMUDDIN","INC(I)",19773,1,0.337584511370621
"10861",287,"BAHARAGORA","GEN",63393,"VISHNU PADA GHOSH","INC(I)",17432,2,0.274983042291736
"10864",85,"BAHERA","GEN",106155,"PARMA NAND JHA","INC(I)",57657,1,0.543139748480995
"10873",87,"BAHERI","GEN",100502,"RAMA KANT JHA","INC(I)",49502,1,0.492547411991801
"10884",26,"BAIKUNTHPUR","GEN",69514,"SHARDA SINGH","INC(I)",9239,4,0.132908478867566
"10888",137,"BAISI","GEN",54351,"HASIBUR RAHMAN","INC(I)",15236,2,0.280326028959909
