"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"10689",13,"ADAPUR","GEN",66705,"NAGENDRA YADAV","INC(U)",10258,3,0.153781575594033
"10706",184,"ALAULI","SC",59718,"PARMA NAND PRASAD","INC(U)",366,4,0.00612880538531096
"10708",172,"AMARPUR","GEN",81277,"BALRAM RAI","INC(U)",2075,6,0.0255299777304773
"10733",130,"ARARIA","GEN",72720,"JANARDAN BISWAS","INC(U)",3234,6,0.0444719471947195
"10744",216,"ARRAH","GEN",68308,"MAHADEWA NAND GIRI","INC(U)",2541,5,0.0371991567605551
"10762",242,"ARWAL","GEN",98635,"SUKHDEO LAL MEHTA","INC(U)",800,9,0.00811071120798905
"10781",256,"ATRI","GEN",114998,"SURENDRA PRASAD","INC(U)",43898,1,0.381728377884833
"10785",62,"AURAI","GEN",91722,"RAM SAJIWAN THAKUR","INC(U)",175,7,0.00190793920760559
"10819",2,"BAGHA","SC",55657,"JAGANNATH PRASAD SWATANTRA","INC(U)",1812,4,0.0325565517365291
"10839",272,"BAGODAR","GEN",48191,"IMAMAN ANSARI","INC(U)",1638,8,0.0339897491232803
"10900",203,"BAKHTIARPUR","GEN",114687,"RAM LAKHAN SINGH YADAV","INC(U)",76359,1,0.665803447644458
"10905",103,"BALIA","GEN",79783,"GITA SINGH","INC(U)",4739,4,0.0593986187533685
"10912",36,"BANIAPUR","GEN",57502,"RAM BAHADUR RAI","INC(U)",11094,3,0.192932419741922
"10919",174,"BANKA","GEN",60049,"NARSINGH PRASAD CHOUDHRY","INC(U)",939,6,0.0156372295958301
"10928",126,"BANMANKHI","SC",57495,"JAIKANT PASWAN","INC(U)",24608,1,0.428002434994347
"10939",254,"BARACHATTI","SC",57846,"MOHAN RAM","INC(U)",22419,2,0.387563530754071
"10944",141,"BARARI","GEN",57959,"BASUDEO PRASAD SINGH","INC(U)",312,11,0.00538311565071861
"10956",25,"BARAULI","GEN",59760,"ABDUL GHAFOOR","INC(U)",24084,1,0.403012048192771
"10987",202,"BARH","GEN",100216,"RANA SHEO LAKH PATI SINGH","INC(U)",4957,4,0.0494631595753173
"11012",263,"BARHI","GEN",41503,"AMBIKA SINGH","INC(U)",2109,5,0.0508156036912994
"11024",266,"BARKAGAON","GEN",62022,"MAHANDRA PRATAP SINGH","INC(U)",6749,4,0.108816226500274
"11037",270,"BARKATHA","GEN",58823,"ABDUL SAKUR","INC(U)",2875,5,0.0488754398789589
"11065",68,"BATHNAHA","GEN",99496,"SURYADEO RAI","INC(U)",42279,1,0.424931655543941
"11072",105,"BEGUSARAI","GEN",69602,"SAJJAN SINGH","INC(U)",884,7,0.0127007844602167
"11091",247,"BELAGANJ","GEN",96164,"SHATRUGHNA SHARAN SINGH","INC(U)",29847,1,0.310376024291835
"11103",175,"BELHAR","GEN",61666,"VIJAY NARAIN KAPRI","INC(U)",2692,6,0.0436545259948756
"11106",65,"BELSAND","GEN",71771,"AWADH KISHORE PRASAD","INC(U)",7753,4,0.108024132309707
"11140",230,"BHABHUA","GEN",80245,"BHANU PRATAP SINGH","INC(U)",20154,3,0.251155835254533
"11155",168,"BHAGALPUR","GEN",60744,"SHYAM SUNDER SINGH","INC(U)",400,6,0.00658501251152377
"11165",22,"BHORE","SC",61758,"BISHWANATH GUPTA SHASTRI","INC(U)",4374,5,0.070824832410376
"11176",99,"BIBHUTPUR","GEN",78745,"RAMKHELAWAN MAHTO","INC(U)",797,6,0.0101212775414312
"11212",226,"BIKRAMGANJ","GEN",85675,"KANTA PD. SINGH","INC(U)",1724,7,0.0201225561715786
"11258",253,"BODH GAYA","SC",63019,"RAMJEE MANJHI","INC(U)",358,7,0.00568082641742966
