"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"10697",13,"ADAPUR","GEN",66705,"SHARMIM UDIN HASMI","JNP(SC)",22693,1,0.340199385353422
"10699",123,"ALAMNAGAR","GEN",79867,"BIRENDRA KUMAR","JNP(SC)",33419,1,0.418433145103735
"10707",184,"ALAULI","SC",59718,"PASHUPATI KUMAR PARAS","JNP(SC)",19280,2,0.322850731772665
"10710",172,"AMARPUR","GEN",81277,"DHIRENDRA PRASAD YADAV","JNP(SC)",21912,2,0.26959656483384
"10729",136,"AMOUR","GEN",62916,"TAIYAB AZAD KHAN","JNP(SC)",3934,7,0.0625278148642635
"10734",130,"ARARIA","GEN",72720,"MOH. TASILMUDDIN","JNP(SC)",26665,1,0.366680418041804
"10748",216,"ARRAH","GEN",68308,"SUMITRA DEVI","JNP(SC)",13392,2,0.196053170931662
"10759",242,"ARWAL","GEN",98635,"RAMA NAND SINGH","JNP(SC)",15914,4,0.161342322704922
"10771",193,"ASTHAWAN","GEN",96155,"VIJAY KUMAR YADAV","JNP(SC)",844,5,0.00877749467006396
"10778",256,"ATRI","GEN",114998,"RAJENDRA PRASAD","JNP(SC)",372,6,0.0032348388667629
"10782",62,"AURAI","GEN",91722,"GANESH PRASAD YADAV","JNP(SC)",46783,1,0.510052113996642
"10795",238,"AURANGABAD","GEN",76324,"SARJOO SINGH","JNP(SC)",2988,7,0.0391488915675279
"10807",77,"BABUBARHI","GEN",80600,"RAMESAR RAY","JNP(SC)",14729,3,0.182741935483871
"10814",107,"BACHWARA","GEN",76430,"RAMSHANKER SINGH","JNP(SC)",3243,4,0.0424309825984561
"10825",2,"BAGHA","SC",55657,"VIDYA KISHORE VIDYALANKAR","JNP(SC)",1289,5,0.0231597103688665
"10836",272,"BAGODAR","GEN",48191,"GAUTAM SAGAR RANA","JNP(SC)",5804,3,0.120437426075408
"10849",133,"BAHADURGANJ","GEN",58572,"KHALILUR REHMAN","JNP(SC)",4832,5,0.0824967561292085
"10862",85,"BAHERA","GEN",106155,"ABDUL BARI SIDDIQUI","JNP(SC)",37235,2,0.350760680137535
"10872",87,"BAHERI","GEN",100502,"RAM LAKHAN YADAV","JNP(SC)",30979,2,0.308242622037372
"10879",26,"BAIKUNTHPUR","GEN",69514,"DEDOAT RAI","JNP(SC)",13067,2,0.187976522714849
"10887",137,"BAISI","GEN",54351,"HALESHWAR BISWAS","JNP(SC)",8317,3,0.153023863406377
"10892",109,"BAKHRI","SC",59000,"BHUNESHWAR DAS","JNP(SC)",801,4,0.0135762711864407
"10909",103,"BALIA","GEN",79783,"SRINARHYAN YADAV","JNP(SC)",34247,1,0.429251845631275
"10910",36,"BANIAPUR","GEN",57502,"ARJUN PRASAD","JNP(SC)",3634,4,0.063197801815589
"10920",174,"BANKA","GEN",60049,"SACHIDAN SINGH","JNP(SC)",3244,5,0.0540225482522607
"10935",254,"BARACHATTI","SC",57846,"BHAGWATI DEVI","JNP(SC)",4514,3,0.0780347820073990
"10953",141,"BARARI","GEN",57959,"SAPANA DEVI","JNP(SC)",11061,2,0.190841801963457
"10979",192,"BARBIGHA","SC",84030,"RAMJI PRASAD","JNP(SC)",10349,2,0.12315839581102
"10981",202,"BARH","GEN",100216,"BIJAY KRISHNA SINGH","JNP(SC)",36886,2,0.368064979643969
"10995",149,"BARHAIT","ST",43329,"SHAMSAN TUDU","JNP(SC)",829,8,0.0191326824990191
"11008",215,"BARHARA","GEN",72360,"RAMESHWAR UPADHYAYA","JNP(SC)",7225,3,0.099847982310669
"11020",266,"BARKAGAON","GEN",62022,"BASANTI DEVI","JNP(SC)",7921,3,0.127712747089742
"11044",270,"BARKATHA","GEN",58823,"VISHWANATH MODI","JNP(SC)",3556,4,0.0604525440728967
"11046",144,"BARSOI","GEN",56993,"KHURSHID ALAM","JNP(SC)",4141,3,0.0726580457249136
"11052",55,"BARURAJ","GEN",87170,"SHASHI KUMAR RAI","JNP(SC)",29122,2,0.334082826660548
"11054",27,"BASANTPUR","GEN",90156,"MANIK CHAND ROY","JNP(SC)",47159,1,0.52308221305293
"11070",105,"BEGUSARAI","GEN",69602,"PRAM NARAYAN MEHTA","JNP(SC)",2082,5,0.0299129335363926
"11094",247,"BELAGANJ","GEN",96164,"YOGENDRA KUMAR","JNP(SC)",121,11,0.00125826712699139
"11097",175,"BELHAR","GEN",61666,"CHATURBHUJ PRASAD SINGH","JNP(SC)",13082,2,0.212142833976584
"11108",65,"BELSAND","GEN",71771,"RAGHUBANS PRASAD SINGH","JNP(SC)",27856,1,0.388123336723746
"11113",73,"BENIPATTI","GEN",80738,"SHALIGRAM YADAV","JNP(SC)",22471,3,0.278319998018281
"11119",278,"BERMO","GEN",64122,"GULAM RASUL","JNP(SC)",3896,4,0.0607591778172858
"11131",8,"BETTIAH","GEN",73877,"KHURSHID ALAM","JNP(SC)",392,9,0.0053061169240765
"11148",168,"BHAGALPUR","GEN",60744,"BANARSI PRASAD GUPTA","JNP(SC)",21034,2,0.346272882918478
"11161",321,"BHAWANATHPUR","GEN",57488,"RAM CHANDRA PRASAD KOSH","JNP(SC)",13005,2,0.226221124408572
"11166",22,"BHORE","SC",61758,"INDRADEO MANJHI","JNP(SC)",9301,3,0.150603970335827
"11172",99,"BIBHUTPUR","GEN",78745,"RAJENDRA NARAIN SHARMA","JNP(SC)",19086,3,0.242377293796432
"11182",194,"BIHAR","GEN",97707,"MUSTAFA HASSAN KHAN","JNP(SC)",3043,5,0.0311441350159149
"11191",170,"BIHPUR","GEN",71860,"PURUSHOTAM KUMAR","JNP(SC)",7228,4,0.100584469802394
"11207",212,"BIKRAM","GEN",89681,"RAMESHWAR PD.SINGH","JNP(SC)",881,7,0.00982370847782696
"11217",226,"BIKRAMGANJ","GEN",85675,"NARENDRA KUMAR SINGH","JNP(SC)",6055,6,0.0706740589436825
"11225",74,"BISFI","GEN",102240,"HARSHIT WATI","JNP(SC)",2769,7,0.0270833333333333
"11239",314,"BISHNUPUR","ST",33114,"SHUKA KUJUR","JNP(SC)",1241,4,0.0374765960016911
"11246",60,"BOCHAHA","SC",58599,"KAMAL PASWAN","JNP(SC)",13514,3,0.230618269936347
"11257",253,"BODH GAYA","SC",63019,"RAJESH KUMAR","JNP(SC)",21798,2,0.345895682254558
"11262",279,"BOKARO","GEN",96273,"AKLU RAM MAHTO","JNP(SC)",32969,1,0.342453231954961
"11284",148,"BORIO","ST",34264,"BENZAMIN MURMU","JNP(SC)",3491,4,0.101885360728461
"11298",218,"BRAHMPUR","GEN",78428,"RAM AWADESH CHAUDHARY","JNP(SC)",13049,3,0.16638190442189
"11308",219,"BUXAR","GEN",59217,"NET LAL SINGH","JNP(SC)",953,6,0.0160933515713393
"11322",295,"CHAIBASA","ST",30016,"SARJU HANSADA","JNP(SC)",1165,6,0.0388126332622601
"11334",231,"CHAINPUR","GEN",59549,"RAM LAHIN SINGH","JNP(SC)",11763,2,0.197534803271256
"11340",177,"CHAKAI","GEN",68455,"GITANANDAN SINGH","JNP(SC)",325,7,0.00474764443795194
"11356",286,"CHANDANKIYARI","SC",40306,"RAJENDRA KUMAR SISODIA","JNP(SC)",522,12,0.0129509254205329
"11366",199,"CHANDI","GEN",80595,"HARI NARAYAN SINGH","JNP(SC)",25981,2,0.322364910974626
"11380",7,"CHANPATIA","GEN",48082,"VIR SINGH","JNP(SC)",4195,3,0.0872467867393203
"11388",41,"CHAPRA","GEN",81514,"JANAK YADAV","JNP(SC)",27568,1,0.338199573079471
"11397",264,"CHATRA","SC",37081,"MUSENDRA DAS","JNP(SC)",1838,4,0.0495671637765972
"11400",182,"CHAUTHAM","GEN",84033,"JAGDAMBI MANDAL","JNP(SC)",23908,2,0.284507276903121
"11406",233,"CHENARI","SC",75429,"CHHEDI PRASAD","JNP(SC)",17731,2,0.235068740139734
"11421",108,"CHERIA BARIARPUR","GEN",62458,"SHALIGRAM SINGH","JNP(SC)",6253,4,0.100115277466457
"11427",114,"CHHATAPUR","SC",73663,"SITARAM PASWAN","JNP(SC)",20389,2,0.276787532411115
"11429",323,"CHHATARPUR","SC",35843,"JORAWAR RAM","JNP(SC)",5758,2,0.160645035292805
"11436",166,"COLGONG","GEN",89329,"JAGESHWAR MANDAL","JNP(SC)",12634,2,0.141432233653125
"11446",98,"DALSINGHSARAI","GEN",74354,"RAMPADARATH MAHTO","JNP(SC)",22040,2,0.296419829464454
"11455",319,"DALTONGANJ","GEN",55389,"PURAN CHAND","JNP(SC)",1826,5,0.032966834570041
"11480",31,"DARAULI","GEN",64236,"LAXMAN YADAV RAWAT","JNP(SC)",11407,3,0.177579550407871
"11489",89,"DARBHANGA","GEN",71009,"KAMESHWAR PURBE","JNP(SC)",21850,2,0.307707473700517
"11502",88,"DARBHANGA RURAL","SC",76196,"JAGDISH CHOUDHARY","JNP(SC)",41290,1,0.541891962832695
"11517",235,"DEHRI","GEN",71275,"MOHAMMAD ILIAS HUSSAIN","JNP(SC)",15640,1,0.219431778323395
"11531",237,"DEO","SC",57818,"SITABI PRASAD","JNP(SC)",912,5,0.0157736345082846
"11538",158,"DEOGHAR","SC",48267,"VEENA RANI","JNP(SC)",3284,6,0.0680382041560487
"11546",14,"DHAKA","GEN",97652,"SHEO CHARAN SINGH","JNP(SC)",11519,4,0.117959693605866
