"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"10719",172,"AMARPUR","GEN",81277,"SHRI KANT THAKUR","JNP(SR)",1261,9,0.0155148442978949
"10727",136,"AMOUR","GEN",62916,"NAZMUDDIN","JNP(SR)",13572,2,0.215716193019264
"10743",216,"ARRAH","GEN",68308,"LETAFAT HUSSAIN","JNP(SR)",4444,4,0.0650582655033085
"10803",77,"BABUBARHI","GEN",80600,"MD. BADRUDIN","JNP(SR)",2354,6,0.0292059553349876
"10832",281,"BAGHMARA","GEN",64397,"RAMUATAR CHOUHAN","JNP(SR)",1231,4,0.0191157973197509
"10867",85,"BAHERA","GEN",106155,"RAMBILASH YADAV","JNP(SR)",929,5,0.00875135415194762
"10880",26,"BAIKUNTHPUR","GEN",69514,"HARENDRA NATH PRASAD","JNP(SR)",1894,7,0.0272463100958080
"10906",103,"BALIA","GEN",79783,"MEHDI HUSNAIN","JNP(SR)",279,8,0.00349698557336776
"10911",36,"BANIAPUR","GEN",57502,"MUHAMMAD ALIM","JNP(SR)",745,6,0.0129560710931794
"10937",254,"BARACHATTI","SC",57846,"JAGAN DASS","JNP(SR)",1445,5,0.0249801196279777
"10951",141,"BARARI","GEN",57959,"MUSA ALI","JNP(SR)",479,8,0.00826446280991736
"10962",25,"BARAULI","GEN",59760,"HARENDRA NATH PRASAD","JNP(SR)",324,12,0.00542168674698795
"11004",215,"BARHARA","GEN",72360,"KRISHNA RAJ PRASAD","JNP(SR)",2381,6,0.0329049198452184
"11011",263,"BARHI","GEN",41503,"ALLAUDDIN AHMAD WARKATI","JNP(SR)",762,8,0.0183601185456473
"11025",266,"BARKAGAON","GEN",62022,"MD. NAYEEM","JNP(SR)",2952,6,0.0475960143175002
"11056",27,"BASANTPUR","GEN",90156,"RAMJEE SINGH","JNP(SR)",308,5,0.00341630063445583
"11082",247,"BELAGANJ","GEN",96164,"MUNDRIKA SINGH NAYAK","JNP(SR)",110,12,0.00114387920635581
"11095",175,"BELHAR","GEN",61666,"BHOLA YADAV","JNP(SR)",4299,4,0.0697142671812668
"11139",8,"BETTIAH","GEN",73877,"THAKUR PRASAD","JNP(SR)",1671,6,0.0226186769901322
"11152",168,"BHAGALPUR","GEN",60744,"SATYA BHAMA SINHA","JNP(SR)",303,7,0.00498814697747926
"11177",194,"BIHAR","GEN",97707,"BIMLA DEVI","JNP(SR)",245,10,0.00250749690400892
"11197",170,"BIHPUR","GEN",71860,"VISHESHVAR YADAV","JNP(SR)",1096,7,0.0152518786529363
"11223",226,"BIKRAMGANJ","GEN",85675,"VRAJ BIHARY CHAUDHARY","JNP(SR)",1015,9,0.0118470965859352
"11260",253,"BODH GAYA","SC",63019,"SITA RAM DUSADH","JNP(SR)",44,8,0.000698202129516495
"11280",279,"BOKARO","GEN",96273,"S. N. KHAN","JNP(SR)",230,13,0.00238903950224881
"11299",218,"BRAHMPUR","GEN",78428,"RAM KANT THAKUR","JNP(SR)",3636,6,0.0463609935227215
"11309",219,"BUXAR","GEN",59217,"PRABHANS SINGH","JNP(SR)",3828,5,0.064643598966513
"11319",295,"CHAIBASA","ST",30016,"MATHURA TOPO","JNP(SR)",1946,5,0.0648320895522388
"11333",231,"CHAINPUR","GEN",59549,"RAM BILAS SINGH","JNP(SR)",4801,6,0.0806226804816202
"11360",286,"CHANDANKIYARI","SC",40306,"SHASHI BHUSHAN BOURI","JNP(SR)",569,11,0.01411700491242
"11376",7,"CHANPATIA","GEN",48082,"RAM PRAKASH","JNP(SR)",760,5,0.0158063308514621
"11391",41,"CHAPRA","GEN",81514,"RAVINDRA PRASAD VERMA","JNP(SR)",214,8,0.00262531589665579
"11409",233,"CHENARI","SC",75429,"JAWAHAR RAM","JNP(SR)",1784,7,0.0236513807686699
"11422",108,"CHERIA BARIARPUR","GEN",62458,"SITARAM MAHTO","JNP(SR)",645,5,0.0103269397034807
"11424",114,"CHHATAPUR","SC",73663,"BASUDEO MARIK","JNP(SR)",2995,4,0.0406581323052279
"11437",166,"COLGONG","GEN",89329,"RAM SWARUP MISHRA","JNP(SR)",383,6,0.00428752140962062
"11444",98,"DALSINGHSARAI","GEN",74354,"PRABHANSH RAI","JNP(SR)",846,6,0.011378002528445
"11450",319,"DALTONGANJ","GEN",55389,"AKHTAR JAMAN KHAN","JNP(SR)",134,11,0.00241925292025492
"11466",209,"DANAPUR","GEN",69001,"KASHAB PRASAD NAGBANSHI","JNP(SR)",1236,5,0.0179127838726975
"11483",31,"DARAULI","GEN",64236,"RAMESHWAR PRASAD","JNP(SR)",1917,6,0.0298430786474874
"11512",235,"DEHRI","GEN",71275,"HARIDWAR SINGH","JNP(SR)",925,11,0.0129779024903543
"11543",14,"DHAKA","GEN",97652,"RAM NANDAN SINGH","JNP(SR)",290,10,0.00296972924261664
"11580",284,"DHANBAD","GEN",70114,"PAWAN KUMAR SINGH","JNP(SR)",170,13,0.00242462275722395
"11599",271,"DHANWAR","GEN",54656,"RAMESHWAR PRASAD AGARWAL","JNP(SR)",6163,5,0.112759806791569
"11610",227,"DINARA","GEN",86419,"RAM NARAIN SAH","JNP(SR)",12224,3,0.141450375496129
"11629",221,"DUMRAON","GEN",72712,"SARDAR BHAGAT SINGH","JNP(SR)",234,9,0.00321817581692155
"11645",255,"FATEHPUR","SC",63436,"RAMDEO RAJAK","JNP(SR)",330,7,0.00520209344851504
"11651",204,"FATWA","SC",65950,"CHANDRAGUPT CHAUDHARY","JNP(SR)",7412,5,0.112388172858226
"11675",61,"GAIGHATTI","GEN",78989,"MAHESHWAR PRASAD SINGH","JNP(SR)",8132,4,0.102951043816228
"11706",42,"GARKHA","SC",54404,"SHAMBOO CHOUDHARY","JNP(SR)",1096,5,0.0201455775310639
"11722",250,"GAYA TOWN","GEN",67165,"GANESH PRASAD","JNP(SR)",452,7,0.00672969552594357
"11745",15,"GHORASAHAN","GEN",76750,"HASIM MIAN","JNP(SR)",901,6,0.0117394136807818
"11764",20,"GOBINDGANJ","GEN",72514,"BHIKARI PRASAD","JNP(SR)",2235,4,0.0308216344430041
"11779",259,"GOBINDPUR","GEN",91230,"MAHABIR PRASAD YADAV","JNP(SR)",387,9,0.00424202564945741
"11825",24,"GOPALGANJ","GEN",76882,"RAMADHAR PRASAD YADAV ALIAS RAMADHAR PRASAD","JNP(SR)",752,8,0.00978122317317448
"11834",169,"GOPALPUR","GEN",72378,"SHYAM KISHOR YADAV","JNP(SR)",353,9,0.00487717262151482
"11839",28,"GOREAKOTHI","GEN",70833,"HARUN RASHID","JNP(SR)",2091,4,0.0295201389183008
"11869",45,"HAJIPUR","GEN",79148,"MADAN PD. RAI","JNP(SR)",1179,7,0.0148961439328852
"11898",19,"HARSIDHI","GEN",64652,"SURESH TRIPATHI","JNP(SR)",539,6,0.00833694239930706
"11900",102,"HASANPUR","GEN",72410,"ASHARFI YADAV","JNP(SR)",256,7,0.00353542328407678
"11924",307,"HATIA","GEN",48388,"SAROJ KUMARI","JNP(SR)",532,13,0.0109944614367198
"11935",92,"HAYAGHAT","GEN",80244,"UMESH RAI","JNP(SR)",3186,5,0.0397039030955585
"11938",269,"HAZARIBAGH","GEN",49184,"BAIDEHI DEVI","JNP(SR)",111,13,0.00225683148991542
"11950",198,"HILSA","GEN",98992,"BHOLA PRASAD SINGH","JNP(SR)",26145,2,0.264112251495070
"11976",324,"HUSSAINABAD","GEN",51635,"AWADHESH SINGH","JNP(SR)",481,9,0.00931538685000484
"12023",222,"JAGDISHPUR","GEN",75237,"RAM KISHAN SINGH","JNP(SR)",204,14,0.00271143187527413
"12029",245,"JAHANABAD","GEN",115506,"JANG BAHADUR SINGH","JNP(SR)",8279,4,0.0716759302547054
"12061",186,"JAMALPUR","GEN",77017,"BHUBNESHWAR MAHTON","JNP(SR)",406,9,0.00527156342106288
"12076",291,"JAMSHEDPUR EAST","GEN",54096,"MANGAL PRASAD","JNP(SR)",306,7,0.00565661047027507
"12097",292,"JAMSHEDPUR WEST","GEN",49716,"ZUBAIR ALAM ZAFRI","JNP(SR)",387,6,0.00778421433743664
"12127",48,"JANDAHA","GEN",98195,"ARUN KUMAR SINHA","JNP(SR)",17466,3,0.177870563674321
"12162",285,"JHARIA","GEN",69026,"ATRIPTA JAWAHAR","JNP(SR)",435,11,0.00630197316953032
"12188",290,"JUGSALAI","SC",48223,"K. CHINNOY","JNP(SR)",401,6,0.00831553408124754
"12220",56,"KANTI","GEN",61208,"BHUVENSHWAR RAI","JNP(SR)",6649,3,0.108629590903150
"12233",225,"KARAKAT","GEN",93491,"JAGNARAIN TRIPATHY","JNP(SR)",334,10,0.00357253639387749
"12250",138,"KASBA","GEN",74437,"RAMBRIKSH SAH","JNP(SR)",1215,8,0.0163225277751656
"12261",21,"KATEYA","GEN",81433,"KASHI NATH SAHI","JNP(SR)",117,8,0.00143676396546854
"12280",176,"KATORIA","GEN",64262,"KRISHNA MOHAN JHA","JNP(SR)",1595,7,0.0248202670318384
"12301",18,"KESARIYA","GEN",77172,"SITARAM PRASAD YADAV","JNP(SR)",3939,4,0.0510418286425128
"12316",180,"KHARAGPUR","GEN",78785,"DUKH MOHAN PD.","JNP(SR)",2544,8,0.0322904106111569
"12335",300,"KHARSWAN","ST",28948,"PARMESWER NAG","JNP(SR)",1760,8,0.0607986734834876
"12344",305,"KHIJRI","ST",47884,"JAGDEO RAM","JNP(SR)",447,8,0.00933505972767521
"12380",111,"KISHANPUR","GEN",75284,"SUKANI KAMAT","JNP(SR)",1647,9,0.0218771584931725
"12399",311,"KOLEBIRA","ST",23141,"WILLIAM LUGUN","JNP(SR)",4446,2,0.192126528672054
"12402",248,"KONCH","GEN",89520,"GOPAL RAUT","JNP(SR)",5806,5,0.0648570151921358
"12426",57,"KURHANI","GEN",83693,"MAHENDRA SAHANI","JNP(SR)",1112,5,0.0132866547978923
"12435",243,"KURTHA","GEN",101417,"MUZAFFAR HUSSAIN","JNP(SR)",1588,7,0.0156581243775698
"12447",190,"LAKHISARAI","GEN",98006,"RAMESHWAR PRASAD SINGH","JNP(SR)",1224,6,0.0124890312837990
"12459",51,"LALGANJ","GEN",75358,"RAM SWAROOP PRASAD GUPTA","JNP(SR)",198,7,0.00262745826587754
"12488",83,"MADHEPUR","GEN",102400,"BHAWANI LAL YADAV","JNP(SR)",36,11,0.0003515625
"12504",120,"MADHEPURA","GEN",75237,"KAPILDEO MANDAL","JNP(SR)",7707,3,0.102436301287930
"12513",16,"MADHUBAN","GEN",83947,"MAHESWAR PRASAD THAKUR","JNP(SR)",248,9,0.00295424494025993
"12521",78,"MADHUBANI","GEN",78781,"BHOGENDRA YADAV","JNP(SR)",706,9,0.00896155164316269
"12569",118,"MAHISHI","GEN",91880,"DEV NAND YADAV","JNP(SR)",6629,4,0.0721484545058772
"12575",47,"MAHNAR","GEN",93487,"CHANDRA SEKHAR RAI","JNP(SR)",478,5,0.0051130103650775
"12595",30,"MAIRWA","SC",49990,"RAM VISHESH RAM","JNP(SR)",899,6,0.0179835967193439
"12601",296,"MAJHGAON","ST",23299,"GAWARDHAN NAYAK","JNP(SR)",2195,3,0.0942100519335594
"12618",244,"MAKHDUMPUR","GEN",106001,"UPENDER KUMAR","JNP(SR)",88,7,0.000830180847350497
"12634",268,"MANDU","GEN",53473,"RAM HARI PRASAD","JNP(SR)",198,10,0.00370280328390029
"12692",39,"MARHAURA","GEN",84193,"SHAMBHU PRASAD SINGH","JNP(SR)",134,8,0.00159158124784721
"12702",205,"MASAURHI","GEN",114692,"RABINDRA PRASAD","JNP(SR)",28654,2,0.249834338925121
"12729",63,"MINAPUR","GEN",79302,"SHON JHA","JNP(SR)",212,8,0.00267332475851807
"12750",229,"MOHANIA","SC",53400,"RAM KESHI PRASAD BHARTI","JNP(SR)",1216,5,0.0227715355805243
"12769",185,"MONGHYR","GEN",95888,"AVINASH KUMAR","JNP(SR)",588,7,0.00613215417987652
"12782",12,"MOTIHARI","GEN",71439,"RAGHUNATH GUPTA","JNP(SR)",1492,7,0.0208849507971836
"12826",196,"NALANDA","GEN",100321,"DHANANJAY KUMAR RAHI","JNP(SR)",4602,5,0.0458727484773876
"12844",128,"NARPATGANJ","GEN",72066,"NASIRUDDIN AZAD","JNP(SR)",13659,4,0.189534593289485
"12847",167,"NATHNAGAR","GEN",77472,"GOVIND MANDAL","JNP(SR)",537,7,0.0069315365551425
"12862",9,"NAUTAN","GEN",52146,"RAM CHHATRIYA SINGH","JNP(SR)",3494,6,0.0670041805699382
"12866",257,"NAWADA","GEN",103382,"BALESHWAR PRASAD SINGH","JNP(SR)",1514,6,0.0146447157145344
"12893",234,"NOKHA","GEN",79048,"MUSARIK YADAV","JNP(SR)",357,9,0.00451624329521304
"12925",79,"PANDAUL","GEN",91171,"AEINUL HAQUE","JNP(SR)",577,6,0.00632876682278356
"12936",318,"PANKI","GEN",43977,"BALAKESHWAR SAO","JNP(SR)",816,6,0.0185551538304114
"12947",181,"PARBATTA","GEN",91139,"FULESHWARI PRASAD CHAURASIA","JNP(SR)",339,9,0.00371959314892637
"12962",43,"PARSA","GEN",81223,"ASHOK KUMAR SINGH","JNP(SR)",116,9,0.00142816689853859
"12975",53,"PARU","GEN",83109,"NITISHWAR PRASAD SINGH","JNP(SR)",31288,1,0.376469455774946
"12985",49,"PATEPUR","SC",63031,"RAMVILAS PASWAN","JNP(SR)",251,7,0.00398216750487855
"12990",207,"PATNA CENTRAL","GEN",70367,"IQBAL IMAM","JNP(SR)",309,8,0.00439126294996234
"13021",208,"PATNA EAST","GEN",67644,"SUBODH KUMAR SAH","JNP(SR)",100,12,0.00147832771568801
"13030",206,"PATNA WEST","GEN",88981,"CHUNNI LAL RAI","JNP(SR)",2657,6,0.0298603072566053
"13047",81,"PHULPARAS","GEN",96224,"KAMESHWAR YADAV","JNP(SR)",122,7,0.00126787495843033
"13059",211,"PHULWARI","SC",79533,"RAM CHANDRA RAM","JNP(SR)",919,7,0.0115549520324897
"13065",17,"PIPRA","SC",49556,"HARI NARAIN PRASAD SHASTRI","JNP(SR)",42,12,0.000847526031156671
"13077",223,"PIRO","GEN",79969,"CHALISHNATH RAM","JNP(SR)",685,10,0.0085658192549613
"13099",165,"PIRPAINTI","GEN",80457,"SHRIKANT PANDEY","JNP(SR)",287,9,0.00356712281094249
"13104",162,"POREYAHAT","GEN",61285,"HEN KANT MAJHI","JNP(SR)",1000,12,0.0163172064942482
"13144",139,"PURNEA","GEN",62333,"BISHWA NATH KEJRIWAL","JNP(SR)",514,9,0.00824603340124814
"13164",46,"RAGHOPUR 1","GEN",95421,"BABULAL SHASTRI","JNP(SR)",155,8,0.00162438037748504
"13175",110,"RAGHOPUR 2","GEN",87063,"MANIK CHANDRA YADAV","JNP(SR)",1119,5,0.0128527617931842
"13193",258,"RAJAULI","SC",79100,"SUKHDEO RAM","JNP(SR)",278,9,0.00351453855878635
