"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"13697",13,"ADAPUR","GEN",77877,"RAMLAKHAN RAM","ICJ",1045,6,0.0134185959911142
"14042",36,"BANIAPUR","GEN",63832,"YOGENDRA PRASAD","ICJ",887,10,0.0138958516104775
"14067",254,"BARACHATTI","SC",76257,"MOHAN RAM","ICJ",718,8,0.0094155290661841
"14350",168,"BHAGALPUR","GEN",85669,"MIRZA ABBAS HUSSAIN","ICJ",254,6,0.00296489978872171
"14412",170,"BIHPUR","GEN",72224,"KISHORE JHA","ICJ",257,8,0.00355837394771821
"14425",212,"BIKRAM","GEN",81237,"KRISHNA KUMAR SINHA","ICJ",91,22,0.00112017922867659
"14459",226,"BIKRAMGANJ","GEN",105501,"RAM KESHWAR SINGH","ICJ",77,15,0.000729850901887186
"14527",279,"BOKARO","GEN",81218,"NANNKU DAS","ICJ",119,25,0.00146519244502450
"14568",218,"BRAHMPUR","GEN",86959,"JAG NARAIN SINGH","ICJ",1724,6,0.0198254349751032
"14580",219,"BUXAR","GEN",67477,"GEETA MISSIR","ICJ",1037,7,0.0153681995346563
"14619",231,"CHAINPUR","GEN",70780,"RANG BAHADUR SINGH","ICJ",10708,4,0.151285673919186
"14658",286,"CHANDANKIYARI","SC",41008,"YOGENDRA BAURI","ICJ",1163,8,0.0283603199375732
"14697",264,"CHATRA","SC",48807,"DEORAJ RAM","ICJ",456,7,0.00934292212182679
"14721",233,"CHENARI","SC",81904,"JANKI DEVI","ICJ",2679,5,0.0327090252002344
"14748",323,"CHHATARPUR","SC",39474,"RAMJIT RAM","ICJ",4961,3,0.125677661245377
"14772",98,"DALSINGHSARAI","GEN",88020,"RAM NARAIN LAL","ICJ",465,9,0.00528289025221541
"14800",31,"DARAULI","GEN",73892,"GULAM HAIDAR","ICJ",1012,9,0.0136956639419694
"14852",235,"DEHRI","GEN",79005,"RAM CHANDRA SINGH","ICJ",1111,6,0.0140624011138536
"14978",227,"DINARA","GEN",104388,"LAKSHMAN RAM","ICJ",259,7,0.00248112809901521
"15168",246,"GHOSI","GEN",128558,"WALIRAM WIND","ICJ",104,8,0.000808973381664307
"15200",259,"GOBINDPUR","GEN",95701,"MAMTA PRASAD SINGH CHANDEL","ICJ",188,9,0.00196445178211304
"15263",169,"GOPALPUR","GEN",87511,"PRAVESH CHANDRA JHA","ICJ",569,9,0.0065020397435751
"15306",252,"GURUA","GEN",90569,"RAMPATI SINGH","ICJ",383,8,0.00422882001567865
"15378",307,"HATIA","GEN",46174,"KRISHNA NANDAN PRASAD","ICJ",666,6,0.0144237016502794
"15445",198,"HILSA","GEN",98870,"VIJENDRA SINGH","ICJ",112,21,0.00113280064731466
"15528",245,"JAHANABAD","GEN",115780,"BALESHWAR PRASAD","ICJ",38,27,0.000328208671618587
"15669",188,"JAMUI","GEN",96667,"LAKHAN MISTRI","ICJ",118,12,0.00122068544591226
"15810",308,"KANKE","SC",39894,"NATHUNI RAM","ICJ",288,10,0.00721913069634532
"15847",225,"KARAKAT","GEN",99254,"RAM KUMAR SINGH","ICJ",1567,5,0.0157877768150402
"16149",190,"LAKHISARAI","GEN",107693,"KAMAL KUMAR","ICJ",1632,6,0.0151541882945038
"16208",6,"LAURIA","GEN",67647,"JAI PRAKASH PRASAD","ICJ",1173,4,0.0173400150782740
"16370",30,"MAIRWA","SC",56636,"GANESH RAM","ICJ",647,8,0.0114238293664807
"16457",210,"MANER","GEN",76631,"RAM LOCHAN PANDIT","ICJ",1464,8,0.0191045399381451
"16532",205,"MASAURHI","GEN",90389,"MAHENDRA RAM","ICJ",197,11,0.00217946874066535
"16595",229,"MOHANIA","SC",72981,"SOHRAI RAM","ICJ",4946,4,0.0677710637015114
"16641",185,"MONGHYR","GEN",98584,"UPENDRA PRASAD YADAV","ICJ",203,13,0.00205915767264465
"16680",236,"NABINAGAR","GEN",71428,"GOPAL CHAUDHARY","ICJ",1950,6,0.0273002184017472
"16786",234,"NOKHA","GEN",84653,"HARI PRASAD SINGH","ICJ",86,17,0.00101591201729413
"16832",213,"PALIGANJ","GEN",89196,"KRISHNA KUMAR SINHA","ICJ",169,10,0.00189470379837661
"16869",318,"PANKI","GEN",52385,"PANT KUMAR GIRI","ICJ",313,13,0.00597499284146225
"17199",34,"RAGHUNATHPUR","GEN",80457,"SHANKER NATH VIDYARATHI","ICJ",781,8,0.00970704848552643
"17244",220,"RAJPUR","SC",61951,"KAILASH RAM","ICJ",1458,6,0.0235347290600636
"17261",228,"RAMGARH 1","GEN",78259,"NARENDRA PRASAD RAI","ICJ",11423,3,0.145964042474348
"17299",306,"RANCHI","GEN",45578,"BADEHAN PRASAD AZAD","ICJ",3357,3,0.0736539558558954
"17440",95,"SAMASTIPUR","GEN",88700,"VISHWANATH SAH","ICJ",1773,6,0.0199887260428410
"17481",232,"SASARAM","GEN",73206,"GYAN BAHADUR SINGH","ICJ",9175,4,0.125331257000792
"17910",32,"ZIRADEI","GEN",68192,"MOHAMMAD MOBIN","ICJ",2549,6,0.0373797512904740
