"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"13851",77,"BABUBARHI","GEN",69711,"MOJIBOOR RAHMAN","ICS",566,8,0.00811923512788513
"13967",87,"BAHERI","GEN",98221,"SHIV SHANKAR CHAUDHARY","ICS",33,16,0.000335977031388400
"13999",203,"BAKHTIARPUR","GEN",95757,"DEVENDRA SINGH","ICS",8281,3,0.086479317438934
"14086",141,"BARARI","GEN",66426,"SURYA NARAYAN SINGH","ICS",2177,7,0.0327733116550748
"14132",202,"BARH","GEN",111712,"RANA SHIVALAKHPATI SINGH","ICS",4288,3,0.0383844170724721
"14160",263,"BARHI","GEN",45661,"ARJAN PAND","ICS",351,12,0.00768708525875474
"14236",68,"BATHNAHA","GEN",94327,"SURYADEO RAI","ICS",23181,2,0.245751481548231
"14290",65,"BELSAND","GEN",65149,"ZAINUL AVEDIN","ICS",5687,3,0.0872922070945064
"14405",194,"BIHAR","GEN",134204,"SURYA BANSHI THAKUR","ICS",216,13,0.00160949003010342
"14457",226,"BIKRAMGANJ","GEN",105501,"MOHAMMAD KAMAL KHAN","ICS",241,8,0.00228433853707548
"14477",74,"BISFI","GEN",89132,"RANBIR KUMAR BHARTI","ICS",678,6,0.00760669568729525
"14566",218,"BRAHMPUR","GEN",86959,"AMOGH HARENDRA SHASTRI","ICS",373,10,0.00428937775273405
"14625",231,"CHAINPUR","GEN",70780,"VIKRAMA BIND","ICS",2344,8,0.0331166996326646
"14839",88,"DARBHANGA RURAL","SC",60148,"SHIBAJI NIRALA","ICS",864,7,0.0143645674004123
"14846",235,"DEHRI","GEN",79005,"KHURSHID ANSARI","ICS",290,11,0.00367065375609139
"14969",209,"DINAPUR","GEN",77371,"SUNIL KUMAR","ICS",3766,5,0.0486745679905908
"14985",227,"DINARA","GEN",104388,"RAMA SHANKER SARKAR","ICS",139,10,0.00133157067862206
"15024",255,"FATEHPUR","SC",102196,"RAM NARESH PRASAD","ICS",27354,2,0.267662139418373
"15028",204,"FATWA","SC",74742,"CHANDRADIP RAJAK","ICS",816,10,0.0109175563939953
"15149",15,"GHORASAHAN","GEN",76115,"GAURI SHANKER PRASAD","ICS",4652,5,0.0611180450633909
"15354",19,"HARSIDHI","GEN",68950,"ETWAR SAH","ICS",1055,7,0.0153009427121102
"15392",92,"HAYAGHAT","GEN",64384,"KAMAL KISHOR JHA","ICS",3172,7,0.0492668986083499
"15530",245,"JAHANABAD","GEN",115780,"CHANDRIKA PRASAD YADAV","ICS",2588,6,0.0223527379512869
"15597",186,"JAMALPUR","GEN",88058,"GOVIND MANDAL","ICS",177,11,0.00201003883803857
"15728",80,"JHANJHARPUR","GEN",78984,"PRABHU DAYAL KEJRIWAL","ICS",121,12,0.00153195583915730
"15896",142,"KATIHAR","GEN",69688,"SAJJAN KUMAR SHARMA","ICS",2482,4,0.0356158879577546
"15906",176,"KATORIA","GEN",78734,"SURESH PRASAD YADAV","ICS",30691,1,0.389806182843498
"15963",76,"KHAJAULI","SC",66060,"VILAT RAM","ICS",191,7,0.00289131092945807
