"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"13709",184,"ALAULI","SC",58469,"RANDHIR PASWAN","JNP",836,5,0.0142981751013358
"13715",172,"AMARPUR","GEN",93270,"GUNESHWAR P, SINGH","JNP",3018,6,0.0323576712769379
"13726",136,"AMOUR","GEN",79465,"CHANDRA SHEKHAR JHA","JNP",11562,2,0.145498017995344
"13742",130,"ARARIA","GEN",75583,"KRITYANAND MISHRA","JNP",5574,3,0.0737467419922469
"13752",216,"ARRAH","GEN",77434,"RAJENDRA PD. SINGH","JNP",16364,2,0.211328357052458
"13771",242,"ARWAL","GEN",120347,"MANOJ KUMAR","JNP",274,9,0.00227674973202489
"13791",193,"ASTHAWAN","GEN",98868,"JAI RAM PRASAD SINGH","JNP",94,11,0.000950762633005624
"13818",62,"AURAI","GEN",90045,"GANESH PD. YADAV","JNP",47925,1,0.53223388305847
"13848",77,"BABUBARHI","GEN",69711,"DEO NARAYAN YADAV","JNP",20424,2,0.292981021646512
"13896",281,"BAGHMARA","GEN",61112,"RAGHUBANSH SINGH","JNP",9287,2,0.151966880481738
"13923",133,"BAHADURGANJ","GEN",59140,"DILIP NARAYAN JHA","JNP",2460,6,0.0415962123774095
"13939",85,"BAHERA","GEN",74721,"KISHORE KUMAR JHA","JNP",2734,6,0.0365894460727239
"13964",87,"BAHERI","GEN",98221,"RAM LAKHAN YADAV","JNP",16621,3,0.169220431475957
"13974",26,"BAIKUNTHPUR","GEN",88706,"SURESH PRASAD SINGH","JNP",4461,3,0.0502897211011656
"13977",137,"BAISI","GEN",66994,"ALIMUDIN ANSARI","JNP",10931,3,0.163163865420784
"14015",203,"BAKHTIARPUR","GEN",95757,"VINAY KRISHNA KU. YADAV","JNP",383,7,0.00399970759317857
"14024",103,"BALIA","GEN",58856,"TANVIR HASSAN","JNP",11088,3,0.188392007611798
"14026",36,"BANIAPUR","GEN",63832,"BAIDYA NATH PANDEY","JNP",8905,3,0.139506830429878
"14051",126,"BANMANKHI","SC",68894,"BAL BODH PASWAN","JNP",1901,6,0.0275931140592795
"14064",254,"BARACHATTI","SC",76257,"DEO KUMAR PRASAD","JNP",1240,6,0.0162608022870032
"14079",141,"BARARI","GEN",66426,"PATEL KUMAR SINGH","JNP",6436,5,0.0968897720771987
"14096",25,"BARAULI","GEN",60348,"MANUDDIN MIAN","JNP",3523,5,0.0583780738384039
"14123",192,"BARBIGHA","SC",82652,"RAMJI PRASAD","JNP",6838,3,0.0827324202681121
"14152",215,"BARHARA","GEN",93123,"RAGHVENDRA PRATAP SINGH","JNP",40689,1,0.436938242968977
"14159",263,"BARHI","GEN",45661,"AMBIKA SINGH","JNP",4091,5,0.0895950592409277
"14185",266,"BARKAGAON","GEN",76134,"SURENDRA PATHAK","JNP",708,8,0.00929939317519111
"14192",144,"BARSOI","GEN",69657,"ASHFAQUE ALAM AZAD","JNP",708,7,0.0101640897540807
"14203",55,"BARURAJ","GEN",102609,"BHAWCHANDRA BHANU","JNP",476,5,0.00463896929119278
"14224",27,"BASANTPUR","GEN",102249,"VIDYA BHUSHAN SINGH","JNP",310,9,0.00303181449207327
"14233",68,"BATHNAHA","GEN",94327,"RAM BAHADUR SINGH","JNP",3273,5,0.0346984426516268
"14251",247,"BELAGANJ","GEN",114435,"BAGESH WARI PRASAD SINHA","JNP",1654,6,0.0144536199589286
"14276",175,"BELHAR","GEN",75805,"RAJENDRA PANDIT","JNP",3626,5,0.0478332563815052
"14287",65,"BELSAND","GEN",65149,"RAMANAND SINGH","JNP",4216,5,0.0647131959047721
"14293",73,"BENIPATTI","GEN",81245,"HARENDRA KUMAR","JNP",2321,5,0.0285679118714998
"14311",278,"BERMO","GEN",74836,"SANTAN SINGH","JNP",3553,5,0.0474771500347426
"14347",168,"BHAGALPUR","GEN",85669,"FAIYAZ BHAGALPURI","JNP",12996,2,0.151700148244989
"14358",321,"BHAWANATHPUR","GEN",58490,"GIRWAR PANDEY","JNP",3909,4,0.0668319370832621
"14378",22,"BHORE","SC",76752,"SURENDRA RAM","JNP",9674,3,0.126042318115489
"14389",194,"BIHAR","GEN",134204,"ASHOK KUMAR","JNP",2032,6,0.0151411284313433
"14444",226,"BIKRAMGANJ","GEN",105501,"AKHALAK AHMAD","JNP",20366,3,0.19304082425759
