"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"13698",13,"ADAPUR","GEN",77877,"SHAMIMUDIN HASMI","LKD",18012,3,0.231287799992296
"13702",123,"ALAMNAGAR","GEN",83545,"BIRENDRA KU. SINGH","LKD",33708,1,0.403471183194686
"13706",184,"ALAULI","SC",58469,"PASHUPATI KUMAR PARAS","LKD",37020,1,0.633156031401255
"13714",172,"AMARPUR","GEN",93270,"DHIRENDRA PRASAD YADAV","LKD",13161,2,0.141106465101319
"13723",136,"AMOUR","GEN",79465,"A. MOJIB","LKD",3613,6,0.0454665576039766
"13743",130,"ARARIA","GEN",75583,"NAND KISHORE MANDAL","LKD",31819,2,0.420980908405329
"13749",216,"ARRAH","GEN",77434,"LETAFAT HUSSAIN","LKD",12740,3,0.164527210269391
"13780",242,"ARWAL","GEN",120347,"YOGENDRA KUMAR","LKD",1123,7,0.00933135017906554
"13783",193,"ASTHAWAN","GEN",98868,"ARVIND KUMAR","LKD",1712,7,0.0173160173160173
"13806",256,"ATRI","GEN",138797,"PRABHAT KUMAR SANDIL","LKD",739,6,0.00532432257181351
"13820",62,"AURAI","GEN",90045,"MOH. SOYAV","LKD",5503,3,0.0611138875006941
"13835",238,"AURANGABAD","GEN",60469,"MURLI MANOHAR PRASAD","LKD",627,7,0.0103689493790207
"13847",77,"BABUBARHI","GEN",69711,"BRAHMDEO MAHTO","LKD",5201,4,0.0746080245585345
"13869",107,"BACHWARA","GEN",77281,"BHOLA PRASAD CHOUDHARY","LKD",3011,5,0.0389617111579819
"13883",2,"BAGHA","SC",53854,"PUNWASI RAM","LKD",14723,2,0.273387306421064
"13900",281,"BAGHMARA","GEN",61112,"SIRAJUDDIN ANSARI","LKD",1875,6,0.0306813719073177
"13908",272,"BAGODAR","GEN",55136,"GAUTAM SAGAR RANA","LKD",10632,1,0.192832269297737
"13936",85,"BAHERA","GEN",74721,"ABDUL BARI SIDDIQUI","LKD",18970,2,0.253877758595308
"13966",87,"BAHERI","GEN",98221,"RAMANAND SINGH","LKD",17858,2,0.181814479591941
"13972",26,"BAIKUNTHPUR","GEN",88706,"DEODAT ROY","LKD",34030,2,0.383626812166032
"13976",137,"BAISI","GEN",66994,"ABDUS SUBHAN","LKD",14381,1,0.214661014419202
"13995",109,"BAKHRI","SC",60946,"UPENDRA PASWAN","LKD",7748,3,0.127128933810258
"14023",103,"BALIA","GEN",58856,"SHRI NARAYAN YADAV","LKD",18887,2,0.320901862172081
"14025",36,"BANIAPUR","GEN",63832,"ARJUN PRASAD","LKD",3299,5,0.0516825416718887
"14058",126,"BANMANKHI","SC",68894,"RAJENDRA PD.","LKD",14777,2,0.214488925015241
"14070",254,"BARACHATTI","SC",76257,"RAMJI MANJHEE","LKD",10032,2,0.131555135921948
"14075",141,"BARARI","GEN",66426,"MANSOOR ALAM","LKD",16527,1,0.248803179477915
"14087",25,"BARAULI","GEN",60348,"ACHCHAYLAL PRASAD","LKD",3156,6,0.0522966792602903
"14105",106,"BARAUNI","GEN",79716,"KAPILDEO RAI","LKD",896,5,0.0112399016508606
"14121",192,"BARBIGHA","SC",82652,"PARMANAND PASWAN","LKD",673,5,0.00814257368242753
"14161",263,"BARHI","GEN",45661,"ASHOK KUMAR YADAV","LKD",1351,6,0.0295876130614748
"14182",266,"BARKAGAON","GEN",76134,"SHI CHANDRA PRASAD","LKD",1579,7,0.0207397483384559
"14191",270,"BARKATHA","GEN",72943,"RAJENDRA PRASAD YADAV","LKD",5801,4,0.0795278505134146
"14209",55,"BARURAJ","GEN",102609,"SHASHI KUMAR RAI","LKD",58000,1,0.565252560691557
"14220",27,"BASANTPUR","GEN",102249,"RAMADHAR SINGH","LKD",840,4,0.0082152392688437
"14229",68,"BATHNAHA","GEN",94327,"INDAL SINGH NAVIN","LKD",15319,3,0.162403129538732
"14247",105,"BEGUSARAI","GEN",73133,"SUDHA VERMA","LKD",4409,3,0.0602874215470444
"14256",247,"BELAGANJ","GEN",114435,"CHANDRA DEO YADAV","LKD",1930,5,0.0168654694804911
"14272",175,"BELHAR","GEN",75805,"CHATURBHUJ PRASAD SINGH","LKD",13415,3,0.176967218521206
"14285",65,"BELSAND","GEN",65149,"RAGHUBANSH PD. SINGH","LKD",25060,1,0.384656710003223
"14298",73,"BENIPATTI","GEN",81245,"SHALIGRAM ROUT","LKD",20941,2,0.257751246230537
"14302",278,"BERMO","GEN",74836,"ANIL KUMAR","LKD",1565,6,0.0209123951039607
"14323",8,"BETTIAH","GEN",66450,"MAHENDRA","LKD",5433,4,0.0817607223476298
"14339",230,"BHABHUA","GEN",87503,"SHEO PARIKSHA SINGH","LKD",434,12,0.00495982994868747
"14345",168,"BHAGALPUR","GEN",85669,"BANARSI PRA GUPTA","LKD",9301,3,0.108569027302758
"14366",321,"BHAWANATHPUR","GEN",58490,"RAM CHANDRA PRASAD KESHARI","LKD",13168,2,0.225132501282270
"14371",22,"BHORE","SC",76752,"DUKHI RAM","LKD",1170,7,0.0152439024390244
"14402",194,"BIHAR","GEN",134204,"S. AHMED SABRI","LKD",596,9,0.00444100026824834
"14411",170,"BIHPUR","GEN",72224,"JANARDHAN CHOUDHARY","LKD",402,7,0.00556601683650864
"14456",226,"BIKRAMGANJ","GEN",105501,"MEGHRAJ MADHAVI","LKD",48406,1,0.458820295542222
"14488",314,"BISHNUPUR","ST",32261,"TIMADU BHAGAT","LKD",951,4,0.0294783174731099
"14498",60,"BOCHAHA","SC",64596,"RAMAI RAM","LKD",20303,1,0.314307387454332
"14503",253,"BODH GAYA","SC",72483,"RAJESH KUMAR","LKD",40227,1,0.554985306899549
"14508",279,"BOKARO","GEN",81218,"AKLU RAM MAHTO","LKD",17467,2,0.215063163338176
"14565",218,"BRAHMPUR","GEN",86959,"AJIT KUMAR CHOWDHARY","LKD",4028,5,0.046320679860624
"14586",219,"BUXAR","GEN",67477,"ONKAR NATH JAISWAL","LKD",3238,6,0.0479867214013664
"14605",295,"CHAIBASA","ST",37019,"RIMON MINZ","LKD",876,6,0.0236635241362544
"14622",231,"CHAINPUR","GEN",70780,"SIDNATH SINGH","LKD",3543,6,0.0500565131393049
"14638",299,"CHAKRADHARPUR","ST",42747,"PRADHAN JAMUNDA","LKD",636,8,0.0148782370692680
"14665",199,"CHANDI","GEN",84295,"HARINARAYAN SINGH","LKD",16430,2,0.194910730173794
"14676",7,"CHANPATIA","GEN",55833,"CHHOTE LAL SAH","LKD",1905,6,0.034119606684219
"14702",264,"CHATRA","SC",48807,"MUSENDRA DAS","LKD",1042,4,0.0213493966029463
"14707",182,"CHAUTHAM","GEN",83523,"JAGDAMBI MANDAL","LKD",20127,3,0.240975539671707
"14720",233,"CHENARI","SC",81904,"CHHEDI PASWAN","LKD",31129,1,0.380066907599140
"14733",108,"CHERIA BARIARPUR","GEN",72606,"RAMJIWAN SINGH","LKD",13922,3,0.191747238520232
"14740",114,"CHHATAPUR","SC",82236,"MAHENDRA NR. SARDAR","LKD",32270,2,0.392407218249915
"14745",323,"CHHATARPUR","SC",39474,"JORAWAR RAM","LKD",7053,2,0.178674570603435
"14755",166,"COLGONG","GEN",88795,"GAURI SHANKAR SAH","LKD",2134,6,0.0240328847345008
"14778",98,"DALSINGHSARAI","GEN",88020,"YUGAL KISHORE CHOUDHARY","LKD",4832,5,0.0548966144058169
"14787",319,"DALTONGANJ","GEN",58228,"PURAN CHAND","LKD",3556,4,0.0610702754688466
"14806",31,"DARAULI","GEN",73892,"SHIV SHANKAR YADAV","LKD",21774,1,0.294673306988578
"14817",89,"DARBHANGA","GEN",70372,"KAMESHWAR PURBE","LKD",9230,4,0.131160120502473
"14831",88,"DARBHANGA RURAL","SC",60148,"BHOGENDRA PASWAN","LKD",2062,5,0.0342821041431137
"14848",235,"DEHRI","GEN",79005,"MD. ILIAS HUSSAIN","LKD",25407,2,0.321587241313841
"14892",14,"DHAKA","GEN",102451,"VISHWA NATH SHARMA","LKD",765,4,0.00746698421684513
"14905",125,"DHAMDAHA","GEN",89044,"SURYA NA. SINGH YADAV","LKD",25872,2,0.290552985041103
"14909",1,"DHANAHA","GEN",47247,"NARDESHWAR PRASAD KUSHWAHA","LKD",12224,1,0.258725421719898
"14932",284,"DHANBAD","GEN",68302,"RAJU YADAV","LKD",6060,4,0.0887236098503704
"14953",271,"DHANWAR","GEN",60773,"VIRENDRA PRASAD","LKD",4622,5,0.0760535106050384
"14956",173,"DHURAIYA","SC",78314,"VEENA RANI","LKD",9317,3,0.118969788288173
"14959",209,"DINAPUR","GEN",77371,"BASUDEO RAI","LKD",8266,4,0.106835894585827
"14981",227,"DINARA","GEN",104388,"RAM DHANI SINGH","LKD",47520,2,0.455224738475687
"14997",221,"DUMRAON","GEN",79152,"BABBAN SINGH YADAV","LKD",5056,4,0.0638770972306448
"15014",276,"DUMRI","GEN",55255,"LAL CHAND MAHTO","LKD",14109,2,0.255343407836395
"15023",255,"FATEHPUR","SC",102196,"RAM BILAS RAM","LKD",377,4,0.00368898978433598
"15034",204,"FATWA","SC",74742,"PUNIT ROY","LKD",21480,1,0.287388616841936
"15045",129,"FORBESGANJ","GEN",77372,"CHANDRA N. DAS","LKD",1574,8,0.0203432766375433
"15064",61,"GAIGHATTI","GEN",88487,"MAHESHWAR PRASAD","LKD",27861,2,0.314859809915581
"15077",274,"GANDEY","GEN",59542,"SATYA NAND SHARMA","LKD",877,7,0.0147290987874106
"15080",320,"GARHWA","GEN",53906,"AKBAR ALI","LKD",818,9,0.0151745631284087
"15093",42,"GARKHA","SC",59993,"AMRIT CHAUDHARY","LKD",12877,4,0.21464170819929
"15108",249,"GAYA MUFASSIL","GEN",95123,"SURAJ DEO SINGH","LKD",25548,2,0.268578577210559
"15126",250,"GAYA TOWN","GEN",80260,"YUGAL KISHORE PRASAD","LKD",6490,4,0.0808621978569649
"15133",86,"GHANSHYAMPUR","GEN",94230,"MAHABIR PRASAD","LKD",38136,1,0.404711875198981
"15152",15,"GHORASAHAN","GEN",76115,"LALBABU PRASAD","LKD",18305,2,0.240491361755239
"15160",246,"GHOSI","GEN",128558,"GAJENDRA PRASAD","LKD",4984,4,0.0387684935982203
"15191",259,"GOBINDPUR","GEN",95701,"AMRIT MAHTO","LKD",11220,3,0.117240154230363
"15215",241,"GOH","GEN",81391,"AWADH SINGH","LKD",5342,3,0.0656337924340529
"15237",277,"GOMIA","GEN",62726,"RAM DENI RAM PRAJAPATI","LKD",1487,5,0.0237062780983962
"15240",24,"GOPALGANJ","GEN",77070,"AMBIKA PRASAD YADAV","LKD",17906,2,0.232334241598547
"15269",169,"GOPALPUR","GEN",87511,"YUDHISTIR MANDAL","LKD",3124,4,0.0356983693478534
"15271",28,"GOREAKOTHI","GEN",77395,"ABDUL RASHID","LKD",516,6,0.00666709735771045
"15289",313,"GUMLA","ST",43209,"EMANUEL TIRKEY","LKD",1760,8,0.0407322548543128
"15305",252,"GURUA","GEN",90569,"RAMCHANDRA SINGH","LKD",27668,2,0.305490841237068
"15316",45,"HAJIPUR","GEN",87660,"MOTI LAL SINHA KANAN","LKD",39592,1,0.451654118183892
"15329",75,"HARLAKHI","GEN",79264,"KAPILESHWAR PANDE","LKD",1546,6,0.0195044408558740
"15344",200,"HARNAUT","GEN",94046,"NITISH KUMAR","LKD",49990,1,0.531548391212811
"15353",19,"HARSIDHI","GEN",68950,"DEVENDRA SAHNI","LKD",4635,4,0.0672226250906454
"15369",102,"HASANPUR","GEN",75510,"RAM PADARTH YADAV","LKD",3094,4,0.0409747053370415
"15375",307,"HATIA","GEN",46174,"HABIBULLAH","LKD",6521,3,0.141226664356564
"15393",92,"HAYAGHAT","GEN",64384,"KAPHIL AHAMAD","LKD",10517,2,0.163348036779324
"15419",269,"HAZARIBAGH","GEN",70883,"SWARUP CHAND JAIN","LKD",560,11,0.0079003428184473
"15440",198,"HILSA","GEN",98870,"SITA SHARAN PRASAD VIND","LKD",2495,6,0.0252351572772327
"15449",261,"HISUA","GEN",74257,"JANARDAN PRASAD","LKD",2060,5,0.0277414923845563
"15463",324,"HUSSAINABAD","GEN",57760,"LACHHUMAN RAM","LKD",8928,2,0.154570637119114
"15485",293,"ICHAGARH","GEN",68648,"SURESH KUMAR KHETAN","LKD",5959,3,0.0868051509148118
"15488",251,"IMAMGANJ","SC",71595,"JAGDISH SINGH","LKD",28090,2,0.392345834206299
"15510",297,"JAGANATHPUR","ST",30023,"MANGAL SINGH LAMAI","LKD",5654,2,0.188322286247210
"15519",222,"JAGDISHPUR","GEN",76795,"HARI NARAYAN SINGH","LKD",17303,1,0.225314148056514
"15554",245,"JAHANABAD","GEN",115780,"SURENDRA PRASAD YADAV","LKD",18355,3,0.158533425462083
"15560",40,"JALALPUR","GEN",72448,"ANIRUDH SINGH","LKD",2558,6,0.0353080830388693
"15584",91,"JALE","GEN",87636,"SAYEEDUR RAHMAN","LKD",5267,5,0.0601008717878497
"15607",186,"JAMALPUR","GEN",88058,"UPENDRA PRASAD VERMA","LKD",34987,1,0.397317676985623
"15611",291,"JAMSHEDPUR EAST","GEN",68481,"DEO NATH SHARMA","LKD",932,4,0.0136096143455849
"15641",292,"JAMSHEDPUR WEST","GEN",65792,"MUSTAQUE AHMED","LKD",113,11,0.00171753404669261
"15654",155,"JAMTARA","GEN",62510,"HIRA LAL YADAV","LKD",483,5,0.00772676371780515
"15698",48,"JANDAHA","GEN",105137,"TULSI DAS MEHTA","LKD",37842,1,0.359930376556303
"15712",159,"JARMUNDI","GEN",53465,"SURENDRA ROUT","LKD",1179,8,0.0220518095950622
"15730",80,"JHANJHARPUR","GEN",78984,"RAS LAL YADAV","LKD",7387,2,0.09352527094095
"15741",285,"JHARIA","GEN",64216,"L.N.SABERA","LKD",1184,6,0.0184377725177526
"15778",143,"KADWA","GEN",66386,"RABINDRA NATH THAKUR","LKD",1348,10,0.0203054860964661
"15784",93,"KALYANPUR","GEN",81175,"BASISTHA NARAIN SINGH","LKD",30570,1,0.376593778872806
"15811",308,"KANKE","SC",39894,"RAM CHANDER BAITHA","LKD",4576,3,0.114703965508598
"15832",56,"KANTI","GEN",67385,"TARKESHARI SINHA","LKD",17681,2,0.262387771759294
"15853",225,"KARAKAT","GEN",99254,"TULSI SINGH","LKD",26590,2,0.267898522981442
"15866",138,"KASBA","GEN",83265,"SHEOCHARAN MEHTA","LKD",21718,2,0.260829880502012
"15894",142,"KATIHAR","GEN",69688,"RAM PRAKASH MAHTO","LKD",7010,3,0.100591206520491
"15902",176,"KATORIA","GEN",78734,"BHOLA PRASAD YADAV","LKD",18558,3,0.235705032133513
"15912",90,"KEOTI","GEN",89478,"DAYA RAM PRASAD GUPTA","LKD",3228,7,0.0360759069268424
"15935",18,"KESARIYA","GEN",77723,"SATYA NARAIN RAI","LKD",627,5,0.00806711012184295
"15949",183,"KHAGARIA","GEN",76719,"RAM SHARAN YADAV","LKD",25681,2,0.334741068053546
"15964",76,"KHAJAULI","SC",66060,"VINDESHWAR PASWAN","LKD",6951,3,0.105222524977293
"15967",180,"KHARAGPUR","GEN",93466,"JAI PRAKASH NA. YADAV","LKD",18018,2,0.192775982710290
"15985",300,"KHARASAWAN","ST",39239,"LAKSHMANI RAM MANJHI","LKD",4672,3,0.119065215729249
"16002",305,"KHIJRI","ST",40385,"SHANICHARWA ORAON","LKD",1575,6,0.0389996285749660
"16024",122,"KISHANGANJ 1","GEN",80347,"RAJNANDAN PRASAD","LKD",33456,1,0.416393891495638
"16037",135,"KISHANGANJ 2","GEN",77368,"MD. MUSTAQUE","LKD",37287,1,0.481943439147968
"16054",111,"KISHUNPUR","GEN",97703,"VINAYAK PD. YADAV","LKD",28949,2,0.296295917218509
"16067",262,"KODARMA","GEN",73162,"VISHWANATH MODI","LKD",947,6,0.0129438779694377
"16078",248,"KONCH","GEN",109328,"JANKI YADAV","LKD",29347,1,0.268430777111079
"16092",140,"KORHA","SC",49341,"BHUP LAL PASWAN","LKD",6068,4,0.122980888105227
"16107",115,"KUMARKHAND","SC",74027,"NAWAL KISHORE BHARTI","LKD",29218,1,0.394693827927648
"16119",57,"KURHANI","GEN",88988,"RAMPARIKSHAN SAH","LKD",18545,3,0.208398885242954
"16138",243,"KURTHA","GEN",112005,"SAHDEO PRASAD YADAV","LKD",18376,2,0.164064104281059
"16155",190,"LAKHISARAI","GEN",107693,"SITARAM SAH","LKD",1433,7,0.0133063430306519
"16166",51,"LALGANJ","GEN",89798,"KEDAR NATH PRASAD","LKD",29307,2,0.326365843337268
"16184",316,"LATEHAR","SC",23996,"JORAWAR RAM","LKD",381,8,0.0158776462743791
"16198",82,"LAUKAHA","GEN",70848,"DEO NARAYAN YADAV","LKD",3115,6,0.0439673667570009
"16210",6,"LAURIA","GEN",67647,"RAM PRASAD YADAV","LKD",15121,2,0.223528020459148
"16244",120,"MADHEPURA","GEN",94053,"RADHA KANT YADAV","LKD",36427,2,0.387302903681967
"16266",16,"MADHUBAN","GEN",72666,"UMA KANT PRASAD","LKD",10435,4,0.143602234882889
"16280",78,"MADHUBANI","GEN",68794,"SURYA NARAYAN CHAUDHARY","LKD",2168,6,0.0315143762537431
"16289",157,"MADHUPUR","GEN",71638,"TRIBENI PRASAD VERMA","LKD",1083,6,0.0151176749769675
