"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18664",263,"BARHI","GEN",67129,"GOBERDHAN SAO","BBP",917,7,0.0136602660549092
"18790",68,"BATHNAHA","GEN",120928,"JUGAL SINGH","BBP",109,17,0.00090136279439005
"18821",247,"BELAGANJ","GEN",137833,"ANIL KUMAR","BBP",59,16,0.000428054239550761
"19078",170,"BIHPUR","GEN",96877,"BANBHOLA JHA","BBP",262,9,0.00270446029501326
"19248",279,"BOKARO","GEN",134586,"MAHESH GORAI","BBP",100,28,0.000743019333363054
"19329",219,"BUXAR","GEN",86473,"GANESH PRASAD KESHARI","BBP",45,32,0.000520393648884623
"19902",271,"DHANWAR","GEN",96703,"HARI NA. AGRAWAL","BBP",1244,10,0.0128641303785818
"20109",274,"GANDEY","GEN",85519,"PURNETAM KU. PAHARI","BBP",316,9,0.00369508530268128
"20274",259,"GOBINDPUR","GEN",130439,"AJAY KUMAR","BBP",85,18,0.00065164559679237
"20499",200,"HARNAUT","GEN",101697,"ASHOK SINGH","BBP",38,32,0.00037365900665703
"20987",292,"JAMSHEDPUR WEST","GEN",82998,"A. HAMID BOKHARI","BBP",67,20,0.00080724836743054
"21110",48,"JANDAHA","GEN",132738,"SUBODH KR. SINGH","BBP",67,25,0.000504753725383839
"21128",159,"JARMUNDI","GEN",82041,"MANOJ KUMAR JAISWAL","BBP",169,18,0.00205994563693763
"21286",56,"KANTI","GEN",81961,"DAHAUR PRASAD GUPTA","BBP",1145,12,0.0139700589304669
"21761",243,"KURTHA","GEN",120739,"RAJ DEO BIND","BBP",41,20,0.000339575447866886
"21822",51,"LALGANJ","GEN",112599,"RAMA SHANKAR PRASAD YADAV","BBP",73,14,0.000648318368724411
"22024",33,"MAHARAJGANJ","GEN",112054,"RAM KUWAR YADAV","BBP",138,9,0.00123154907455334
"22051",118,"MAHISHI","GEN",138934,"PARMOD SHANKAR CHAUDHARY","BBP",467,6,0.00336130824708135
"22179",244,"MAKHDUMPUR","GEN",135001,"SATYENDRA NARAYAN SINGH","BBP",153,12,0.00113332493833379
"22488",97,"MOHIUDDIN NAGAR","GEN",142343,"BAIDYANATH SINGH","BBP",150,13,0.00105379259956584
"22534",12,"MOTIHARI","GEN",92444,"KRISHAN KUMAR","BBP",237,24,0.00256371424862620
"22586",59,"MUZAFFARPUR","GEN",130996,"KHURSHID ALAM","BBP",85,17,0.000648874774802284
"22943",43,"PARSA","GEN",115820,"VIKIL SINGH","BBP",97,13,0.000837506475565533
"23033",207,"PATNA CENTRAL","GEN",105169,"VISHNUDAYAL YADAV","BBP",142,19,0.00135020776084207
"23061",208,"PATNA EAST","GEN",96228,"SAMIMUDDAIN","BBP",92,24,0.000956062684457746
"23112",206,"PATNA WEST","GEN",124066,"SATYA NARAIN SINGH","BBP",87,32,0.000701239662760144
"23739",95,"SAMASTIPUR","GEN",108340,"ASHOKE KUMAR SINGH","BBP",502,14,0.00463356101163005
"24001",5,"SIKTA","GEN",84358,"SHARATH SAH","BBP",771,10,0.00913961924180279
