"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17932",13,"ADAPUR","GEN",107531,"MANJU SRIVASTAVA","BJS",874,5,0.00812788870186272
"17978",172,"AMARPUR","GEN",107118,"NIRBHAY KUMARI TIWARI","BJS",276,14,0.0025765977706828
"18044",216,"ARRAH","GEN",103235,"RAVINDERRAI","BJS",280,14,0.00271225843948273
"18062",242,"ARWAL","GEN",131083,"JAJESH SINGH","BJS",172,15,0.00131214573972216
"18116",193,"ASTHAWAN","GEN",125882,"SURENDER PASWAN","BJS",1427,6,0.0113360130916255
"18257",272,"BAGODAR","GEN",88153,"FANI BHUSAN SAH","BJS",417,15,0.0047304118974964
"18369",109,"BAKHRI","SC",79146,"SHAYAM SUNDER PASWAN","BJS",1729,5,0.0218457028782251
"18502",254,"BARACHATTI","SC",97455,"NANHKU RABIDAS","BJS",1041,10,0.0106818531629983
"18610",202,"BARH","GEN",136526,"SHANTI BRAHMCHARI","BJS",2502,6,0.0183261796287887
"18667",263,"BARHI","GEN",67129,"KAMLESHWAR PRASAD KATARIYAR","BJS",365,15,0.00543729237736299
"18774",27,"BASANTPUR","GEN",107051,"SARAVJIT OJHA","BJS",599,8,0.00559546384433588
"18811",105,"BEGUSARAI","GEN",96541,"RAM CHANDRA PASWAN","BJS",413,9,0.0042779751608125
"18866",175,"BELHAR","GEN",84805,"UMA SHANKAR PANDIT","BJS",427,8,0.00503508047874536
"18923",8,"BETTIAH","GEN",106883,"JAY PRAKASH","BJS",289,13,0.00270389117071938
"18974",168,"BHAGALPUR","GEN",96633,"AMAR KUMAR SINGH","BJS",2084,6,0.0215661316527480
"19225",253,"BODH GAYA","SC",100882,"RAM BARAN CHOW","BJS",636,5,0.0063043952340358
"19267",279,"BOKARO","GEN",134586,"SUNDAR PODAR","BJS",140,25,0.00104022706670828
"19299",148,"BORIO","ST",69338,"SAKALDIP MANDAL","BJS",642,13,0.00925899218321844
"19302",218,"BRAHMPUR","GEN",109406,"BABBAN PATHAK","BJS",387,14,0.00353728314717657
"19396",231,"CHAINPUR","GEN",86309,"MUKTESHWAR PANDEY","BJS",232,16,0.00268801631347832
"19579",108,"CHERIA BARIARPUR","GEN",96403,"SIYA RAM MAHTON 'PARVANHJAN'","BJS",997,7,0.0103420018049231
"19677",209,"DANAPUR","GEN",111006,"VINOD KUMAR SINGH","BJS",845,6,0.0076122011422806
"19712",89,"DARBHANGA","GEN",99083,"MOHAN GOSWAMI","BJS",858,9,0.0086594067599891
"19857",284,"DHANBAD","GEN",97662,"BALDEV SHARMA","BJS",1140,6,0.0116729126989003
"19898",271,"DHANWAR","GEN",96703,"BRIJ NANDAN PRASAD","BJS",2243,7,0.0231947302565587
"20000",276,"DUMRI","GEN",84710,"INDRAJIT KUMAR JAISWAL","BJS",908,8,0.0107189233856688
"20016",255,"FATEHPUR","SC",122111,"KRISHAN MURARI","BJS",492,8,0.00402912104560605
"20058",204,"FATWA","SC",112032,"VIJENDER PASWAN","BJS",295,16,0.00263317623536133
"20176",250,"GAYA TOWN","GEN",99853,"RAJ KAPOOR","BJS",386,7,0.00386568255335343
"20228",15,"GHORASAHAN","GEN",99442,"VIJAY THAKUR","BJS",62,12,0.000623479012891937
"20236",246,"GHOSI","GEN",146564,"KAMU SAW","BJS",45,13,0.000307033104991676
"20384",169,"GOPALPUR","GEN",112082,"NARENDRA KU. NIRAJ","BJS",13365,4,0.119243054192466
"20433",252,"GURUA","GEN",120915,"INDRA DEO NARAYAN SINGH","BJS",68,19,0.000562378530372576
"20480",75,"HARLAKHI","GEN",95552,"DAYA NATH THAKUR","BJS",345,8,0.00361059946416611
"20510",200,"HARNAUT","GEN",101697,"DINESH MEHTA","BJS",1670,14,0.0164213300294011
"20546",102,"HASANPUR","GEN",95773,"AMRESHJHA","BJS",271,9,0.00282960750942332
"20749",251,"IMAMGANJ","SC",90414,"VIRESH RAM","BJS",627,9,0.00693476673966421
"20832",245,"JAHANABAD","GEN",128339,"GOPAL PRASAD KESHRI","BJS",42,24,0.000327258276907253
"21093",48,"JANDAHA","GEN",132738,"MAHENDRA PD. YADAV","BJS",1657,9,0.0124832376561346
"21335",225,"KARAKAT","GEN",96939,"RAVINDRA PANDEY","BJS",257,16,0.00265115175522751
"21659",262,"KODARMA","GEN",103757,"SATYA NARAYAN PRASAD","BJS",766,8,0.00738263442466532
"21691",248,"KONCH","GEN",136224,"SHIV SHANKAR SINGH","BJS",437,4,0.0032079516091144
"21726",57,"KURHANI","GEN",120104,"KRISHNA DEV SHARMA","BJS",179,15,0.00149037500832612
"21766",243,"KURTHA","GEN",120739,"SHIV KUMAR ARYA","BJS",1002,8,0.00829889265274683
"21825",51,"LALGANJ","GEN",112599,"SUNIL PRASAD","BJS",214,8,0.00190054973845238
"21872",6,"LAURIA","GEN",77322,"TEJ NARAIN PANDEY","BJS",301,8,0.00389281187760275
"21940",16,"MADHUBAN","GEN",116295,"RAM EKBAL SINGH","BJS",289,8,0.00248505954684208
"21967",78,"MADHUBANI","GEN",97986,"RAMANAND MISSIR","BJS",330,10,0.00336782805706938
"22007",164,"MAHAGAMA","GEN",114692,"RAJ KUMAR JAYSWAL","BJS",813,8,0.00708855020402469
"22025",33,"MAHARAJGANJ","GEN",112054,"RAMAKANT TIWARI","BJS",534,4,0.00476555946240206
"22247",210,"MANER","GEN",99183,"RAJ NARAYAN SINGH","BJS",410,16,0.00413377292479558
"22374",205,"MASAURHI","GEN",138895,"JAI RAM SHARMA","BJS",380,16,0.00273587962129666
"22680",128,"NARPATGANJ","GEN",94098,"RAMANAND THAKUR","BJS",2638,7,0.0280346022232141
"22693",167,"NATHNAGAR","GEN",107755,"KANT LAL MANDAL","BJS",3449,8,0.0320077954619275
"22712",9,"NAUTAN","GEN",69424,"ANIL PR. KUSHWAHA","BJS",231,13,0.00332737958054851
"22729",257,"NAWADA","GEN",165254,"CHANDRA BHUSAN SINGH","BJS",70,15,0.000423590351822044
"22968",53,"PARU","GEN",131365,"RAMNARESH PANDEY","BJS",470,10,0.0035778175313059
"23023",207,"PATNA CENTRAL","GEN",105169,"SATYENDRA KUMAR SINHA","BJS",473,12,0.00449752303435423
"23050",208,"PATNA EAST","GEN",96228,"PRAVIN KUMAR DAS","BJS",586,15,0.00608970362056782
"23103",206,"PATNA WEST","GEN",124066,"RAM PRIYA SINGH","BJS",184,24,0.00148308158560766
"23128",81,"PHULPARAS","GEN",110228,"CHANDER ROSHAR JHA","BJS",30,19,0.000272163152737961
"23215",165,"PIRPAINTI","GEN",106409,"HARE KRISHANA YADAV","BJS",127,12,0.00119350806792659
"23346",239,"RAFIGANJ","GEN",88800,"RAM DEO YADAV","BJS",248,11,0.00279279279279279
"23369",46,"RAGHOPUR 1","GEN",134618,"NIRANJAN SINGH","BJS",85,15,0.00063141630391181
"23425",195,"RAJGIR","SC",114000,"BINOD PASWAN","BJS",2193,5,0.0192368421052632
"23654",124,"RUPAULI","GEN",90514,"MINA DEVI","BJS",283,15,0.00312658815210907
"23760",95,"SAMASTIPUR","GEN",108340,"RAMESH THAKUR","BJS",1323,7,0.0122115562119254
"23783",214,"SANDESH","GEN",105713,"SHASHI PRAKASH SINGH","BJS",477,7,0.00451221704047752
"24002",5,"SIKTA","GEN",84358,"SHIVAJI ARYA","BJS",181,15,0.00214561748737523
"24149",67,"SITAMARHI","GEN",119418,"NAROTTAM VYAS","BJS",304,14,0.00254567988075499
"24256",44,"SONEPUR","GEN",118133,"SURENDRA NATH","BJS",738,10,0.0062471959570992
"24261",11,"SUGAULI","GEN",96554,"JANARDAN SINGH","BJS",824,11,0.00853408455372123
"24375",71,"SURSAND","GEN",111416,"GANESH THAKUR","BJS",97,12,0.000870611043297193
