"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17946",123,"ALAMNAGAR","GEN",100149,"SHITAL ROY","BKUS",485,9,0.00484278425146532
"17953",184,"ALOULI","SC",85453,"RAJENDRA PASWAN","BKUS",3475,4,0.0406656290592489
"17992",136,"AMOUR","GEN",104827,"KASIM INAMI","BKUS",1032,7,0.00984479189521784
"18163",238,"AURANGABAD","GEN",90062,"RAM BIJESHWAR SINGH","BKUS",193,14,0.00214296817747774
"18177",77,"BABUBARHI","GEN",99853,"JHARI LAL YADAV","BKUS",59,16,0.000590868576807908
"18200",107,"BACHHWARA","GEN",93096,"KAPIL DEO RAI","BKUS",226,10,0.00242760161553665
"18212",2,"BAGHA","SC",82495,"JADUNI RAM","BKUS",660,5,0.00800048487787139
"18225",281,"BAGHMARA","GEN",86500,"B.K. DUBEY","BKUS",144,24,0.00166473988439306
"18283",133,"BAHADURGANJ","GEN",74613,"SHITAL PRASAD","BKUS",3130,3,0.0419497942717757
"18360",137,"BAISI","GEN",83740,"SATYA LAL RAY","BKUS",796,10,0.00950561261046095
"18435",36,"BANIAPUR","GEN",80123,"JAGAL KISHOR PANDEY","BKUS",1887,5,0.0235512898917914
"18491",126,"BANMANKHI","SC",94997,"RAM KRISHNA RISHIDEO","BKUS",1593,7,0.0167689505984400
"18583",106,"BARAUNI","GEN",99666,"SURESH CHANDRA VERMA","BKUS",106,17,0.00106355226456364
"18726",270,"BARKATHA","GEN",97450,"GAJANAND SINGH","BKUS",611,9,0.0062698819907645
"18941",230,"BHABHUA","GEN",96667,"DEENA NATH SIDGH","BKUS",565,13,0.00584480743169851
"19040",99,"BIBHUTPUR","GEN",131048,"DILIP KUMAR SAHNI","BKUS",1377,5,0.0105076002686039
"19122",212,"BIKRAM","GEN",110069,"VIJENDER PRASAD SINGH","BKUS",152,18,0.00138095194832332
"19131",226,"BIKRAMGANJ","GEN",101282,"JAFAR HUSSAIN","BKUS",1610,9,0.0158962105803598
"19330",219,"BUXAR","GEN",86473,"GUPTESHWAR NATH SINGH","BKUS",612,13,0.00707735362483087
"19451",286,"CHANDANIKYARI","SC",65802,"FAGA RAM","BKUS",293,12,0.00445275219598189
"19507",264,"CHATRA","SC",68442,"FEKU DAS","BKUS",193,9,0.0028199059057304
"19530",182,"CHAUTHAM","GEN",104645,"SATYA NARAIN YADAV","BKUS",312,14,0.00298150891108032
"19567",233,"CHENARI","SC",89283,"TEJNARAIN RAM","BKUS",599,9,0.0067090039537202
"19585",114,"CHHATAPUR","SC",98116,"RESHMI DEVI","BKUS",255,6,0.00259896449101064
"19630",98,"DALSINGHSARAI","GEN",114216,"SURENDRA CHAUDHARY","BKUS",1482,5,0.0129754150031519
"19636",319,"DALTONGANJ","GEN",84826,"ASHOK SINGH CHANDRAWANSHI","BKUS",404,13,0.00476269068445995
"19781",235,"DEHRI","GEN",85931,"TILESHWAR CHAUDHARY","BKUS",165,21,0.00192014523280306
"19796",237,"DEO","SC",71792,"RAM BILAS RAM","BKUS",288,13,0.00401158903498997
"19840",125,"DHAMDAHA","GEN",111288,"PATWARI KISKU","BKUS",403,12,0.00362123499388973
"19880",284,"DHANBAD","GEN",97662,"RAM CHANDER RAVANI","BKUS",144,19,0.00147447318301898
"19946",227,"DINARA","GEN",100633,"SHAYAM BIHARI SINGH","BKUS",1367,10,0.0135840131964664
"19990",221,"DUMRAON","GEN",93736,"SHARDA PRASAD","BKUS",65,21,0.000693436886575062
"20013",255,"FATEHPUR","SC",122111,"DHANUPUDHARI SINGH","BKUS",46,14,0.000376706439223330
"20079",129,"FORBESGANJ","GEN",96640,"MD. TASIR URF MD. TAHIR","BKUS",235,25,0.00243170529801324
"20151",249,"GAYA MUFASSIL","GEN",127293,"MOHD SONI","BKUS",620,7,0.00487065274602688
"20177",250,"GAYA TOWN","GEN",99853,"RAJ KUMAR SINGH","BKUS",38,20,0.000380559422350856
"20230",246,"GHOSI","GEN",146564,"CHANDER KANT SINGH","BKUS",407,6,0.00277694386070249
"20338",241,"GOH","GEN",106830,"TYARI MAHENDRA","BKUS",207,17,0.00193765796124684
"20513",200,"HARNAUT","GEN",101697,"JUGESAR PRASAD SINGH","BKUS",4634,8,0.0455667325486494
"20636",269,"HAZARIBAGH","GEN",97582,"JOHN PANKAJ","BKUS",58,20,0.00059437191285278
"20727",293,"ICHAGARH","GEN",84164,"JANARDAN YADAV","BKUS",691,10,0.0082101611140155
