"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18095",193,"ASTHAWAN","GEN",125882,"CHANDESHWAR PRASAD SINGH","DMM",551,10,0.00437711507602358
"18309",87,"BAHERI","GEN",134868,"GULAM RASOOL","DMM",54,14,0.000400391493905152
"18416",103,"BALIA","GEN",100723,"JAHNUL HASSAN","DMM",55,24,0.000546052043723876
"18815",105,"BEGUSARAI","GEN",96541,"SULTAN ALAM BIHARI","DMM",145,17,0.00150195253829979
"18966",230,"BHABHUA","GEN",96667,"SHIV PUJAN BIND","DMM",4261,8,0.0440791583477298
"19381",231,"CHAINPUR","GEN",86309,"AMINUDIN MIR","DMM",179,17,0.00207394362117508
"20080",129,"FORBESGANJ","GEN",96640,"MOJIBUR RAHMAN","DMM",3363,10,0.0347992549668874
"20278",259,"GOBINDPUR","GEN",130439,"EHSAN AHMAD","DMM",107,17,0.000820306810079807
"20431",252,"GURUA","GEN",120915,"HANJAR REHMAN","DMM",12,27,9.92432700657487e-05
"21450",90,"KEOTI","GEN",117371,"NURUL ULLAH","DMM",3834,7,0.0326656499476021
"21855",82,"LAUKAHA","GEN",102889,"MOHD. KALAMUDDIN KHAN","DMM",58,21,0.000563714294045039
"22010",164,"MAHAGAMA","GEN",114692,"RAM DAYAL SAH","DMM",257,15,0.00224078401283437
"22040",118,"MAHISHI","GEN",138934,"A.R. AMBER","DMM",745,5,0.00536225833849166
"22647",196,"NALANDA","GEN",139377,"ANANDI PRASAD ANAND","DMM",222,11,0.00159280225575238
"22678",128,"NARPATGANJ","GEN",94098,"KAMAL KISHORE YADAV","DMM",5515,5,0.0586091096516398
"22741",257,"NAWADA","GEN",165254,"UMESH KUMAR","DMM",79,14,0.000478051968484878
"22781",234,"NOKHA","GEN",92309,"LALMUNI RAM","DMM",183,21,0.00198247191498120
"22994",207,"PATNA CENTRAL","GEN",105169,"DAMO KHAN","DMM",247,14,0.00234860082343656
"24019",131,"SIKTI","GEN",114866,"MD. TAHIR","DMM",2137,8,0.0186042867341076
"24178",29,"SIWAN","GEN",104519,"RAJENDER PRASAD","DMM",162,16,0.00154995742400903
"24367",71,"SURSAND","GEN",111416,"ABDUL BERI","DMM",3178,5,0.0285237308824585
"24434",134,"THAKURGANJ","GEN",90175,"ANISUR RAHMAN","DMM",60,11,0.000665372886054893
