"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18146",62,"AURAI","GEN",119799,"SHOE CHANDRA THAKUR","FBL",133,7,0.00111019290645164
"18380",203,"BAKHTIARPUR","GEN",128839,"JAI KUMAR NIRALA","FBL",42,23,0.000325988248899790
"18638",215,"BARHARA","GEN",114548,"MADAN MOHAN SINGH","FBL",2953,6,0.0257795858504732
"19108",212,"BIKRAM","GEN",110069,"RAM EKWAL SINGH","FBL",461,10,0.00418828189590166
"19465",199,"CHANDI","GEN",99685,"GANAURI MAHTO","FBL",65,15,0.000652053970005517
"19653",319,"DALTONGANJ","GEN",84826,"SATISH CHANDRA MISHRA","FBL",114,23,0.00134392756937731
"19673",209,"DANAPUR","GEN",111006,"SURENDER RAI","FBL",161,12,0.00145037205196116
"20037",204,"FATWA","SC",112032,"KRISHNA RAVISAS","FBL",56,27,0.000499857183661811
"20187",250,"GAYA TOWN","GEN",99853,"TARNI PRASAD SINGH","FBL",75,16,0.0007511041230609
"20722",293,"ICHAGARH","GEN",84164,"GHANASHYAM MAHATO","FBL",4688,4,0.0557007746780096
"20766",197,"ISLAMPUR","GEN",149581,"SIHV SHANKAR PRASAD","FBL",47,15,0.000314211029475669
"21124",159,"JARMUNDI","GEN",82041,"JANARDAN PANDEY","FBL",158,19,0.00192586633512512
"21982",157,"MADHUPUR","GEN",103093,"BHYPENDRA NATH SAHAY","FBL",330,8,0.00320099327791412
"22243",210,"MANER","GEN",99183,"MAHESH SINGH","FBL",112,25,0.00112922577457830
"22651",196,"NALANDA","GEN",139377,"GANAURI MAHTO","FBL",165,12,0.00118383951441056
"22852",213,"PALIGANJ","GEN",111124,"VINDESHWAR TIWARI","FBL",52,21,0.000467945718296678
"23009",207,"PATNA CENTRAL","GEN",105169,"NAFISA ALI","FBL",54,31,0.00051345928933431
"23157",211,"PHULWARI","SC",102593,"MUNNU RAJAK","FBL",49,26,0.000477615431852076
