"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17963",172,"AMARPUR","GEN",107118,"ARUN PANIARA","HMS",326,13,0.00304337272913983
"18462",174,"BANKA","GEN",95409,"KANTI PRASAD SINGH","HMS",297,14,0.00311291387604943
"18995",168,"BHAGALPUR","GEN",96633,"RAJENDRA PRA. PANDEY","HMS",1521,8,0.0157399646083636
"19153",226,"BIKRAMGANJ","GEN",101282,"RAVINDRA MISHRA","HMS",134,23,0.00132303864457653
"19917",173,"DHURAIYA","SC",99547,"DEEP NAAYAN DAS","HMS",1214,5,0.0121952444573920
"20366",24,"GOPALGANJ","GEN",99914,"ARUN KUMAR GUPTA","HMS",81,10,0.000810697199591649
"20570",307,"HATIA","GEN",82934,"ARUN KUMAR PANDEY","HMS",1014,11,0.0122265898184098
"20877",91,"JALE","GEN",102840,"ARUN KUMAR SHARMA","HMS",62,18,0.000602878257487359
"20937",186,"JAMALPUR","GEN",107224,"SURESH PD. CHOURASHIA","HMS",439,11,0.00409423263448482
"21269",308,"KANKE","SC",72140,"HARIBOL RAM","HMS",130,12,0.00180205156639867
"21283",56,"KANTI","GEN",81961,"BHUP NARAIN SINGH","HMS",1505,11,0.0183623918693037
"21421",176,"KATORIA","GEN",92567,"LAL BIHARI CHOUDHARY","HMS",1190,12,0.0128555532749252
"21441",90,"KEOTI","GEN",117371,"GIRISH THAKUR","HMS",160,20,0.00136319874585715
"21532",180,"KHARAGPUR","GEN",123090,"SANT GYENESHWAR MODI","HMS",1675,8,0.0136079291575270
"21826",51,"LALGANJ","GEN",112599,"UMESH SINGH","HMS",62,17,0.000550626559738541
"21937",16,"MADHUBAN","GEN",116295,"PARMANAND SINGH","HMS",169,11,0.00145320091147513
"22008",164,"MAHAGAMA","GEN",114692,"RAJESHWAR SINGH","HMS",1875,6,0.0163481323893558
"22063",47,"MAHNAR","GEN",119919,"HARIHAR SINGH","HMS",163,14,0.00135925082764199
"22239",210,"MANER","GEN",99183,"KRISHNA SINGH","HMS",127,24,0.00128046136938790
"22539",12,"MOTIHARI","GEN",92444,"NARENDER SINGH","HMS",1147,9,0.0124075115745749
"22595",59,"MUZAFFARPUR","GEN",130996,"PRABHAT KUMAR SHARMA","HMS",76,19,0.000580170386882042
"22691",167,"NATHNAGAR","GEN",107755,"KAMESHWAR YADAV","HMS",17780,2,0.165003944132523
"22893",318,"PANKI","GEN",67499,"RAM DAS TYAGI","HMS",423,12,0.00626675950754826
"22916",181,"PARBATTA","GEN",107866,"RAHIM PAHALWAN","HMS",140,22,0.00129790666196948
"22988",49,"PATEPUR","SC",105424,"SHASIBHUSHAN PA.","HMS",85,10,0.000806268022461679
"23026",207,"PATNA CENTRAL","GEN",105169,"SURESH KUMAR SHARMA","HMS",193,15,0.00183514153410225
"23216",165,"PIRPAINTI","GEN",106409,"HARI YADAV","HMS",1420,4,0.0133447358776043
"23548",306,"RANCHI","GEN",106292,"ISHWAR PRASAD GUPTA","HMS",120,13,0.00112896549128815
"24188",29,"SIWAN","GEN",104519,"VISHAVKARMA PARSAD","HMS",7547,3,0.0722069671542973
