"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17962",172,"AMARPUR","GEN",107118,"ANIL KUMAR SINGH","ICS(SCS)",1872,5,0.0174760544446312
"17995",136,"AMOUR","GEN",104827,"MUZAFFAR HUSSAIN","ICS(SCS)",20128,2,0.192011600064869
"18031",216,"ARRAH","GEN",103235,"KAPIL DEV AKELA","ICS(SCS)",2303,6,0.0223083256647455
"18321",87,"BAHERI","GEN",134868,"SHIV SHANKAR SINGH","ICS(SCS)",31,19,0.000229854376130735
"18365",109,"BAKHRI","SC",79146,"RAM CHANDRA PRASAD","ICS(SCS)",819,8,0.0103479645212645
"18400",203,"BAKHTIARPUR","GEN",128839,"SUBRAT KUMAR","ICS(SCS)",267,14,0.00207235386800581
"18483",126,"BANMANKHI","SC",94997,"DIP NA. PASWAN","ICS(SCS)",438,12,0.00461067191595524
"18631",215,"BARHARA","GEN",114548,"BRAJNANDAN RAI","ICS(SCS)",348,13,0.00303802772636799
"18839",247,"BELAGANJ","GEN",137833,"RAM YATAN PRASAD","ICS(SCS)",156,12,0.00113180442999862
"18962",230,"BHABHUA","GEN",96667,"RAMANUJ SINGH","ICS(SCS)",309,19,0.00319654070158379
"18983",168,"BHAGALPUR","GEN",96633,"GULSAM HUSSAIN","ICS(SCS)",1176,10,0.0121697556735277
"19099",212,"BIKRAM","GEN",110069,"KRISHAN DEV YADAV","ICS(SCS)",234,15,0.00212593918360301
"19599",166,"COLGONG","GEN",124817,"ANIL KUMAR SINHA","ICS(SCS)",165,10,0.00132193531329867
"19627",98,"DALSINGHSARAI","GEN",114216,"SHASHI KANT","ICS(SCS)",496,9,0.0043426490158997
"19666",209,"DANAPUR","GEN",111006,"MADAN DHARI SINGH","ICS(SCS)",340,7,0.00306289750103598
"19713",89,"DARBHANGA","GEN",99083,"MOHD. IDRIS","ICS(SCS)",893,7,0.00901264596348516
"19768",235,"DEHRI","GEN",85931,"NAND KUMAR SINGH","ICS(SCS)",2758,7,0.0320955184973991
