"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17965",172,"AMARPUR","GEN",107118,"ASLAM PARVEJ","IP",327,12,0.00305270822830897
"18271",272,"BAGODAR","GEN",88153,"SAIYAD IMLAL HUSSAIN","IP",2653,6,0.0300954023118896
"18277",133,"BAHADURGANJ","GEN",74613,"AZIMUDDIN","IP",412,8,0.00552182595526249
"18358",137,"BAISI","GEN",83740,"MOWIN KASIM","IP",1113,9,0.0132911392405063
"18739",144,"BARSOI","GEN",87432,"KAMAL BHARAT","IP",527,12,0.00602754140360509
"18773",27,"BASANTPUR","GEN",107051,"SALAUDDIN HA","IP",111,14,0.00103688895946792
"19134",226,"BIKRAMGANJ","GEN",101282,"KAILASH PRASAD SAH","IP",3038,7,0.0299954582255485
"19551",233,"CHENARI","SC",89283,"KANHAYA MUSAHAR","IP",219,16,0.00245287456738685
"19703",89,"DARBHANGA","GEN",99083,"EZAZ AHMAD","IP",386,13,0.00389572378712796
"20073",129,"FORBESGANJ","GEN",96640,"MAHENDAR JHA","IP",5372,8,0.0555877483443709
"20555",102,"HASANPUR","GEN",95773,"RAJANI KANT JHA","IP",286,8,0.00298622785127332
"21360",138,"KASBA","GEN",112610,"SHASIKANT MISHRA","IP",116,17,0.00103010389841044
"21410",176,"KATORIA","GEN",92567,"ASHOK HUSSAIN","IP",283,18,0.00305724502252423
"22671",128,"NARPATGANJ","GEN",94098,"DILIP KUMAR DIN","IP",1826,9,0.0194053008565538
"22707",167,"NATHNAGAR","GEN",107755,"SIKANDRA JAMALA","IP",981,13,0.00910398589392604
"22830",151,"PAKAUR","GEN",86446,"ZAMIRUL HAQUE","IP",356,10,0.00411817782199292
"23384",110,"RAGHOPUR 2","GEN",124612,"MAHENDRA MAHATMAN","IP",790,8,0.00633967836163451
"23578",127,"RANIGANJ","SC",100844,"DEOMUNI RAM","IP",21727,3,0.215451588592281
"23638",124,"RUPAULI","GEN",90514,"AJIJUL HASAN","IP",166,20,0.00183397043551274
"23835",232,"SASARAM","GEN",109077,"BHAGWAT PRASAD","IP",15,33,0.000137517533485519
