"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17931",13,"ADAPUR","GEN",107531,"MAHEMDER SINGH","IPF",4133,4,0.0384354279231105
"18047",216,"ARRAH","GEN",103235,"SUDAMA PRASAD","IPF",29306,2,0.283876592241004
"18077",242,"ARWAL","GEN",131083,"RAMADHAR SINGH","IPF",33630,2,0.256555007132885
"18169",238,"AURANGABAD","GEN",90062,"USHA KUMARI","IPF",8859,5,0.098365570384846
"18263",272,"BAGODAR","GEN",88153,"MAHERDRA PRASAD SINGH","IPF",29107,1,0.330187288010618
"18371",109,"BAKHRI","SC",79146,"UMESH BAITHA","IPF",3669,4,0.0463573648699871
"18509",254,"BARACHATTI","SC",97455,"UMESH SINGH","IPF",31823,1,0.326540454568775
"18603",202,"BARH","GEN",136526,"KASHI NATH YADAV","IPF",332,10,0.00243177123771296
"18636",215,"BARHARA","GEN",114548,"JAJ SINGH","IPF",24430,2,0.213273038376925
"18706",266,"BARKAGAON","GEN",99391,"RAFAT HASSAN","IPF",10394,4,0.104576873157529
"18976",168,"BHAGALPUR","GEN",96633,"ARJUN PRASAD","IPF",576,12,0.00596069665642172
"19010",321,"BHAWANATHPUR","GEN",76898,"NAND GOPAL YADAV","IPF",2592,7,0.0337069884782439
"19058",194,"BIHAR","GEN",166011,"BIRENDER KUMAR SINGH","IPF",2044,8,0.0123124371276602
"19091",212,"BIKRAM","GEN",110069,"ARUN KUMAR MANI","IPF",18899,3,0.171701387311595
"19159",226,"BIKRAMGANJ","GEN",101282,"SURYA DEO SINGH","IPF",22433,1,0.22149049189392
"19211",60,"BOCHAHA","SC",103728,"HEMANT KUMAR","IPF",5029,3,0.048482569797933
"19239",279,"BOKARO","GEN",134586,"DEVDEEP SINGHDIWAKAR","IPF",1393,5,0.0103502593137473
"19328",219,"BUXAR","GEN",86473,"DINESH KUMAR SINGH","IPF",5692,6,0.0658240144322505
"19462",199,"CHANDI","GEN",99685,"BARHAMDEO PRASAD","IPF",6853,4,0.0687465516376586
