"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17927",13,"ADAPUR","GEN",107531,"BRAJ BIHARI PRASAD","JD",53282,1,0.495503622211269
"17940",123,"ALAMNAGAR","GEN",100149,"BIRENDRA 'KUMAR SINGH'","JD",30948,1,0.309019560854327
"17952",184,"ALOULI","SC",85453,"PASUPATI KR. PARAS","JD",45542,1,0.532947936292465
"17971",172,"AMARPUR","GEN",107118,"GUNESHWAR PRASAD SINGH","JD",18674,3,0.174331111484531
"17997",136,"AMOUR","GEN",104827,"TAIYAB AZAD KHAN","JD",16547,3,0.157850553769544
"18003",130,"ARARIA","GEN",93716,"KAMAL N. YADAV","JD",13282,3,0.141726065986598
"18050",216,"ARRAH","GEN",103235,"VASHISTH NARAIN SINGH","JD",38085,1,0.368915580956071
"18076",242,"ARWAL","GEN",131083,"RAM PYARE SINGH","JD",25523,3,0.194708696017027
"18119",193,"ASTHAWAN","GEN",125882,"VISHNU DAS CHOUDHARY","JD",22587,2,0.179429942326941
"18127",256,"ATRI","GEN",156849,"MAHESH SINGH YADAV","JD",46794,2,0.298337891857774
"18140",62,"AURAI","GEN",119799,"GANESH PRASAD YADAV","JD",65604,1,0.547617258908672
"18165",238,"AURANGABAD","GEN",90062,"SURENDRA MOHAN","JD",1919,7,0.0213075436921232
"18174",77,"BABUBARHI","GEN",99853,"DEO NARAYAN YADAV","JD",44834,1,0.449000030044165
"18218",2,"BAGHA","SC",82495,"PURANMASI RAM","JD",56207,1,0.681338262925026
"18224",281,"BAGHMARA","GEN",86500,"AKHLAKH AHMAD","JD",11909,3,0.137676300578035
"18259",272,"BAGODAR","GEN",88153,"GAUTAM SAGAR RANA","JD",20808,2,0.236044150511043
"18279",133,"BAHADURGANJ","GEN",74613,"ISLAMUDDIN BAGI","JD",43794,1,0.58694865506011
"18286",85,"BAHERA","GEN",127109,"ABDUL BARI SIDDIQUI","JD",43070,2,0.338843040225318
"18316",87,"BAHERI","GEN",134868,"NARENDRA KUMAR SINGH","JD",9330,4,0.0691787525580568
"18327",287,"BAHRAHGORA","GEN",92335,"DINESH KUMAR SANDGI","JD",19454,2,0.210689337737586
"18339",26,"BAIKUNTHPUR","GEN",125083,"DEVDAT PRASAD","JD",35742,2,0.285746264480385
"18348",137,"BAISI","GEN",83740,"A. SUBHAN","JD",22186,1,0.264939097205637
"18392",203,"BAKHTIARPUR","GEN",128839,"RAJENDER SINGH","JD",29880,2,0.231917354217279
"18424",103,"BALIA","GEN",100723,"SRI NARAYAN YADAV","JD",42274,1,0.419705529025148
"18430",36,"BANIAPUR","GEN",80123,"BAIDYA NATH PANDUY","JD",21487,3,0.268175180659736
"18473",174,"BANKA","GEN",95409,"SUNIL KUMAR SINGH","JD",13086,3,0.137156871993208
"18477",126,"BANMANKHI","SC",94997,"BECHAN PASWAN","JD",18695,3,0.196795688284893
"18499",254,"BARACHATTI","SC",97455,"DEO KUMAR PRASAD","JD",11701,4,0.120065671335488
"18526",141,"BARARI","GEN",89013,"MANSOOR ALAM","JD",25839,2,0.290283441744464
"18550",25,"BARAULI","GEN",100449,"M.A. SIDDIQUE","JD",5870,6,0.0584376151081643
"18593",192,"BARBIGHA","SC",98410,"NAGINA CHOUDHARY","JD",26108,2,0.265298242048572
"18613",202,"BARH","GEN",136526,"VIJAY KRISHAN SINGH","JD",48165,1,0.352789944772424
"18643",215,"BARHARA","GEN",114548,"RADHVENDER PARTAP SINGH","JD",43365,1,0.378574920557321
"18657",263,"BARHI","GEN",67129,"AMBIKA SINGH","JD",3222,5,0.0479971398352426
"18730",270,"BARKATHA","GEN",97450,"RAJENDRA PD. YADAV","JD",8501,4,0.0872344792201129
"18745",144,"BARSOI","GEN",87432,"SDDIQUE","JD",35463,1,0.40560664287675
"18757",55,"BARURAJ","GEN",130603,"SHASHI KU. RAI","JD",57747,1,0.442156765158534
"18759",27,"BASANTPUR","GEN",107051,"AFZAL AHMAD","JD",18392,3,0.171805961644450
"18799",68,"BATHNAHA","GEN",120928,"SURYADEO RAI","JD",57227,1,0.473232005821646
"18847",247,"BELAGANJ","GEN",137833,"SURENDER PRASAD YADAV","JD",55799,1,0.404830483265981
"18853",175,"BELHAR","GEN",84805,"CHATURBHUJ PD. SINGH","JD",20861,3,0.245987854489712
"18873",65,"BELSAND","GEN",89953,"RAGHUBANS PD. SINGH","JD",33463,2,0.37200538058764
"18884",73,"BENIPATTI","GEN",107476,"SHALIGRAM YADAV","JD",40635,2,0.378084409542596
"18902",278,"BERMO","GEN",110045,"MANDAN MOHAN AGRAWAL","JD",1256,7,0.0114135126539143
"18936",8,"BETTIAH","GEN",106883,"SHILENDRA SINHA","JD",1779,5,0.0166443681408643
"18979",168,"BHAGALPUR","GEN",96633,"BANSARSHI GUPTA","JD",16278,3,0.168451771134085
"19006",321,"BHAWANATHPUR","GEN",76898,"GIRWAR PANDEY","JD",21241,1,0.276223048713881
"19031",22,"BHORE","SC",116260,"INDER DEV MAJHI","JD",58289,1,0.501367624290384
"19069",194,"BIHAR","GEN",166011,"RAM CHANDER PRASAD","JD",10503,4,0.0632668919529429
"19085",170,"BIHPUR","GEN",96877,"PURUSHOTTAM KUMAR","JD",16112,3,0.166313985775778
"19146",226,"BIKRAMGANJ","GEN",101282,"MEGHARAJ MEDHAVI","JD",6537,5,0.064542564325349
"19178",314,"BISHNUPUR","ST",62982,"DURGA BHAGAT","JD",5436,3,0.0863103743926836
"19213",60,"BOCHAHA","SC",103728,"RAMAI RAM","JD",66280,1,0.638978867808114
"19224",253,"BODH GAYA","SC",100882,"RAJESH KUMAR","JD",40351,2,0.399982157371979
"19282",148,"BORIO","ST",69338,"BENJAMIN MURMU","JD",2872,6,0.0414202890190083
"19311",218,"BRAHMPUR","GEN",109406,"RAMAKANT THAKUR","JD",19382,3,0.177156645887794
"19334",219,"BUXAR","GEN",86473,"KALINDI RAI","JD",7388,5,0.0854370728435465
"19419",177,"CHAKAI","GEN",103220,"NARENDRA SINGH","JD",48326,1,0.468184460375896
"19456",286,"CHANDANIKYARI","SC",65802,"KUMAR VIRENDER PASWAN","JD",1633,5,0.0248168748670253
"19466",199,"CHANDI","GEN",99685,"HARI NARAYAN SINGH","JD",45121,1,0.452635802778753
"19483",7,"CHANPATIA","GEN",70426,"KRISHNA KUMAR MISHRA","JD",20921,1,0.297063584471644
"19494",41,"CHAPRA","GEN",134203,"JANAK YADAV","JD",46292,2,0.344940128015022
"19520",182,"CHAUTHAM","GEN",104645,"ARUN KESHARI","JD",19765,2,0.188876678293277
"19549",233,"CHENARI","SC",89283,"JAWAHAR PASWAN","JD",33097,1,0.370697669209144
"19572",108,"CHERIA BARIARPUR","GEN",96403,"RAM JIWAN SINGH","JD",55601,1,0.576755910085786
"19586",114,"CHHATAPUR","SC",98116,"YOGENDRA NR. SARDAR","JD",57721,1,0.588293448571079
"19594",323,"CHHATARPUR","SC",55763,"LAXAMN RAM","JD",20738,1,0.371895342790022
"19604",166,"COLGONG","GEN",124817,"MAHESH PRASAD MANDAL","JD",46414,1,0.37185639776633
"19613",98,"DALSINGHSARAI","GEN",114216,"HARBANS NARAIN SINGH","JD",27869,2,0.244002591580864
"19676",209,"DANAPUR","GEN",111006,"VIJENDER RAI","JD",56479,1,0.508792317532386
"19693",31,"DARAULI","GEN",97108,"SHIV SHANKAR YADAV","JD",33072,1,0.34056926308852
"19708",89,"DARBHANGA","GEN",99083,"KAMESHWAR PURVE","JD",40774,1,0.411513579524237
"19740",88,"DARBHANGA RURAL","SC",95371,"JAGDISH CHAUDHARY","JD",47941,1,0.502679011439536
"19767",235,"DEHRI","GEN",85931,"MD. ILYAS HUSSAIN","JD",34030,1,0.396015407710838
"19807",158,"DEOGHAR","SC",79270,"KAMLI DEVI","JD",7376,4,0.0930490727892015
"19817",14,"DHAKA","GEN",145414,"IDARSIH ANSARI","JD",2594,3,0.0178387225439091
"19841",125,"DHAMDAHA","GEN",111288,"SURYA NARAYAN SINGH","JD",36539,2,0.32832830134426
"19845",1,"DHANAHA","GEN",71679,"NARVE DESHWA PRASAD KUSHWAHA","JD",10825,3,0.151020522049694
"19883",284,"DHANBAD","GEN",97662,"S.K. SHRIVA","JD",25340,2,0.259466322622924
"19944",227,"DINARA","GEN",100633,"RAMDHANI SINGH","JD",33068,1,0.328599962239027
"19966",160,"DUMKA","ST",67434,"VIJOY KUMAR SONI","JD",2915,4,0.0432274520271673
"19972",221,"DUMRAON","GEN",93736,"BASANT SINGH","JD",32590,1,0.347678586668943
"20002",276,"DUMRI","GEN",84710,"LAL CHAND MAHTO","JD",30718,1,0.362625427930587
"20021",255,"FATEHPUR","SC",122111,"RAM NARESH PRASAD","JD",55089,1,0.451138718051609
