"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18330",287,"BAHRAHGORA","GEN",92335,"MANORANJAN SAHU","JKD",473,9,0.00512265121568203
"19177",314,"BISHNUPUR","ST",62982,"DOMAN MUNDA","JKD",678,8,0.0107649804706107
"19205",322,"BISHRAMPUR","GEN",85625,"SURESH RAM","JKD",299,16,0.00349197080291971
"19375",295,"CHAIBASA","ST",53872,"SHIVA RAM DORAIBURU","JKD",292,21,0.00542025542025542
"19445",299,"CHAKRADHARPUR","ST",61003,"THOMAS MUNDA","JKD",2817,5,0.0461780568168779
"19592",323,"CHHATARPUR","SC",55763,"KANHAI RAM","JKD",1501,4,0.0269174900919965
"19642",319,"DALTONGANJ","GEN",84826,"HARIHAR RAM NATH ORAON","JKD",1404,6,0.0165515290123311
"20415",313,"GUMLA","ST",71805,"CHIST PRAKASH TIRKEY","JKD",16428,2,0.228786296218926
"20584",307,"HATIA","GEN",82934,"MD. MOIN ANSARI","JKD",2719,7,0.0327851062290496
"20724",293,"ICHAGARH","GEN",84164,"HARADHAN SINGH","JKD",493,12,0.00585761133025997
"20775",297,"JAGANATHPUR","ST",48291,"JOYL DANG","JKD",1235,10,0.0255741235426891
"21009",292,"JAMSHEDPUR WEST","GEN",82998,"S.N. GORAI (BHUTTO)","JKD",3255,5,0.0392178124774091
"21273",308,"KANKE","SC",72140,"RAGHUNATH NAYAK","JKD",1472,7,0.0204047685056834
"21548",300,"KHARASAWAN","ST",64559,"KISTORAR KELEMENT","JKD",1993,7,0.0308709862296504
"21565",305,"KHIJRI","ST",86756,"DAVID BODRA","JKD",340,12,0.00391903730001383
"21592",303,"KHUNTI","ST",71722,"NICOLASH GURIA","JKD",17837,3,0.248696355372131
"21665",311,"KOLEBIRA","ST",66472,"EMANUEL KHARIYA","JKD",18756,2,0.282163918642436
"22194",309,"MANDAR","ST",80294,"SAMUEL HORO","JKD",1284,6,0.0159912322215857
"22343",298,"MANOHARPUR","ST",58617,"MAGI MUNDA","JKD",3068,7,0.0523397649146152
"22892",318,"PANKI","GEN",67499,"PRABHUJIT SINGH","JKD",2795,7,0.0414080208595683
"23252",289,"POTKA","ST",73458,"GIOPI NATH SOREN","JKD",3020,7,0.0411119279043807
"23559",306,"RANCHI","GEN",106292,"MD. UMAR BHAI","JKD",5382,4,0.0506341022842735
"23869",294,"SERAIKELLA","ST",82673,"CHANDRA TUDU","JKD",602,11,0.00728170019232397
"23964",153,"SIKARIPARA","ST",64561,"AUGUSTINE MARANDI","JKD",80,18,0.00123913817939623
"24060",312,"SIMDEGA","ST",67350,"STANISLAS KINDO","JKD",12000,3,0.178173719376392
"24129",310,"SISAI","ST",69304,"NIRBANDH SURIN","JKD",6970,4,0.100571395590442
"24392",301,"TAMAR","ST",68731,"JAGNATH SINGH","JKD",3063,6,0.0445650434301843
"24448",302,"TORPA","ST",57733,"NIRAL ENEM HORO","JKD",24571,1,0.425597145480055
