"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18231",281,"BAGHMARA","GEN",86500,"JALESHWAR MAHATO","JMM",14055,2,0.162485549132948
"18255",272,"BAGODAR","GEN",88153,"DHANESHWAR MANDAL","JMM",2067,7,0.0234478690458634
"18334",287,"BAHRAHGORA","GEN",92335,"RATI LAL MAHTO","JMM",15071,4,0.163220880489522
"18461",174,"BANKA","GEN",95409,"KABIR","JMM",8746,5,0.0916685008751795
"18495",126,"BANMANKHI","SC",94997,"SIYA RAM SHARMA","JMM",49,22,0.00051580576228723
"18619",149,"BARHAIT","ST",84593,"HEM LAL MURMU","JMM",38946,1,0.460392703888029
"18677",263,"BARHI","GEN",67129,"RAEES AHMAD KHAN","JMM",832,8,0.0123940472820986
"18701",266,"BARKAGAON","GEN",99391,"DHAANESHWAR MAHTO","JMM",4510,5,0.0453763419223068
"18729",270,"BARKATHA","GEN",97450,"MANIR AHMAD","JMM",4012,5,0.0411698306824012
"18898",278,"BERMO","GEN",110045,"LALU SOREN","JMM",12507,4,0.113653505384161
"19174",314,"BISHNUPUR","ST",62982,"AJIT TIGGA","JMM",2938,5,0.0466482487059795
"19289",148,"BORIO","ST",69338,"LOBIN HEMBROM","JMM",20065,1,0.289379560991087
"19361",295,"CHAIBASA","ST",53872,"HIBAR GURIA","JMM",10660,1,0.197876447876448
"19420",177,"CHAKAI","GEN",103220,"ONKAR PRASAD BURNWAL","JMM",1716,4,0.0166246851385390
"19427",299,"CHAKRADHARPUR","ST",61003,"BAHADUR UROUN","JMM",16862,1,0.276412635444159
"19454",286,"CHANDANIKYARI","SC",65802,"HARU RAJWAR","JMM",23417,2,0.355870642229719
"19809",158,"DEOGHAR","SC",79270,"PAWAN KUMAR CHOUDHARY","JMM",2264,5,0.0285606156175098
"19836",125,"DHAMDAHA","GEN",111288,"JAMUNA MURMU","JMM",1560,8,0.0140176838473151
"19869",284,"DHANBAD","GEN",97662,"MANINDRA NATH MANDAL","JMM",9789,4,0.100233458253978
"19901",271,"DHANWAR","GEN",96703,"GIRIJA PRASAD SINGH","JMM",14455,3,0.149478299535692
"19965",160,"DUMKA","ST",67434,"STEPHEN MARANDI","JMM",31608,1,0.468724975531631
"20009",276,"DUMRI","GEN",84710,"SHIVA MAHTO","JMM",19195,2,0.226596623775233
"20110",274,"GANDEY","GEN",85519,"SALKHAN SOREN","JMM",30238,1,0.353582244881254
"20211",288,"GHATSILA","ST",80769,"SHANKER CHANDRA HEMBRAM","JMM",17592,2,0.217806336589533
"20250",275,"GIRIDIH","GEN",70459,"RAJ KISHOR RAM","JMM",8679,4,0.123178018422061
"20288",259,"GOBINDPUR","GEN",130439,"MOHAN SINGH","JMM",493,8,0.00377954446139575
"20316",163,"GODDA","GEN",112209,"SUMRIT MANDAL","JMM",31793,1,0.283337343706833
"20356",277,"GOMIA","GEN",90768,"MD. JAMEEL AHMED","JMM",3316,6,0.0365326987484576
"20414",313,"GUMLA","ST",71805,"BHISEN ORAON","JMM",730,8,0.0101664229510480
"20736",293,"ICHAGARH","GEN",84164,"SUDHIR MAHATO","JMM",41684,1,0.49527113730336
"20776",297,"JAGANATHPUR","ST",48291,"KRISHNA CHANDRA SINKU","JMM",2688,6,0.0556625458159906
"20909",161,"JAMA","ST",63517,"MOHRIL MURMU","JMM",30559,1,0.48111529196908
"20978",291,"JAMSHEDPUR EAST","GEN",87039,"SHASHI BHUSHAN PRASAD","JMM",2303,5,0.0264594032560117
"21001",292,"JAMSHEDPUR WEST","GEN",82998,"MD. HASAN RIZVI","JMM",27018,1,0.325525916287139
"21019",155,"JAMTARA","GEN",88173,"BABU LAL MARANDI","JMM",29281,2,0.332085785898177
"21137",159,"JARMUNDI","GEN",82041,"TARANAND SINGH","JMM",10287,4,0.125388525249570
