"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17937",13,"ADAPUR","GEN",107531,"SURENDER SINGH","JNP(JP)",692,6,0.00643535352595996
"17942",123,"ALAMNAGAR","GEN",100149,"JANARDAN PD. MANDAL","JNP(JP)",6449,4,0.0643940528612368
"17988",136,"AMOUR","GEN",104827,"CHANDRA SHEKHAR JHA","JNP(JP)",8503,5,0.0811145983382144
"17999",130,"ARARIA","GEN",93716,"ALIMUDDIN","JNP(JP)",7022,6,0.0749285074053523
"18067",242,"ARWAL","GEN",131083,"KRISHANA PASWAN","JNP(JP)",646,11,0.00492817527825881
"18091",193,"ASTHAWAN","GEN",125882,"AYODHYA PRASAD","JNP(JP)",716,9,0.00568786641457873
"18208",107,"BACHHWARA","GEN",93096,"RAM NARAIN CHOUDHRY","JNP(JP)",1803,4,0.0193671049239495
"18215",2,"BAGHA","SC",82495,"LAL PARICHHAN RAM","JNP(JP)",723,4,0.00876416752530456
"18262",272,"BAGODAR","GEN",88153,"MAHENDRA NA. SINGH","JNP(JP)",423,14,0.00479847537803592
"18297",85,"BAHERA","GEN",127109,"S.M. NAQVI IMAM","JNP(JP)",1706,4,0.0134215515817133
"18301",87,"BAHERI","GEN",134868,"ASHOK KUMAR SINGH","JNP(JP)",516,6,0.00382596316398256
"18387",203,"BAKHTIARPUR","GEN",128839,"MADAN SHARMA","JNP(JP)",6115,5,0.0474623367148146
"18405",103,"BALIA","GEN",100723,"AMRENDRA SINGH","JNP(JP)",1655,6,0.0164312024066003
"18441",36,"BANIAPUR","GEN",80123,"RAM BAHADUR RAI","JNP(JP)",24191,1,0.301923292937109
"18558",25,"BARAULI","GEN",100449,"RAM PARVESH RAI","JNP(JP)",22841,2,0.227389023285448
"18571",106,"BARAUNI","GEN",99666,"JARMAN SINGH","JNP(JP)",909,5,0.00912046234422973
"18630",215,"BARHARA","GEN",114548,"BRAHMESHWAR SINGH","JNP(JP)",2970,5,0.0259279952508992
"18732",270,"BARKATHA","GEN",97450,"SARIPAL TIWARI","JNP(JP)",605,10,0.00620831195484864
"18752",55,"BARURAJ","GEN",130603,"ASHOK KU. SINGH","JNP(JP)",967,5,0.00740411782271464
"18770",27,"BASANTPUR","GEN",107051,"RAMANAND YADAV","JNP(JP)",1304,6,0.0121811099382537
"18793",68,"BATHNAHA","GEN",120928,"RAM BABU RAI","JNP(JP)",346,14,0.0028612066684308
"18809",105,"BEGUSARAI","GEN",96541,"PARWATI YADAV","JNP(JP)",571,7,0.0059145855128909
"18826",247,"BELAGANJ","GEN",137833,"HARIDWAR SINGH","JNP(JP)",1783,7,0.0129359442223560
"18867",175,"BELHAR","GEN",84805,"VINAY SINGH","JNP(JP)",605,7,0.00713401332468604
"18925",8,"BETTIAH","GEN",106883,"KIRSHNA MO. PANDEY","JNP(JP)",1688,6,0.0157929698829561
"18969",230,"BHABHUA","GEN",96667,"VIJAY BAHADUR SINGH","JNP(JP)",233,22,0.00241033651608098
"19004",168,"BHAGALPUR","GEN",96633,"VINODA SINGH","JNP(JP)",357,13,0.00369439011517804
"19007",321,"BHAWANATHPUR","GEN",76898,"GOPAL PRASAD KESHARI","JNP(JP)",1049,11,0.0136414471117584
"19081",170,"BIHPUR","GEN",96877,"BRAHMADEO MANDAL","JNP(JP)",27336,1,0.282172239024743
"19092",212,"BIKRAM","GEN",110069,"ASHOK SINGH","JNP(JP)",91,21,0.000826754126956727
"19151",226,"BIKRAMGANJ","GEN",101282,"RAMJEE SINGH","JNP(JP)",1415,12,0.0139708931498193
"19236",279,"BOKARO","GEN",134586,"DEEP NARAYAN SINGH","JNP(JP)",564,8,0.00419062904016762
"19306",218,"BRAHMPUR","GEN",109406,"HARE RAM PANDEY","JNP(JP)",8029,5,0.0733871999707511
"19348",219,"BUXAR","GEN",86473,"SARVDEO SINGH","JNP(JP)",8135,4,0.0940756074150313
"19447",286,"CHANDANIKYARI","SC",65802,"BHOLA NATH BARRI","JNP(JP)",1190,6,0.0180845567004042
"19498",41,"CHAPRA","GEN",134203,"RAGHUBANSH SINGH","JNP(JP)",114,8,0.000849459401056608
"19554",233,"CHENARI","SC",89283,"MAHANGU RAM","JNP(JP)",581,10,0.00650739782489388
"19612",98,"DALSINGHSARAI","GEN",114216,"GANESH PRASAD SINGH","JNP(JP)",1385,6,0.0121261469496393
"19646",319,"DALTONGANJ","GEN",84826,"JAGRANATH SUKLA","JNP(JP)",605,12,0.00713224718836206
"19675",209,"DANAPUR","GEN",111006,"VIDHNU KUMAR SINGH","JNP(JP)",327,8,0.00294578671423166
"19761",235,"DEHRI","GEN",85931,"BIRENDRA SINGH","JNP(JP)",625,14,0.0072732773969813
"19802",158,"DEOGHAR","SC",79270,"BHUDEO DAS","JNP(JP)",2191,6,0.0276397123754258
"19936",227,"DINARA","GEN",100633,"MAJENDRA SINGH","JNP(JP)",394,14,0.00391521667842557
