"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17947",123,"ALAMNAGAR","GEN",100149,"SURESH MEHTA","LKD(B)",1232,6,0.0123016705109387
"17960",184,"ALOULI","SC",85453,"VIJAY PASWAN","LKD(B)",1712,8,0.0200344048775350
"18191",77,"BABUBARHI","GEN",99853,"YOGENDRA NA. YADAV","LKD(B)",631,8,0.00631928935535237
"18192",107,"BACHHWARA","GEN",93096,"ANAND KAND CHAURASIA","LKD(B)",518,5,0.00556414883561055
"18226",281,"BAGHMARA","GEN",86500,"BAIDH NATH YADAV","LKD(B)",373,16,0.0043121387283237
"18317",87,"BAHERI","GEN",134868,"RAM CHANDRA MUKHIYA","LKD(B)",3574,5,0.0264999851706854
"18366",109,"BAKHRI","SC",79146,"RAM DEO SADA","LKD(B)",4321,3,0.0545953048795896
"18390",203,"BAKHTIARPUR","GEN",128839,"PRADEEP KUMAR RAI","LKD(B)",33,27,0.000256133624135549
"18434",36,"BANIAPUR","GEN",80123,"HARENDRA KUMAR SINGH","LKD(B)",646,8,0.00806260374673939
"18453",174,"BANKA","GEN",95409,"BASHIDHAR LAL","LKD(B)",1926,9,0.0201867748325630
"18489",126,"BANMANKHI","SC",94997,"NARAYAN RISHIDEO","LKD(B)",1295,9,0.0136320094318768
"18508",254,"BARACHATTI","SC",97455,"SHIV SHANKAR RAM","LKD(B)",798,11,0.0081883946436817
"18511",141,"BARARI","GEN",89013,"AKHILESH MUMAR SINGH","LKD(B)",212,18,0.0023816745868581
"18629",215,"BARHARA","GEN",114548,"AMRESH KUMAR SINGH","LKD(B)",344,14,0.00300310786744422
"18676",263,"BARHI","GEN",67129,"OM PRAKASH TAILIK","LKD(B)",58,34,0.000864008103800146
"18702",266,"BARKAGAON","GEN",99391,"GOGENDRA PRASAD","LKD(B)",377,15,0.00379309997887133
"18767",27,"BASANTPUR","GEN",107051,"MADAN MOHAN","LKD(B)",1394,5,0.0130218307162007
"18871",65,"BELSAND","GEN",89953,"JAIMANGAL PRASAD KUSHWAHA","LKD(B)",1891,4,0.0210220893133081
"18934",8,"BETTIAH","GEN",106883,"RAMESHWAR PRASAD","LKD(B)",268,15,0.00250741464966365
"18953",230,"BHABHUA","GEN",96667,"RAJ LALLAN SINGH","LKD(B)",12745,3,0.131844372950438
"18992",168,"BHAGALPUR","GEN",96633,"OM PRAKASH SAH","LKD(B)",2228,5,0.0230563058168535
"19014",321,"BHAWANATHPUR","GEN",76898,"RAM CHANDRA PRASAD KESHRI","LKD(B)",7296,4,0.0948789305313532
"19087",170,"BIHPUR","GEN",96877,"RAMASHANKAR PD. DEV","LKD(B)",188,11,0.00194060509718509
"19123",212,"BIKRAM","GEN",110069,"WASHI AHMAD","LKD(B)",159,17,0.00144454841962769
"19147",226,"BIKRAMGANJ","GEN",101282,"RADHA PRASAD SINGH","LKD(B)",1763,8,0.01740684425663
"19165",74,"BISFI","GEN",126752,"MOHSIN MUMTAJ","LKD(B)",2208,4,0.0174198434738702
"19201",322,"BISHRAMPUR","GEN",85625,"RAM NARESH RAM","LKD(B)",353,13,0.00412262773722628
"19215",60,"BOCHAHA","SC",103728,"SITA RAM PASWAN","LKD(B)",379,5,0.00365378682708623
"19226",253,"BODH GAYA","SC",100882,"RAM BILAS RAM","LKD(B)",257,8,0.00254753077853334
"19327",219,"BUXAR","GEN",86473,"CHATURI PRASAD SINGH","LKD(B)",639,12,0.00738958981416165
"19406",231,"CHAINPUR","GEN",86309,"VIJAY BAHADUR SINGH","LKD(B)",249,15,0.00288498302610388
"19417",177,"CHAKAI","GEN",103220,"MANOJ KUMAR SINHA","LKD(B)",78,17,0.00075566750629723
"19477",199,"CHANDI","GEN",99685,"SURESH PRASAD (NEGARNAUSA)","LKD(B)",126,13,0.00126398154185685
"19479",7,"CHANPATIA","GEN",70426,"BAIDYA NATH PRASAD","LKD(B)",2145,8,0.0304575014909266
"19534",182,"CHAUTHAM","GEN",104645,"SUNIL KR. SINGH","LKD(B)",1411,8,0.0134836829279946
"19544",233,"CHENARI","SC",89283,"HIRDAYA NAND PASWAN","LKD(B)",94,25,0.00105283200609299
"19570",108,"CHERIA BARIARPUR","GEN",96403,"RADHA KRISHNA SINGH","LKD(B)",1374,6,0.0142526684854206
"19650",319,"DALTONGANJ","GEN",84826,"PURAN CHAND","LKD(B)",878,9,0.0103506000518709
"19746",88,"DARBHANGA RURAL","SC",95371,"RAJ KUMAR MAHTO","LKD(B)",153,8,0.00160426125342085
"19774",235,"DEHRI","GEN",85931,"RAMLAKHAN SINGH","LKD(B)",1025,10,0.0119281749310493
"19846",1,"DHANAHA","GEN",71679,"SATAN YADAV","LKD(B)",13469,2,0.187907197366035
"19912",271,"DHANWAR","GEN",96703,"REAMSHWAR GUPTA","LKD(B)",1950,8,0.0201648345966516
"19942",227,"DINARA","GEN",100633,"RAM KAILASH SINGH","LKD(B)",4932,6,0.0490097681674997
"19973",221,"DUMRAON","GEN",93736,"BHARAT SINGH","LKD(B)",38,24,0.000405393872151575
"20030",204,"FATWA","SC",112032,"DINESH PRASAD","LKD(B)",370,15,0.00330262782062268
"20075",129,"FORBESGANJ","GEN",96640,"MAHESHWAR PRASAD MANDAL","LKD(B)",1995,12,0.0206436258278146
"20141",42,"GARKHA","SC",93475,"PERMOD KUMAR","LKD(B)",497,7,0.00531692966033699
"20154",249,"GAYA MUFASSIL","GEN",127293,"SARDAR MATHURA YADAV","LKD(B)",11423,3,0.0897378488997824
"20232",246,"GHOSI","GEN",146564,"DINESH SINGH","LKD(B)",80,11,0.000545836631096313
"20294",259,"GOBINDPUR","GEN",130439,"SUNAINA DEVI","LKD(B)",111,16,0.000850972485222978
"20303",163,"GODDA","GEN",112209,"DHANJOY MAHTO","LKD(B)",1892,7,0.0168613925799178
"20331",241,"GOH","GEN",106830,"RAJDEO SINGH","LKD(B)",1424,6,0.0133295890667416
"20391",28,"GOREAKOTHI","GEN",97548,"CHANDER OKHULA PRASAD","LKD(B)",329,10,0.00337269856890966
"20452",252,"GURUA","GEN",120915,"VIKRAMADITYA SINGH","LKD(B)",146,13,0.00120745978579994
"20476",45,"HAJIPUR","GEN",110371,"UPENDRA SAH","LKD(B)",354,13,0.00320736425329117
"20489",75,"HARLAKHI","GEN",95552,"SAFAULLA","LKD(B)",549,7,0.00574556262558607
"20524",200,"HARNAUT","GEN",101697,"RAVINDER NATH SINHA","LKD(B)",249,22,0.00244844980677896
"20537",19,"HARSIDHI","GEN",83515,"LALITESH NARAYAN","LKD(B)",226,10,0.00270610070047297
"20562",102,"HASANPUR","GEN",95773,"SIROMANI SINGH","LKD(B)",735,5,0.00767439675064997
"20589",307,"HATIA","GEN",82934,"RAJ KUMAR SAHU","LKD(B)",224,16,0.00270094291846529
"20625",92,"HAYAGHAT","GEN",96258,"RAM SWARATH YADAV","LKD(B)",62,19,0.000644102308379563
"20721",324,"HUSSAINABAD","GEN",69621,"ZAFAR HUSSAIN","LKD(B)",458,13,0.00657847488545123
"20807",222,"JAGDISHPUR","GEN",96255,"RAM SINGH","LKD(B)",1283,12,0.0133291777050543
"20849",245,"JAHANABAD","GEN",128339,"WAL KESHWARI DEVI YADAV","LKD(B)",405,11,0.00315570481303423
"20870",40,"JALALPUR","GEN",85630,"RAMENDRA PRASAD","LKD(B)",291,13,0.0033983417026743
"20895",91,"JALE","GEN",102840,"VIJAY KRISHAN PRASAD","LKD(B)",1698,6,0.0165110851808635
"20932",186,"JAMALPUR","GEN",107224,"RAMVILAS CHOURASHIA","LKD(B)",154,16,0.00143624561665299
"21071",188,"JAMUI","GEN",122574,"SUNIL KESHARI","LKD(B)",124,12,0.00101163378856854
"21148",178,"JHAJHA","GEN",83155,"PRAYAG YADAV","LKD(B)",251,11,0.00301845950333714
"21262",93,"KALYANPUR","GEN",109583,"UMESH KUMAR KARJI","LKD(B)",8244,5,0.0752306470894208
"21301",56,"KANTI","GEN",81961,"SHAMSUL HODA","LKD(B)",3975,5,0.0484986761996559
"21340",225,"KARAKAT","GEN",96939,"SHRI NIWAS YADAV","LKD(B)",1410,7,0.0145452294742054
"21401",142,"KATIHAR","GEN",112990,"SUDAMA SINGH","LKD(B)",35,26,0.000309761925834145
"21431",176,"KATORIA","GEN",92567,"YAMUNA PD. YADAV","LKD(B)",10657,3,0.115127421219225
"21436",90,"KEOTI","GEN",117371,"BINDESHWAR YADAV","LKD(B)",596,14,0.0050779153283179
"21600",122,"KISHANGANJ 1","GEN",101065,"INDIRA KUMARI","LKD(B)",12536,4,0.124038984811755
"21689",248,"KONCH","GEN",136224,"SAIYED KESHAR KAMAL","LKD(B)",76,12,0.00055790462767207
"21715",115,"KUMARKHAND","SC",99380,"PRATAP NARAYAN BHARTI","LKD(B)",2823,4,0.0284061179311733
"21722",57,"KURHANI","GEN",120104,"DURGA SAHANI","LKD(B)",578,8,0.00481249583694132
"21798",51,"LALGANJ","GEN",112599,"ARVIND KUMAR SINGH","LKD(B)",96,13,0.000852583060240322
"21869",6,"LAURIA","GEN",77322,"RAMA SHANKAR PRASAD","LKD(B)",419,7,0.00541889759706164
"21913",83,"MADHEPUR","GEN",102042,"RAM NARESH YADAV","LKD(B)",573,6,0.0056153348621156
"21943",16,"MADHUBAN","GEN",116295,"SHIVJEE RAI","LKD(B)",67,12,0.000576121071413216
"21945",78,"MADHUBANI","GEN",97986,"ABDUL QUADIR","LKD(B)",942,8,0.00961361827199804
"21993",157,"MADHUPUR","GEN",103093,"RAM ANUGRAH NA.","LKD(B)",320,9,0.00310399348161369
"22087",47,"MAHNAR","GEN",119919,"VABENDRA PD. SINGH","LKD(B)",517,8,0.00431124342264362
"22123",30,"MAIRWA","SC",68483,"KAILASH RAM","LKD(B)",796,9,0.0116233225764058
"22246",210,"MANER","GEN",99183,"NAHENDER PRASAD","LKD(B)",1305,10,0.0131574967484347
"22323",35,"MANJHI","GEN",106413,"MUNSHI PRASAD","LKD(B)",874,7,0.00821328221175984
"22376",205,"MASAURHI","GEN",138895,"LAL BABU PRASAD","LKD(B)",69,24,0.000496778141761763
"22405",37,"MASRAKH","GEN",98354,"RAMAGYA PRASAD YADAV","LKD(B)",344,10,0.00349757000223682
"22417",104,"MATIHANI","GEN",92076,"RAM CHANDRA YADAV","LKD(B)",585,7,0.0063534471523524
"22428",63,"MINAPUR","GEN",114976,"KAILASH SINGH","LKD(B)",116,12,0.00100890620651266
"22453",23,"MIRGANJ","GEN",107263,"MOHAN PRASAD","LKD(B)",1972,9,0.0183847179362874
"22479",229,"MOHANIA","SC",76482,"RAM VACHAN RAM","LKD(B)",149,14,0.00194817081143276
"22486",97,"MOHIUDDIN NAGAR","GEN",142343,"AJAY KUMAR RAI","LKD(B)",89,17,0.000625250275742397
"22511",201,"MOKAMA","GEN",122807,"DULAR CHAND YADAV","LKD(B)",21648,3,0.176276596610942
"22550",12,"MOTIHARI","GEN",92444,"SHIV NANDAN CHAUDHARY","LKD(B)",1073,10,0.0116070269568604
"22572",185,"MUNGHYR","GEN",139584,"RAMANAND SHARMA","LKD(B)",216,11,0.0015474552957359
