"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18131",256,"ATRI","GEN",156849,"NAGENDRA SINGH","MCOR",731,6,0.00466053337923736
"18183",77,"BABUBARHI","GEN",99853,"RAM LAKHAN JHA","MCOR",1548,6,0.0155027890999770
"18235",281,"BAGHMARA","GEN",86500,"MANBODH MAHATO","MCOR",912,9,0.0105433526011561
"18800",105,"BEGUSARAI","GEN",96541,"AMRENDRA KUMAR SINGH","MCOR",58,20,0.000600781015319916
"20353",277,"GOMIA","GEN",90768,"KESHAV SINGH YADAV","MCOR",2810,7,0.0309580468887714
"20940",186,"JAMALPUR","GEN",107224,"VED PRAKASH","MCOR",150,17,0.00139894053570096
"21175",285,"JHARIA","GEN",95274,"ASHA DEVI","MCOR",2249,3,0.0236056006885404
"21652",262,"KODARMA","GEN",103757,"JAI PRAKASH PRASAD","MCOR",1076,5,0.0103703846487466
"22749",283,"NIRSA","GEN",94834,"GURUDAS CHATTERJEE","MCOR",28741,1,0.303066410780944
"23020",207,"PATNA CENTRAL","GEN",105169,"RAMANAND SINGH","MCOR",135,21,0.00128364822333577
"24074",282,"SINDRI","GEN",95164,"ANAND MAHTO","MCOR",31955,1,0.335788743642554
