"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"17954",184,"ALOULI","SC",85453,"RAJESH KUMAR RAJAK","SOP(L)",3348,5,0.0391794319684505
"17989",136,"AMOUR","GEN",104827,"JAI PRASKAH","SOP(L)",928,8,0.00885268108407185
"18004",130,"ARARIA","GEN",93716,"LAL CHAND SAHNI","SOP(L)",984,12,0.0104998079303427
"18280",133,"BAHADURGANJ","GEN",74613,"MAYANAND JHA","SOP(L)",369,10,0.00494551887740742
"18492",126,"BANMANKHI","SC",94997,"RAMDEO DAS","SOP(L)",372,14,0.00391591313409897
"18516",141,"BARARI","GEN",89013,"BASUDEO SINGH","SOP(L)",150,23,0.00168514711334299
"18617",149,"BARHAIT","ST",84593,"GANOURI MALTO","SOP(L)",803,6,0.00949251120069036
"18644",215,"BARHARA","GEN",114548,"RAGHUBAR DEYAL SINGH","SOP(L)",47,24,0.000410308342354297
"18765",27,"BASANTPUR","GEN",107051,"JAI GOVIND SAHAI","SOP(L)",368,10,0.00343761384760535
"18812",105,"BEGUSARAI","GEN",96541,"RAMJI SAHNI","SOP(L)",1638,5,0.0169668845361038
"18864",175,"BELHAR","GEN",84805,"SURESH KUMAR SINGH","SOP(L)",4476,4,0.0527799068451153
"19283",148,"BORIO","ST",69338,"CHRISTO CHANDRA MALTO","SOP(L)",1247,9,0.0179843664368744
"19336",219,"BUXAR","GEN",86473,"KUMAR MOHAN CHOUBEY","SOP(L)",133,27,0.00153805234003677
"19543",233,"CHENARI","SC",89283,"GOPAL RAM","SOP(L)",104,23,0.00116483541099649
"19722",89,"DARBHANGA","GEN",99083,"RAM CHANDER MAHTHA","SOP(L)",67,23,0.00067620076097817
"19762",235,"DEHRI","GEN",85931,"HARIDWAR RAI","SOP(L)",417,17,0.00485273067926592
"19838",125,"DHAMDAHA","GEN",111288,"NATHAN SAH","SOP(L)",733,11,0.0065865142692833
"19885",284,"DHANBAD","GEN",97662,"SHYAM SUNDER PRASAD","SOP(L)",375,11,0.00383977391411194
"19938",227,"DINARA","GEN",100633,"NARENDRA RAI","SOP(L)",138,18,0.00137131954726581
"19971",221,"DUMRAON","GEN",93736,"BARMESHWAR PATHAK","SOP(L)",164,13,0.00174959460612785
"20067",129,"FORBESGANJ","GEN",96640,"DASRATH PD. CHOUDHARY","SOP(L)",452,18,0.00467715231788079
"20184",250,"GAYA TOWN","GEN",99853,"SHAMBHU SHARAN PD. VERMA","SOP(L)",80,15,0.00080117773126496
"20257",20,"GOBINDGANJ","GEN",101943,"BHIKHARI BHAGAT","SOP(L)",1016,7,0.00996635374670159
"20416",313,"GUMLA","ST",71805,"DOEYA TIRKEY","SOP(L)",271,12,0.00377411043799178
"20549",102,"HASANPUR","GEN",95773,"CHANDRA BHUSHAN SAHANI","SOP(L)",2289,3,0.0239002641663099
"20839",245,"JAHANABAD","GEN",128339,"MD. DAYAN","SOP(L)",35,26,0.000272715230756045
"21087",48,"JANDAHA","GEN",132738,"BRAJ KISHORE SINGH","SOP(L)",1864,8,0.0140427006584399
"21139",178,"JHAJHA","GEN",83155,"BHUNESHWAR YADAV","SOP(L)",70,15,0.000841801455113944
"21357",138,"KASBA","GEN",112610,"RAMBRIKSH SAH","SOP(L)",218,16,0.00193588491252997
"21614",135,"KISHANGANJ 2","GEN",96975,"CHHAMESHWAR MANDAL","SOP(L)",7728,4,0.0796906419180201
"21725",57,"KURHANI","GEN",120104,"JITENDRA PRASAD HARSH","SOP(L)",455,10,0.00378838340105242
"22053",118,"MAHISHI","GEN",138934,"RAMAGYA PRASAD SINGH","SOP(L)",355,7,0.00255517008075777
"22068",47,"MAHNAR","GEN",119919,"MUNESHWAR PD. SINGH","SOP(L)",32370,1,0.269932204237861
"22611",59,"MUZAFFARPUR","GEN",130996,"VINAY BHUSHAN","SOP(L)",44,25,0.000335888118721182
"22679",128,"NARPATGANJ","GEN",94098,"MD. IBRAHIM","SOP(L)",9813,4,0.104284894471721
"22772",234,"NOKHA","GEN",92309,"GYANESHWAR SINGH","SOP(L)",643,12,0.00696573465209243
"22966",53,"PARU","GEN",131365,"RAJ MANGAL OJHA","SOP(L)",271,13,0.00206295436379553
"23089",206,"PATNA WEST","GEN",124066,"MADAN MOHAN GUPTA","SOP(L)",107,30,0.00086244418293489
"23165",211,"PHULWARI","SC",102593,"RAMPRAT PASWAN","SOP(L)",8535,5,0.0831928104256626
"23321",139,"PURNEA","GEN",96832,"MADHUKAR GANGADHAR","SOP(L)",376,18,0.00388301387970919
"23678",117,"SAHARSA","GEN",130828,"GANGA DHAR MISHAR","SOP(L)",292,6,0.00223193811722261
"23779",214,"SANDESH","GEN",105713,"RAJ KISHORE SINGH","SOP(L)",119,11,0.00112568936649230
"23790",96,"SARAIRANJAN","GEN",120274,"BHAGAT RAI","SOP(L)",205,12,0.00170444152518416
"23837",232,"SASARAM","GEN",109077,"BIPIN BIHAR SINHA","SOP(L)",24261,2,0.222420858659479
"24191",121,"SONABARSA","GEN",130600,"BAIDH NATH JHA","SOP(L)",474,9,0.00362940275650842
"24266",11,"SUGAULI","GEN",96554,"MAHENENDER SAH","SOP(L)",505,14,0.00523023385877333
"24417",179,"TARAPUR","GEN",114508,"BIJAYA NARAYAN PRASHANT","SOP(L)",162,13,0.00141474831452824
