"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"18078",242,"ARWAL","GEN",131083,"RANG NAIYAKA BOSE","SSD",357,13,0.00272346528535355
"18134",256,"ATRI","GEN",156849,"RAMASHISH YADAV","SSD",122,11,0.000777818156315947
"18750",55,"BARURAJ","GEN",130603,"ARUN KUMAR GUPTA","SSD",69,9,0.000528318645054095
"18835",247,"BELAGANJ","GEN",137833,"NAGWAT SINGH","SSD",27,22,0.000195889228268992
"19130",226,"BIKRAMGANJ","GEN",101282,"DUDH NATH SINGH","SSD",358,16,0.00353468533401789
"19255",279,"BOKARO","GEN",134586,"PARMANAND PRASAD SINGH","SSD",737,7,0.00547605248688571
"19380",231,"CHAINPUR","GEN",86309,"ACHARYA RAMADHAR KUSHWAHA","SSD",96,23,0.00111228261247379
"19536",233,"CHENARI","SC",89283,"BABU LAL RAM","SSD",717,8,0.0080306441315816
"19759",235,"DEHRI","GEN",85931,"BAIJNATH BHAGAT","SSD",29,30,0.000337480071219932
"19952",227,"DINARA","GEN",100633,"VISHWANATH SAH","SSD",3693,8,0.0366977035366132
"20011",255,"FATEHPUR","SC",122111,"CHANDER BHAN MATHTO","SSD",129,10,0.00105641588390890
"20239",246,"GHOSI","GEN",146564,"RAMCHARITAR SINGH","SSD",457,5,0.00311809175513769
"20296",259,"GOBINDPUR","GEN",130439,"UMAKANT PAS.","SSD",305,10,0.00233825772966674
"20442",252,"GURUA","GEN",120915,"RAGHUVENDRA NARAYAN YADAV","SSD",1139,8,0.00941984038374064
"20682",261,"HISUA","GEN",122351,"AMBUJ KUMAR SINGH","SSD",2744,6,0.0224272788943286
"20827",245,"JAHANABAD","GEN",128339,"BAUD DEO SINGH","SSD",302,13,0.00235314284823787
"21187",285,"JHARIA","GEN",95274,"VAVNESHWAR PD. SINGH","SSD",1791,5,0.0187984129982996
"21330",225,"KARAKAT","GEN",96939,"RAM JEE PRASAD GAUTAM","SSD",227,17,0.00234167878769123
"21682",248,"KONCH","GEN",136224,"RAM AWDHESH SINGH","SSD",423,5,0.00310517970401691
"21754",243,"KURTHA","GEN",120739,"KRISHNA KUMAR","SSD",176,13,0.00145768972742859
"21808",51,"LALGANJ","GEN",112599,"GANESH DUT SHARMA","SSD",145,10,0.00128775566390465
"22169",244,"MAKHDUMPUR","GEN",135001,"DIN DYAAL YADAV","SSD",210,11,0.00155554403300716
"22355",39,"MARHAURA","GEN",114254,"MADAN SINGH","SSD",366,10,0.00320338894043097
"22744",283,"NIRSA","GEN",94834,"CHANDRA DEEP YADAV","SSD",265,19,0.00279435645443617
"22774",234,"NOKHA","GEN",92309,"JAGADISH SINGH","SSD",276,17,0.00298995764226673
"22835",213,"PALIGANJ","GEN",111124,"BHARAT SINGH BHARATI","SSD",197,9,0.00177279435585472
"23197",223,"PIRO","GEN",101162,"LAXMAN SINGH","SSD",3022,7,0.0298728771673158
"23507",228,"RAMGARH 1","GEN",86763,"SHASHI KANT SHARMA","SSD",121,19,0.00139460369051324
"23675",224,"SAHAR","SC",105879,"SHIV BACHAN RAM","SSD",206,9,0.00194561716676584
"23792",96,"SARAIRANJAN","GEN",120274,"BIRENDRA MAHTO","SSD",161,13,0.00133861017343732
"23841",232,"SASARAM","GEN",109077,"DIPA YADAV","SSD",21,32,0.000192524546879727
"24492",52,"VAISHALI","GEN",122337,"NATHUNI PRASAD SINGH","SSD",2231,3,0.0182365106222974
