"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24552",13,"ADAPUR","GEN",112969,"LAL BABU SINGH","BPP",1185,11,0.0104896033425099
"24579",123,"ALAMNAGAR","GEN",102375,"DILIP KUMAR SINGH","BPP",908,7,0.00886935286935287
"24610",172,"AMARPUR","GEN",110561,"BINOY BIHARI SINGH","BPP",19714,2,0.178308806902977
"24671",130,"ARARIA","GEN",112284,"VIJOY KUMAR MANDAL","BPP",23061,1,0.205380998183178
"24709",216,"ARRAH","GEN",111605,"SURENDRA SINGH","BPP",6106,4,0.0547108104475606
"24726",242,"ARWAL","GEN",108051,"KRISHNANDAN PRASAD SINGH","BPP",13442,3,0.124404216527381
"24774",193,"ASTHAWAN","GEN",109881,"SAH JALIM","BPP",5729,5,0.0521382222586252
"24816",256,"ATRI","GEN",134326,"VIRENDER SINGH","BPP",18505,3,0.137761862930483
"24818",62,"AURAI","GEN",102836,"ARVIND KUMAR","BPP",900,5,0.00875179898090163
"24856",238,"AURANGABAD","GEN",110791,"RAM KRIPAL SINGH","BPP",4696,8,0.0423861143955736
"24887",77,"BABUBARHI","GEN",107599,"RAM BILAKSHAN YADAV","BPP",454,13,0.00421937006849506
"24911",107,"BACHWARA","GEN",110683,"RADHA SWAMI","BPP",2079,6,0.0187833723336014
"24927",2,"BAGHA","SC",115473,"JITENDRA BHARTI","BPP",298,16,0.00258068985823526
"24963",281,"BAGHMARA","GEN",127547,"PRINCE SHARMA","BPP",662,11,0.00519024359647816
"24978",272,"BAGODAR","GEN",119600,"JITENDRA MAHTO","BPP",2642,8,0.0220903010033445
"24996",133,"BAHADURGANJ","GEN",116396,"ABDUL QUDUS ANSARI","BPP",1618,9,0.0139008213340665
"25017",287,"BAHARAGORA","GEN",120687,"BHRITI SUNDAR MAHATO","BPP",444,11,0.00367893807949489
"25046",85,"BAHERA","GEN",105068,"UDAY KUMAR SINHA","BPP",1131,5,0.0107644573038413
"25051",87,"BAHERI","GEN",117899,"PRADEEP KUMAR SINGH","BPP",2357,5,0.0199916878005751
"25060",26,"BAIKUNTHPUR","GEN",105278,"ASHOK TIWARI","BPP",1249,8,0.0118638272003647
"25087",137,"BAISI","GEN",108152,"PRADIP KUMAR MISHRA","BPP",899,9,0.00831237517567868
"25127",203,"BAKHTIARPUR","GEN",106182,"JAI RAM SINGH","BPP",2648,6,0.024938313461792
"25151",103,"BALIA","GEN",101090,"CHANDRA KUMAR SINGH","BPP",2980,6,0.0294786823622515
"25189",36,"BANIAPUR","GEN",94556,"VIRENDER SINGH","BPP",1578,9,0.0166885232031812
"25201",174,"BANKA","GEN",101177,"JEEWAN KUMAR SINGH","BPP",1849,9,0.0182749043755004
"25231",126,"BANMANKHI","SC",107648,"MADHURI DEVI","BPP",3068,7,0.0285002972651605
"25253",254,"BARACHATTI","SC",97291,"KRISHNA PASWAN","BPP",1530,9,0.0157260178228202
"25289",141,"BARARI","GEN",99311,"NAGENDER SINGH","BPP",335,14,0.00337324163486421
"25313",25,"BARAULI","GEN",105145,"ADNAN KHAN","BPP",668,12,0.00635313138998526
"25336",106,"BARAUNI","GEN",123296,"KUMUD SINGH","BPP",568,6,0.00460679989618479
"25359",192,"BARBIGHA","SC",102779,"SUNIL KUMAR CHAUDHARY","BPP",6405,4,0.0623181778378852
"25371",202,"BARH","GEN",111842,"BIPIN KUMAR NIRALA","BPP",3514,6,0.0314193236887752
"25420",215,"BARHARA","GEN",105689,"BRAHMESHWAR SINGH","BPP",22853,2,0.216228746605607
"25460",263,"BARHI","GEN",94829,"ANIRUDH SINGH","BPP",181,25,0.00190869881576311
"25503",266,"BARKAGAON","GEN",140896,"GOPAL SHARAN SINGH","BPP",795,11,0.00564245968657733
"25576",144,"BARSOI","GEN",114684,"SHAUKAT HUSSAIN","BPP",342,19,0.00298210735586481
"25589",55,"BARURAJ","GEN",106220,"BRAJ KISHORE SINGH","BPP",12511,2,0.117783844850311
"25615",27,"BASANTPUR","GEN",118903,"BIRENDRA KUMAR SINHA","BPP",1672,5,0.0140618823747088
"25655",68,"BATHNAHA","GEN",114508,"NAND LAL SINGH","BPP",5384,4,0.047018548922346
"25682",105,"BEGUSARAI","GEN",120349,"JAINATH PODDAR","BPP",716,8,0.00594936393322753
"25700",247,"BELAGANJ","GEN",108852,"BAIKUNTH SINGH","BPP",683,7,0.00627457465182082
"25741",175,"BELHAR","GEN",93256,"LAL BIHARI SINGH","BPP",847,10,0.0090825255211461
"25768",65,"BELSAND","GEN",85634,"KAUSHLENDER KUMAR SINGH","BPP",7190,3,0.0839619777191302
"25801",73,"BENIPATTI","GEN",105588,"SHAILENDRA KUMAR","BPP",804,9,0.00761450164791454
"25824",278,"BERMO","GEN",142557,"UDESH DUBEY","BPP",527,15,0.00369676690727218
"25848",8,"BETTIAH","GEN",130853,"RANA VIJAY SINGH","BPP",3146,6,0.0240422458789634
"25867",230,"BHABHUA","GEN",131659,"MUMTAJ ANSARI","BPP",1051,10,0.0079827432989769
"25891",168,"BHAGALPUR","GEN",109139,"ASHOK GHOSH","BPP",950,8,0.00870449610130201
"25998",99,"BIBHUTPUR","GEN",138372,"INDU BHUSAN SINHA","BPP",1059,10,0.0076532824559882
"26045",194,"BIHAR","GEN",136715,"SHAILENDRA KUMAR","BPP",539,10,0.00394250813736605
"26068",170,"BIHPUR","GEN",97960,"KUSHESHWAR KUMAR","BPP",6119,4,0.0624642711310739
"26112",226,"BIKRAMGANJ","GEN",116717,"AKHALAQUE AHMAD","BPP",15992,3,0.137015173453739
"26172",74,"BISFI","GEN",106460,"SARYUG SAHANI","BPP",826,9,0.00775878264136765
"26271",253,"BODH GAYA","SC",99633,"VIJAY KUMAR","BPP",2736,8,0.0274607810665141
"26301",218,"BRAHMPUR","GEN",112435,"BIRENDRA PRADHAN","BPP",10495,5,0.0933428202961711
"26333",219,"BUXAR","GEN",104000,"BINOY BHUSHAN TEWARY","BPP",816,10,0.00784615384615385
"26368",295,"CHAIBASA","ST",84705,"MAHABIR BIRULI","BPP",874,9,0.0103181630364205
"26381",231,"CHAINPUR","GEN",113118,"KAMALA SINGH","BPP",7836,5,0.0692727947806715
"26400",177,"CHAKAI","GEN",101468,"DHANRAJ SINGH","BPP",4543,5,0.0447727362321126
"26434",299,"CHAKRADHARPUR","ST",86029,"POUDA MUNDA","BPP",1298,10,0.0150879354636227
"26465",199,"CHANDI","GEN",104904,"KESHAV SINGH","BPP",1188,9,0.0113246396705559
"26488",7,"CHANPATIA","GEN",94147,"BHARAT KUMAR RAI","BPP",2316,9,0.0245998279286647
"26533",41,"CHAPRA","GEN",103150,"YASHWANT SINGH","BPP",1647,6,0.0159670382937470
"26584",182,"CHAUTHAM","GEN",108723,"SYED JAMAL UDDIN AHMAD","BPP",7300,6,0.0671431067943305
"26603",233,"CHENARI","SC",125034,"RAMVACHAN PASWAN","BPP",12902,3,0.103187932882256
"26627",108,"CHERIA BARIARPUR","GEN",104390,"YUGAL KISHORE ROY","BPP",1078,8,0.0103266596417281
"26640",114,"CHHATAPUR","SC",95281,"KUSUM LAL RISIDEO","BPP",1832,5,0.0192273380841931
"26651",323,"CHHATARPUR","SC",76570,"GOPI RAM","BPP",1109,8,0.0144834791693875
"26686",166,"COLGONG","GEN",132572,"SHANJIV KUMAR BHAGAT","BPP",1383,6,0.0104320671031590
"26692",98,"DALSINGHSARAI","GEN",123663,"ARUN KUMAR SINGH","BPP",3925,3,0.031739485537307
"26722",319,"DALTONGANJ","GEN",112521,"ANIL KUMAR SINGH","BPP",649,13,0.00576781223060584
"26791",89,"DARBHANGA","GEN",102800,"NIJAMUL HAQUE MOHAMMAD","BPP",980,9,0.0095330739299611
"26814",88,"DARBHANGA RURAL","SC",94120,"ANIL KUMAR","BPP",1884,7,0.0200169995750106
"26842",235,"DEHRI","GEN",119073,"DHARMJIT SINGH","BPP",607,13,0.00509771316755268
"26883",237,"DEO","SC",99341,"PANKAJ KUMAR","BPP",25674,2,0.258443140294541
"26905",158,"DEOGHAR","SC",130102,"RAJENDRA DAS","BPP",2459,8,0.0189005549491937
"26928",14,"DHAKA","GEN",115655,"MIRJA BADRUZMA BEG","BPP",236,16,0.0020405516406554
"26988",1,"DHANAHA","GEN",60934,"UMA YADAV","BPP",1211,9,0.0198739619916631
"27007",284,"DHANBAD","GEN",160187,"JAG NARAIN SINGH","BPP",4045,6,0.0252517370323434
"27039",271,"DHANWAR","GEN",122931,"CHANDRA MOULI SINGH","BPP",1535,11,0.0124866795194052
"27061",173,"DHURAIYA","SC",114876,"CHHOKIL DAS","BPP",3158,6,0.0274905115080609
"27086",209,"DINAPUR","GEN",103860,"VIJAY KUMAR","BPP",728,7,0.00700943577893318
"27102",227,"DINARA","GEN",123384,"LALI ROY","BPP",1008,9,0.00816961680606886
"27123",160,"DUMKA","ST",104135,"JON KUMAR BASKI","BPP",913,9,0.00876746530945407
"27152",221,"DUMRAON","GEN",114670,"MITHILESH KUMAR SINGH","BPP",2994,8,0.0261097061131944
"27175",255,"FATEHPUR","SC",117034,"ASHOK KUMAR","BPP",920,6,0.00786096348069792
"27195",204,"FATWA","SC",109561,"DINESH CHAUDHARY","BPP",15371,4,0.140296273308933
"27238",129,"FORBESGANJ","GEN",125291,"PADAM PARAG RAI RENU PATEL","BPP",3213,12,0.0256443000694383
"27252",61,"GAIGHATTI","GEN",100320,"ANAND MOHAN","BPP",29367,2,0.292733253588517
"27282",274,"GANDEY","GEN",110971,"MD. INAMUL HAQUE","BPP",647,11,0.00583035207396527
"27344",42,"GARKHA","SC",97439,"RAM BABOO RAM","BPP",3633,5,0.0372848654029701
"27371",249,"GAYA MUFASSIL","GEN",99761,"SARDAR MATHUR YADAV","BPP",828,8,0.0082998366094967
"27415",250,"GAYA TOWN","GEN",93810,"RAVISHANKAR SINGH","BPP",618,7,0.00658778381835625
"27438",86,"GHANSHYAMPUR","GEN",116722,"MADAN KUMAR SINGH","BPP",8215,4,0.070380905056459
"27448",288,"GHATSILA","ST",121317,"DARGA MARDI","BPP",1181,9,0.0097348269409893
"27476",15,"GHORASAHAN","GEN",101193,"PRAMOD KU. SINGH","BPP",10224,4,0.101034656547390
"27525",275,"GIRIDIH","GEN",92315,"SUNIL KUMAR PASWAN","BPP",475,13,0.00514542598710935
"27527",20,"GOBINDGANJ","GEN",103453,"AJIT KUMAR DUBEDI","BPP",3237,5,0.031289571109586
"27571",259,"GOBINDPUR","GEN",105427,"VIJAM KUMAR SINGH","BPP",351,12,0.00332931791666271
"27574",163,"GODDA","GEN",129905,"ANAWARUL HODA","BPP",421,15,0.00324082983718871
"27606",241,"GOH","GEN",108823,"MAHENDRA SHARMA","BPP",730,9,0.00670814074230631
"27641",277,"GOMIA","GEN",120958,"MD. QURESHI","BPP",399,13,0.00329866565254055
"27688",169,"GOPALPUR","GEN",117678,"PRIYTAM KR. SINGH","BPP",3656,5,0.0310678291609307
"27700",28,"GOREAKOTHI","GEN",101028,"A. HAMID","BPP",432,10,0.00427604228530704
"27737",252,"GURUA","GEN",99928,"AMRENDRA KUMAR SINGH","BPP",13651,3,0.136608358017773
"27783",45,"HAJIPUR","GEN",127881,"ARUN SINGH","BPP",824,7,0.00644349043251148
"27821",75,"HARLAKHI","GEN",109279,"RAVINDRA NATH PANDE","BPP",368,12,0.00336752715526313
"27830",200,"HARNAUT","GEN",106360,"ARVIND KUMAR","BPP",2660,7,0.0250094020308387
"27874",19,"HARSIDHI","GEN",113308,"GYAN PRAKASH SHARMA","BPP",3164,5,0.0279238888692767
"27884",102,"HASANPUR","GEN",104957,"AMAL KUMAR SINGH","BPP",10620,3,0.101184294520613
"27913",307,"HATIA","GEN",125944,"BIJENDRA SINGH ISHWAR","BPP",3307,7,0.0262577018357365
"27977",92,"HAYAGHAT","GEN",91486,"VIJAY SHANKAR CHOUDHARY","BPP",8054,3,0.0880353278097195
"27999",269,"HAZARIBAGH","GEN",125937,"PRASHANT SAHAYA","BPP",3375,6,0.0267991138426356
"28034",198,"HILSA","GEN",130846,"SUNIL KUMAR SINGH","BPP",71,26,0.000542622625070694
"28043",261,"HISUA","GEN",98468,"ADITYA KUMAR","BPP",1295,7,0.0131514806840801
"28066",324,"HUSSAINABAD","GEN",88582,"HARIHAR SINGH","BPP",918,12,0.0103632792215123
