"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24980",272,"BAGODAR","GEN",119600,"KHAGENDRA PRASAD SAHU","CSP-JSD",927,12,0.00775083612040134
"25479",263,"BARHI","GEN",94829,"PHULCHAND SAHU","CSP-JSD",1353,6,0.0142677872802624
"25499",266,"BARKAGAON","GEN",140896,"DHANESHWAR SAH","CSP-JSD",2578,8,0.0182971837383602
"25547",270,"BARKATHA","GEN",120444,"TUKLAL NAYAK","CSP-JSD",8262,4,0.068596194081897
"25805",278,"BERMO","GEN",142557,"ANUP LAL NAYAK","CSP-JSD",2073,9,0.0145415518003325
"26187",314,"BISHNUPUR","ST",88644,"SANJAY KUMAR BHAGAT","CSP-JSD",3980,5,0.0448986959072244
"26427",299,"CHAKRADHARPUR","ST",86029,"JOHAN HAPATHGARA","CSP-JSD",346,18,0.00402189959199805
"26649",323,"CHHATARPUR","SC",76570,"DHANESHWAR RAM","CSP-JSD",465,11,0.00607287449392713
"26723",319,"DALTONGANJ","GEN",112521,"ARUN KUMAR SAHU","CSP-JSD",264,24,0.00234622870397526
"26992",284,"DHANBAD","GEN",160187,"ASHOK KUMAR SAO","CSP-JSD",2869,9,0.0179103173166362
"27132",160,"DUMKA","ST",104135,"SHAMBHU SINGH","CSP-JSD",1270,7,0.0121957074950785
"27168",276,"DUMRI","GEN",109964,"KAMAL PRASAD","CSP-JSD",4590,5,0.0417409333963843
"27513",275,"GIRIDIH","GEN",92315,"JAHANGIR ALAM","CSP-JSD",280,19,0.00303309321345393
"27644",277,"GOMIA","GEN",120958,"RAM BALABH MAHTO","CSP-JSD",1262,9,0.0104333735676847
"27726",313,"GUMLA","ST",94936,"MAHENDRA ORAON","CSP-JSD",725,7,0.00763672368753687
"27916",307,"HATIA","GEN",125944,"DAYANAND PRASAD SASHYAP","CSP-JSD",3768,5,0.0299180588197929
"27994",269,"HAZARIBAGH","GEN",125937,"MOHAMAD EBRAHIM","CSP-JSD",273,16,0.00216775054193764
"28302",161,"JAMA","ST",93751,"VIBHISHAN PUJHAR","CSP-JSD",10775,2,0.114932107390854
"28369",291,"JAMSHEDPUR EAST","GEN",123560,"SHAMA HAMDANI","CSP-JSD",130,29,0.00105212042732276
"28447",155,"JAMTARA","GEN",113631,"SARASWATI DEVI","CSP-JSD",426,14,0.00374897695171212
"28542",159,"JARMUNDI","GEN",104413,"LAKSHAMAN MANDAL","CSP-JSD",1716,6,0.0164347351383448
"28610",285,"JHARIA","GEN",140602,"ASHOK KUMAR SAO","CSP-JSD",1513,9,0.010760871111364
"28766",308,"KANKE","SC",122606,"RAJ KUMAR RAVI","CSP-JSD",3151,5,0.0257002104301584
"29126",305,"KHIJRI","ST",120183,"SUKHARI ORAON","CSP-JSD",660,10,0.00549162527146102
"29137",303,"KHUNTI","ST",77394,"ESTHAR TIGGA","CSP-JSD",4468,6,0.0577305734294648
"29218",262,"KODARMA","GEN",130089,"RAJENDRA PRASAD","CSP-JSD",1792,6,0.0137751846812567
"29231",311,"KOLEBIRA","ST",94143,"MUNU BARAIK","CSP-JSD",512,11,0.00543853499463582
"29483",316,"LATEHAR","SC",56448,"PHULCHAND GANJHU","CSP-JSD",2876,6,0.0509495464852608
"29707",164,"MAHAGAMA","GEN",130034,"BISHWANATH BHAGAT","CSP-JSD",5966,5,0.0458803082270791
"29908",309,"MANDAR","ST",117668,"HARWA ORAON","CSP-JSD",1621,7,0.0137760478634803
"30024",317,"MANIKA","ST",71216,"JITENDER SINGH","CSP-JSD",3830,5,0.053780049427095
"30453",154,"NALA","GEN",109887,"RANJIT MANDAL","CSP-JSD",2554,6,0.0232420577502343
"30744",151,"PAKAUR","GEN",116091,"SANTOSH KUMAR ARYA","CSP-JSD",613,16,0.00528034042259951
"30821",318,"PANKI","GEN",91592,"PARMESHWAR GUPTA","CSP-JSD",190,32,0.00207441697964888
"31621",306,"RANCHI","GEN",121604,"SRI RAM SAHU","CSP-JSD",453,11,0.00372520640768396
"32156",153,"SIKARIPARA","ST",101836,"RAM NAND MALTO","CSP-JSD",1131,6,0.0111060921481598
"32202",304,"SILLI","GEN",101103,"DILIP KUMAR SAHU","CSP-JSD",362,19,0.00358050700770501
"32232",265,"SIMARIA","SC",81895,"YOGENDRA NATH BAITHA","CSP-JSD",12662,3,0.154612613712681
"32240",312,"SIMDEGA","ST",95923,"PRAPHUL CHANDRA BESRA","CSP-JSD",970,10,0.0101122775559563
"32313",310,"SISAI","ST",91512,"ASHESH KUMAR","CSP-JSD",4691,6,0.0512610368039164
"32704",302,"TORPA","ST",76092,"FILIP BODRA","CSP-JSD",2703,6,0.0355227882037534
