"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24730",242,"ARWAL","GEN",108051,"NAGENDRA BHAGAT","DDP",171,15,0.00158258600105506
"24840",62,"AURAI","GEN",102836,"VIBHISHAN SAH","DDP",235,12,0.00228519195612431
"24869",238,"AURANGABAD","GEN",110791,"SURENDRA KUMAR SINGH","DDP",301,17,0.00271682717910300
"24934",2,"BAGHA","SC",115473,"MUKHI BAITHA","DDP",870,10,0.00753422878075394
"24955",281,"BAGHMARA","GEN",127547,"DHARAM CHANDRA PAL","DDP",437,14,0.00342618799344555
"25070",26,"BAIKUNTHPUR","GEN",105278,"HARI SANKAR PRASAD","DDP",511,12,0.00485381561199871
"25129",203,"BAKHTIARPUR","GEN",106182,"KAMESHWAR DASS","DDP",48,32,0.000452054020455444
"25251",254,"BARACHATTI","SC",97291,"HARI DAS","DDP",369,17,0.00379274547491546
"25323",25,"BARAULI","GEN",105145,"MOHANLAL SAH","DDP",724,11,0.00688572923106187
"25384",202,"BARH","GEN",111842,"RAM DASS RAI","DDP",318,16,0.0028432967936911
"25465",263,"BARHI","GEN",94829,"BIJAY RANA","DDP",109,33,0.00114943740838773
"25628",27,"BASANTPUR","GEN",118903,"SAJAY KUMAR SINGH","DDP",515,11,0.00433126161661186
"25674",68,"BATHNAHA","GEN",114508,"YOGENDER PD. YADAV","DDP",597,10,0.00521360952946519
"25757",65,"BELSAND","GEN",85634,"AMAR KANT MISHRA","DDP",119,19,0.0013896349580774
"25851",8,"BETTIAH","GEN",130853,"SHAMBHU SHARMA","DDP",784,10,0.00599145606138186
"25900",168,"BHAGALPUR","GEN",109139,"DIPENDRA SINHA","DDP",265,17,0.00242809628088951
"25989",22,"BHORE","SC",111678,"VIDYA BAITHA","DDP",732,10,0.00655455864180949
"26072",170,"BIHPUR","GEN",97960,"MEHTA SACHIDANAND PRASAD","DDP",323,14,0.00329726418946509
"26092",212,"BIKRAM","GEN",123335,"CHANDRADHARI SINGH","DDP",219,22,0.00177565168038270
"26139",226,"BIKRAMGANJ","GEN",116717,"RAMESHWAR SINGH","DDP",203,18,0.00173924963801331
"26169",74,"BISFI","GEN",106460,"RAMBRIKSHA THAKUR","DDP",480,13,0.00450873567537103
"26179",314,"BISHNUPUR","ST",88644,"BAIJU OROAN","DDP",863,8,0.00973557149948107
"26397",177,"CHAKAI","GEN",101468,"BHUNESHWAR SINGH","DDP",432,10,0.00425749990144676
"26435",299,"CHAKRADHARPUR","ST",86029,"PYARE LAL PURTY","DDP",994,11,0.0115542433365493
"26496",7,"CHANPATIA","GEN",94147,"JAI NARAIN YADAVA","DDP",198,26,0.00210309409752833
"26595",233,"CHENARI","SC",125034,"LALAN RAM","DDP",158,22,0.00126365628549035
"26695",98,"DALSINGHSARAI","GEN",123663,"BISHUNDEW SAH","DDP",222,14,0.00179520147497635
"26750",319,"DALTONGANJ","GEN",112521,"VIRBAL MOCHI","DDP",576,14,0.00511904444503693
"26761",31,"DARAULI","GEN",101291,"RAM VILAS PANDIT","DDP",266,14,0.00262609708661184
"26845",235,"DEHRI","GEN",119073,"KAMTA SINGH","DDP",234,23,0.00196518102340581
"26888",237,"DEO","SC",99341,"RAMADHAR RAM","DDP",687,9,0.00691557363022317
"26990",1,"DHANAHA","GEN",60934,"VISHWNATH PRASAD","DDP",348,14,0.00571109725276529
"27018",284,"DHANBAD","GEN",160187,"MOHAN SAO","DDP",148,36,0.000923920168303296
"27077",209,"DINAPUR","GEN",103860,"MUNNA SINGH","DDP",181,11,0.00174273059888311
"27110",227,"DINARA","GEN",123384,"SHASHI KANT KUSHWAHA","DDP",215,16,0.00174252739415159
"27160",221,"DUMRAON","GEN",114670,"SHIV JI SINGH","DDP",383,18,0.00334001918548879
"27265",61,"GAIGHATTI","GEN",100320,"RAM SWARTH SAH","DDP",431,13,0.00429625199362041
"27289",274,"GANDEY","GEN",110971,"SHANICHAR RAWANI","DDP",500,12,0.00450568166457903
"27481",15,"GHORASAHAN","GEN",101193,"RAMCHANDRA SAH","DDP",856,12,0.00845908313816173
"27526",275,"GIRIDIH","GEN",92315,"YAMUNA PRASAD","DDP",234,21,0.00253479932838650
"27661",24,"GOPALGANJ","GEN",101666,"RAM UDAY PANDIT","DDP",271,11,0.00266559124977869
"27686",169,"GOPALPUR","GEN",117678,"PRAFULL THAKUR","DDP",510,12,0.00433386019476878
"27718",28,"GOREAKOTHI","GEN",101028,"VALESHWAR SINGH","DDP",378,11,0.00374153699964366
"27722",313,"GUMLA","ST",94936,"BASANT ORAON","DDP",183,13,0.00192761439285413
"27771",252,"GURUA","GEN",99928,"SHEO MAHTO","DDP",90,31,0.000900648466896165
"27803",45,"HAJIPUR","GEN",127881,"SURESH SINGH","DDP",290,15,0.00226773328328681
"27881",19,"HARSIDHI","GEN",113308,"RAMAGYA SINGH","DDP",522,9,0.00460691213330038
"27896",102,"HASANPUR","GEN",104957,"RAMCHANDRA YADAV","DDP",296,15,0.00282020255914327
"27946",307,"HATIA","GEN",125944,"SOMA ORAON","DDP",178,29,0.00141332655783523
"28071",324,"HUSSAINABAD","GEN",88582,"KISHUNDEO PRASAD","DDP",389,15,0.00439141134767786
"28111",251,"IMAMGANJ","SC",87628,"NEMAN DAS","DDP",883,9,0.0100766878166796
"28186",222,"JAGDISHPUR","GEN",104784,"PRAKASH KUMAR","DDP",148,28,0.00141242937853107
"28285",161,"JAMA","ST",93751,"BUDHAN SOREN","DDP",406,14,0.00433062047338162
"28355",291,"JAMSHEDPUR EAST","GEN",123560,"MADHAV PRASAD","DDP",71,40,0.000574619617999352
"28443",155,"JAMTARA","GEN",113631,"MATHURA NATH RAI","DDP",1724,6,0.0151719161144406
"28455",273,"JAMUA","SC",112856,"DIPU RABIDAS","DDP",1115,6,0.00987984688452541
"28487",188,"JAMUI","GEN",112200,"SINGHESHWAR SINGH","DDP",275,17,0.00245098039215686
"28543",159,"JARMUNDI","GEN",104413,"MAHENDRA ROY","DDP",199,18,0.00190589294436517
"28576",178,"JHAJHA","GEN",95625,"SUKDEO SINGH","DDP",333,16,0.00348235294117647
"28608",285,"JHARIA","GEN",140602,"ARJUN NISHAD","DDP",66,43,0.000469410107964325
"28720",93,"KALYANPUR","GEN",119030,"GANPAT MAHTO","DDP",234,25,0.00196589095186088
"28752",308,"KANKE","SC",122606,"BHIM MAHLI","DDP",1031,8,0.00840905012805246
"28850",225,"KARAKAT","GEN",113596,"SARYU GUPTA","DDP",107,26,0.000941934575161097
"28908",21,"KATEYA","GEN",112560,"JANAK LAL SINGH","DDP",961,8,0.00853766879886283
"28986",90,"KEOTI","GEN",116352,"RAJENDER SAH","DDP",634,11,0.00544898239823982
"29013",18,"KESARIYA","GEN",105037,"TEJ NARAYAN ROY","DDP",680,7,0.0064739091939031
"29105",300,"KHARASAWAN","ST",83323,"TILAK MANKI","DDP",528,12,0.00633678576143442
"29134",303,"KHUNTI","ST",77394,"DASHAY MUNDA","DDP",452,13,0.00584024601390289
"29236",311,"KOLEBIRA","ST",94143,"SHYAM SUNDAR BARAIK (CHARMUNDA)","DDP",289,13,0.00306979807314405
"29332",57,"KURHANI","GEN",114818,"GOPALDEE PRASAD","DDP",121,30,0.00105384173213259
"29381",243,"KURTHA","GEN",125687,"RAMNARAYAN RAM","DDP",387,13,0.00307907739066093
"29415",190,"LAKHISARAI","GEN",106477,"MAHESH MAHTO","DDP",326,11,0.00306169407477671
"29439",51,"LALGANJ","GEN",102084,"BALDEV PRASAD SAH","DDP",195,16,0.00191019160691195
