"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24958",281,"BAGHMARA","GEN",127547,"JALESHWAR MAHATO","JMM(M)",28915,2,0.226700745607502
"24989",272,"BAGODAR","GEN",119600,"NAGENDRA MAHTO","JMM(M)",9251,5,0.0773494983277592
"25410",149,"BARHAIT","ST",95056,"MASIH SOREN","JMM(M)",1204,6,0.0126662178084498
"25467",263,"BARHI","GEN",94829,"HARENDRA NATH KARN DEO","JMM(M)",1308,7,0.0137932489006528
"25496",266,"BARKAGAON","GEN",140896,"DALCHAND MAHTO","JMM(M)",8117,4,0.057609868271633
"25543",270,"BARKATHA","GEN",120444,"RAM KISHORE MEHTA","JMM(M)",7295,5,0.0605675666699877
"25812",278,"BERMO","GEN",142557,"KHADE RAM MURMU","JMM(M)",6704,5,0.0470268033137622
"26183",314,"BISHNUPUR","ST",88644,"GAURI SANKAR ORAON","JMM(M)",344,10,0.00388069130454402
"26295",148,"BORIO","ST",94697,"PREM CHAND KISKU","JMM(M)",1743,9,0.0184060741100563
"26374",295,"CHAIBASA","ST",84705,"SONA DEOGAM","JMM(M)",13034,3,0.153875213977923
"26440",299,"CHAKRADHARPUR","ST",86029,"SUKHDEO HEMBRAM","JMM(M)",15544,3,0.180683257971149
"26914",158,"DEOGHAR","SC",130102,"SHIV CHARAN UTPAL","JMM(M)",193,22,0.00148345144578869
"27035",284,"DHANBAD","GEN",160187,"SIMRAN KADRI","JMM(M)",11213,5,0.0699994381566544
"27059",271,"DHANWAR","GEN",122931,"WASHIRUDDIN","JMM(M)",2721,8,0.0221343680601313
"27120",160,"DUMKA","ST",104135,"BABUDHAN MARANDI","JMM(M)",1460,6,0.0140202621596965
"27173",276,"DUMRI","GEN",109964,"SHIVA MAHTO","JMM(M)",36794,1,0.334600414681168
"27274",274,"GANDEY","GEN",110971,"ABDUL SATTAR ANSARI","JMM(M)",476,13,0.00428940894467924
"27450",288,"GHATSILA","ST",121317,"JAGIDISH CHANDRA MURMU","JMM(M)",4744,6,0.0391041651211289
"27519",275,"GIRIDIH","GEN",92315,"MOHANLAL MAHTO","JMM(M)",3669,7,0.0397443535720089
"27583",163,"GODDA","GEN",129905,"JAYPRAKASH SINGH","JMM(M)",2809,7,0.0216234940918363
"27636",277,"GOMIA","GEN",120958,"HARI PD. MAHTO","JMM(M)",1588,8,0.0131285239504621
"27730",313,"GUMLA","ST",94936,"SHAMBHU NATH BARAIK","JMM(M)",469,9,0.00494017021993764
"27912",307,"HATIA","GEN",125944,"BHAI HALEN KUJUR","JMM(M)",3624,6,0.0287746935145779
"28008",269,"HAZARIBAGH","GEN",125937,"SUKHDEO YADAV","JMM(M)",2731,7,0.0216854458975520
"28087",293,"ICHAGARH","GEN",112633,"BIDYUT MAHATO","JMM(M)",9807,4,0.0870703967753678
