"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24959",281,"BAGHMARA","GEN",127547,"KARTIK MAHTO","JMM(S)",4928,6,0.0386367378299764
"25512",266,"BARKAGAON","GEN",140896,"RAJ KUMAR","JMM(S)",4004,6,0.0284181240063593
"26290",148,"BORIO","ST",94697,"JOHAN HEMBROM","JMM(S)",11018,5,0.116350042767986
"26413",177,"CHAKAI","GEN",101468,"ONKAR NATH BARNWAL","JMM(S)",11394,3,0.112291559900658
"27031",284,"DHANBAD","GEN",160187,"REKHA MANDAL","JMM(S)",16036,4,0.10010799877643
"27137",160,"DUMKA","ST",104135,"STEFAN MARANDI","JMM(S)",34512,1,0.331415950448936
"27582",163,"GODDA","GEN",129905,"ISLAM HAIDAR","JMM(S)",26553,3,0.204403217736038
"28061",324,"HUSSAINABAD","GEN",88582,"AZAZ HUSSAIN","JMM(S)",7073,5,0.0798469214964665
"28287",161,"JAMA","ST",93751,"DURGA SOREN","JMM(S)",39141,1,0.417499546671502
"28431",155,"JAMTARA","GEN",113631,"BINOD KUMAR MANDAL","JMM(S)",25476,2,0.224199382210840
"28536",159,"JARMUNDI","GEN",104413,"DEVENDRA KUWAR","JMM(S)",33519,1,0.32102324423204
"28647",285,"JHARIA","GEN",140602,"SHIBJANAM KUSWAHA","JMM(S)",2775,5,0.0197365613575909
"29551",150,"LITIPARA","ST",79918,"SUSHILA HASDA","JMM(S)",30436,1,0.380840361370405
"29706",164,"MAHAGAMA","GEN",130034,"BIRENDRA KUMAR SINGH","JMM(S)",7827,4,0.0601919497977452
"29747",152,"MAHESHPUR","ST",89829,"DEBIDHAN BESRA","JMM(S)",20048,2,0.223179596789456
"30617",283,"NIRSA","GEN",134101,"ASHOK MONDAL","JMM(S)",22207,3,0.165599063392518
"30729",151,"PAKAUR","GEN",116091,"JULHAS MANDAL","JMM(S)",10126,4,0.0872246771928918
"31226",162,"POREYAHAT","GEN",122303,"PRASHANT KUMAR","JMM(S)",38854,1,0.317686401805352
"31257",145,"PRANPUR","GEN",110632,"ASHOK KUMAR SAH","JMM(S)",197,18,0.0017806782847639
"31556",267,"RAMGARH 2","GEN",138106,"SUKHDEO MAHTO","JMM(S)",17246,4,0.124875095940799
"32153",153,"SIKARIPARA","ST",101836,"NALIN SOREN","JMM(S)",36073,1,0.354226403236576
"32269",282,"SINDRI","GEN",134451,"HAFIJUDDIN ANSARI","JMM(S)",36659,2,0.272656953090717
