"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24628",172,"AMARPUR","GEN",110561,"SAKALDEO SINGH","JP",1470,12,0.0132958276426588
"25270",141,"BARARI","GEN",99311,"ANJANA DEVI","JP",664,11,0.00668606700164131
"25446",215,"BARHARA","GEN",105689,"SACHIDA NAND UPA","JP",227,18,0.00214781103047621
"25471",263,"BARHI","GEN",94829,"KAMAL KHAN","JP",133,31,0.00140252454417952
"25860",230,"BHABHUA","GEN",131659,"GAURI SHANKER PASWAN","JP",646,14,0.00490661481554622
"25896",168,"BHAGALPUR","GEN",109139,"BINOD SINGH","JP",408,13,0.00373835200982234
"26382",231,"CHAINPUR","GEN",113118,"KISHOR PRASAD","JP",18625,3,0.164651072331548
"26442",299,"CHAKRADHARPUR","ST",86029,"THOMAS PURTY","JP",4176,6,0.0485417707982192
"26568",182,"CHAUTHAM","GEN",108723,"RAJENDRA PD. JEEVANDANI","JP",242,35,0.00222583997866137
"26605",233,"CHENARI","SC",125034,"SHAMBHU RAM","JP",892,8,0.00713405953580626
"26705",98,"DALSINGHSARAI","GEN",123663,"MUKESH KUMAR SINGH","JP",1275,6,0.0103102787414182
"26809",89,"DARBHANGA","GEN",102800,"SWARNA LATA CHOUDHARY","JP",790,13,0.00768482490272373
"26850",235,"DEHRI","GEN",119073,"KUMAR AWADHESH RAI","JP",752,10,0.00631545354530414
"27025",284,"DHANBAD","GEN",160187,"PUSHPA DEVI","JP",518,18,0.00323372058906153
"27209",204,"FATWA","SC",109561,"RAMA RAM","JP",607,8,0.00554029262237475
"27529",20,"GOBINDGANJ","GEN",103453,"BIRENDRA KUMAR MISHRA","JP",1687,6,0.0163069219838961
"27964",92,"HAYAGHAT","GEN",91486,"MD. WASIM","JP",1027,9,0.0112257613186717
"28089",293,"ICHAGARH","GEN",112633,"DULAL MAJHI","JP",865,12,0.00767980964726146
"28269",91,"JALE","GEN",97027,"BATCHAN MISHRA","JP",422,9,0.00434930483267544
"28322",186,"JAMALPUR","GEN",104961,"SANJAY KUMAR","JP",1115,9,0.0106229933022742
"28371",291,"JAMSHEDPUR EAST","GEN",123560,"SRIPAL SINGH","JP",682,12,0.00551958562641632
"28386",292,"JAMSHEDPUR WEST","GEN",129732,"DHANU RAM MAJHI","JP",962,12,0.00741528689914593
"28476",188,"JAMUI","GEN",112200,"NIRANJAN KUMAR","JP",3242,7,0.0288948306595365
"28750",93,"KALYANPUR","GEN",119030,"VIJAY SAHNI","JP",5735,5,0.0481811308073595
"28846",225,"KARAKAT","GEN",113596,"RAJENDRA PANDEY","JP",627,12,0.00551956054790662
"29148",303,"KHUNTI","ST",77394,"SOMA MUNDA","JP",8487,3,0.109659663539809
"29616",16,"MADHUBAN","GEN",109704,"MUKESH SHARMA","JP",1544,7,0.0140742361263035
"30020",317,"MANIKA","ST",71216,"HARIHAR RAMNATH OROAN","JP",586,13,0.00822848798022916
"30350",12,"MOTIHARI","GEN",119399,"SAILENDRA KUMAR ARYA","JP",390,16,0.00326635901473212
"30547",167,"NATHNAGAR","GEN",123115,"KASIM","JP",459,13,0.00372822158144824
"30702",240,"OBRA","GEN",121063,"MURLI MNOHAR SINGH","JP",951,8,0.0078554141232251
"30879",43,"PARSA","GEN",112495,"MUNESHWAR PRASAD","JP",1093,6,0.00971598737721677
"31259",145,"PRANPUR","GEN",110632,"BHUBNESHWAR SINGH","JP",848,13,0.00766505170294309
"31300",72,"PUPRI","GEN",106329,"RAM JATAN ROY","JP",1364,7,0.0128281089824977
"31377",46,"RAGHOPUR 1","GEN",121390,"SHAILESH KUMAR AZAD","JP",588,11,0.00484389158909301
"31862",54,"SAHEBGANJ","GEN",105924,"VINOD OJHA","JP",2509,5,0.023686794305351
"31928",214,"SANDESH","GEN",110370,"KAMLESH NARAIN SINGH","JP",639,11,0.00578961674368035
"32022",294,"SERAIKELLA","ST",120084,"DHANAI MANJHI","JP",986,9,0.00821091902335032
"32056",217,"SHAHPUR","GEN",93160,"SHEWA KANT TIWARI","JP",781,9,0.00838342636324603
"32186",131,"SIKTI","GEN",143406,"JAIBADUL HAQUE","JP",9629,5,0.0671450287993529
"32368",67,"SITAMARHI","GEN",122688,"SHEKH ABDULLAH","JP",905,6,0.00737643453312467
"32480",44,"SONEPUR","GEN",104131,"SANJAY KUMAR","JP",391,12,0.00375488567285439
"32649",38,"TARAIYA","GEN",93466,"RAM JANAM SAH","JP",955,8,0.0102176192412214
"32848",32,"ZIRADEI","GEN",99138,"SHASHI BHUSAN YADAV","JP",1039,8,0.0104803405354153
