"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24961",281,"BAGHMARA","GEN",127547,"MINIONET ALLEN","JPP",120,24,0.000940829654950724
"25016",287,"BAHARAGORA","GEN",120687,"BADAL MAHATO","JPP",328,14,0.00271777407674397
"26181",314,"BISHNUPUR","ST",88644,"BINOD KUMAR BHAGAT","JPP",15645,2,0.176492486801137
"26357",295,"CHAIBASA","ST",84705,"ASMAN SUNDI","JPP",3445,7,0.040670562540582
"26545",264,"CHATRA","SC",82558,"SANTAN BHUIYAN","JPP",527,9,0.00638339107052012
"26724",319,"DALTONGANJ","GEN",112521,"BACHU CHAUDHARY","JPP",3660,5,0.0325272615778388
"27124",160,"DUMKA","ST",104135,"JONATHAN TUDU","JPP",540,12,0.00518557641523023
"27461",288,"GHATSILA","ST",121317,"SURYA SINGH BESRA","JPP",7914,5,0.0652340562328445
"28005",269,"HAZARIBAGH","GEN",125937,"SATYENDRA KUMAR","JPP",490,12,0.00389083430604191
"28154",297,"JAGANATHPUR","ST",67756,"MANGAL SINGH BOBONGA","JPP",20736,1,0.306039317551213
"28292",161,"JAMA","ST",93751,"KRISHNA SOREN","JPP",372,15,0.00396795767511813
"28364",291,"JAMSHEDPUR EAST","GEN",123560,"RAM NARESH MASTANA","JPP",119,34,0.00096309485270314
"28391",292,"JAMSHEDPUR WEST","GEN",129732,"GYAN SINGH","JPP",88,39,0.000678321462707736
"28449",155,"JAMTARA","GEN",113631,"SUNIL KUMAR HANSDA","JPP",960,9,0.00844839876442168
"28552",159,"JARMUNDI","GEN",104413,"VIJOY KUMAR CHAUDHARY","JPP",483,11,0.00462586076446419
"28634",285,"JHARIA","GEN",140602,"RADHESHYAM GOSWAMI","JPP",475,17,0.00337833032247052
"28679",290,"JUGSALAI","SC",134964,"RAKHI RAI","JPP",2009,6,0.0148854509350642
"28754",308,"KANKE","SC",122606,"DEEPAK BAITHA","JPP",1787,7,0.0145751431414450
"29111",305,"KHIJRI","ST",120183,"DEO SHARAN BHAGAT","JPP",3207,5,0.0266843064326901
"29147",303,"KHUNTI","ST",77394,"RAM DAYAL OREYA","JPP",4472,5,0.0577822570225082
"29487",316,"LATEHAR","SC",56448,"RAMDEO GANJHU","JPP",7979,4,0.141351332199546
"29562",315,"LOHARDAGA","ST",94761,"PINJU BHAGAT","JPP",1521,8,0.0160509070187102
"29851",296,"MAJHGAON","ST",61998,"PURENDRA HEMBROM","JPP",512,15,0.00825833091390045
"29911",309,"MANDAR","ST",117668,"KAMAL KISHORE BHAGAT","JPP",1322,9,0.0112350001699697
"30016",317,"MANIKA","ST",71216,"ANAND OROAN","JPP",1948,7,0.027353403729499
"30062",298,"MANOHARPUR","ST",74423,"JOBA MAJHI","JPP",20219,1,0.271676766590973
"30642",283,"NIRSA","GEN",134101,"RASIK LAL TUDU","JPP",654,15,0.00487692112661352
"31248",289,"POTKA","ST",121503,"SAGEN HANSDA","JPP",4063,8,0.0334395035513526
"32024",294,"SERAIKELLA","ST",120084,"LAKSHMAN SOY","JPP",6132,6,0.051064255021485
"32198",304,"SILLI","GEN",101103,"AJIT KUMAR MAHTO","JPP",945,11,0.0093469036527106
"32617",301,"TAMAR","ST",94592,"BIJAY SINGH","JPP",2311,8,0.0244312415426252
"32709",302,"TORPA","ST",76092,"P.N.S. SURIN","JPP",685,11,0.00900226042159491
"32736",280,"TUNDI","GEN",110739,"RAJENDRA MAHTO","JPP",1268,7,0.0114503472128157
