"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"24542",13,"ADAPUR","GEN",112969,"BAIDYANATH RAI","SJP(R)",974,12,0.00862183430852712
"24601",184,"ALAULI","SC",99234,"SHANKAR SADA","SJP(R)",115,8,0.00115887699780317
"24614",172,"AMARPUR","GEN",110561,"HARENDRA SAH","SJP(R)",1021,15,0.00923472110418683
"24660",130,"ARARIA","GEN",112284,"INTEKHAB ALAM","SJP(R)",2531,10,0.0225410566064622
"24700",216,"ARRAH","GEN",111605,"RAJENDRA PRASAD SINGH","SJP(R)",5755,5,0.0515657900631692
"24950",281,"BAGHMARA","GEN",127547,"ANIL KUMAR NONIA","SJP(R)",2967,8,0.0232620132186567
"25001",133,"BAHADURGANJ","GEN",116396,"AZIMUDDIN","SJP(R)",284,17,0.00243994638991031
"25150",103,"BALIA","GEN",101090,"BALESHWRA AZAD","SJP(R)",1809,10,0.0178949450984271
"25222",174,"BANKA","GEN",101177,"VEDANAND SINGH","SJP(R)",13811,3,0.136503355505698
"25285",141,"BARARI","GEN",99311,"MANOJ KUMAR SINGH","SJP(R)",731,9,0.00736071532861415
"25318",25,"BARAULI","GEN",105145,"M.A. SIDDIKI","SJP(R)",898,10,0.00854058680869276
"25391",202,"BARH","GEN",111842,"SANKUNTALA SINGH","SJP(R)",292,17,0.00261082598665975
"25587",55,"BARURAJ","GEN",106220,"BALENDRA PRASAD SINGH","SJP(R)",8271,4,0.0778666917717944
"25626",27,"BASANTPUR","GEN",118903,"RAMJAN ALI","SJP(R)",1571,6,0.013212450484849
"25714",247,"BELAGANJ","GEN",108852,"SHAMBHU PRASAD SINGH","SJP(R)",376,8,0.00345423143350604
"25734",175,"BELHAR","GEN",93256,"HIRA SINGH","SJP(R)",477,11,0.00511495238912242
"25843",8,"BETTIAH","GEN",130853,"MAYA SINHA","SJP(R)",419,15,0.00320206644096811
"25892",168,"BHAGALPUR","GEN",109139,"ASHOK KUMAR SHARMA","SJP(R)",377,14,0.00345431055809564
"26040",194,"BIHAR","GEN",136715,"RAM KRISHNA PRASAD","SJP(R)",779,7,0.00569798485901328
"26076",170,"BIHPUR","GEN",97960,"PARMANAND MANDAL","SJP(R)",770,9,0.0078603511637403
"26124",226,"BIKRAMGANJ","GEN",116717,"MADAN PRASAD SINGE","SJP(R)",1092,11,0.00935596357000266
"26238",60,"BOCHAHA","SC",118843,"RAVI SHANKER ANAND","SJP(R)",374,9,0.00314700907920534
"26379",231,"CHAINPUR","GEN",113118,"DINA NATH SINGH","SJP(R)",961,12,0.0084955533160063
"26416",177,"CHAKAI","GEN",101468,"RAJESH PRASAD","SJP(R)",1684,6,0.0165963653565656
"26483",199,"CHANDI","GEN",104904,"YOGENDRA SHUKL","SJP(R)",1526,7,0.0145466331121788
"26508",7,"CHANPATIA","GEN",94147,"SARFUDDIN SHEIKH","SJP(R)",4961,5,0.0526941909991821
"26594",233,"CHENARI","SC",125034,"LALAN PASWAN","SJP(R)",442,9,0.00353503846953629
"26667",166,"COLGONG","GEN",132572,"BIBHAKAR SINGH","SJP(R)",986,8,0.00743746794194853
"26746",319,"DALTONGANJ","GEN",112521,"SHATRUGHAN OJHA","SJP(R)",9281,4,0.0824823810666453
"26808",89,"DARBHANGA","GEN",102800,"SHIV SHARAN SINGH","SJP(R)",2157,7,0.0209824902723735
"26813",88,"DARBHANGA RURAL","SC",94120,"ACHARYA KANHAIYA LAL","SJP(R)",1269,9,0.0134827879303017
"26903",158,"DEOGHAR","SC",130102,"PRABHU PASI","SJP(R)",2630,7,0.0202149083027163
"26968",125,"DHAMDAHA","GEN",116645,"SARANGDHAR THAKUR","SJP(R)",662,14,0.00567533970594539
"27115",227,"DINARA","GEN",123384,"SITARAM SINGH","SJP(R)",818,10,0.0066297088763535
"27162",221,"DUMRAON","GEN",114670,"TEJ PRATAP SINGH","SJP(R)",910,14,0.00793581581930758
"27215",204,"FATWA","SC",109561,"VILAT PASWAN","SJP(R)",346,12,0.00315805806810818
"27246",129,"FORBESGANJ","GEN",125291,"SHIV SHANKAR THAKUR","SJP(R)",1849,13,0.0147576442042924
"27307",320,"GARHWA","GEN",109093,"JALIL AHMAD ANSARI","SJP(R)",591,14,0.00541739616657347
"27400",250,"GAYA TOWN","GEN",93810,"MITHILESH KUMAR SINGH","SJP(R)",420,9,0.00447713463383435
"27684",169,"GOPALPUR","GEN",117678,"ONKAR KRISHNA","SJP(R)",334,17,0.00283825353931916
"27715",28,"GOREAKOTHI","GEN",101028,"RAJ KISHORE SINGH","SJP(R)",696,8,0.00688917923743913
"27739",252,"GURUA","GEN",99928,"BHIM PRASAD SINGH","SJP(R)",195,22,0.00195140501160836
"27887",102,"HASANPUR","GEN",104957,"GANGA PRASAD AZAD","SJP(R)",3696,8,0.035214421143897
"27948",307,"HATIA","GEN",125944,"SUDHIR SUMAR SAHAY","SJP(R)",2968,8,0.0235660293463762
"27960",92,"HAYAGHAT","GEN",91486,"INDRA KANT CHOUDHARY","SJP(R)",703,10,0.0076842358393634
"28119",251,"IMAMGANJ","SC",87628,"SUDAMA PRASAD","SJP(R)",155,18,0.00176884100972292
"28122",197,"ISLAMPUR","GEN",127834,"BACHU SINGH","SJP(R)",191,20,0.00149412519361046
"28192",222,"JAGDISHPUR","GEN",104784,"RAM LAKHAN SINGH","SJP(R)",594,13,0.00566880439761796
"28241",245,"JAHANABAD","GEN",133173,"UDAY NARAYAN SHARMA","SJP(R)",354,11,0.00265819648126873
"28254",40,"JALALPUR","GEN",101863,"LALAN DEO TIWARI","SJP(R)",1371,9,0.0134592540961880
"28341",291,"JAMSHEDPUR EAST","GEN",123560,"BENGALI SINGH","SJP(R)",524,13,0.00424085464551635
"28383",292,"JAMSHEDPUR WEST","GEN",129732,"AURANZEB KHAN","SJP(R)",880,14,0.00678321462707736
"28471",188,"JAMUI","GEN",112200,"KUMAR RATNESHWAR SINGH","SJP(R)",1463,9,0.0130392156862745
"28508",48,"JANDAHA","GEN",117459,"MUNESHWAR PRASAD SINGH","SJP(R)",475,9,0.00404396427689662
"28540",159,"JARMUNDI","GEN",104413,"HARI CHARAN KHAWARE","SJP(R)",478,12,0.00457797400706809
"28570",178,"JHAJHA","GEN",95625,"RAMAKANT SINGH","SJP(R)",2753,6,0.0287895424836601
"28584",80,"JHANJHARPUR","GEN",102784,"DR. RASLAL YADAV","SJP(R)",2250,6,0.0218905666251557
"28612",285,"JHARIA","GEN",140602,"BACCHA SINGH","SJP(R)",41424,2,0.294618853216882
"28704",143,"KADWA","GEN",113524,"PHOOL KUMAR PODDAR","SJP(R)",450,22,0.00396391952362496
"28813",56,"KANTI","GEN",104602,"SHYAM KUMAR OJHA","SJP(R)",521,7,0.00498078430622741
"28841",225,"KARAKAT","GEN",113596,"LAL BABU SINGH","SJP(R)",1097,9,0.0096570301771189
"28897",138,"KASBA","GEN",123850,"SUDHIR KUMAR SAH","SJP(R)",439,28,0.0035446104158256
"28926",142,"KATIHAR","GEN",123985,"MAHAMMAD HAFIZUDDIN","SJP(R)",983,8,0.00792837843287494
"28957",176,"KATORIA","GEN",114043,"RAJRAM PATHAK","SJP(R)",2093,10,0.0183527266031234
"28984",90,"KEOTI","GEN",116352,"NIRMAL KUMAR PANDEY","SJP(R)",534,12,0.00458952145214521
"29038",183,"KHAGARIA","GEN",106628,"RAM BAHADUR AZAD","SJP(R)",595,13,0.0055801478035788
"29067",76,"KHAJAULI","SC",109755,"SITARAM MAHTO","SJP(R)",266,14,0.00242357979135347
"29120",305,"KHIJRI","ST",120183,"MANGAL ORAON","SJP(R)",746,8,0.00620720068562109
"29291",140,"KORHA","SC",107771,"SURESH RAM","SJP(R)",722,12,0.00669939037403383
"29367",243,"KURTHA","GEN",125687,"ANJANI KUMAR RAJU","SJP(R)",1102,10,0.00876781210467272
"29424",190,"LAKHISARAI","GEN",106477,"RAMANUJ SINGH","SJP(R)",491,9,0.00461132451139683
"29523",6,"LAURIA","GEN",95508,"DHARMESH PD. VERMA","SJP(R)",4119,3,0.0431272772961427
"29573",83,"MADHEPUR","GEN",110399,"LEKHANAND JHA","SJP(R)",609,10,0.00551635431480358
"29681",157,"MADHUPUR","GEN",125738,"MADAN MOHAN ROY","SJP(R)",1493,8,0.0118738965149756
"29744",33,"MAHARAJGANJ","GEN",94554,"UMASHANKAR SINGH","SJP(R)",13090,3,0.138439410284070
"29785",47,"MAHNAR","GEN",106670,"MUNISHAWAR PRASAD SINGH","SJP(R)",3375,6,0.0316396362613668
"29833",30,"MAIRWA","SC",93848,"SHEO BALAK","SJP(R)",955,9,0.0101760293240133
"29867",69,"MAJORGANJ","SC",91160,"SUKDEV PASWAN","SJP(R)",341,12,0.00374067573497148
"29882",244,"MAKHDUMPUR","GEN",125920,"KAUSHALENDER SUMAN","SJP(R)",70,18,0.000555908513341804
"29940",268,"MANDU","GEN",149742,"NITYA NAND SINGH","SJP(R)",378,19,0.00252434186801298
"30012",146,"MANIHARI","GEN",94775,"RAM SIPAHI YADAV","SJP(R)",2155,5,0.0227380638353996
"30047",35,"MANJHI","GEN",101962,"RAM BAHADUR SINGH","SJP(R)",17016,2,0.166885702516624
"30074",39,"MARHAURA","GEN",98234,"BALRAM PRASAD YADAV","SJP(R)",830,8,0.00844921310340615
"30104",205,"MASAURHI","GEN",131694,"NAWAL KISHORE SHARMA","SJP(R)",1868,6,0.0141843971631206
"30159",63,"MINAPUR","GEN",107837,"DIWAKAR SINGH","SJP(R)",1349,7,0.0125096210020679
"30468",196,"NALANDA","GEN",120070,"DHANANJAY KUMAR","SJP(R)",791,11,0.00658782376946781
