"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"32955",193,"ASTHAWAN","GEN",127254,"GOPAL SHARAN SINGH","AD",115,18,0.000903704402219184
"33330",68,"BATHNAHA","GEN",130732,"MD. ISRAEL","AD",686,6,0.00524737631184408
"33545",226,"BIKRAMGANJ","GEN",125056,"RAMESHWAR CHAUDHARY","AD",2276,5,0.018199846468782
"33770",41,"CHAPRA","GEN",146600,"MUNESHWAR PRASAD","AD",55,16,0.000375170532060027
"33799",233,"CHENARI","SC",123677,"SANJAY KUMAR","AD",464,15,0.00375170807830074
"33926",235,"DEHRI","GEN",120281,"MAHENDRA RAM","AD",269,14,0.00223642969380035
"34049",227,"DINARA","GEN",127887,"MUNI LAL CHAUDHARY","AD",100,15,0.000781940306676988
"34411",45,"HAJIPUR","GEN",145630,"DINESH NIRALA","AD",142,9,0.000975073817207993
"34450",200,"HARNAUT","GEN",119254,"SUNIL KUMAR SINHA","AD",417,14,0.00349673805490801
"34617",40,"JALALPUR","GEN",117619,"MADAN SINGH","AD",649,11,0.00551781599911579
"34707",48,"JANDAHA","GEN",139174,"HRISHIKESH KUMAR SINHA","AD",183,11,0.00131490077169586
"35079",140,"KORHA","SC",111637,"RITLAL RAM","AD",381,5,0.00341284699517185
"35234",78,"MADHUBANI","GEN",131026,"JATAN LAL MAHTO","AD",175,14,0.00133561277914307
"35257",157,"MADHUPUR","GEN",118642,"YATINDRA PRA JAISWAL","AD",109,16,0.000918730297870906
"35421",146,"MANIHARI","GEN",90335,"DILIP KUMAR MANDAL","AD",914,8,0.0101178945037914
"35443",35,"MANJHI","GEN",108779,"MANOJ KUMAR PURI","AD",250,13,0.00229823771132296
"35536",23,"MIRGANJ","GEN",109754,"RAM NATH SINGH","AD",608,13,0.00553966142464056
"35570",185,"MONGHYR","GEN",129752,"BASU SHARAN MANDAL","AD",141,15,0.00108668845181577
"35613",59,"MUZAFFARPUR","GEN",156315,"SUREKHA DEVI SAHU","AD",541,6,0.00346096024053994
"35641",196,"NALANDA","GEN",143145,"ANIL KUMAR","AD",121,12,0.000845296727094904
"35742",234,"NOKHA","GEN",118126,"TAR CHANDRA SINGH","AD",3524,6,0.0298325516821022
"35826",43,"PARSA","GEN",129963,"RAJESHWAR SINGH","AD",166,9,0.00127728661234351
"35858",207,"PATNA CENTRAL","GEN",140924,"LAL BAHADUR SINGH","AD",123,15,0.00087281087678465
"35904",206,"PATNA WEST","GEN",154597,"RANJEET SINGH","AD",432,15,0.00279436211569435
"36104",195,"RAJGIR","SC",140873,"RAJKUMAR PASWAN","AD",256,8,0.00181723964137911
"36215",100,"ROSERA","SC",116283,"GAYETRI DEVI","AD",656,5,0.00564140932036497
"36231",64,"RUNISAIDPUR","GEN",134131,"RAM CHANDRA MANDAL","AD",1069,9,0.00796982054856819
"36722",113,"TRIBENIGANJ","GEN",105516,"RAMBHA DEVI","AD",359,11,0.00340232760908298
"36749",52,"VAISHALI","GEN",129646,"UMESH KUMAR","AD",384,11,0.00296191166715518
