"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"32856",13,"ADAPUR","GEN",111696,"IRSHADUL HAQUE","AJBP",594,9,0.00531800601633004
"32918",130,"ARARIA","GEN",124582,"TRILOK NATH JHA","AJBP",5114,9,0.0410492687547158
"32941",242,"ARWAL","GEN",113006,"NITYA NAND ALIAS NEETI","AJBP",826,8,0.0073093464063855
"32974",256,"ATRI","GEN",157065,"BIRENDRA SINGH","AJBP",167,9,0.00106325406678764
"33037",281,"BAGHMARA","GEN",122402,"RAJ KISHORE RAWANI","AJBP",1349,8,0.0110210617473571
"33052",133,"BAHADURGANJ","GEN",109026,"CHANDRA BHUSHAN SINGH","AJBP",922,10,0.00845669840221598
"33130",203,"BAKHTIARPUR","GEN",118616,"RAM KISHORE SINGH","AJBP",1290,10,0.0108754299588588
"33171",126,"BANMANKHI","SC",108841,"BISHWANATH PASWAN","AJBP",764,10,0.00701941364008048
"33183",254,"BARACHATTI","SC",69550,"ANANDDEO PASWAN","AJBP",577,9,0.0082961897915169
"33233",192,"BARBIGHA","SC",104134,"RABINDRA KUMAR","AJBP",1145,5,0.0109954481725469
"33303",144,"BARSOI","GEN",122093,"RADHA NATH CHOWDHARY","AJBP",647,10,0.00529923910461697
"33333",68,"BATHNAHA","GEN",130732,"RAJESH KUMAR MISHRA","AJBP",558,9,0.00426827402625218
"33346",105,"BEGUSARAI","GEN",124899,"MANOJ KUMAR","AJBP",252,10,0.00201763024523815
"33366",175,"BELHAR","GEN",98683,"RAM KISHORE YADAV","AJBP",7418,4,0.075169988751862
"33384",73,"BENIPATTI","GEN",110450,"RAM GULAM SAH","AJBP",4204,5,0.0380624717066546
"33406",278,"BERMO","GEN",125744,"VISHWAMITRA DUBEY","AJBP",191,14,0.00151895915510879
"33426",230,"BHABHUA","GEN",128844,"ANGAD PANDAY","AJBP",258,14,0.00200242153301667
"33445",168,"BHAGALPUR","GEN",121745,"BHAG CHAND","AJBP",271,10,0.00222596410530207
"33506",170,"BIHPUR","GEN",105105,"BARAHAMDEV MANDAL","AJBP",2489,6,0.0236810808239380
"33612",279,"BOKARO","GEN",203318,"BINOD SINGH","AJBP",334,20,0.00164274683008883
"33697",231,"CHAINPUR","GEN",107979,"PARMANAND CHAUBEY","AJBP",758,16,0.00701988349586494
"33772",41,"CHAPRA","GEN",146600,"RABINDRA SINGH","AJBP",111,12,0.000757162346521146
"33800",233,"CHENARI","SC",123677,"SHAKTI KUMAR SOLA","AJBP",650,12,0.00525562554072301
