"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"33585",60,"BOCHAHA","SC",124806,"RAM CHANDRA MANJHI","BHJVP",442,8,0.00354149640241655
"33873",319,"DALTONGANJ","GEN",102309,"SUSHAN SINGH","BHJVP",328,13,0.00320597405897819
"34429",75,"HARLAKHI","GEN",109614,"RAM KISHORE MAHTO","BHJVP",215,10,0.00196142828470816
"34666",292,"JAMSHEDPUR WEST","GEN",110339,"RAKESH KUMAR AGRAWAL","BHJVP",59,12,0.000534715739675002
"34706",48,"JANDAHA","GEN",139174,"CHANDRASHEKHAR ROY","BHJVP",134,14,0.000962823515886588
"35029",111,"KISHUNPUR","GEN",113049,"KRISHNADEO YADAV","BHJVP",900,9,0.0079611495900008
"35132",190,"LAKHISARAI","GEN",126455,"RAMNANADAN YADAV","BHJVP",172,10,0.00136016764857064
"35318",50,"MAHUA","SC",120748,"BINDESHWAR PASWAN","BHJVP",195,8,0.00161493358068043
"35426",146,"MANIHARI","GEN",90335,"NALINI MANDAL","BHJVP",3668,5,0.0406044168926773
"35674",167,"NATHNAGAR","GEN",127119,"KRISHNA DEO YADAV","BHJVP",675,12,0.00530998513204163
"35762",151,"PAKAUR","GEN",112935,"NIRANJAN GHOSH","BHJVP",423,6,0.00374551733297915
"35782",213,"PALIGANJ","GEN",147006,"WARTI DEVI","BHJVP",82,15,0.000557800361889991
"36013",139,"PURNEA","GEN",119370,"ANWARUS SALAM","BHJVP",239,25,0.00200217810170059
"36070",110,"RAGHOPUR 2","GEN",125155,"VIMAL KUMAR","BHJVP",648,9,0.0051775798010467
"36080",34,"RAGHUNATHPUR","GEN",109695,"RAGHUNATH RAM","BHJVP",292,11,0.00266192625005698
"36146",228,"RAMGARH 1","GEN",105649,"HARINARAYAN SINGH","BHJVP",394,10,0.00372933014037047
"36389",4,"SHIKARPUR","SC",96931,"BINOD PASWAN","BHJVP",187,16,0.00192920737431781
"36625",112,"SUPAUL","GEN",122985,"SURESH KUMAR YADAV","BHJVP",389,13,0.00316298735618165
"36635",187,"SURAJGARHA","GEN",135404,"MD. MUSTFA","BHJVP",171,13,0.00126288735930992
"36774",260,"WARSALIGANJ","GEN",157514,"RENU DEVI","BHJVP",283,9,0.00179666569320822
