"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"32896",136,"AMOUR","GEN",135792,"CHANDRASHEKHAR JHA","BJC(R)",8619,4,0.0634720749381407
"32909",130,"ARARIA","GEN",124582,"IKRAMUL HAQUE","BJC(R)",3497,11,0.0280698656306690
"32984",256,"ATRI","GEN",157065,"UPENDRA KUMAR SINGH","BJC(R)",115,10,0.000732180944195078
"33000",238,"AURANGABAD","GEN",117709,"TEJENDRA KUMAR SINGH","BJC(R)",909,9,0.00772243413842612
"33047",272,"BAGODAR","GEN",119023,"KHARAGDHARI NR. SINGH","BJC(R)",15692,4,0.131840064525344
"33095",26,"BAIKUNTHPUR","GEN",127773,"DEB NARAIN SINGH","BJC(R)",346,8,0.00270792733989184
"33112",137,"BAISI","GEN",108213,"QAISER ZAMAN","BJC(R)",16708,4,0.154399194181845
"33119",109,"BAKHRI","SC",101810,"SHATRUGHAN PASWAN","BJC(R)",652,5,0.00640408604262843
"33132",203,"BAKHTIARPUR","GEN",118616,"RAM VINOD PRASAD SINGH","BJC(R)",1715,8,0.0144584204491805
"33181",126,"BANMANKHI","SC",108841,"RAMDEO RISHI","BJC(R)",11880,3,0.109150044560414
"33200",141,"BARARI","GEN",105780,"MUHAMMAD ISRAIL","BJC(R)",781,13,0.00738324825108716
"33218",25,"BARAULI","GEN",117175,"SHAMSUDIN ALI","BJC(R)",3921,5,0.0334627693620653
"33222",106,"BARAUNI","GEN",122090,"MINHAZAL","BJC(R)",976,5,0.00799410271111475
"33386",73,"BENIPATTI","GEN",110450,"RANDHIR THAKUR","BJC(R)",854,7,0.00773200543232232
"33417",8,"BETTIAH","GEN",138963,"PRABHU PRASAD YADAV","BJC(R)",271,15,0.00195015939494686
"33447",168,"BHAGALPUR","GEN",121745,"GOKUL DAS","BJC(R)",1131,5,0.00928990923651895
"33458",321,"BHAWANATHPUR","GEN",123175,"GHANSHYAM PATHAK","BJC(R)",1493,8,0.0121209661051350
"33494",194,"BIHAR","GEN",183056,"R. ISRI ARSAD","BJC(R)",2215,6,0.0121001223669260
"33531",226,"BIKRAMGANJ","GEN",125056,"AZHARUL HAQUE","BJC(R)",256,18,0.00204708290685773
"33559",74,"BISFI","GEN",124339,"VEDANAND JHA","BJC(R)",1427,7,0.0114766887300043
"33614",279,"BOKARO","GEN",203318,"BRAJ KISHOR PANDAY","BJC(R)",119,26,0.000585290038265181
"33632",148,"BORIO","ST",95000,"ARUN KUMAR BESARA","BJC(R)",964,7,0.0101473684210526
"33664",219,"BUXAR","GEN",96477,"ANIL KUMAR TRIVEDI","BJC(R)",2056,8,0.021310778734828
"33796",233,"CHENARI","SC",123677,"MAHENDRA PASWAN","BJC(R)",484,14,0.00391341963339991
"33820",114,"CHHATAPUR","SC",96408,"CHANDESHWARI PASWAN","BJC(R)",1456,5,0.0151024811218986
"33877",31,"DARAULI","GEN",115334,"KAMAL PANDEY","BJC(R)",253,9,0.00219362893856105
"33892",89,"DARBHANGA","GEN",129365,"KAMESHWAR JHA","BJC(R)",867,8,0.00670196730182043
"33957",14,"DHAKA","GEN",139096,"DINA NATH SINGH","BJC(R)",1224,6,0.00879967792028527
"33974",125,"DHAMDAHA","GEN",129097,"ISMILE MANSURI","BJC(R)",13820,4,0.107051287016739
"34011",271,"DHANWAR","GEN",135854,"ANAND KR. PANDEY","BJC(R)",1237,8,0.00910536311039793
"34052",227,"DINARA","GEN",127887,"RAJ NARAYAN SINGH","BJC(R)",439,11,0.00343271794631198
"34082",276,"DUMRI","GEN",80693,"MAHENDRA PD. JAYSWAL","BJC(R)",537,10,0.00665485234159097
"34109",204,"FATWA","SC",116385,"SIYA RAM PASWAN","BJC(R)",97,14,0.000833440735489969
"34121",129,"FORBESGANJ","GEN",128944,"RAZI ULLAH","BJC(R)",732,12,0.00567688298796377
"34183",249,"GAYA MUFASSIL","GEN",120631,"RAJNANDAN PRASAD SINGH","BJC(R)",455,11,0.00377183311089189
"34272",259,"GOBINDPUR","GEN",134027,"AMRIT PRASAD","BJC(R)",5349,5,0.0399098689070113
"34337",24,"GOPALGANJ","GEN",107687,"SIWALI NUMANI","BJC(R)",564,13,0.00523740098619146
"34366",28,"GOREAKOTHI","GEN",117425,"MD. SHAMSHUNHOD","BJC(R)",1850,6,0.0157547370662125
