"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"32892",172,"AMARPUR","GEN",118986,"SHAMSHER JUG BAHADUR","BPSP",150,12,0.00126065251374111
"32937",242,"ARWAL","GEN",113006,"KRISHN NANDAN PD. SINGH","BPSP",10507,4,0.0929773640337681
"32973",256,"ATRI","GEN",157065,"BIRENDRA SINGH","BPSP",58824,2,0.374520103142011
"33209",141,"BARARI","GEN",105780,"YUVARAJ","BPSP",9507,4,0.0898752127056154
"33376",65,"BELSAND","GEN",100389,"NAND LAL SINGH","BPSP",4352,5,0.043351363197163
"33536",226,"BIKRAMGANJ","GEN",125056,"DHARAMJEET SINGH","BPSP",49,23,0.000391824462640737
"33694",231,"CHAINPUR","GEN",107979,"KAMALA SINGH","BPSP",3418,6,0.0316543031515387
"33798",233,"CHENARI","SC",123677,"RAM BACHAN PASWAN","BPSP",35053,2,0.283423757044560
"33843",166,"COLGONG","GEN",140297,"DEEPAK SINGH","BPSP",13137,4,0.0936370699302195
"33882",31,"DARAULI","GEN",115334,"RANA PRATAP SINGH","BPSP",80,14,0.000693637609031162
"33939",237,"DEO","SC",93691,"PANKAJ KUMAR","BPSP",7806,3,0.0833164338090105
"34113",129,"FORBESGANJ","GEN",128944,"DEVANTI DEVI","BPSP",12750,5,0.098880134011664
"34239",15,"GHORASAHAN","GEN",106259,"MAHASUNDAR DEVI","BPSP",13838,4,0.130228968840286
"34338",24,"GOPALGANJ","GEN",107687,"SUBASH SINGH","BPSP",19372,2,0.179891723234931
"34385",252,"GURUA","GEN",113489,"AMRENDRA KUMAR SINGH","BPSP",22711,2,0.200116310831887
"34852",225,"KARAKAT","GEN",119518,"TRIVUWAN SINGH","BPSP",7734,5,0.0647099181713215
"34929",18,"KESARIYA","GEN",110737,"BEERENDRA KUMAR SINHA","BPSP",2929,8,0.0264500573430741
"34969",180,"KHARAGPUR","GEN",142126,"DINESH KUMAR SINGH","BPSP",21035,3,0.148002476675626
"35060",248,"KONCH","GEN",123464,"ANJANI KUMAR RAJU","BPSP",48,16,0.000388777295405948
"35090",57,"KURHANI","GEN",123427,"BRAJESH KUMAR","BPSP",32795,2,0.265703614282126
"35152",51,"LALGANJ","GEN",134402,"VIJAY KUMAR SAHNI","BPSP",4897,4,0.0364354697102722
"35208",83,"MADHEPUR","GEN",121662,"SITA RAM SINGH","BPSP",27431,2,0.225468922095642
"35546",229,"MOHANIA","SC",107495,"RAMASHANKAR PASWAN","BPSP",152,13,0.00141401925670961
"35623",236,"NABINAGAR","GEN",119831,"SALIK GRAM SINGH","BPSP",15452,3,0.128948268811910
"35746",240,"OBRA","GEN",117533,"ASHOK KUMAR","BPSP",2144,7,0.0182416853139118
"35786",79,"PANDAUL","GEN",131444,"DEVENDRA PRASAD SINGH","BPSP",35576,2,0.270655183956666
"35832",53,"PARU","GEN",123026,"JAI NATH SINGH","BPSP",5638,5,0.0458277112155154
"36268",117,"SAHARSA","GEN",145107,"LOVELY ANAND","BPSP",49781,2,0.343064083745098
"36282",54,"SAHEBGANJ","GEN",120145,"NAGENDRA PRASAD SINGH","BPSP",35872,2,0.298572558158891
"36309",214,"SANDESH","GEN",115364,"JITENDRA SINGH","BPSP",443,7,0.00384001941680247
"36378",66,"SHEOHAR","GEN",106062,"KUNJ VIHARI SINGH","BPSP",187,14,0.00176311968471272
"36629",187,"SURAJGARHA","GEN",135404,"ARUN KUMAR SINGH","BPSP",20074,3,0.148252636554312
"36671",38,"TARAIYA","GEN",111465,"KAMLA PRASAD SINGH","BPSP",19009,3,0.170537836989189
