"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"32859",13,"ADAPUR","GEN",111696,"MADAN MOHAN PRASAD","BSP",238,13,0.00213078355536456
"32886",172,"AMARPUR","GEN",118986,"KAMLESHWARI YADAV","BSP",1071,7,0.00900105894811154
"32915",130,"ARARIA","GEN",124582,"NASIM AHMAD","BSP",120,16,0.000963221011060988
"32932",216,"ARRAH","GEN",114593,"SANTOSH KUMAR","BSP",1996,7,0.0174181669037376
"32942",242,"ARWAL","GEN",113006,"RAVINDRA KUMAR","BSP",4272,6,0.0378033024795144
"32952",193,"ASTHAWAN","GEN",127254,"BHUSHAN MANTO","BSP",745,11,0.00585443286655036
"32975",256,"ATRI","GEN",157065,"KAISER ALI","BSP",343,7,0.00218380925094706
"32992",62,"AURAI","GEN",106167,"RAM NATH PASWAN","BSP",1270,5,0.0119622858326975
"32994",238,"AURANGABAD","GEN",117709,"MD. KUDUS ANSARI","BSP",4902,5,0.0416450738686082
"33009",77,"BABUBARHI","GEN",111307,"RAJENDRA PASWAN","BSP",659,6,0.00592056204910742
"33039",281,"BAGHMARA","GEN",122402,"SARYU RAM","BSP",2715,4,0.0221810101142138
"33042",272,"BAGODAR","GEN",119023,"ASHOK KUMAR","BSP",871,8,0.00731791334447964
"33055",133,"BAHADURGANJ","GEN",109026,"INDRA MOHAN ROY","BSP",1681,8,0.0154183405793114
"33075",85,"BAHERA","GEN",122283,"MD. ABUBAKAR RIZVI","BSP",242,9,0.00197901588937138
"33085",87,"BAHERI","GEN",145221,"JEVENDRA LAL DEO","BSP",199,14,0.00137032522844492
"33094",26,"BAIKUNTHPUR","GEN",127773,"ASARFI MANJHI","BSP",278,9,0.00217573352742755
"33107",137,"BAISI","GEN",108213,"AINUL HAQUE NAIYER","BSP",510,8,0.00471292728230434
"33133",203,"BAKHTIARPUR","GEN",118616,"SANJAY KUMAR","BSP",3801,7,0.0320445808322655
"33139",103,"BALIA","GEN",111738,"MAYA DEVI","BSP",713,6,0.00638099840698777
"33154",36,"BANIAPUR","GEN",109153,"RAMCHHABILA RAM","BSP",899,10,0.00823614559379953
"33163",174,"BANKA","GEN",110799,"AMRENDRA CHIRHAN","BSP",3032,4,0.0273648679139703
"33180",126,"BANMANKHI","SC",108841,"RAMDEO PASWAN","BSP",610,11,0.00560450565503808
"33191",254,"BARACHATTI","SC",69550,"RAJ KUMAR BHUIYAN","BSP",4664,4,0.06705966930266
"33197",141,"BARARI","GEN",105780,"MAGWAT PRASAD SINGH","BSP",1229,11,0.0116184533938363
"33211",25,"BARAULI","GEN",117175,"F. A. KHAN","BSP",2745,6,0.0234264988265415
"33239",202,"BARH","GEN",125897,"SHIV KUMAR PRASAD","BSP",1278,4,0.0101511553094990
"33262",215,"BARHARA","GEN",115976,"RAM NIWAS NISHAD","BSP",364,7,0.00313858039594399
"33266",263,"BARHI","GEN",109652,"BASUDEO PASWAN","BSP",2129,5,0.0194159705249334
"33276",266,"BARKAGAON","GEN",115648,"DWARIKA BEDIA","BSP",2086,9,0.0180374930824571
"33296",270,"BARKATHA","GEN",117863,"TUKLAL NAYAK","BSP",5493,5,0.0466049566021567
"33304",144,"BARSOI","GEN",122093,"RAJ NARAYAN DAS","BSP",1990,7,0.0162990507236287
"33334",68,"BATHNAHA","GEN",130732,"RAM NATH PD. YADAV","BSP",679,7,0.00519383165560077
