"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"32872",13,"ADAPUR","GEN",111696,"VISHUNDEV RAI","CPI(ML)(L)",2200,5,0.0196963185790001
"32927",216,"ARRAH","GEN",114593,"LETAFAT HUSSAIN","CPI(ML)(L)",10909,3,0.0951977869503373
"32944",242,"ARWAL","GEN",113006,"SHAH CHAND","CPI(ML)(L)",27037,2,0.239252783038069
"32979",256,"ATRI","GEN",157065,"NIRANJAN KUMAR SINGH","CPI(ML)(L)",852,3,0.00542450577786267
"33048",272,"BAGODAR","GEN",119023,"MAHENDRA PRASAD SINGH","CPI(ML)(L)",32182,1,0.270384715559178
"33092",87,"BAHERI","GEN",145221,"SATYA N. MUKHIYA","CPI(ML)(L)",3587,6,0.0247002843941303
"33185",254,"BARACHATTI","SC",69550,"BALKESHWAR MANJHI","CPI(ML)(L)",2857,6,0.041078360891445
"33196",141,"BARARI","GEN",105780,"BOUDHU MANDAL","CPI(ML)(L)",5926,6,0.0560219323123464
"33230",192,"BARBIGHA","SC",104134,"GANAURI MANJHI","CPI(ML)(L)",1745,4,0.0167572550751916
"33256",215,"BARHARA","GEN",115976,"BHAGIRATH SINGH","CPI(ML)(L)",9451,4,0.0814909981375457
"33279",266,"BARKAGAON","GEN",115648,"GUNI OURAN","CPI(ML)(L)",2993,7,0.0258802573325955
"33302",144,"BARSOI","GEN",122093,"MAHBOOB ALAM","CPI(ML)(L)",62644,1,0.513084288206531
"33361",247,"BELAGANJ","GEN",129333,"VIJAY PRASAD","CPI(ML)(L)",2987,4,0.0230954203490215
"33399",278,"BERMO","GEN",125744,"PARMESWAR MAHTO","CPI(ML)(L)",3187,7,0.0253451456928362
"33454",168,"BHAGALPUR","GEN",121745,"TARKESHWAR MANDAL","CPI(ML)(L)",416,6,0.00341697810998398
"33463",321,"BHAWANATHPUR","GEN",123175,"LAKSHMAN SINGH","CPI(ML)(L)",3262,6,0.026482646640958
"33474",22,"BHORE","SC",118026,"RAM NARESH RAM","CPI(ML)(L)",20824,3,0.176435700608341
"33543",226,"BIKRAMGANJ","GEN",125056,"RAM NAGINA RAM","CPI(ML)(L)",15319,4,0.122497121289662
"33565",314,"BISHNUPUR","ST",57052,"BISHWANATH ORAON","CPI(ML)(L)",914,6,0.0160204725513567
"33573",322,"BISHRAMPUR","GEN",104937,"JAGDEO SHARMA","CPI(ML)(L)",2575,5,0.0245385326433956
"33586",60,"BOCHAHA","SC",124806,"RAM NANDAN PASWAN","CPI(ML)(L)",3989,4,0.0319616044100444
"33619",279,"BOKARO","GEN",203318,"JAGANNATH SINGH","CPI(ML)(L)",759,14,0.00373306839532161
"33666",219,"BUXAR","GEN",96477,"HIRALAL RAM","CPI(ML)(L)",1503,9,0.0155788426257035
"33698",231,"CHAINPUR","GEN",107979,"PURNWASI RAM","CPI(ML)(L)",1015,13,0.00939997592124395
"33742",199,"CHANDI","GEN",117480,"MUNNI LAL PRASAD YADAV","CPI(ML)(L)",3624,4,0.0308478038815117
"33801",233,"CHENARI","SC",123677,"SHEO SHANKAR RAM","CPI(ML)(L)",2927,7,0.0236664860887635
"33875",31,"DARAULI","GEN",115334,"AMARNATH YADAV","CPI(ML)(L)",33990,2,0.294709279137115
"33897",89,"DARBHANGA","GEN",129365,"NEAJ AHMAD","CPI(ML)(L)",1615,6,0.0124840567386851
"33907",88,"DARBHANGA RURAL","SC",120254,"HARE RAM PASWAN","CPI(ML)(L)",7004,4,0.0582433848354317
"33913",235,"DEHRI","GEN",120281,"ASHOK SINGH","CPI(ML)(L)",7182,3,0.0597101786649596
"33936",237,"DEO","SC",93691,"CHHATHAN RAM","CPI(ML)(L)",928,7,0.0099049001504947
"33981",125,"DHAMDAHA","GEN",129097,"SITARAM","CPI(ML)(L)",524,13,0.00405896341510647
"34020",271,"DHANWAR","GEN",135854,"RAJ KUMAR YADAV","CPI(ML)(L)",31304,2,0.230423837354807
"34036",209,"DINAPUR","GEN",115394,"RAJ NA RAI","CPI(ML)(L)",253,5,0.00219248834428133
"34043",227,"DINARA","GEN",127887,"BRIJ KISHORE SINGH","CPI(ML)(L)",5957,4,0.0465801840687482
"34075",221,"DUMRAON","GEN",108669,"VYAS MUNI SINGH","CPI(ML)(L)",8279,7,0.0761854806798627
"34105",204,"FATWA","SC",116385,"NAGESHWAR PASWAN","CPI(ML)(L)",21568,3,0.185315977144821
"34182",249,"GAYA MUFASSIL","GEN",120631,"RAJENDRA MANJHI","CPI(ML)(L)",1577,8,0.0130729248700583
"34249",246,"GHOSI","GEN",152025,"MITHILESH YADAV","CPI(ML)(L)",60097,2,0.39530998191087
"34284",259,"GOBINDPUR","GEN",134027,"SAVITRI DEVI","CPI(ML)(L)",1664,7,0.0124154088355331
"34292",163,"GODDA","GEN",134152,"HALDHAR MANDAL","CPI(ML)(L)",6338,7,0.0472449162144433
