"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"33758",7,"CHANPATIA","GEN",104879,"VIJAI KUMAR JHA","JD(S)",888,9,0.00846689995137253
"33819",108,"CHERIA BARIARPUR","GEN",114266,"URMILA THAKUR","JD(S)",898,7,0.00785885565260007
"34099",204,"FATWA","SC",116385,"BIRENDAR PASWAN","JD(S)",205,9,0.00176139536881901
"34250",246,"GHOSI","GEN",152025,"UPENDRA PRASAD","JD(S)",154,6,0.00101299128432824
"34627",91,"JALE","GEN",127772,"AJAY KUMAR PURBEY","JD(S)",91,9,0.000712206117146167
"35020",135,"KISHANGANJ 2","GEN",121346,"MUSHTAQUE MUNNA","JD(S)",15358,3,0.126563710381883
"35105",57,"KURHANI","GEN",123427,"ZAKARIA SABIR","JD(S)",1350,8,0.0109376392523516
"35264",164,"MAHAGAMA","GEN",125540,"FAIYAZ BHAGALPURI","JD(S)",812,16,0.00646805798948542
"35581",185,"MONGHYR","GEN",129752,"RAMDEO SINGH YADAV","JD(S)",2431,6,0.0187357420309514
"36238",124,"RUPAULI","GEN",109839,"BIRENDRA KUMAR DAS","JD(S)",578,15,0.0052622474712989
