"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"32868",13,"ADAPUR","GEN",111696,"SHYAM BIHARI PRASAD","RJD",43960,2,0.393568256696748
"32878",123,"ALAMNAGAR","GEN",107085,"RAJENDRA SINGH","RJD",33977,2,0.317290003268432
"32881",184,"ALAULI","SC",105475,"RAM BRIKSH SADA","RJD",48054,2,0.455596112822944
"32893",172,"AMARPUR","GEN",118986,"SURENDRA PRASAD SINGH","RJD",49144,1,0.413023380901955
"32901",136,"AMOUR","GEN",135792,"SABA ZAFAR","RJD",42565,2,0.313457346529987
"32906",130,"ARARIA","GEN",124582,"BINOD KUMAR ROY","RJD",5958,6,0.0478239231991781
"32920",216,"ARRAH","GEN",114593,"ABDUL MALICK","RJD",33395,2,0.291422687249657
"32934",242,"ARWAL","GEN",113006,"AKHILESH PRASAD SINGH","RJD",29298,1,0.259260570235209
"32962",193,"ASTHAWAN","GEN",127254,"PRAMOD NARAYAN SINHA","RJD",25267,3,0.198555644616279
"32980",256,"ATRI","GEN",157065,"RAJENDRA PRASAD YADAV","RJD",90858,1,0.578473880240665
"32985",62,"AURAI","GEN",106167,"ARJUN ROY","RJD",34381,2,0.323838857648799
"32999",238,"AURANGABAD","GEN",117709,"SURESH MEHTA","RJD",41176,1,0.349811824074625
"33005",77,"BABUBARHI","GEN",111307,"DEO NARAYAN YADAV","RJD",42503,1,0.381853791765118
"33018",107,"BACHWARA","GEN",110004,"UTTAM KUMAR YADAV","RJD",29381,1,0.267090287625905
"33025",2,"BAGHA","SC",120760,"PURNAMASI RAM","RJD",58668,1,0.485823120238490
"33041",281,"BAGHMARA","GEN",122402,"SUKHDEO BIDROHI","RJD",9414,3,0.0769105079982353
"33046",272,"BAGODAR","GEN",119023,"JAI PRAKASH VERMA","RJD",9105,5,0.0764978197491241
"33053",133,"BAHADURGANJ","GEN",109026,"FAIYAZ ALAM","RJD",8859,4,0.0812558472291013
"33070",85,"BAHERA","GEN",122283,"ABDUL BARI SIDDIQUI","RJD",60395,1,0.493895308423902
"33083",87,"BAHERI","GEN",145221,"HARE KRISHNA YADAV","RJD",43644,2,0.300535046584172
"33100",26,"BAIKUNTHPUR","GEN",127773,"LAL BABU PD. YADAV","RJD",40963,2,0.320591987352571
"33106",137,"BAISI","GEN",108213,"ABDUS SUBHAN","RJD",35185,1,0.325145777309565
"33117",109,"BAKHRI","SC",101810,"RAMANAND RAM","RJD",33572,1,0.329751497888223
"33121",203,"BAKHTIARPUR","GEN",118616,"BRIJ NANDAN YADAV","RJD",31570,2,0.266152964186956
"33144",103,"BALIA","GEN",111738,"SHRINARAYAN YADAV","RJD",46889,1,0.419633428198106
"33152",36,"BANIAPUR","GEN",109153,"RAM BAHADUR RAI","RJD",35837,2,0.328318965122351
"33165",174,"BANKA","GEN",110799,"IQBAL HUSSAIN ANSARAI","RJD",38426,2,0.346808184189388
"33178",126,"BANMANKHI","SC",108841,"MANORAMA DEVI","RJD",32816,2,0.301504028812672
"33187",254,"BARACHATTI","SC",69550,"BHAGWATEE DEVI","RJD",26694,1,0.383810208483106
"33199",141,"BARARI","GEN",105780,"MANSOOR ALAM","RJD",37287,1,0.352495745887691
"33216",25,"BARAULI","GEN",117175,"MD. NEMATULLAH","RJD",42360,2,0.36151056112652
"33228",192,"BARBIGHA","SC",104134,"BANARSI PASWAN","RJD",9575,3,0.0919488351547045
"33243",202,"BARH","GEN",125897,"VIJAY KRISHNA","RJD",46810,2,0.371811877963732
"33245",149,"BARHAIT","ST",99783,"GYAN DEO TUDU","RJD",524,4,0.0052513955282964
"33261",215,"BARHARA","GEN",115976,"RAGHVENDRA PRATAP SINGH","RJD",47867,1,0.41273194454025
"33268",263,"BARHI","GEN",109652,"GIRDHARI LAL YADAV","RJD",1720,6,0.0156859883996644
"33277",266,"BARKAGAON","GEN",115648,"GIRDHARI GOPE","RJD",7860,5,0.0679648588821251
"33294",270,"BARKATHA","GEN",117863,"JANKI YADAV","RJD",23562,3,0.199910065075554
"33312",55,"BARURAJ","GEN",116208,"BRAJ KISHORE SINGH","RJD",33817,2,0.291004061682500
"33321",27,"BASANTPUR","GEN",138161,"MANIK CHAND ROY","RJD",65992,2,0.477645645297877
"33336",68,"BATHNAHA","GEN",130732,"SURYADEO RAI","RJD",63218,1,0.483569439769911
"33360",247,"BELAGANJ","GEN",129333,"SURENDRA PRASAD YADAV","RJD",61840,1,0.47814556223083
"33367",175,"BELHAR","GEN",98683,"RAMDEO YADAV","RJD",45892,1,0.465044637880891
"33377",65,"BELSAND","GEN",100389,"RAM SWARTH RAI","RJD",53184,1,0.529779159071213
"33387",73,"BENIPATTI","GEN",110450,"SHALIGRAM YADAV","RJD",27781,2,0.251525577184246
"33391",278,"BERMO","GEN",125744,"BASANT SINGH","RJD",6848,5,0.054459854943377
"33412",8,"BETTIAH","GEN",138963,"MANGAL YADAV","RJD",3520,6,0.0253304836539223
"33430",230,"BHABHUA","GEN",128844,"PRAMOD SINGH","RJD",33195,1,0.25763714259104
"33442",168,"BHAGALPUR","GEN",121745,"ARUN KUMAR","RJD",41487,2,0.340769641463715
"33457",321,"BHAWANATHPUR","GEN",123175,"DR. MD. YASIN ANSARI","RJD",27593,3,0.224014613354983
"33470",22,"BHORE","SC",118026,"ALAGU RAM","RJD",26857,2,0.227551556436717
"33501",194,"BIHAR","GEN",183056,"SYED NAUSHADUNNABI","RJD",64981,1,0.354978804300323
"33515",170,"BIHPUR","GEN",105105,"SHAILESH KUMAR","RJD",39637,1,0.377118119975263
"33520",212,"BIKRAM","GEN",144246,"CHADRAMA SINGH YADAV","RJD",47041,2,0.326116495431416
"33550",226,"BIKRAMGANJ","GEN",125056,"SURYADEO SINGH","RJD",22848,2,0.182702149437052
"33553",74,"BISFI","GEN",124339,"ABDUL HAI","RJD",29290,2,0.235565671269674
"33571",314,"BISHNUPUR","ST",57052,"SUKHAIR BHAGAT","RJD",5270,3,0.0923718712753278
"33577",322,"BISHRAMPUR","GEN",104937,"RAMCHANDRA CHANDRABANSHI","RJD",31511,2,0.300284932864481
"33588",60,"BOCHAHA","SC",124806,"RAMAI RAM","RJD",77031,1,0.617205903562329
"33596",253,"BODH GAYA","SC",94341,"JITAN RAM MANJHI","RJD",41298,1,0.437752408814831
"33633",148,"BORIO","ST",95000,"BABIYANA BASKI","RJD",2763,5,0.0290842105263158
"33644",218,"BRAHMPUR","GEN",112742,"AJIT CHAUDHARY","RJD",30236,1,0.268187543240319
"33680",295,"CHAIBASA","ST",90044,"GARDI MUNDA","RJD",9400,4,0.104393407667363
"33686",231,"CHAINPUR","GEN",107979,"AMBIKA SINGH","RJD",13430,4,0.124376036081090
"33709",177,"CHAKAI","GEN",111651,"SAT. NA. YADAV","RJD",2903,6,0.0260006627795541
"33717",299,"CHAKRADHARPUR","ST",81954,"RAMESH ORAON","RJD",2661,6,0.0324694340727725
"33734",286,"CHANDANKIYARI","SC",88952,"SHANKAR RAM","RJD",705,11,0.00792562280780646
"33746",199,"CHANDI","GEN",117480,"USHA SINHA","RJD",39308,2,0.334593122233572
"33776",41,"CHAPRA","GEN",146600,"UDIT RAI","RJD",76749,1,0.523526603001364
"33779",264,"CHATRA","SC",77535,"JANARDAN PASWAN","RJD",27682,2,0.357025859289353
"33789",182,"CHAUTHAM","GEN",124999,"VIDYA SAGAR NISHAD","RJD",37087,2,0.296698373586989
"33793",233,"CHENARI","SC",123677,"CHHEDI PASWAN","RJD",40738,1,0.329390266581499
"33809",108,"CHERIA BARIARPUR","GEN",114266,"ASHOK KUMAR","RJD",63830,1,0.558608860028355
"33821",114,"CHHATAPUR","SC",96408,"GITA DEVI","RJD",34143,1,0.354151107791884
"33834",323,"CHHATARPUR","SC",70746,"MANOJ KUMAR","RJD",20864,1,0.294914200096119
"33847",166,"COLGONG","GEN",140297,"MAHESH PRASAD MANDAL","RJD",37944,2,0.270454820844352
"33855",98,"DALSINGHSARAI","GEN",127152,"RAM PADARATH MAHTO","RJD",47580,1,0.374197810494526
"33861",319,"DALTONGANJ","GEN",102309,"ANIL KUMAR CHAURASIYA","RJD",25132,2,0.245647987958049
"33885",31,"DARAULI","GEN",115334,"SHEO SHANKAR YADAV","RJD",46047,1,0.399249137288224
"33902",89,"DARBHANGA","GEN",129365,"SULTAN AHMAD","RJD",40462,1,0.312773934217138
"33910",88,"DARBHANGA RURAL","SC",120254,"PITAMBAR PASWAN","RJD",59305,1,0.493164468541587
"33927",235,"DEHRI","GEN",120281,"MD. ILYAS HUSAIN","RJD",57123,1,0.474912912263782
"33943",237,"DEO","SC",93691,"SURESH PASWAN","RJD",40660,1,0.433979784611115
"33953",158,"DEOGHAR","SC",118915,"SURESH PASWAN","RJD",48216,1,0.405466089223395
"33961",14,"DHAKA","GEN",139096,"MANOJ KUMAR SINGH","RJD",59948,1,0.430982918272272
"33972",125,"DHAMDAHA","GEN",129097,"DILIP KUMAR YADAV","RJD",16387,3,0.126935560082728
"33995",1,"DHANAHA","GEN",68304,"SHYAM NARAIN PD.","RJD",10374,3,0.151879831342235
"34005",284,"DHANBAD","GEN",153608,"PRASADI SAO","RJD",32266,2,0.210054163845633
"34016",271,"DHANWAR","GEN",135854,"GURU SAHAY MAHTO","RJD",24950,4,0.183653039292181
"34028",173,"DHURAIYA","SC",118474,"RAMRUP HARIJAN","RJD",28840,2,0.243428937994834
"34032",209,"DINAPUR","GEN",115394,"LALU PRASAD","RJD",64085,1,0.555358164202645
"34055",227,"DINARA","GEN",127887,"SAROJ KUMAR GUPTA","RJD",42411,2,0.331628703464778
"34065",160,"DUMKA","ST",95985,"VIJAY KUMAR SONI","RJD",1067,5,0.0111163202583737
"34069",221,"DUMRAON","GEN",108669,"HARENDRA SINGH","RJD",11005,4,0.101270831607910
"34078",276,"DUMRI","GEN",80693,"GULAM RASOOL","RJD",1554,7,0.0192581760499672
"34094",255,"FATEHPUR","SC",105849,"SHYAM DEO PASWAN","RJD",53589,1,0.506277810843749
"34102",204,"FATWA","SC",116385,"DINESH CHOUDHARY","RJD",46850,1,0.402543283069124
"34112",129,"FORBESGANJ","GEN",128944,"AHAD HUSSAIN","RJD",7925,6,0.061460789179799
"34128",61,"GAIGHATTI","GEN",117839,"DEVENDRA PD. YADAV","RJD",42024,2,0.356622170928131
"34146",274,"GANDEY","GEN",112993,"SHOBHA YADAV","RJD",17240,4,0.152575823281088
"34157",320,"GARHWA","GEN",103125,"GIRINATH SINGH","RJD",45239,1,0.438681212121212
"34167",42,"GARKHA","SC",113925,"MUNESHWAR CHAUDHARY","RJD",52530,1,0.461092824226465
"34191",249,"GAYA MUFASSIL","GEN",120631,"VINOD KUMAR YADVENDU","RJD",42997,1,0.356434084107734
"34198",250,"GAYA TOWN","GEN",110657,"JAI KUMAR PALIT","RJD",13423,3,0.121302764398095
"34221",86,"GHANSHYAMPUR","GEN",150830,"MAHAVIR PRASAD","RJD",79472,1,0.526897831996287
"34227",288,"GHATSILA","ST",104122,"JAIPAL MANJHI","RJD",2563,6,0.0246153550642516
"34237",15,"GHORASAHAN","GEN",106259,"LAL VAVU PRASAD","RJD",18637,2,0.175392202072295
"34260",275,"GIRIDIH","GEN",90429,"NIRBHAY KUMAR","RJD",23697,2,0.262050890754072
"34268",20,"GOBINDGANJ","GEN",110872,"SHURESH SAHANI","RJD",26458,3,0.238635543690021
"34276",259,"GOBINDPUR","GEN",134027,"GAYATRI DEVI","RJD",45930,1,0.342692144120215
"34304",163,"GODDA","GEN",134152,"SANJAY PRASAD YADAV","RJD",30774,1,0.229396505456497
"34307",241,"GOH","GEN",128007,"AYODHYA SINGH","RJD",42230,2,0.329903833384112
"34317",277,"GOMIA","GEN",97231,"GYANESAR YADAV","RJD",1728,6,0.0177721097180940
"34324",24,"GOPALGANJ","GEN",107687,"ANIRUDH PD. ALIAS SADHU YADAV","RJD",30248,1,0.280888129486382
"34345",169,"GOPALPUR","GEN",135120,"RABINDRA KR. RANA","RJD",67813,1,0.501872409709888
"34361",28,"GOREAKOTHI","GEN",117425,"INDRADEO PRASAD","RJD",42324,1,0.360434319778582
"34378",313,"GUMLA","ST",81445,"HANDU BHAGAT","RJD",3599,4,0.0441893302228498
"34401",252,"GURUA","GEN",113489,"SHAKEEL AHMAD KHAN","RJD",44294,1,0.390293332393448
"34415",45,"HAJIPUR","GEN",145630,"RAJENDRA RAI","RJD",42762,2,0.293634553320058
"34433",75,"HARLAKHI","GEN",109614,"SITARAM YADAV","RJD",34955,1,0.318891747404529
"34448",200,"HARNAUT","GEN",119254,"SUNIL KUMAR","RJD",39773,2,0.333515018364164
"34452",19,"HARSIDHI","GEN",124879,"AWADHESH PRASAD KUSHWAHA","RJD",47645,2,0.38152932038213
"34465",102,"HASANPUR","GEN",110223,"RAJENDRA YADAV","RJD",48145,2,0.436796312929243
"34470",307,"HATIA","GEN",112735,"ABHAY KUMAR SINGH","RJD",29741,2,0.263813367632057
"34484",92,"HAYAGHAT","GEN",107508,"HARI NANDAN YADAV","RJD",24351,2,0.226504074115415
"34498",269,"HAZARIBAGH","GEN",106010,"JEEB LAL RAM","RJD",6171,3,0.0582114894821243
"34507",198,"HILSA","GEN",148521,"BAIJU PRASAD","RJD",44369,2,0.298738898876253
"34540",324,"HUSSAINABAD","GEN",89360,"SANJAY KUMAR SINGH YADAV","RJD",28074,1,0.314167412712623
"34563",251,"IMAMGANJ","SC",91083,"RAMSWAROOP PASWAN","RJD",28268,2,0.310354292238947
"34571",197,"ISLAMPUR","GEN",161040,"NARESH YADAV","RJD",27705,2,0.172038002980626
"34577",297,"JAGANATHPUR","ST",78047,"KAPILESHWAR DONGO","RJD",2526,6,0.0323651133291478
"34589",222,"JAGDISHPUR","GEN",107473,"HARINARAYAN SINGH","RJD",20846,2,0.193964995859425
"34603",245,"JAHANABAD","GEN",150005,"MUNI LAL YADAV","RJD",72628,1,0.484170527649078
"34632",91,"JALE","GEN",127772,"RAM NIWAS PRASAD","RJD",31280,2,0.244811069717935
"34647",186,"JAMALPUR","GEN",113253,"UPENDRA PRASAD VERMA","RJD",41906,1,0.370021103193734
"34656",291,"JAMSHEDPUR EAST","GEN",111099,"RADHE PRASAD YADAV","RJD",9785,3,0.0880746001314143
"34679",273,"JAMUA","SC",121554,"BALDEO HAZRA","RJD",60838,1,0.50050183457558
"34686",188,"JAMUI","GEN",130384,"ARJUN MANDAL","RJD",23695,3,0.18173242115597
"34714",48,"JANDAHA","GEN",139174,"TULSI DAS MEHTA","RJD",36246,3,0.260436575797203
"34718",159,"JARMUNDI","GEN",104301,"CHANDRA SHEKHAR YADAV","RJD",13537,5,0.129787825620080
"34731",178,"JHAJHA","GEN",93912,"DR. RAVINDRA YADAV","RJD",25835,2,0.275097964051452
"34745",80,"JHANJHARPUR","GEN",103494,"JAGDISH NARAYAN CHAUDHARY","RJD",34313,1,0.331545790094112
"34753",285,"JHARIA","GEN",135090,"ABO DEVI","RJD",14577,3,0.107905840550744
"34773",132,"JOKIHAT","GEN",113401,"SARFRAZ ALAM","RJD",44274,1,0.39041983756757
"34775",290,"JUGSALAI","SC",119563,"BHASKAR MUKHI","RJD",3961,4,0.0331289780283198
"34784",143,"KADWA","GEN",112794,"ABDUL JALIL","RJD",26589,2,0.23573062396936
"34801",93,"KALYANPUR","GEN",126335,"ALOK KUMAR MEHTA","RJD",43929,2,0.347718367831559
"34817",308,"KANKE","SC",91967,"SAMRI LAL","RJD",24603,2,0.267519871258169
"34822",56,"KANTI","GEN",108870,"GULAM JILANI WARASI","RJD",35023,1,0.321695600257187
"34853",225,"KARAKAT","GEN",119518,"TULSI SINGH","RJD",30466,2,0.254907210629361
"34874",138,"KASBA","GEN",132864,"SHIV CHARAN MEHTA","RJD",12025,3,0.090506081406551
"34882",21,"KATEYA","GEN",125715,"KIRAN DEVI","RJD",50704,1,0.403324981108062
"34899",142,"KATIHAR","GEN",120356,"RAM PRAKASH MAHTO","RJD",69030,1,0.573548472863837
