"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"33105",26,"BAIKUNTHPUR","GEN",127773,"SANJAY KUMAR PANDEY","SHS",222,10,0.00173745627010401
"33198",141,"BARARI","GEN",105780,"MANOJ KUMAR JAISWAL","SHS",820,12,0.00775193798449612
"33258",215,"BARHARA","GEN",115976,"CHANDRA MANI DUBEY","SHS",728,6,0.00627716079188798
"33307",144,"BARSOI","GEN",122093,"YUGAL KISHOR DAS","SHS",1385,8,0.0113438116845356
"33393",278,"BERMO","GEN",125744,"DEEPAK KUMAR DUBEY","SHS",191,15,0.00151895915510879
"33549",226,"BIKRAMGANJ","GEN",125056,"SURENDRA SAH","SHS",396,14,0.00316658137154555
"33554",74,"BISFI","GEN",124339,"AJAY KUMAR JHA","SHS",1098,8,0.00883069672427798
"33567",314,"BISHNUPUR","ST",57052,"ETWARI BHAGAT","SHS",192,11,0.00336535090794363
"33625",279,"BOKARO","GEN",203318,"RAJ KAPOOR SINGH","SHS",498,19,0.00244936503408454
"33654",218,"BRAHMPUR","GEN",112742,"LAXMAN DUBEY","SHS",121,18,0.00107324688226216
"33663",219,"BUXAR","GEN",96477,"AGNIDEV RAI","SHS",650,10,0.00673735709029095
"33706",177,"CHAKAI","GEN",111651,"PARMANAND PANDEY","SHS",340,10,0.00304520335688888
"33755",7,"CHANPATIA","GEN",104879,"SATISH CHANDRA DUBEY","SHS",20612,3,0.196531240763165
"33899",89,"DARBHANGA","GEN",129365,"SANJAY KUMAR","SHS",73,17,0.000564294824720751
"33923",235,"DEHRI","GEN",120281,"LALIT KUMAR SINHA","SHS",299,12,0.00248584564478180
"34054",227,"DINARA","GEN",127887,"SAMUNDAR CHAUDHARY","SHS",705,9,0.00551267916207277
"34118",129,"FORBESGANJ","GEN",128944,"MANOJ SADA","SHS",1619,11,0.0125558381933242
"34195",250,"GAYA TOWN","GEN",110657,"CHANDRA MAULI","SHS",272,16,0.00245804603414154
"34323",24,"GOPALGANJ","GEN",107687,"ANIL KUMAR SINHA","SHS",289,16,0.00268370369682506
"34410",45,"HAJIPUR","GEN",145630,"AKSHAY KR. VERMA","SHS",628,5,0.00431229829018746
"34459",102,"HASANPUR","GEN",110223,"BRAJ KISHORE PRASAD","SHS",1208,6,0.0109596000834672
"34481",307,"HATIA","GEN",112735,"VINAY KANT TIWARI","SHS",437,10,0.00387634718587839
"34488",92,"HAYAGHAT","GEN",107508,"NILAMBER JHA","SHS",372,9,0.00346020761245675
"34502",269,"HAZARIBAGH","GEN",106010,"NAND LAL SAW","SHS",660,11,0.00622582775209886
"34584",222,"JAGDISHPUR","GEN",107473,"ANIL KUMAR PANDEY","SHS",666,11,0.00619690526923041
"34652",291,"JAMSHEDPUR EAST","GEN",111099,"BYAS PRASAD SHAHI","SHS",224,7,0.00201621976795471
"34663",292,"JAMSHEDPUR WEST","GEN",110339,"DEEPAK KR. AGRAWAL","SHS",1004,6,0.00909923055311359
"34795",143,"KADWA","GEN",112794,"KRITIYANAND BISWAS","SHS",1337,9,0.0118534673830168
"34809",93,"KALYANPUR","GEN",126335,"SARITA SWARAJ","SHS",291,10,0.00230339969129695
"34856",138,"KASBA","GEN",132864,"BAMBAM SAH","SHS",6232,5,0.046905105973025
"34900",142,"KATIHAR","GEN",120356,"UMESHWAR PRASAD SINGH","SHS",183,12,0.00152048921532786
"35022",135,"KISHANGANJ 2","GEN",121346,"NIRMALA DEVI","SHS",433,12,0.00356830880292717
"35095",57,"KURHANI","GEN",123427,"PRABHANAND TIWARY","SHS",522,9,0.00422922051090928
"35148",51,"LALGANJ","GEN",134402,"SANJEEV KR. SARMA","SHS",126,15,0.000937486049314742
"35447",35,"MANJHI","GEN",108779,"SAKET KR. SINGH","SHS",4052,5,0.0372498368251225
"35486",205,"MASAURHI","GEN",152982,"RATNESH KUMAR","SHS",251,10,0.00164071590121714
